"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"Cre?terea   competitivit??ii    afacerii   prin   investi?ii   �n echipamente ?i tehnologii noi ?i promovarea dezvolt?rii durabile - COMPETIV","SC FLEXAL IMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",921629,150033,476982,294242,1842887
"MODERNIZAREA PARCULUI DE UTILAJE PENTRU CONSTRUC?E AL SC SUMMER TRADING SRL","SC SUMMER TRADING SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",921595,150027,481453,295084,1848159
"Retehnologizarea atelierului de produc?ie �n cadrul firmei SC Cofaro SRL prin achizi?ia de utilaje performante","SC COFARO SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",921524,150016,492751,299357,1863648
"CRE?TEREA COMPETITIVIT??II SC TNTERTRANS-BALASTIERA SRL","SC TNTERTRANS -BALASTIERA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",921361,149989,459150,290795,1821295
"Achizi?ie de echipamente ?i utilaje la SC SEHO PROD SRL din Municipiul Oradea, Jude?ul Bihor","SC SEHO PROD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",921289,149977,459114,283172,1813552
"Cre?terea productivit??ii firmei SC STMETEX SRL prin achizi?ia de utilaje","SC STMETEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920801,149898,458871,294200,1823770
"Mjloace fixe �n construc?ii de drumuri","SC MARSILVA COM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920390,149831,1824969,550086,3445276
"Achizi?ie mijloace fixe �n domeniul extrac?iei pietri?ului ?i nisipului","SC UNI MINERAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920390,149831,458666,290488,1819375
"Mjloace fixe �n construc?ii civile ?i industriale-SC ALEX CONSTRUCT SRL","SC ALEX CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920390,149831,458666,290488,1819375
"Dezvoltarea firmei ROMFEREX prin achizi?ie utilaje","SC ROMFEREX IMPORT EXPORT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920390,149831,458666,290488,1819375
"Dezvoltarea   ?i    modernizarea   �ntreprinderii   Building Invest    SRL    prin    achizi?ionarea    de    mijloace    fixe specializate","SC BUILDING INVEST SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",920200,149800,692000,334650,2096650
"Achizi?ie    de    utilaje    ?i    echipamente    la    SC    MI-CONSTRUCT   SRL   din   Municipiul   Timi?oara,   Jud. Timi?","SC MI-CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",919810,149737,458378,290306,1818231
"Achizi?ie de echipamente ?i utilaje la SC TOSTCAF SRL din Municipiul Timi?oara, Jude?ul Timi?","SC TOSTCAF SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",919810,149737,458378,290306,1818231
"DIVERSIFICAREA ACTIVIT??II SC TOTALA AUTO COMARO     SA     PRIN     ACHIZI?IONAREA     DE MIJLOACE        FIXE        TANGIBILE        SPECIFICE LUCR?RILOR DE CONSTRUC?II","SC TOTAL AUTO COMARO SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",918953,149597,457950,290035,1816535
"CRE?TEREA   COMPETITIVIT??II  ECONOMICE  A SC          CONIZ          ROMARG          SRL          PRTN RETEHNOLOGIZARE  ?I ACHIZI?IA  DE UTILAJE DE TRANSPORT TEHNOLOGIC SPECIALIZAT","SC CONIZ ROMARG SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",918519,149526,701537,336221,2105803
"ACHIZI?IE      LINTE      PRODUC?IE      POLIS TIREN EXPANDAT","SC MECATRONICS SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",918119,149461,711720,338067,2117367
"ACHIZI?IONAREA DE UTILAJE, ECHIPAMENTE ?I TEHNOLOGII    NOI    DE    PRODUC?IE    PENTRU MODERNIZAREA   ACTIVIT??II   �NTREPRTNDERII CRTNEX RET SRL","SC CRTNEX RET SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",916037,149122,456498,289116,1810773
"Decizie de finan?are DMI 2 - OI IMM","OI IMM","DMI 5.2 - Sprijin pentru comunicare, evaluare ?i TI",915757,305252,0,231992,1453001
"ACHIZI?IE    UTILAJ    PENTRU    UNITATEA    DE PRODUC?IE   LOC.ODORHEIUL   SECUIESC,   JUD. HARGHITA","SC HORGINTER SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",915303,149003,456131,292367,1812804
"MODERNIZARE PRTN RETEHNOLOGIZARE LA SC ISPAL SRL","SC ISPAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",914843,148928,680116,334920,2078807
"Modernizarea activit??ii productive a SC PENTAMOB SRL","SC Pentamob SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",913855,148767,455409,288426,1806457
"Dezvoltarea   sectorului   productiv   al   companiei   prin achizi?ia de echipamente ?i lucr?ri de modernizare a unei cl?diri industriale","SC CALMAR COM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",913587,148724,455276,288342,1805928
"Plan investi?ional de dezvoltare a sectorului productiv al SC ECOMMERAL INDUSTRIA SRL","SC ECOMINERAL INDUSTRIA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",913587,148724,708207,336398,2106916
"ACHIZI?IE DE UTILAJE PENTRU MODERNIZARE LA SC MADRUGADA COM SRL","SC MADRUGADA COM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",912224,148502,828151,393371,2282247
"DIVERSIFICAREA    ACTIVIT??II    �N    VEDEREA CRE?TERII   ECONOMICE   A   FIRMEI   SC   TONG CONSTRUCT SRL","SC TONG CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",912173,148493,707111,339460,2107237
"GAMA    DE    TRANSFORMATOARE    PNOVATIVE PENTRU          ALIMENTAREA          VEHICULELOR FEROVIARE     MODERNIZATE     CU     MOTOARE ELECTRICE ASEMCRONE DE TRAC?IUNE","S.C. TEHNOEMD ELECTRIC S.R.L. CRAIOVA","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",911277,186647,719476,234600,2052000
"ACHIZI?IONARE    UTILAJE     ?I     ECHIPAMENTE TEHNOLOGICE PENTRU CONSTRUC?II","SC TOTAL INVEST SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",910596,148236,705888,366511,2131231
"Modernizarea �ntreprinderii la CLC Srl","SC Case-Lemn Construc?ii SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",910124,148160,705816,335179,2099279
"Achizi?ie sta?ie de sortare necesar? �n cadrul desf??ur?rii activit??ii a societ??ii BS Group Demolation SRL, Loc. Cluj-Napoca, Jud. Cluj","SC BS GROUP DEMOLATION SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",909095,147992,704724,335232,2097043
"ACHIZI?IONARAE      DE      UTILAJE      MODERNE PENTRU PRELUCRAREA  FIBRELOR TEXTILE  ?I REALIZAREA DE PRODUSE FTNITE DIN ACESTEA","SC ALCAM INTERNATIONAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",908671,147923,452826,286790,1796211
"CONSOLIDAREA COMPETITIVITATE ECONOMICE A SC RONEST FLY SRL PPJN INTRODUCEREA �N FABRICA?IE A UNUI NOU PRODUS: T�MPL?RIE DTN LEMN STRATIFICAT","SC RONEST FLY SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",907989,147812,452486,286575,1794862
"CRE?TEREA   COMPETITIVITATE   SC   STANDARD SRL","SC STANDARD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",907163,147678,452075,286314,1793230
"SISTEM          DE          TELEMONITORIZARE          A ECHIPAMENTELOR,           INSTALA?IILOR           ?I AMENAJ?RILOR   DE   PRODUCERE  A   ENERGIEI CURATE","S.C. Beia Consult International S.R.L. Bucure?ti","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",906601,185689,1170910,303770,2566970
"ACHIZI?IONAREA      DE      UTILAJE      MODERNE PENTRU     CONCASAREA     PIETREI,     ELEMENT ESEN?IAL �N PRODUCEREA BETONULUI","SC CORNEA TND. CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",905693,147438,691594,331498,2076222
"CRE?TEREA     COMPETITIVIT??II     ECONOMICE PRIN MODERNIZAREA PARCULUI DE UTILAJE ?I ECHIPAMENTE DESTINATE CONSTRUC?IILOR LA SC ROYALCONSTRUCT SRL","SC ROYALCONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",905413,147393,451203,285762,1789771
"Dezvoltarea   sectorului   productiv   al   companiei   prin realizarea de investi?ii","SC Primaserv SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",905281,147371,701768,333340,2087760
"Dezvoltarea   sectorului   productiv   al   companiei   prin realizarea de investi?ii","SC Coralex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",905281,147371,701768,333340,2087760
"Dezvoltarea   sectorului   productiv   al   companiei   prin realizarea de investi?ii","SC Metalprest SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",905281,147371,451137,285720,1789508
"Creare unitate de produc?ie - fabrica de c?r?mid? S�ngeru de P?dure, FN, comuna Ernei, jud. Mure?","SC Special Euroconstruct SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",903869,147142,690951,498575,2240537
"Cre?terea productivit??ii societ??ii SC J&H CONFEC?II METALICE    SRL    printr-un    sistem    de    produc?ie ecoeficient","SC J&H CONFEC?II METALICE SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",903000,147000,700000,332500,2082500
"CONSTRUC?IE HAL? DE PRODUCTE: PROPPJE ?I MODERNIZAREA      BALCANIC      SRL      PENTRU CRE?TEREA   CAPACIT??II   DE   PRODUC?IE   ?I DEZVOLTAREA DURABIL?, A �NTREPRINDERII","SC BALCANIC SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",902462,146912,724695,356381,2130450
"Achizi?ionare   utilaje   pentru   activitatea   de   fabricare construc?ii metalice ?i p?r?i componente ale acestora","SC Grand Design SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",902459,146912,449733,391539,1890643
"ACHIZI?IONAREA          UNOR          ECHIPAMENTE PERFORMANTE �N VEDEREA MODERNIZ?RII ?I DIVERSETC?RE ACTIVIT??II DE FABRICARE A ELEMENTELOR DIN BETON","SC Spot Transport SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",902456,146911,449728,293045,1792140
"Modernizarea activit??ii productive a firmei","SC Polystart Impex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",901487,146754,698827,331943,2079011
"Competen?? �n lucr?ri de construc?ii la �n?l?ime","SC MARCAM CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",900105,146529,448557,354764,1849955
"Optimizarea   activit??ii   productive   a   SC   GRADICO ELECTRIC SRL","SC Gradico Electric SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",900095,146527,448552,284083,1779257
"Modernizarea    activit??ii    SC    Artoprod    SRL    prin construc?ia   unei   cl?diri    industriale   ?i   achizi?ia   de echipamente performante","SC ARTOPROD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",900095,146527,448552,284078,1779252
"Cre?terea   competitivit??ii    activit??ii    SC   WELDPNG CONSULTING PROD SRL","SC WELDPNG CONSULTING PROD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",896462,145936,694932,342588,2079918
"Optimizarea        activit??ii         productive        a        SC TRANSFORMATOARE MOTOARE SRL","SC Transformatoare Motoare SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",896254,145902,446638,282871,1771665
"CRE?TEREA     COMPETITIVITA??II     UTILIZ?RII RESURSELOR LA SC SALAMANDRA SRL","SC SALAMANDRA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",895105,145715,693880,334115,2068815
"CRE?TEREA     COMPETITIVIT??II     ECONOMICE PRIN        DEZVOLTAREA        CAPACIT??II        DE PRODUC?IE LA SC BALNIS BRADESTI SRL","SC BALNIS BRADESTI SR","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",894140,145558,600021,316123,1955843
"Achizi?ie     de     echipamente      ?i      utilaje     la     SC AGROTRANSPORT   SALONTA   SA   din   Localitatea Salonta, Jude?ul Bihor","SC AGROTRANSPORT SALONTA SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",894060,145545,445545,282179,1767329
"Modernizarea       �ntreprinderii        SC        VOBISCUM IMPRIMERIA     SRL,     prin     achizi?ia     de     utilaje ultraperfomante","SC Vobiscum Imprimeria SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",893257,145414,445145,281925,1765741
"Achizi?ie de echipamente ?i utilaje la SC WERK MB CONSTRUCT   SRL,   din   Localitatea   Buzia?,   Jude?ul Timi?","SC WERK MB CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",893031,145377,681255,326736,2046399
"MODERNIZAREA PARCULUI DE UTILAJE PENTRU CONSTRUC?E     AFERENTE     LUCR?RILOR     DE INFRASTRUCTUR? RUTIER?","SC TERAPONT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",891994,145208,444515,281526,1763244
"Modernizare prin achizi?ie de echipamente ?i utilaje a SC FORESTKING SRL, Loc. Soveja, Jud. Vrancea","SC FORESTKING SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",890887,145028,443964,281177,1761056
"Tiparul la Rang de Art?","SC TIPOGRAFIA ARTA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",885849,144208,441619,435424,1907100
"DEZVOLTAREA CAPACIT??ILOR TEHNOLOGICE �N VEDEREA ABORDARE DE NOI PRODUSE ?I NOI PIE?E","SC NOVA GRUP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",885609,144169,686519,327762,2044059
"CRE?TEREA PERFORMAN?ELOR ECONOMICE ?I TEHNOLOGICE    A    SC    MICROMET    SA    PRIN ACHIZI?IONAREA    DE    UTILAJE    INDUSTRIALE INOVATOARE    ?I    TEHNOLOGE    INFORMATICE MODERNE","SC MICROMET SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",881489,143498,439280,313946,1778213
"Modernizarea   ?i   cre?terea   capacit??ii   de   produc?ie   a firmei SC Consensus Impex SRL","SC Consensus Impex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",881184,143449,439128,292573,1756334
"Achizi?ie   echipamente   ?i   utilaje   pentru   prelucrarea lemnului, loc. Com?ne?ti, jud. Bac?u","SC ERGIO PROD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",878237,142969,680804,325295,2027305
"ACHIZI?IONARE               UTILAJE               PENTRU MODERNIZARE EXPLOATARE CARIER? PIATR?","SC AUTOSENNA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",878215,142965,437649,277177,1736006
"Diversificarea   activit??ii   de   c-d   prin   realizarea   de prototipuri pentru materialul rulant feroviar","S.C TEHMIN-BRASOV S.R.L","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",875574,179334,452104,296332,1803344
"CRE?TEREA             COMPETITIVIT??II            PRTN MODERNIZAREA PARCULUI DE UTILAJE","SC DI MORO CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",873825,142251,435461,275792,1727328
"Competitivitate �n fabricarea u?ilor ?i ferestrelor","SC STIALMET SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",871274,141835,434190,284476,1731775
"EXTINDEREA       ?l       MODERNIZAREA       BAZEI MATERIALE A SC ROATA SRL","SC ROATA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",870834,141764,501002,400158,1913758
"Modernizare ?i dotare atelier la CIMCONS SRL","SC CIMCONS SRL.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",870745,141749,435996,275213,1723703
"Modernizarea activit??ii economice a SC Robexpert SRL","SC Robexpert SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",869567,141557,433339,274448,1718911
