ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
217,"Deutsches Jugendherbergswerk Landesverband Hannover
e.V.","Errichtung eines Schwimmsteges als Bootsanleger zur Weser an
der Jugendherberge Hann. Münden",2007,2009,,"41,260.00"
218,Deutsches Zentrum für Luft- und Raumfahrt,Case II,2008,,"8,250,024.60",
219,Die Bootswerft Reiner Meynerts & Manfred Sommer GbR,Errichtung einer Betriebsstätte,2007,2008,,"18,998.09"
220,Die Segelwäscher GbR i. Gr.,Errichtung einer Betriebsstätte,2008,,"45,000.00",
221,Dißmeier GmbH Frank Dißmeier,"Erstellung eines Marketingkonzeptes für die strategische Neu-
ausrichtung des Unternehmens",2008,2009,,"4,000.00"
222,"DKS Dosieranlagenbau Kunststoffverarbeitung und Service
GmbH","Entwicklung und Umsetzung eines umfassenden
Marketingkonzeptes",2008,,"8,000.00",
223,Doepke Schaltgeräte GmbH & Co. KG,"Konzeptionelle Beratung beim Re-Design der FI-Schutzschalter 2-
und 4-polig",2008,2009,,"10,000.00"
224,Dr. Detlef Wienczowski,Darstellung der Unternehmensnachfolge bzw. -übergabe,2009,,"4,000.00",
225,Dr. Freist Automotive GmbH,Erweiterung einer Betriebsstätte,2007,,"1,250,000.00",
226,Dr. Jeschke Holzbau GmbH & Co.KG,"Planung & Erstellung von Produktkatalogen zur Verbesserung der
Marktpräsenz auf internationalen Märkten",2008,2009,,"7,037.50"
227,E & E Die Partylöwen GmbH & Co. KG,Erweiterung einer Betriebsstätte,2007,,"36,000.00",
228,Eckold GmbH & CO. KG,Entwicklung eines Marketing- und Vertriebskonzeptes,2008,2009,,"9,275.00"
229,EdelSteinhaus GmbH,"Bestandsanalyse der derzeitigen Positionierung, der
MArketingkom munikation und der derzeitigen
Organisationsstruktur",2009,,"10,000.00",
230,EDV-Service Logemann,"Entwicklung eines automatischen Brieferfassungssystems mit
Briefsortierung",2008,,"100,000.00",
233,Edzards Reisen Jochen Edzards,"Entwicklung einer langfristigen Strategie eines Markenauftritts des
Unternehmens",2008,,"5,000.00",
234,ehb electronics GmbH,Entwicklung eines Marketingkonzepts,2009,,"4,800.00",
235,Eichriede Projekt GmbH,Sanierung der ehemaligen Fulgurit-Halde in Wunstorf-Luthe,2008,,"4,363,064.40",
236,Eigenbetrieb Abwasserbeseitigung Vechelde,Kläranlagenerweiterung der Kläranlage Vechelde-Wahl-Nord,2008,,"1,077,165.00",
237,Einbecker Druckguss GmbH,"Sicherung der Nachfolgeregelung durch Beteiligung von
Mitarbeitern; Unternehmensbewertung",2008,,"10,000.00",
238,Eiscafé Italia Donadel GmbH,"Erarbeitung einer konzeptionellen und strategischen Nachfolgeber
atung",2009,,"8,000.00",
239,Eisengiesserei O. Gattermann GmbH & Co. KG,Entwicklung eines Kommunikationskonzeptes,2009,,"10,000.00",
240,Eisenhauer & Hagemann GbR,Stärkung der Wettbewerbsposition und Steigerung des Umsatzes,2009,,"6,400.00",
241,Eisfabrik e.V.,Baumaßnahme Kulturzentrum Eisfabrik,2008,,"545,000.00",
242,Elblinger Funktechnik GmbH,Erarbeitung eines Marketingkonzeptes zur Kundenorientierung,2008,,"3,900.00",
243,ELECTRIC-SPEZIAL Phototronicsysteme GmbH,"Verlagerung der Betriebsstätte mit Erweiterung/ Übernahme einer
stillgelegten Betriebsstätte",2007,,"30,200.00",
244,Electrocycling Anlagen GmbH,Teilsanierung der ehemaligen Zinkhütte Harlingerode,2008,,"937,500.00",
245,Elektro Burmann,Erarbeitung einer ganzheitlichen Marketingstrategie,2008,,"6,000.00",
246,Elektro Strothmann,Entwicklung eines strategischen Marketingkonzeptes,2009,,"4,800.00",
247,elka elektrokälte gmbH,Begleitung des Generationswechsels,2008,,"10,000.00",
248,elka elektrokälte gmbH,"Moderierende Beratung zur Planung und Durchführung der
Betriebsübergabe",2008,2009,,"3,398.72"
249,Elotec TDZ GmbH & Co. KG,Ist- und Zielsituation,2008,2009,,"2,100.00"
250,Emform Erika Müller GmbH & Co. KG,Erweiterung einer Betriebsstätte,2008,,"44,700.00",
251,Emsland Moormuseum e. V.,"Das Spannungsfeld von Natur und Technik am Beispiel von
Torfabba u und Moorschutz im südwestlichen Internationalen
Naturpark Bour",2009,,"240,000.00",
252,Emsländische Freilichtspiele e.V. Meppen,Ausbau der Infrastruktur der Emsländischen Freilichtspiele Meppe,2008,,"228,800.00",
253,EMWA Steuerungstechnik GmbH,Analyse und Gesamtkonzeption Marketing,2009,,"8,000.00",
254,Enfes GmbH,"Begleitung bei der Entwicklung und Implementierung eines Marketi
ngmanagement-Prozesses",2009,,"10,000.00",
257,envitec GRAALMANN GmbH,Erweiterung einer Betriebsstätte,2008,,"162,700.00",
258,era Beschichtung GmbH & Co. KG,"Entwicklung funktionsoptimierter neuer lightech-Verbundmateria-
lien und innovativer Oberflächenstrukturen für den automobilen.",2008,,"741,000.00",
259,eResult GmbH eCommerce Research & Consulting,Einstellung eines Hochschulabsolventen,2008,,"12,000.00",
260,eResult GmbH eCommerce Research & Consulting,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
261,Erholungspark Irenensee,Einwerbung von Eigenkapital und ergänzendem Fremdkapital,2008,2009,,"8,000.00"
262,Ernst Schäfer GmbH & Co KG,"Erstellung/ Umsetzung eines Marketing- und Vertiebs- konzeptes
zur Verkaufsförderung der Produkte",2008,2008,,"10,000.00"
263,ERPA Systeme GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
264,ErsaTec GmbH,Mikroprozessor gesteuerter Flammenionisationsdetektor,2007,,"140,500.00",
265,ESBO GmbH,"Entwicklung eines Messsystems (einer Messkabine) zur Ermittlung
von Bein-Becken-Schiefstellungen",2007,2009,,"48,800.00"
266,Escape Beauty GmbH,Erstellung und Festlegung eines Marketingplanes,2008,,"4,480.00",
267,Eva Gorny-Ulma Planungsbüro für Innenarchitektur,Entwicklung einer Marketingstrategie,2008,2008,,"4,000.00"
268,Eva Gorny-Ulma Planungsbüro für Innenarchitektur,Weiterentwicklung der Marketingstrategie,2009,,"4,000.00",
269,Ewald Menke GmbH,Entwicklung eines Marketingkonzeptes,2008,2008,,"10,000.00"
270,Exner Technology GmbH,Erstellung  eines Marketingkonzeptes,2008,2009,,"4,000.00"
271,Fachhochschule Braunschweig/ Wolfenbüttel,"Anwendung geschäumter Leichtbaustrukturen aus Rezyklaten im
Auto mobilbau",2009,,"120,000.00",
272,Fachhochschule Braunschweig/ Wolfenbüttel,"Forschungsnetz Materialwissenschaften - Werkstoff Innovation
Niedersachsen",2008,,"112,192.00",
273,Fachhochschule Braunschweig/ Wolfenbüttel,Gründercampus Plus BS/WF,2009,,"334,800.00",
274,Fachhochschule Braunschweig/ Wolfenbüttel,Handgerät zur Erkennung von Chrom(VI),2008,,"183,147.50",
275,Fachhochschule Braunschweig/ Wolfenbüttel,Intelligente-Gebäude-Energie-Systeme IGES,2008,,"273,728.12"
276,Fachhochschule Braunschweig/ Wolfenbüttel,Recycling räumlicher elektronischer Baugruppen,2008,,"451,389.00"
277,Fachhochschule Braunschweig/ Wolfenbüttel,"SEGaR- Steigerung der Energieeffizienz von Gebäuden durch
adaptive Regleroptimierung",2009,,"152,999.20"
278,Fachhochschule Braunschweig/ Wolfenbüttel,Technologietransferberatungen im Landkreis Wolfenbüttel,2008,,"195,000.00"
279,Fachhochschule Braunschweig/ Wolfenbüttel,Weiterbildung KMU-Management International,2008,,"667,525.28"
282,Fachhochschule Hannover,Anwendungsspezifische Additivierung neuer NFK und WPC,2009,,"236,491.00"
283,Fachhochschule Hannover,"Einführung eines pflegerischen Beratungskonzeptes für
Krebskrank e unter besonderer Berücksichtigung der
Schmerzbewältigung",2008,,"142,327.10"
284,Fachhochschule Hannover,"Entwicklung eines infektionsbegrenzenden und
gewebsschonenenden maschinellen Melksystems für Milchkühe",2008,,"120,013.17"
285,Fachhochschule Hannover,"Entwicklung von Metall-Harz-Kompositwerkstoffen für den Strahlen
schutz",2008,,"206,314.10"
286,Fachhochschule Hannover,Ereignisgesteuerte Labor-Logistik mit RFID,2008,,"247,978.80"
287,Fachhochschule Hannover,Forschungsnetz Intelligente Energiesysteme - InErg,2009,,"112,091.61"
288,Fachhochschule Hannover,"Optimierung der Betriebscharakteristik von kleinen und mittelgro
ßen Biogasanlagen",2008,,"237,703.63"
289,Fachhochschule Hannover,Sozialraumorientierte Konzepte in Einricht. d. Elementarbereichs,2009,,"167,228.61"
290,Fachhochschule Hannover,Wärmeschutz mit Qualität,2009,,"248,924.88"
291,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Aufbau des Elsflether Zentrums für Maritime Forschung,2009,,"1,715,000.00"
292,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)","Bewegungsanalyse zur Untersuchung von Haltungsschäden und
deren Therapiebegleitung",2008,,"25,185.00"
293,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)","Entwicklung und Vermarktung einer Hautpflegecreme auf Basis
Chit osan",2008,,"86,388.56"
294,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Existenzgründung aus der Hochschule,2008,,"76,171.43"
295,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Forschungsnetzwerk Industrial Informatics,2008,,"114,302.72"
296,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Forschungsnetzwerk Medizintechnik,2008,,"111,295.08"
297,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)","Innovative Substrate auf der Basis von Chitin und Chitosan für e
inen nachhaltigen Bodenschutz",2008,,"159,334.00"
298,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Machbarkeitsstudie Weiterbildung Controlling,2008,,"29,687.00"
299,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)","Optische Kohärenz Tomographie vs. Absorptions-Spektroskopie
zur In-vivo Bestimmung von Blutzucker",2008,,"25,185.00"
300,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Reduzierung falschpositiver Diagnosen bei CTG-Analysen,2008,,"20,156.40"
303,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",Schaumglas als Leichtbaustoff im Erd- und Strassenbau,2008,,"156,435.98"
304,"Fachhochschule Oldenburg/ Ostfriesland/Wilhelmshaven (FH
OOW)",3D-Videotracking zur Steigerung der Arbeitssicherheit,2009,,"61,069.00"
305,Fachhochschule Osnabrück,Aktive Walzensysteme,2008,,"256,864.50"
306,Fachhochschule Osnabrück,"Carbon-Nanotube-Elastomer-Composite für Beschichtungen von
Druck walzen",2008,,"181,164.17"
307,Fachhochschule Osnabrück,"Erfassung der räuml. Variabilität der ph-Werte im Boden zur
Optimierung acker- u. Pflanzbaulicher Maßnahmen",2009,,"200,400.00"
308,Fachhochschule Osnabrück,Gründercampus Osnabrück,2008,,"150,000.00"
309,Fachhochschule Osnabrück,mensch.coop,2008,,"182,069.40"
310,Fachhochschule Osnabrück,Optimierung des Schwerlastverkehrs,2008,,"210,532.00"
311,Fachhochschule Osnabrück,Poolmanagement der Osnabrücker Hochschulen,2008,,"198,311.40",
312,Fachhochschule Osnabrück,Qualifizierung von Führungskräften in KMU,2008,,"298,653.98",
313,Fachhochschule Osnabrück,Strategische Planung ? Portfoliomanagement in Krankenhäusern,2008,,"228,388.80",
314,"Fachlehranstalt des niedersächsischen Friseurhandwerks
e.V.",Sanierung der Internatshäuser,2009,,"2,016,301.92",
315,Fachschule für das Handwerk e.V.,Neuanschaffung der Werkstattausstattung,2009,,"46,815.44",
316,Factory Consultants GmbH,"Gründung und Aufbau des Unternehmens Factory Consultants
GmbH",2009,,"18,000.00",
317,Fahrschulteam Heinz Kohoff,Erstellung eines Marketingkonzeptes,2008,2009,,"3,600.00"
318,Ferdinand Münder,Entwicklung einer Wortbildmarke (Logo),2008,2008,,"4,000.00"
319,FeWo-Service Inge Schüler,Entwicklung eines Universal Designs,2009,,"8,000.00",
320,FeWo-Service Inge Schüler,Entwicklung und Umsetzung eines konplexen Marketingkonzeptes,2008,2008,,"10,000.00"
321,FIBA Kunststoffverarbeitung GmbH,Erweiterung einer Betriebsstätte,2007,,"200,300.00",
322,Firinit GmbH,"Entwicklung agglomeratfreier Dispersionen für die Beschichtung
zum Hartlöten von Aluminium",2008,,"90,300.00",
323,Förderkreis Umwelt und Naturschutz Hondelage e.V.,"Geopunkt Hondelage/Braunschweig - Phase 1: Erschließung einer
alten Juramulda",2007,,"102,025.00",
324,"Förderverein Deutsches Gipsmuseum und Karstwanderweg
e.V.",Grundinstandsetzung des Karstwanderweges Südharz,2007,,"25,000.00",
327,Förderverein Feuerschiff Borkumriff e.V.,"Neugestaltung des Informationszentrums einschl. Gewährleistung
der Verkehrssicherkeit an Bord und am Liegeplatz",2008,,"387,023.09",
328,Förderverein Goldenstedter Moor e. V.,"Optimierung der naturtour. Infrastruktur in der Gemeinde Goldens
tedt  zur Förderung d. ländl. Tourismus im NP Wildeshauser Geest",2008,,"104,000.00",
329,FormTech GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
330,FormTech GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
331,Fotoform GmbH,"Konzeption einer integrierten Marketingstrategie für Fotoform
GmbH",2008,2008,,"10,000.00"
332,Franken & Sohn GmbH & Co. KG,"Erweiterung und Erwerb einer stillgelegten oder von Stilllegung
bedrohten Betriebsstätte",2007,,"162,900.00",
333,Franz Famulla GmbH,Entwicklung eines Marketingkonzeptes,2008,2008,,"2,539.38"
334,Freilicht- und Erlebnismuseum Ostfalen (FEMO) e. V.,"Naturerlebnislandschaft Dorm - Elmvorland im Naturpark Elm-
Lappwald",2008,,"67,416.00",
335,Freilicht- und Erlebnismuseum Ostfalen (FEMO) e. V.,"Naturerlebnislandschaft Kaiserpfalz Werla - Okerterassen - erster
Teilabschnitt",2009,,"360,300.00",
336,Friedhelm Hüser Ambulante Alten- und Krankenpflege,Definition des Markenkern des Unternehmens,2008,,"10,000.00",
337,Friedrich Amelingmeyer Metallbau GmbH,"Vorbereitung, Strukturierung und Begleitung bei der Umsetzung
einer Konzeption zur geregelten Unternehmensnachfolge",2008,,"8,600.00",
338,Friseur Bartholomé,"begleidende konzeptionelle Marketingberatung zur Steigerung der
Wettbewerbsfähigkeit und Verbesserung von Umsatz & Rendite",2008,2008,,"4,000.00"
339,Friseureckchen,Entwicklung grafischer Entwürfe und Vorlagen für das Logo,2009,,"1,050.00",
340,Friseureckchen,Entwicklung von Ideen und Maßnahmen im Marketingbereich,2009,,"2,100.00",
341,Fritz Keyl GmbH & Co KG,"Erschließung neuer Marktfelder im Bereich Senioren; Aufbau eines
neuen Absatzmarktes",2008,2008,,"5,600.00"
342,Frommeyer GmbH & Co. KG,Bestandsaufnahme der aktuellen Marketing- und Vertriebssituation,2008,,"10,000.00",
343,FSC-Systemtechnik GmbH,Verlagerung und Erweiterung einer Betriebsstätte,2007,,"85,000.00",
344,Fuxx Vertriebsgesellschaft,Aufbau einer Marketingkonzeption,2008,2009,,"4,000.00"
345,FVG Fahrzeugbau GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2009,,"5,600.00"
346,G & M Automation GmbH,"Entwicklung eines Marketingkonzeptes inkl. Begleitung
entsprechender Umsetzungsaktivitäten",2008,2008,,"10,000.00"
347,G. & W. Reinink GmbH,Erstellung eines Marketingkonzeptes,2008,2008,,"4,800.00"
350,Galerie Schönhof,"U. a. Positionierung, Internetmarketing, CRM",2008,2009,,"10,000.00"
351,Gartenbau Backhaus,"Erarbeitung eines CD-Manuals, Rogo Redesign, Internet
Redesign, Gestaltung & Umsetzung einer Imagebroschüre",2007,2008,,"10,000.00"
352,Gasthaus Frank,"Entwicklung u.a. von einem Logo, einem Flyer und dem
Internetauftritt",2008,2009,,"2,072.70"
353,Gasthaus Plockaugust,"Begleitung und konzeptionelle Beratung zur Planung und
Durchführung einer Unternehmensübergabe",2008,2009,,"4,000.00"
354,Gasthof zur Leda,Entwicklung einer langfristigen Marketingstrategie,2009,,"1,400.00",
355,GbR Cord und Ingo Schmedeke,"Entwicklung einer geeigneten Marketingstrategie zur Umsatzsteige
igerung und Erhöhung des überregionalen Bekanntheitsgrades",2008,,"4,000.00",
356,Gebauer Modernisierung,"Hilfestellung bei der Vorbereitung der Unternehmensnachfolge;
Unternehmensbewertung",2008,2008,,"10,000.00"
357,Gebr. Lechte,"Strukturierung und Ausrichtung des Unternehmens auf die
Nachfolg e",2009,,"4,800.00",
358,Geese Beratende Ingenieure,Entwicklung eines Energie-Effienz-Contracting-Konzeptes,2009,,"10,000.00",
359,Geku Automatisierungssysteme GmbH,Neubau einer Halle mit Bürotrakt,2007,2008,,"30,000.00"
360,GEKU Plastik GmbH,"Konzeptionelle, begleitende und moderierende Beratung zur
Untern ehmensübergabe",2009,,"10,000.00",
361,Gemeinde Bad Laer,Attraktivierung und Umgestaltung Kurpark Bad Laer,2008,,"704,480.00",
362,Gemeinde Dornum,"Umbau und Ausstellungsneugestalung Nationalparkhaus
Dornumersiel",2009,,"830,000.00",
363,Gemeinde Nordstemmen,Erweiterung Kläranlage Nordstemmen um eine 2. Abwasserstraße,2009,,"921,000.00"
364,Gemeinde Spelle,"Erschließung des Gewerbegebietes Hafen II mit verkehrlicher
Anbindung an die K 316",2008,,"13,791,497.61"
365,Gemeinde Südbrookmerland,"3-Meere-Weg, ein Rad-Wander-Wegesystem mit
Umweltbildungsein- richtungen in der Region Großes Meer",2008,,"320,000.00"
366,Gemeinde Uplengen,"Errichtung von Informationssystemen im Bereich der Uplengener
Moore",2008,,"40,000.00"
367,Gemeinde Uplengen,"Rundwanderweg im ""Stapeler Moor"" - 3. Bauabschnitt",2007,,"72,000.00"
368,Gemeinde Wardenburg,"Erweiterung der Kläranlage Tungeln Bau eines
Belebungsbeckens- 2. BA",2007,,"428,000.00"
369,"Gemeinde Zetel, Gemeinde Bockhorn",Naturerlebnis Südliches Friesland,2009,,"144,000.00"
370,Geoinformationsdienst GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00"
373,Georg Lüderitz Metallbau GmbH,Besseres Marketing in der Angebotsphase,2009,,"1,600.00"
374,Georg-August-Universität Göttingen,"Aufbau eines KMU-Netzwerkes der Göttinger Graduiertenschule
Gese llschaftswissenschaften",2008,,"536,676.61"
375,Georg-August-Universität Göttingen,"Entwicklung molekularer Marker zur Trächtigkeitsfrühdiagnose bei
m Rind",2008,,"232,704.04"
376,Georg-August-Universität Göttingen,"Entwicklung und Markteinführung eines Online-Marktforschungs-
Pan els für die Zielgruppe 'Landwirtschaft'",2009,,"406,115.04"
377,Georg-August-Universität Göttingen,Göttinger Gründungen aus Hochschulen (GGH),2008,,"185,460.83"
378,Georg-August-Universität Göttingen,Inter- und transkulturelle Trainings VR China,2008,,"258,438.00"
379,Georg-August-Universität Göttingen,"Machbarkeitsstudie berufsbezogener wissenschaftlicher Weiterbild
ungsbedarf Südniedersachsen",2008,,"71,050.00"
380,Georg-August-Universität Göttingen,Molekulare Repräsentation von Krankheitszuständen,2008,,"222,700.00"
381,Georg-August-Universität Göttingen,"?Molekulare Wissenschaften und Biotechnologie von
Nutzpflanzen?  BIONUTZ",2008,,"969,985.00",
382,Georg-August-Universität Göttingen,"Wirtschaftspolitische Weiterbildung für KMU, insbesondere aus de
m Handwerk",2008,,"198,430.00",
383,Gerda Spies,Errichtung einer Betriebsstätte,2007,,"600,000.00",
384,Gerhard Fisser GmbH,Entwicklung der langfristigen Strategie und des Marktauftrittes,2008,2009,,"3,000.00"
385,Gerken & Sohn,"Entwicklung einer langfristigen Strategie für den Markenauftritt des
Unternehmens",2009,,"5,000.00",
386,German ProfEC GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
387,German ProfEC GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
388,Gesundheitsstudio Göcke-Voigt,Entwicklung interner und externer Marketingkonzepte,2008,2009,,"4,400.00"
389,Gesundheitszentrum 120 zu 80,Entwicklung neuer Marketingkonzepte für das Unternehmen,2009,,"4,400.00",
390,Giscon Geoinformatik GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
391,GJL Metalltechnik GmbH i.G.,Errichtung einer Betriebsstätte,2007,,"698,500.00",
392,Glaub Automation & Engineering GmbH,Analyse der aktuellen Unternehmenssituation,2008,,"4,800.00",
393,Go Gondzo,"Regionale und überregionale Markterschließung; geeignete
Marke- tingbausteine konzipieren; Möglichkeit Filial-
/Franchisesystem",2008,2009,,"2,000.00"
394,Gödiker GmbH,Entwicklung uns Integration eines Vertriebs- und Controllingkonzeptes,2008,,"10,000.00",
398,Golf Versand Hannover GmbH,Optimierung der Marktingeffizienz,2009,,"10,000.00",
399,golo Vertriebs-GmbH,"Entwicklung und Umsetzung eines neuen Marketing- und
Vertriebskonzeptes",2008,,"10,000.00",
400,Gosink GmbH & Co. KG,Entwicklung eines strategischen Marketingkonzeptes,2009,,"4,800.00"
401,Gottfried Rüther GmbH & Co. KG,Erstellung und Umsetzung eines Marketingkonzeptes,2008,,"6,400.00"
402,Gottfried Wilhelm Leibniz Universität Hannover,"Alternsgerechte Gestaltung klein- und mittelständischer Unterneh
men",2008,,"211,250.60"
403,Gottfried Wilhelm Leibniz Universität Hannover,Business Coaching - Weiterbildung zum internen Coach in KMU,2008,,"220,732.06"
404,Gottfried Wilhelm Leibniz Universität Hannover,CogniLog,2008,,"2,388,407.50"
405,Gottfried Wilhelm Leibniz Universität Hannover,DAUMEN Energy,2008,,"297,065.00"
406,Gottfried Wilhelm Leibniz Universität Hannover,"Erhebungsmethodik für die Internationalisierungskompetenz von kl
einen und mittleren Unternehmen",2008,,"166,032.85"
407,Gottfried Wilhelm Leibniz Universität Hannover,Gründercampus+,2008,,"180,323.40"
408,Gottfried Wilhelm Leibniz Universität Hannover,Grundkurs IT-Recht (GRIT),2008,,"102,436.73"
409,Gottfried Wilhelm Leibniz Universität Hannover,InnovAging,2008,,"765,065.91"
410,Gottfried Wilhelm Leibniz Universität Hannover,"Innovationsverbund ""Weiße Biotechnologie""",2008,,"789,753.40"
411,Gottfried Wilhelm Leibniz Universität Hannover,"Innovative Betontechnologie für Bauplanende und
Bauausführende i m Spiegelbild neuer Regelwerke",2008,,"217,691.32"
412,Gottfried Wilhelm Leibniz Universität Hannover,Machbarkeitsstudie Internationale Ersatzteillogistik,2008,,"43,126.80"
413,Gottfried Wilhelm Leibniz Universität Hannover,"Regional orientierte Strategie zur Projektbeteiligung der LUH /
Pool-ProRegio",2008,,"177,123.60"
414,Gottfried Wilhelm Leibniz Universität Hannover,"Wissens- und Kommunikationsplattform Energieeffizienz für KMU
de s produzierenden Gewerbes",2008,,"262,154.32"
415,Götting KG,KONVOI,2008,,"127,000.00"
416,Grafik & Design Mengel,"Erwerb einer stillgelegten Gewerbeimmobilie sowie deren
Sanierung + Maschinenkauf",2008,,"18,000.00",
417,große Austing GmbH,"Neukundengewinnung und Generierung von Mehrgeschäft bei
Bestands kunden",2009,,"10,000.00",
418,Gruse Maschinenbau GmbH & Co. KG,"Erarbeitung einer Designkonzeption für die Entwicklung von Fahrz
eug-Hebebühnen und Hubwagen",2008,2009,,"8,000.00"
421,GTA Gesellschaft für Technische Akustik mbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
422,Guido Klatte GmbH & Co. KG,Erweiterung der Betriebsstätte,2007,,"120,000.00",
423,Günaydin Sanitär-Wärmetechnik GbR,"Entwicklung eines Cl Designs zur Schaffung einer eindeutigen Fir
menidentität",2009,,"5,000.00",
424,Günter Unterberg Dreherei und CNC-Fertigung e.K.,Erweiterung der Produktionsteile der Komplettarbeiten,2008,,"1,424,750.00",
425,Günther Gramberg GmbH,"Umfassende Beratung hinsichtlich der Marketingstrategie und der
praktischen Umsetzung im Unternehmen",2008,2008,,"10,000.00"
426,Günther Metall GmbH & Co. KG,Erweiterung der Betriebsstätte,2008,,"218,600.00",
427,Gutsschänke Holsterfeld,Erstellung eines Marketingkonzeptes,2008,,"3,000.00",
428,"GWG Ges. für Wirtschaftsförderung und Stadtentwicklung
Göttingen mbH",L.M.C. Logistik und Mobilitätscluster Göttingen/Südniedersachsen,2007,,"360,000.00",
429,GzF Landkreis Friesland mbH,"Erschließung des interkommunalen Industrie- und
Gewerbegebietes JadeWeserPark",2008,,"4,554,430.00",
430,GZVB Competence Center GmbH,GAUSS Basisprojekt - Industrieprogramm,2007,,"945,000.00",
431,GZVB Competence Center GmbH,MobileTrafficInfo,2008,,"302,810.00",
432,H. Poll GmbH Elektro Heizung Sanitär,"Stärkung der Marktposition und Erarbeitung von Zielen für eine
nachhaltige Unternehmenssicherung und -entwicklung",2008,2008,,"4,000.00"
525,H.T.C. Hinse Trading und Consulting GmbH,"Entwicklung einer Marketingstrategie für Urnen und Grabschmuck
aus Bone China",2008,,"10,000.00",
433,Haar Mechanische Fertigung GmbH,"Umstellung oder grundlegende Rationalisierung / Modernisierung
einer Betriebsstätte",2007,2009,,"200,000.00"
434,Hagesana Gelenkirchen GmbH,Entwicklung einer Design- und Konzeptstudie,2008,2009,,"5,400.00"
435,Halcyonics GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2009,,"10,000.00"
436,Handwerkskammer für Ostfriesland,"Modernisierung des BBZ in Aurich der Handwerkskammer für
Ostfriesland",2008,,"6,171,488.00",
437,Handwerkskammer Hildesheim-Südniedersachsen,"Mod. der Heizungsanlage im BBZ, Bauteil A, Borsigstraße und im
BBZ, Bauteil B, Kruppstraße der HWK Hildesheim-
Südniedersachsen",2008,,"889,950.00",
438,Handwerkskammer Osnabrück-Emsland,"Modernisierung der Elektro- und KFZ-Werkstätten im BTZ
Osnabrück",2008,,"456,859.80",
439,Hannover Communication GmbH,Entwicklung eines CI-Designs für das Unternehmen,2009,,"6,000.00",
440,Hannover Communication GmbH,Erarbeitung eines Marketingkonzeptes,2009,,"9,900.00",
