name_des_begunstigten,bezeichnung_des_vorhabens,"jahr_der_bewilligung
",jahr_der_abschliessenden_restzahlung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Landkreis Osterholz,"Planung und Errichtung eines Aussichtsturms im Bereich des
Naturschutzgroßprojekts ""Hammeniederung""",2007,,104000
Fachhochschule Ottersberg,"Entwicklung integrativer Behandlungskonzepte von Kunsttherapie
und psychosomatischer Medizin",2008,,104450
Samtgemeinde Gellersen,Lehrpfade in der Samtgemeinde Gellersen,2009,,104500
Grigo Naturstein GmbH,Betriebserweiterung durch Neukauf einer Halle und Maschinen,2007,,112400
Landkreis Osterholz,Masterplan Worpswede (Machbarkeitsstudie),2008,,112417.5
Stadt Bergen,Fuß- u. Radweganbindung des Bürgerparks an den Friedensplatz,2009,,116343.36
Stadt Uelzen,"Illumination Stadtgraben am Neuen Rathaus, am Alten
Amtsgericht und an der Stadtmauer",2009,,122004.75
Landkreis Soltau-Fallingbostel,Technologietransferberatungen im Landkreis Soltau-Fallingbostel,2008,,123000
Kartoffelschälbetrieb Hinrichs GmbH,Errichtung einer neuen Betriebsstätte,2007,,123875
Gabriela Nica Mühlenservice GmbH,"Erweiterung einer Betriebsstätte zum Anlagenbau für
Müllereitechnik",2008,,125000
Helno Maschinenbau GmbH,Erweiterung der Betriebsstätte,2007,,127500
NABU Rotenburg,"Großes und Weißes Moor: Konzept zur Aufwertung des Moores
und der Umgebung",2008,,128080
Samtgemeinde Gartow,"Errichtung eines Aussichts- und Beobachtungsturms auf dem
Höhbeck - Schwedenschanze -",2007,,129470.43
Landkreis Harburg,"Abwasserbauvorhaben Seevetal - Bullenhausen ""Elbdeich"", 4.
Teilabschnitt",2009,,135000
Wipak Walsode GmbH & Co. KG,"Entwicklung einer neuen Generation von mehrschichtigen
Kunststofffolien auf der Basis nachwachsender Rohstoffe",2009,,136200
Landschaftspflegeverband Wendland-Elbtal e.V.,"""Route der alten Obstsorten"" im Wendland",2008,,136800
Deerberg Versand GmbH,Erweiterung einer bestehenden Betriebsstätte,2007,,137500
Gemeinde Himmelpforten,Entwicklung und Gestaltung des Rathausparks,2008,,141557.05
Gemeinde Tostedt,Ausbau des westlichen Abschnittes der Dieckhofstraße,2008,,145899.12
Handwerkskammer Lüneburg-Stade,"Koordinierungsstelle und KoordinierungsstellePlus zur beruflichen
Förderung von Frauen",2007,,147959.17
Grube KG Forstgerätestelle,Hallenneubau und Maschinenkauf,2007,,150000
Rebel Creations AG,Matchworks,2007,,150000
Stadt Langen,Ausbau des Kinder- und Jugendzentrums Langen,2009,,154100
Stadt Celle,"Koordinierungsstelle Frauen und Wirtschaft von Stadt und
Landkreis Celle",2008,,155000
Volkshochschule Heidekreis gGmbH,Koordinierungsstelle Frau und Wirtschaft Heidekreis,2008,,155019.11
Hartmann Valves GmbH,Erweiterung einer Betriebsstätte,2008,,160500
K&H Verlags-GmbH,Betriebsverlagerung mit Erweiterung,2007,,162750
Haus des Gastes Amt Neuhaus,"Entwicklung und Anschaffung zweier Naturbeobachtungsflöße mit
Hybrid- und Solarantrieb",2009,,163500
Stadt Cuxhaven,Ausbau Lotsengang,2009,,166610.22
Samtgemeinde Harsefeld,Umbau und Erweiterung Schule zur Kindertagesstätte,2008,,167750
Stadt Cuxhaven,Erweiterung des Nationalpark-Zentrums Cuxhaven,2008,,167826.75
Deichverband Osterstader Marsch,"Kompensation Bodenentnahme Deichbau (Sohlgleite Drepte in
Wulsbüttel)",2008,,167937.27
Samtgemeinde Bothel,Samtgemeinde Bothel: natürlich - natürlich,2009,,169730
Gemeinde Wietze,Ausbau B 214 und angrenzende Bereiche,2009,,171492.96
Stadt Uelzen,Grüne Marktstraßen,2009,,173097.1
Stadt Langen,Neubau eines Mobiliums an der Seepark-Klinik,2009,,174968.41
SAG Süderelbe Projektgesellschaft AG & Co. KG,"Projektskizze zur zielgerichteten Entwicklung des Industrie-
standortes Stade, stade-project 2021",2008,,175450
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Lüneburg.Uelzen und
Koordierungsstelle Plus",2008,,180642.41
Abwasserverband Matheide,"Umbau des vorhandenen Mischwasserkanals zum Trennsystem
im OT Höfer der SG Eschede",2008,,185000
Handwerkskammer Braunschweig-Lüneburg-Stade,"Koordinierungsstelle zur beruflichen und betrieblichen Förderung
von Frauen",2008,,187677.05
feffa e.V.,"Koordinierungsstelle Frau & Wirtschaft Landkreis Harburg und
Koordinierungsstelle Plus",2008,,191257.06
Ev. Bildungszentrum Bad Bederkesa,"AQua U3 - Anschlussfähige Qualifizierung pädagogischer
Fachkräft e Unterstützung kindlicher Entwicklungsprozesse unter
3-Jähriger",2008,,194052
Jorado Maschinenbau GmbH,Erweiterung der Betriebsstätte,2007,,195000
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft Landkreis Cuxhaven,2008,,195755.28
Landkreis Osterholz,"Ausstattung des Naturschutzgroßprojekts ""Hammeniederung"" mit
Aussichts- und Beobachtungseinrichtungen",2008,,200000
Landkreis Verden,"Koordinierungsstelle Frau und Wirtschaft Landkreis Verden und
Koordinierungsstelle-Plus",2008,,200000
Gemeinde Tostedt,Ausbau der Menkenstraße,2009,,202470
Landkreis Celle,Barrierefreier Rundwanderweg im Naturpark Südheide,2007,,204526.02
Stadt Lüneburg,Machbarkeitstudie zur Museumslandschaft Lüneburg,2008,,204565
WST-Werkzeugschärfdienst und -technik GmbH & Co.KG,Errichtung einer Betriebsstätte,2008,,207300
Handwerkskammer Lüneburg-Stade,"Mod. der Ausstattung für div. Lehrgänge der Meistervorbereitung
in der Meisterakademie Plus in Stade",2009,,208001.22
"Evangelische Erwachsenenbildung Niedersachsen - Region
Nord",Fit for Leadership,2008,,208864.77
Kewitz Bauabfall und Recycling GmbH,Erweiterung einer bestehenden Betriebsstätte,2007,,213500
Landkreis Cuxhaven,Branchenmanagement Gesundheitswirtschaft im Cuxland,2008,,216000
Landkreis Harburg,"Abwasserbauvorhaben Seevetal - Stelle ""Achterdeich, östlicher
Abschnitt""",2009,,220000
Samtgemeinde Sietland,"Einrichtung einer Ausstellung im Moorinformationszentrum
(MoorIZ) im Ahlenmoor",2007,,220000
LBM Produktionsgesellschaft mbH,Erweiterung einer Betriebsstätte,2008,,225000
Thomas GmbH & Co. Technik + Innovation KG,"Entwicklung von Verfahren und Anlage zur kontinuierlichen Her-
stellung von 2- und 3-dimensional gekrümmten faserv. Profilen",2007,,227000
TDS invents Fahrzeugtechnik e.K.,Erweiterung einer Betriebsstätte,2007,,247500
Samtgemeinde Harsefeld,Freiflächengestaltung Klosterpark  und Klosterteiche,2008,,249791.97
Gemeinde Himmelpforten,"Umgestaltung i.B. Museum, Villa v. Issendorff, Kamphof, Poststr.
Aufwertung Einmündung Poststr./Bahnhofstr.",2009,,271062.99
"Förderverein Deutsches Luftschiff- und Marinefliegermuseum
Nordholz e.V. ""AERONAUTICUM""",Barrierefreier Tourismus: Modernisierung mit Fahrstuhl incl. Aus,2008,,284881.31
Dreyer-Bienenhonig GmbH,Erweiterung einer Betriebsstätte,2007,,295000
Landkreis Osterholz,Wissens- und Technologietransfer,2008,,298896
Laserfocus GmbH,Erweiterung einer Betriebsstätte,2007,,305800
Stadt Cuxhaven,Ausbau Parkplatz Marienstraße u kleiner Schillerplatz,2009,,311390.57
Samtgemeinde Selsingen,"Abwasserbeseitigung des OT Rhadereistedt - Umbau des
Mischwasserkanal u. Ableitung d. Abwassers z. ARA Rockstedt",2007,,312000
Stadt Cuxhaven,Umgestaltung Schillerstraße,2009,,313018.29
GWBF Lüchow-Dannenberg mbH,"Landkreis Lüchow-Dannenberg  - Förderung von kleinen und
mittleren gewerblichen Unternehmen",2007,,317860
Verein zur Förderung von Naturerlebnissen e.V,Vogelkieker-Ersatzbeschaffungen,2009,,320000
Alfred Toepfer Akademie für Naturschutz,"GPS-gestützes Besucherinformationszentrum für den Naturpark
Lüneburger Heide (""Heide-Guide"")",2008,,334781
Gemeinde Reppenstedt,Entwicklung der Gellersenhalle,2008,,335041.78
Krause Meat International Food Produktion GmbH,Übernahme einer stillgelegten Betriebsstätte,2007,,345100
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Verbesserung der ökologischen Situation des 'Talmühlenbaches'
am Höhbeck/Lüchow-Dannenberg",2009,,345454.04
Landkreis Soltau-Fallingbostel,Kunst-Parcours im Camp Reinsehlen,2008,,350000
Möbel Wolfrath GmbH,"Bauliche Veränderungen auf technische Ausrüstung zur
Herstellung einer eigenen Produktionsschiene",2007,,350000
Flecken Bardowick,"Umgestaltung ""Am Markt"",  Fördergebiet B, Bauabschnitt 2",2008,,350645.5
Netzwerk Nachhaltiges Bauen e. V.,Netzwerk Nachhaltiges Bauen,2008,,366600
NABU Niedersachsen e. V.,Kranicherlebnis und Kranichschutz im Landkreis Rotenburg,2009,,370060
Gehr GmbH & Co. KG,Erweiterung durch Hallenneubau und Maschinenkauf,2007,,378000
Gemeinde Neuenkirchen,Sanierungsmaßnahme Hof-Ensemble Springhornhof,2008,,378875
Profi Musik Verwaltungs GmbH,Erweiterung einer Betriebsstätte,2007,,381450
Samtgemeinde Zeven,"Abwasserbeseitigung in der gemeinde Gyhum, OT Bockel
Erweiterung des Schmutzwasserkanalnetzes",2008,,383000
Landkreis Uelzen,Naturerlebnisradweg Ilmenau,2008,,389672
Flecken Bad Bederkesa,"Änderung Ausbau ""Amtsstr./Berghorn""",2008,,398529.56
Rheinmetall Waffe Munition GmbH,Schutztechnologie,2008,,400000
Samtgemeinde Sottrum,Erweiterung Kläranlage Sottrum,2009,,403000
Lohmann Animal Health GmbH & Co.KG,"Komplementärer Einsatz der Phagen- und Impfstofftechnologie zur
Reduzierung von Campylobacter und Salmonella im Geflügel",2007,,410700
Gemeinde Tostedt,Ausbau des südlichen Himmelsweges,2009,,414632.25
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Land kreis Uelzen",2009,,415906.61
ESCoor Electronic Service Coordination GmbH,Errichtung einer Betriebsstätte,2007,,422750
Flecken Freiburg,Entwicklung des zentralen Abschnitts der Hauptstrasse,2009,,425967.33
Landkreis Harburg,"Abwasserbauvorhaben Tostedt - Wistedt ""Quellner Straße""",2009,,430000
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) im Landkreis Verden",2009,,430000
Landkreis Lüchow-Dannenberg,"Besucherlenkungskonzept Nationale Naturlandschaften Elbtalaue-
Wendland",2008,,440000
Stadt Lüneburg,Gebäudesubstanz Wasserturm,2009,,472690
Abwasserverband Matheide,"Umbau Mischwasserkanal zu Trennsystem in SG Eschede, OT
Höfer",2009,,477000
Abwasserverband Matheide,"Überleitung des Abwassers von Wietze zur KA Winsen (Aller)- BA:
Umbau der Kläranlage Wietze zur Pumpstation",2007,,496445.35
Mittelweserverband,"Verbesserung der Deichsicherheit am linken Weserufer zwischen
Br emen und Altenbrücken, Intschede - Ritzenbergen, 4. BA",2008,,500000
Westener Deichverband,"Verstärkung des Hochwasserdeiches Westen-Nocke-Barnstedt, Deichverstärkung von Station 5+450 bis 6+700",2008,,500000
Stadt Achim,"Umbau ""Kreuzung Gieschen"" als Kreisverkehrsplatz",2008,,538441.57
Gemeinde Scheeßel,"Zentrale Abwasserbeseitigung Gemeinde Scheeßel, OT Abbendorf",2009,,562900
Stadt Visselhövede,Ausbau der stadttechnischen Infrastruktur für den Güterbahnhof,2008,,565871.96
Samtgemeinde Dahlenburg,"Bau einer Abwasserdruckrohrleitung von Nahrendorf nach
Dahlenburg",2009,,594000
DSV St. Jürgensfeld Deichgräfe Ernst Hermann Lindemann,Sanierung des Schlossbrückensiels,2008,,600000
"Niedersächsische Landesbehörde für Straßenbau und
Verkehr Geschäftsbereich Stade",Ausbau der OD Apensen,2008,,602000
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung klein- und mittle rer
Unternehmen (KMU-Förderrichtlinie)",2009,,604702.16
Hotel Bergström GmbH,Erweiterung einer bestehenden Betriebsstätte,2008,,644700
"Akademie für erneuerbare Energien Lüchow-Dannenberg
GmbH i.Gr.","Akademie für erneuerbare Energien, Lüchow-Dannenberg",2008,,653600
Bildungszentrum Heimvolkshochschule Hust,"Vernetzung von Wissenschaft und Erwachsenenbildung zur
Erstellun g innovativer Lernmaterialien und -konzepte (Case
Studies)",2008,,667417.47
Landkreis Harburg,"Abwasserbauvorhaben Seevetal, Horst ""Hermann-Löns-Weg""",2009,,675000
"Gesellschaft für Wirtschafts- und Beschäftigungsförderung
Lüchow- Dannenberg GmbH",Clustermanagement Industrienetzwerk,2008,,682400
Gebr. Bindseil GmbH & Co. KG,Erweiterung der Betriebsstätte,2007,,692400
Segler-Vereinigung Cuxhaven e. V.,Maßnahmen im Bereich des Yachthafens,2008,,694200
Abwasserzweckverband Altes Land und Geestrand,"Bau zentrale Abwasseranlage in Bassenfleth und Wöhrden, 2. BA",2009,,706000
Krabbenschälzentrum GmbH,Errichtung einer Betriebsstätte,2007,,724000
Flecken Bardowick,"Umgestaltung des Platzes ""Am Markt"", 1. Bauabschnitt",2008,,739569.18
Bartels Druck GmbH,Erweiterung einer Betriebsstätte,2008,,748700
Narcoscience GmbH & Co. KG,"Entwicklung eines Systems zur Narkosetiefebestimmung in
Mikrotechnologie",2008,,760300
Samtgemeinde Harsefeld,"Bauliche Erweiterung Betriebsgebäude u. Prozessleittechnik in
Harsefeld",2009,,767024
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieblich
en Wettbewerbsfähigkeit und Beschäftigung KMU im Landkreis
Stade",2009,,792856
Stadt Dannenberg (Elbe),Modellprojekt Ostbahnhof Danneberg (Elbe),2009,,808923.33
Abwasserverband Matheide,"Überleitung des Abwassers von Wietze zur Kläranlage Winsen
(Aller)",2009,,835056
"Verein Landwirtschaftsmuseum Lüneburger Heide am
Landtagsplatz zu Hösseringen",Ausbau des Museumsdorfes Hösseringen,2009,,840000
Kulturstiftung Schloss Agathenburg,Umgestaltung Schloss Agathenburg,2009,,855500
Samtgemeinde Hemmoor,"Ausbau der Schmutzwasserkanalisation i.d. Samtgemeinde
Hemmoor Ortsteil Klint 2008",2008,,865000
"Nds. Landesbehörde für Straßenbau und Verkehr -
Geschäftsbereich Verden -","L 171, Umbau der Ortsdurchfahrt Neuenkirchen",2008,,880859.9
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU) im Landkreis Lüneburg",2009,,881080
Masterrind GmbH,"Beeinflussung des Nachkommengeschlechts bei Rindern durch
Selektion von Spermien",2007,,900000
Verein Naturschutzpark e.V.,Umbau und Erweiterung des Naturinformationszentrums Undeloh,2008,,908359
Landkreis Harburg,"Abwasserbauvorhaben Tostedt - Handeloh ""Wörmer Straße""",2009,,910000
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",2007,,916667
Lohmann Animal Health GmbH & Co.KG,Neue Ansätze in der Tiergesundheit - Funktionelle Futtermittel,2007,,962250
Museum am Kiekeberg,"Erlebniswelt Landwirtschaft, 2. Bauabschnitt: Ausstellung",2009,,985000
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",2009,,987000
Samtgemeinde Harsefeld,Entwicklung Bausubstanz Eissporthalle Harsefeld,2009,,1009569
Oldenburgisch Ostfriesischer Wasserverband,"Aufhebung der Kläranlagen Hagen-Wulsbüttel und Hagen-
Kassebruch",2008,,1013450
Hotel Deutsche Eiche K. H. Meyer KG,Erweiterung einer Betriebsstätte,2007,,1049475
Landkreis Rotenburg,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Rotenburg (Wümme)",2009,,1050046.92
NABU Niedersachsen e. V.,Wildtiererlebnis,2007,,1059123.5
Saertex Stade GmbH & Co. KG,"Verbundvorhaben ""Offshore Riser Clamps""",2009,,1060200
SAG Süderelbe Projektgesellschaft AG & Co. KG,Clustermanagement Ernährungswirtschaft,2008,,1062505
Landkreis Soltau-Fallingbostel,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Landkreis Soltau-Fallingbostel",2007,,1066666.66
Landkreis Harburg,"Richtlinie des Landkreises Harburg in Zusammenarbeit mit seinen
Städten und Gemeinden",2009,,1094120
Scharnow Stiftung Tier hilft Mensch,Aufwertung des Landparks Lauenbrück,2008,,1144700
Ernst Nowka GmbH & CO.KG,Erweiterung einer bestehenden Betriebsstätte,2007,,1148000
Landkreis Stade,"Richtlinie zur Gründungsförderung und Steigerung der betrieb-
lichen Wettbewerbsfähigkeit und Beschäftigung KMU im LK Stade",2007,,1178568
"Niedersächsische Landesbehörde für Straßenbau und
Verkehr - Geschäftsbereich Lüneburg -",Ausbau der Ortsdurchfahrt Avendorf,2008,,1196000
Deichverband Osterstader Marsch,Verlängerung des Sielbauwerkes in Sandstedt,2008,,1200000
Landkreis Lüneburg,"Förderung von Investitionen in kleinen und mittleren Unternehmen
(KMU) im Landkreis Lüneburg",2007,,1200000
Landkreis Verden,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Verden",2007,,1200000
Wasser- u. Abwasserverband Wesermünde-Nord,Bau einer Schmutzwasserkanalisation in Hymendorf,2009,,1219750
Landkreis Osterholz,"Förderung von Investitionen in kleine und mittlere Unternehmen
(KMU) im Landkreis Osterholz",2009,,1262414.54
Horst Witte Gerätebau Barskamp KG,Erweiterung der Betriebsstätte,2007,,1272000
Stadt Dannenberg (Elbe),"Sanierung, Umbau u. Neugestaltung  Jugendzentrum",2008,,1295000
Matthias Schulz Gerätebau GmbH & Co. KG,Errichtung einer Betriebsstätte,2007,,1315300
Stadt Buchholz i. d. N.,"Schmutzwasserkanalbau Dibbersen, 1.Baubschnitt",2009,,1323000
Theater Lüneburg GmbH,Ausbau/Erweiterung des Theaters Lüneburg um ein Kinder- und Jugendtheater,2008,,1395750
Stadt Bad Bevensen,"Gestaltung öffentlicher Raum: Lüneburger Str. - Kirchplatz -
Brückenstr. - Kirchenstr.",2009,,1396919
Werum Software & Systems AG,"Entwicklung eines Standardsoftwarepakets
""Produktionsmanagement"" für die Biotech- und Pharma-Industrie",2007,,1406000
Samtgemeinde Tarmstedt,"Stilllegung der Teichkläranlagen Hanstedt u. Breddorf Anschluss
an die Kläranlage Tarmstedt",2007,,1425000
SAG Süderelbe Projektgesellschaft AG & Co. KG,Regional- und Netzwerkmanagement Logistik,2008,,1443700
Museumsverein Stade e.V.,Umbau Museum Schwedenspeicher,2009,,1467000
Landkreis Rotenburg,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Rotenburg (Wümme)",2007,,1480000
Stadt Otterndorf,Gästezentrum und Funhall,2007,,1498107
Stadt Celle,"Rücbau und Entsorgung des Betriebsgebäudes der ehem. Furtex
GmbH",2007,,1499990
GWBF Lüchow-Dannenberg mbH,"Kommunale Richtlinie zur Förderung von kleinen und mittleren
gew erblichen Unternehmen",2009,,1502786.91
Landkreis Harburg,Richtlinie des Landkreises Harburg in Zusammenarbeit mit seinenStädten und Gemeinden,2007,,1542848
Soltau Logistic Center GmbH & Co. KG,Kauf einer Betriebsstätte,2008,,1549400
Bohlenser Mühle,Erweiterung einer Betriebsstätte,2007,,1586200
Stadt Bleckede,"Hochwasserschutz für die Ortslage Walmsburg, Stadt Bleckede",2009,,1602049
NETZ Zentrum für innovative Technologie Osterholz GmbH,Niedersächsisches Breitbandkompetenzzentrum Osterholz,2008,,1684188.22
Hotel- und Objekt-Management GmbH,Errichtung einer Betriebsstätte,2008,,1799928
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung klein- und mittlerer
Unternehmen (KMU-Förderrichtlinie)",2007,,1916000.66
Deichverband Osterstader Marsch,Erneuerung Aschwardener Siel,2008,,2100000
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",2007,,2154399.71
Landkreis Uelzen,"Förderprogramm für kleine und mittlere Unternehmen (KMU) im
Landkreis Uelzen",2007,,2170833
New-York Hamburger Gummi-Waaren Compagnie AG,Erweiterung einer Betriebsstätte,2007,,2185400
Handwerkskammer Lüneburg-Stade,"Modernisierung der Ausstattung div. Werkstätten der ÜLU im
Technologiezentrum Lüneburg",2009,,2195544
Samtgemeinde Wathlingen,Erweiterung der Zentralkläranlage Wathlingen,2009,,2234000
Nya Nordiska Textiles GmbH,Eiweiterung einer Betriebsstätte,2007,,2342500
Deichverband Land Wursten,"Deckwerksbau Imsum - Schottwarden, Bauabschnitt 2008 und
2009",2008,,2500000
Landesverband Metall Niedersachsen/Bremen,Modernisierung der Landesfachschule Metall in Lüneburg,2008,,2624239
GWBF Lüchow-Dannenberg mbH,"Landkreis Lüchow-Dannenberg  - Förderung von kleinen und
mittleren gewerblichen Unternehmen",2008,,2721250
Deichverband Osterstader Marsch,Planung und Verlängerung des Indieksieles,2008,,2957961.01
Abwasserzweckverband Oyten / Ottersberg,Sanierung und Erweiterung der GKA Oyten/Ottersberg BA 2,2008,,2963100
Stadt Celle,"Hochwasserschutz in der Region Celle - 2. Planfeststellungs-
abschnitt von der Fuhsemündung bis zur Allerinsel -",2009,,3755334
Landkreis Harburg,Erlebniswelt Landwirtschaft - Museum Kiekeberg,2008,,4404360.66
"Wirtschafts- und Strukturentwicklungs- gesellschaft Landkreis
Verden mbH",Gleisanschluss Industrie- und Gewerbegebiet Dörverden,2008,,4559696.5
EVG Achim GmbH,Erschließung des Gewerbegebietes Achim-Ost,2008,,4741905
Baker Hughes Inteq GmbH,Elektronik-Komponenten für extrem hohe Temperaturen,2009,,5049500
Deichverband Osterstader Marsch,"Nacherhöhung des Weser-Hauptdeiches im Bereich Lunesiel bis
Rechtenfleth, Bauabschnitt 2008 und 2009",2008,,5482569.91
Stadt Bleckede,Sandvorspülung am Elbedeich Ortsteil Alt Wendischthun,2007,,6000000
AMBAU GmbH Stahl- und Anlagenbau,"Bau einer Anlage zur seriellen Herstellung von Stahlrohrtürmen für
Offshore - Windkraftanlagen",2008,,6637500
Kurgesellschaft Bevensen GmbH,Modernisierung von Einrichtungen der Jod-Sole-Therme,2009,,8318673.58
"Nds. Landesbehörde für Straßenbau und Verkehr -
Geschäftsbereich Verden -",Verlegung der B3 Celle/Ehlershausen,2008,,27264090
