cod,org_int,titolo,asse,anno,stato,ente_gestore,costo,finanziamento,fund_type,currency,uri
201,PI,EFFICACIA ORGANIZZATIVA PER COMPETERE NEL NUOVO MERCATO DEL GAS,I Adattabilit‡,2008,Finanziato,Ti Forma s.c.r.l.,"14.398,00","14.398,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
117,FI,ELD: ADDETTO ALL'INSTALLAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI,II Occupabilit‡,2007,Finanziato,Scuola e Formazione-Lavoro Don Giulio Facibeni (ex scuola di formazione professionale dell'Opera Madonnina del Grappa),"199.096,36","199.096,36",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
131,FI,ELISEO-2: CORSO PER ADDETTO ALL'INSTALLAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI,II Occupabilit‡,2007,Finanziato,ENAIP TOSCANA E FORMAZIONE LAVORO SOCIETA' CONSORTILE A R.L.,"35.681,25","35.681,25",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
127,FI,EM: ADDETTO ALL'INSTALLAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"135.491,30","108.393,04",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
60,GR,"ENEA-ENERGIE ALTERNATIVE, SOLARE, TERMICO E FOTOVOLTAICO PER INSTALLATORI E PROGETTISTI DELLA PROVINCIA DI GR",I Adattabilit‡,2008,Finanziato,cna servizi,"15.800,00","15.800,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
61,GR,ENER_CERT:LA CERTIFICAZIONE ENERGETICA DEGLI EDIFICI; STRUMENTO DI RISPARMIO ENERGETICO,I Adattabilit‡,2008,Finanziato,I.F.O.A. ISTITUTO FORMAZIONE OPERATORI AZIENDALI,"63.850,00","63.850,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1417,AR,ENGLISH FOR BUSINESS OPPORTUNITIES,I Adattabilit‡,2008,Finanziato,PLASIS S.r.l.,"13.920,64","13.920,64",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1421,AR,ENGLISH FOR EXPORT OFFICE STAFF,I Adattabilit‡,2008,Finanziato,ALPHA BRITISH CENTRE DI A. ARISTA & C. SNC,"11.697,00","11.697,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
381,GR,ESPERIENZA NELLA CANTIERISTICA DA DIPORTO E NAVALE,II Occupabilit‡,2008,Finanziato,cna servizi,"40.000,00","40.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
95,GR,ESPERTO IN ATTIVITA' DI MEDIAZIONE CON L'ASINO (ONOTERAPIA),IV Capitale Umano,2008,Finanziato,COOP COLLINE METALLIFERE,"29.986,00","29.986,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
501,CE,FACILITATORI DELLA RELAZIONE DI AIUTO,III Inclusione Sociale,2008,Finanziato,PERFORMAT S.R.L.,"29.021,20","29.021,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
46,GR,FARE SISTEMA NEL MONDO RURALE,I Adattabilit‡,2008,Finanziato,CIPA-AT GROSSETO,"77.700,00","51.450,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
196,PI,FARE TV TELEVISIONE E NUOVE TECNOLOGIE,IV Capitale Umano,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"0,00","0,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
316,GR,FAVORIRE L'AVVIO DI IMPRESA LOCALE PER OPERATORI SARTORIALI,II Occupabilit‡,2008,Finanziato,CESCOT GROSSETO,"42.000,00","42.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
138,CE,FIVE - FORMAZIONE INTEGRATA PER VALORIZZARE L'ESPERIENZA,II Occupabilit‡,2007,Finanziato,ORIZZONTI - SOCIETA` COOPERATIVA SOCIALE (ONLUS),"130.000,00","126.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
300,FI,FLORENCE MULTIMEDIA PER PUBBLICIZZAZIONE E INFORMAZIONE ASSE I ADATTABILITA',I Adattabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"4.400,00","4.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1009,FI,FLORENCE MULTIMEDIA. ALLESTIMENTO E ORGANIZZAZIONE DELLO SPAZIO ESPOSITIVO ALLA MANIFESTAZIONE,II Occupabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"35.000,00","35.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
301,FI,FLORENCE MULTIMEDIA. PUBBLICIZZAZIONE E INFORMAZIONE ASSE II OCCUPABILITA',II Occupabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"4.400,00","4.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
302,FI,FLORENCE MULTIMEDIA. PUBBLICIZZAZIONE E INFORMAZIONE ASSE IV CAPITALE UMANO,IV Capitale Umano,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"4.400,00","4.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1008,FI,FLORENCE MULTIMEDIA.ALLESTIMENTO E ORGANIZZAZIONE DELLO SPAZIO ESPOSITIVO ALLA MANIFESTAZIONE,I Adattabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"35.000,00","35.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1010,FI,FLORENCE MULTIMEDIA.ALLESTIMENTO E ORGANIZZAZIONE DELLO SPAZIO ESPOSITIVO ALLA MANIFESTAZIONE ASSE IV CAPITALE UMANO,IV Capitale Umano,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"35.000,00","35.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
159,PI,FOR-MARE,I Adattabilit‡,2008,Finanziato,AFORISMA,"61.125,00","48.900,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
183,PI,FORM.A.E -FORMAZIONE AZIENDE EDILI,I Adattabilit‡,2008,Finanziato,ENTE PISANO SCUOLA EDILE,"77.936,88","56.876,88",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2020,IS,FORMAT@ZIONE,IV Capitale Umano,2008,Finanziato,Armunia Festival Costa degli Etruschi,"350.000,00","350.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
144,PI,FORMAZIONE ADDETTO ARTIERE 1,II Occupabilit‡,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","300.000,00","300.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
81,GR,FORMAZIONE OBBLIGATORIA PER OPERARE NELL'AMBITO DELL'ASSISTENZA,I Adattabilit‡,2008,Finanziato,ATLANTE SOCIETA' COOPERATIVA,"35.000,00","33.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
440,CE,FORMAZIONE OBBLIGATORIA PER OPERATORE AGRITURISTICO,I Adattabilit‡,2008,Finanziato,Istituto Regionale Interventi Promozionali in Agricoltura,"19.400,00","19.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
782,AR,FORMAZIONE SUI SISTEMI DI GESTIONE PER LA SICUREZZA SUI LUOGHI - EDIZIONE 2.,I Adattabilit‡,2008,Finanziato,ASSOSERVIZI,"7.500,00","7.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
780,AR,FORMAZIONE SUI SISTEMI DI GESTIONE PER LA SICUREZZA SUI LUOGHI DI LAVORO - EDIZIONE 1.,I Adattabilit‡,2008,Finanziato,ASSOSERVIZI,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
789,AR,"GEMME DI COLORE E PERLE: IDENTIFICAZIONE, ANALISI E VALUTAZIONE",I Adattabilit‡,2008,Finanziato,METAPHORA S.C.,"14.926,00","14.926,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
469,CE,GEST.I.AM.O.: GESTIONE INFORMATIZZATA AMMINISTRATIVA E ORGANIZZATIVA,II Occupabilit‡,2008,Finanziato,Fo.Ri.Um. Societ‡ Cooperativa,"35.032,76","35.032,76",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
203,PI,GESTIRE IL CAMBIAMENTO,I Adattabilit‡,2008,Finanziato,PEGASO LAVORO SOCIETA' COOPERATIVA,"16.301,10","12.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
354,GR,GUIDA AMBIENTALE SUBACQUEA,II Occupabilit‡,2008,Finanziato,CESCOT GROSSETO,"72.000,00","72.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
166,PI,"HOTEL - HOTEL, OSPITALIT¿, TURISMO E LUXURY",II Occupabilit‡,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"99.701,28","99.701,28",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
787,AR,I MOLTEPLICI ASPETTI DELLA COMUNICAZIONE EFFICACE,I Adattabilit‡,2008,Finanziato,APISERVIZI PSCARL,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
779,AR,I NUOVI SISTEMI PER LA GESTIONE DELLA SICUREZZA: SICURI NEL PERSEGUIRE GLI OBIETTIVI D'IMPRESA,I Adattabilit‡,2008,Finanziato,LABOR CHIMICA SRL,"13.974,00","13.974,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
248,PI,IL GIARDINO DEI SEMPLICI,III Inclusione Sociale,2008,Finanziato,Associazione CinemaTeatroLux,"57.789,50","57.789,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
788,AR,IL SUPPORTO GESTIONALE PER L'AZIENDA,I Adattabilit‡,2008,Finanziato,APISERVIZI PSCARL,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
161,PI,IMPIANTISTA IDRAULICO,II Occupabilit‡,2008,Finanziato,ITI Leonardo da Vinci di Pisa (PI),"57.000,00","57.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
162,PI,IMPIANTISTICA ELETTRICA,II Occupabilit‡,2008,Finanziato,ITI Leonardo da Vinci di Pisa (PI),"54.000,00","54.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
773,AR,IMPLEMENTARE LA SICUREZZA NEI TRASPORTI COME CHIAVE DI SUCCESSO E QUALITA',I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
42,LU,IMPRESA SICURA,I Adattabilit‡,2008,Finanziato,VERSILIA FORMAT,"28.500,00","22.450,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
202,PI,IMPRESANDO: PERCORSI DI ACQUISIZIONE DELLA CONSAPEVOLEZZA DEL PROPRIO RUOLO DIRIGENZIALE TRA MANAGEMENT E TEATRO D'IMPRESA,I Adattabilit‡,2008,Finanziato,PEGASO LAVORO SOCIETA' COOPERATIVA,"18.204,00","13.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
637,LA,IMT ALTI STUDI LUCCA - PHD IMT 2008,IV Capitale Umano,2008,Finanziato,"IMT (ISTITUZIONI, MERCATI, TECNOLOGIE) ALTI STUDI DI LUCCA","100.000,00","100.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
722,LI,IN & AUT: INSERIMENTO E AUTONOMIA,III Inclusione Sociale,2008,Finanziato,Liceo Linguistico Esedra srl,"35.177,60","35.177,60",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
433,LU,IN-FORMATI-CORSI PERCORSI PER IL FUTURO,III Inclusione Sociale,2008,Finanziato,ASSOCIAZIONE CULTURALE PER-CORSO,"23.339,60","23.339,60",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
64,GR,IN-NOVA: INNOVAZIONI ORGANIZZATIVE,I Adattabilit‡,2008,Finanziato,CENTRO STUDI TURISTICI,"84.064,51","67.251,61",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
53,GR,IN.DI-INSEGNARE AI DIGITAL NATIVES,I Adattabilit‡,2008,Finanziato,L`ALTRA CITTA`,"12.687,33","12.687,33",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1659,GR,INCARICO MARIA GRAZIA TEMPERANI PER ASSISTENZA AL POR,VI Assistenza Tecnica,2008,Finanziato,PROVINCIA DI GROSSETO - UFFICIO FORMAZIONE PROFESSIONALE,"28.000,00","28.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1359,AR,"INFOR: INTERVENTI DI INFORMAZIONE PER L'ORIENTAMENTO- TIPOLOGIA B (CLASSI III,IV,V)",II Occupabilit‡,2008,Finanziato,EUROFORM,"8.640,00","8.640,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1507,AR,INFORMAZIONE E COMUNICAZIONE,I Adattabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"17.000,00","17.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1516,AR,INFORMAZIONE E COMUNICAZIONE,IV Capitale Umano,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"27.568,00","27.568,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1511,AR,INFORMAZIONE E COMUNICAZIONE,II Occupabilit‡,2008,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"70.772,00","70.772,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1348,AR,"INFORMAZIONE ORIENTAMENTO I.O. 2 - TIPOLOGIA B (CLASSI III,IV,V)",II Occupabilit‡,2008,Finanziato,METAPHORA S.C.,"7.560,00","7.560,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1411,AR,INGLESE APPLICATO AI SERVIZI DI CONSULENZA AMMINISTRATIVA-GESTIONALE,I Adattabilit‡,2008,Finanziato,Lasi Srl,"5.269,64","5.269,64",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
56,GR,INNOV.A-INNOVAZIONE PER L'AMBIENTE:PERCORSO INTEGRATO DI SVILUPPO TECNOLOGICO E ORGANIZZATIVO,I Adattabilit‡,2008,Finanziato,I.F.O.A. ISTITUTO FORMAZIONE OPERATORI AZIENDALI,"62.400,00","62.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
778,AR,INNOVARE IN SICUREZZA PER IL TRASPORTO FERROVIARIO,I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"13.500,00","13.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
775,AR,INNOVAZIONE TECNOLOGICA E ORGANIZZATIVA NEL SETTORE DELL'AUTORIPARAZIONE,I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
918,AR,INNOVAZIONE: CHIAVE VINCENTE PER L'AZIENDA,I Adattabilit‡,2008,Finanziato,EFFEGI DI GALLORINI FRANCESCO & C. SNC,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
307,GR,INTERMEDIA,II Occupabilit‡,2008,Finanziato,Heimat servizi ambientali societ‡ cooperativa,"35.154,00","35.154,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
304,PI,"INTERVENTO DI FORMAZIONE OBBLIGATORIA PER IL RILASCIO, ACQUISTO E IMPIEGO DEI PRODOTTI FITOSANITARI TOSSICI, MOLTO TOSSICI E NOCIVI",I Adattabilit‡,2008,Finanziato,AGRICOLTURA » VITA ETRURIA SRL,"21.450,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
375,GR,INTRAPRENDERE IN COMUNITA' MONTANA,II Occupabilit‡,2008,Finanziato,EUROBIC TOSCANA SUD SPA,"55.200,00","55.200,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
636,LA,ISTITUTO ITALIANO DI SCIENZE UMANE - PROFINT,IV Capitale Umano,2008,Finanziato,ISTITUTO ITALIANO DI SCIENZE UMANE,"200.000,00","200.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
516,CE,IT ADMINISTRATOR TECNICO QUALIFICATO IN SICUREZZA ICT,IV Capitale Umano,2008,Finanziato,Formatica Srl,"48.410,05","48.410,05",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1344,AR,KIT-ORIENTA JR. TIPOLOGIA A (CLASSI I E II),II Occupabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"8.640,00","8.640,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1349,AR,"KIT.ORIENTA - TIPOLOGIA B (CLASSI III, IV,V)",II Occupabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"6.480,00","6.480,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
786,AR,L'AZIENDA SI RINNOVA: UN MODERNO SISTEMA GESTIONALE,I Adattabilit‡,2008,Finanziato,APISERVIZI PSCARL,"14.900,00","14.900,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1405,AR,L'INGLESE COME STRATEGIA COMPETITIVA,I Adattabilit‡,2008,Finanziato,CE.S.CO.T. AREZZO,"12.500,00","12.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
648,LU,L.I.S.2 LABORATORIO PER L'IMPRESA SOCIALE,I Adattabilit‡,2008,Finanziato,Consorzio So. & Co.,"84.169,55","64.565,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
255,PI,LA CASA DI GALILEO,IV Capitale Umano,2008,Finanziato,Associazione CinemaTeatroLux,"38.070,00","38.070,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
770,AR,LA CERTIFICAZIONE CE DEGLI INFISSI,I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
724,LI,LA CITTA' DELLE ALTRE,III Inclusione Sociale,2008,Finanziato,Confindustria Toscana Servizi Scarl,"84.500,00","84.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
655,PI,LA FIERA DELL'EST: LA MULTIFUNZIONALIT¿ DELL'AGRICOLTURA PER L'INSERIMENTO LAVORATIVO DEI SOGGETTI SVANTAGGIATI,III Inclusione Sociale,2008,Finanziato,ENAIP TOSCANA E FORMAZIONE LAVORO SOCIETA' CONSORTILE A R.L.,"36.000,00","36.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
640,LU,LA SICUREZZA E NON SOLO NELLE IMPRESE DI TRASPORTO DELLA VERSILIA,I Adattabilit‡,2008,Finanziato,C.S.A Centro Servizi per l'Artigianato,"36.653,40","36.653,40",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1430,AR,LA SICUREZZA NEL MONTAGGIO USO E SMONTAGGIO DEI PONTEGGI (PIMUS QUINTO),I Adattabilit‡,2008,Finanziato,CENTRO PER LA FORMAZIONE E SICUREZZA IN EDILIZIA AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1427,AR,"LA SICUREZZA NEL MONTAGGIO, USO E SMONTAGGIO DEI PONTEGGI (PIMUS PRIMO)",I Adattabilit‡,2008,Finanziato,CENTRO PER LA FORMAZIONE E SICUREZZA IN EDILIZIA AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1426,AR,"LA SICUREZZA NEL MONTAGGIO, USO E SMONTAGGIO DEI PONTEGGI (PIMUS QUARTO)",I Adattabilit‡,2008,Finanziato,CENTRO PER LA FORMAZIONE E SICUREZZA IN EDILIZIA AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1429,AR,"LA SICUREZZA NEL MONTAGGIO, USO E SMONTAGGIO DEI PONTEGGI (PIMUS TERZO)",I Adattabilit‡,2008,Finanziato,CENTRO PER LA FORMAZIONE E SICUREZZA IN EDILIZIA AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1428,AR,"LA SICUREZZA NEL MONTAGGIO, USO E SMONTAGGIO PONTEGGI (PIMUS SECONDO)",I Adattabilit‡,2008,Finanziato,CENTRO PER LA FORMAZIONE E SICUREZZA IN EDILIZIA AREZZO,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
940,AR,"LABOR - FORMAZIONE SUI SISTEMI DI GESTIONE QUALITA', AMBIENTE E RESPONSABILITA' SOCIALE, SICUREZZA DEI LUOGHI DI LAVORO",I Adattabilit‡,2008,Finanziato,MEDEA,"14.964,94","14.964,94",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
406,LU,LANTERNA VERDE,II Occupabilit‡,2008,Finanziato,VERSILIA FORMAT,"101.844,16","101.844,16",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
19,LU,LAVORO SICURO,I Adattabilit‡,2008,Finanziato,ECOL STUDIO,"23.650,11","992,65",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
360,GR,LE PROFESSIONI DEL MARE: IL MAESTRO D'ASCIA,II Occupabilit‡,2008,Finanziato,Ts Grosseto S.a.s. di g. Biagioli & C.,"131.014,79","131.014,79",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
261,PI,LE STORIE E I PRODOTTI DEL PARCO,IV Capitale Umano,2008,Finanziato,Associazione CinemaTeatroLux,"35.221,00","35.221,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
156,PI,LEAN THINKING,I Adattabilit‡,2008,Finanziato,ASSOCIAZIONE ULISSE,"61.723,07","40.120,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
157,PI,LEAN THINKING NELLA NAUTICA,I Adattabilit‡,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"29.841,43","23.841,43",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
447,CE,LEARNING LABS - FORMAZIONE PER IL MANAGEMENT E SVILUPPO DI IMPRESA,I Adattabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"53.707,00","53.707,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
905,FI,"LINEA COMUNE . AFFIDAMENTO DEL SERVIZIO DI GESTIONE, MANUTENZIONE E SVILUPPO DEL SISTEMA INFORMATIVO ASSE IV CAPITALE UMANO",IV Capitale Umano,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"46.560,00","46.560,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
903,FI,"LINEA COMUNE. AFFIDAMENTO DEL SERVIZIO DI GESTIONE, MANUTENZIONE E SVILUPPO DEL SISTEMA INFORMATIVO DELLA DIREZIONE SULL'ASSE I ADATTABILITA",I Adattabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"46.560,00","46.560,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
904,FI,"LINEA COMUNE.AFFDAMENTO DEL SERVIZIO DI GESTIONE, MANUTENZIONE E SVILUPPO DEL SISTEMA INFORMATIVO ASSE II OCCUPABILITA'",II Occupabilit‡,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"46.560,00","46.560,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
784,AR,LO STUDIO DELLA LINGUA INGLESE A DUE LIVELLI PER I SETTORI ELETTRONICI E METALMECCANICI,I Adattabilit‡,2008,Finanziato,Lasi Srl,"9.661,60","9.661,60",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1432,AR,LO STUDIO DELLA LINGUA INGLESE: GARANTIRE L'ADATTABILITA' DELLE DITTE DI SERVIZI A LIVELLO INTERNAZIONALE,I Adattabilit‡,2008,Finanziato,EKOLABCHIMICA S.A.S.,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
39,LU,LUCCA OSPITALE,I Adattabilit‡,2008,Finanziato,SO.GE.SE.TER. S.r.l.,"30.770,00","28.830,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
139,CE,"M.A.S.T.E.R. - MECCANICI D'AUTO, SPECIALISTI TECNICI, ELETTRICISTI E RIPARATORI",II Occupabilit‡,2007,Finanziato,ISIS A CHECCHI DI FUCECCHIO (FI),"175.100,00","170.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
118,FI,MA: ADDETTO MECCANICO DI AUTO,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"297.200,19","237.760,15",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
