beneficiario,titolo_azione,quota_per_singola_azione,fund_type,currency,uri
"AZIENDA SPECIALE CONSORTILE ""CONSORZIO DESIO-BRIANZA""",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"90.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AZIENDA SPECIALE CONSORTILE ""CONSORZIO DESIO-BRIANZA""",Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"17.720,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AZIENDA SPECIALE CONSORTILE ""CONSORZIO DESIO-BRIANZA""",Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"231.507,48",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
C.F.P. UNIONE ARTIGIANI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"63.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
C.F.P. UNIONE ARTIGIANI,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"164.890,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
C.I.L.F Centro per l'Innovazione Lavoro e della Formazione Societa Cooperativa Sociale O.N.L.U.S,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"309.030,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CALAM CENTRO ARTISTICO LODIGIANO ACCONCIATORI MISTI ED ESTETICA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"54.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CALAM CENTRO ARTISTICO LODIGIANO ACCONCIATORI MISTI ED ESTETICA,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"21.026,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA - SOCIETA' COOPERATIVA,Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo - Ambito Edilizia,"7.100,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA - SOCIETA' COOPERATIVA,Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo,"15.060,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA - SOCIETA' COOPERATIVA,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"46.074,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA - SOCIETA' COOPERATIVA,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"19.583,12",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"87.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"9.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"222.681,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"135.072,80",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI FORMAZIONE E ISTRUZIONE PROFESSIONALE DEL PIAMBELLO,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"35.954,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI FORMAZIONE PROFESSIONALE Azienda Speciale della Provincia di Sondrio,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"32.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI FORMAZIONE PROFESSIONALE Azienda Speciale della Provincia di Sondrio,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"12.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO DI FORMAZIONE PROFESSIONALE POLIVALENTE DEL COMUNE DI LECCO,Dote Formazione - Percorsi personalizzati per allievi con disabilita,"7.440,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO E PROFESSIONALE ALDO MORO,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"277.643,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"403.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"595.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"9.338,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"5.948,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Dote Formazione - Percorsi personalizzati per allievi con disabilita,"5.498,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"225.048,12",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMAZIONE AIB,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"133.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO FORMAZIONE PROFESSIONALE DEL COMUNE DI VIGEVANO,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"137.032,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO ITALIANO OPERE FEMMINILI SALESIANE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"85.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO ITALIANO OPERE FEMMINILI SALESIANE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"553.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO SERVIZI FORMAZIONE COOPERATIVA SOCIALE A R.L.,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"28.960,40",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CENTRO SERVIZI FORMAZIONE COOPERATIVA SOCIALE A R.L.,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"104.580,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"CENTRO TESSILE COTONIERO E ABBIGLIAMENTO S.P.A.\"" ED ABBREVIATA IN \""CENTROCOT\""",Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"3.148,24",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CFP SAN GIUSEPPE COOPERATIVA SOCIALE ONLUS,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"31.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CFP SAN GIUSEPPE COOPERATIVA SOCIALE ONLUS,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"103.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CIAS FORMAZIONE PROFESSIONALE - IMPRESA SOCIALE S.R.L.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"90.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CIAS FORMAZIONE PROFESSIONALE - IMPRESA SOCIALE S.R.L.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"180.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CIAS FORMAZIONE PROFESSIONALE - IMPRESA SOCIALE S.R.L.,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"56.602,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMETA FORMAZIONE SOCIETA' COOPERATIVA SOCIALE IN SIGLA COMETA FORMAZIONE S.C.S.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"27.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMETA FORMAZIONE SOCIETA' COOPERATIVA SOCIALE IN SIGLA COMETA FORMAZIONE S.C.S.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"64.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMETA FORMAZIONE SOCIETA' COOPERATIVA SOCIALE IN SIGLA COMETA FORMAZIONE S.C.S.,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"12.852,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI LEGNANO - CENTRO DI FORMAZIONE PROFESSIONALE,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"74.680,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI MONZA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"88.172,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI PAVIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"108.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI PAVIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"53.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI PAVIA,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"302.792,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI PAVIA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"54.960,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COMUNE DI SARONNO,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"74.861,60",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"CONFAPI MILANO - Associazione delle piccole e medie imprese di Milano, Monza e Brianza, Lodi e delle relative province",Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"2.241,12",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONFCOMMERCIO LECCO - UNIONE COMMERCIANTI LECCHESI,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"960,48",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO CONSOLIDA - SOCIETA' COOPERATIVA SOCIALE,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"14.832,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO ENFAPI TREVIGLIO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"93.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO ENFAPI TREVIGLIO,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"4.162,08",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO FORMAZIONE E LAVORO IN BRIANZA,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.600,80",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Consorzio per la Formazione Professionale e per l'Educazione Permanente,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"115.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"27.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"153.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA,Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo,"40.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"417.969,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COOPERATIVA S. GIUSEPPE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"63.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
COOPERATIVA S. GIUSEPPE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"126.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CR FORMA AZIENDA SPECIALE DELLA PROVINCIA DI CREMONA PER LA GESTIONE DEI SERVIZI DI FORMAZIONE PROFESSIONALE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"163.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CR FORMA AZIENDA SPECIALE DELLA PROVINCIA DI CREMONA PER LA GESTIONE DEI SERVIZI DI FORMAZIONE PROFESSIONALE,Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo - Ambito Edilizia,"6.400,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CR FORMA AZIENDA SPECIALE DELLA PROVINCIA DI CREMONA PER LA GESTIONE DEI SERVIZI DI FORMAZIONE PROFESSIONALE,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"78.316,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
CUSTODIA SOCIETA' A RESPONSABILITA' LIMITATA,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"74.808,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Dispositivi Tecniche Metodologie srl,Supporto per la programmazione comunitaria all'Autorità di Gestione del P.O.R. della Regione Lombardia - Ob. 2 2007/2013 Lotto 1 sviluppo strategico del sistema,"1.085.400,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"238.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"150.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"41.256,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"137.192,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
E.L.FO.L ENTE LOMBARDO FORMAZIONE LAVORATORI,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"94.512,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
EDILCASSA ARTIGIANA DI BERGAMO,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"6.563,28",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ELITE DIVISION S.R.L.,Servizi di consulenza/assistenza tecnica e scientifica finalizzata alla gestione manutenzione evolutiva del Quadro Regionale degli Standard Professionali (QRSP) adottato con DDUO n. 8486 del 30.07.08 e successive integrazioni,"176.400,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENAC LOMBARDIA - C.F.P. CANOSSA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"13.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENAC LOMBARDIA - C.F.P. CANOSSA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"178.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENAC LOMBARDIA - C.F.P. CANOSSA,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"102.112,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENAC LOMBARDIA - C.F.P. CANOSSA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"80.003,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENFAPI CENTRO OPERATIVO DI COMO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"81.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENFAPI CENTRO OPERATIVO DI COMO,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.600,80",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENGIM Lombardia,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"31.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENGIM Lombardia,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"40.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENTE LOMBARDO PER LA FORMAZIONE D'IMPRESA,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"7.737,20",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ENTE SOMASCO ISTRUZIONE PROFESSIONALE E.S.I.P.,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"250.951,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"Entertraining, società consortile a r.l.","Sovvenzione Globale denominata ""Learning Week"" (Doti)","23.500.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
EPOCHE' SERVICE INTEGRATOR S.R.L.,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"960,48",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ERNST & YOUNG FINANCIAL - BUSINESS ADVISORS S.P.A.,Supporto per la programmazione comunitaria all'autorità di gestione del p.o.r. della regione lombardia - ob. 2 2007/2013 lotto 2 supporto all'attuazione,"2.166.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ERNST & YOUNG FINANCIAL - BUSINESS ADVISORS S.P.A.,Servizio di consulenza tecnica per la ricerca e le indagini necessarie all'attuazione dell'accordo tra il Ministero del Lavoro e la Regione Lombardia per l'attivazione delle politiche attive e passive rivolte ai soggetti in mobilità,"177.600,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
EUROSERVYCE SOCIETA' COOPERATIVA SOCIALE ONLUS,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"164.924,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
FONDAZIONE GABRIELE CASTELLINI - SCUOLA D'ARTI E MESTIERI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"36.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
FONDAZIONE GABRIELE CASTELLINI - SCUOLA D'ARTI E MESTIERI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"45.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
FONDAZIONE CASA DEL GIOVANE DON MARIO BOTTOGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"112.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
FONDAZIONE CASA DEL GIOVANE DON MARIO BOTTOGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"148.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"FONDAZIONE CENTRO LOMBARDO PER L'INCREMENTO DELLA FLORO-ORTO- FRUTTICOLTURA, SCUOLA DI MINOPRIO - IN BREVE FONDAZIONE MINOPRIO.",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"99.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
