ASSE,OBIETTIVO OPERATIVI,ENTE BENEFICIARIO,TITOLO,REGIONI,FINANZIAMENTO,DATA DI APPROVAZIONE,DATA DI CONCLUSIONE
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Rosarno,Utilizzo di un bene confiscato per la realizzazione di un centro di accoglienza e di formazione per i migranti per l’inserimento sociale e lavorativo,Calabria,"2.000.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Santeramo in Colle,Centro servizi per il reinserimento sociale e lavorativo di soggetti portatori di disagi con annesso canile comunale,Puglia,"926.800,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Ugento,CENTRO POLIVALENTE “FONTANELLE” “Ristrutturazione e rifunzionalizzazione dell'immobile confiscato in località Fontanelle destinato a minori in condizioni di disagio,Puglia,"150.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Fasano,“ASTREA” per lo sviluppo e la legalità,Puglia,"783.200,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Partinico,"SI.CU.LE Sicurezza, Cultura, Legalità",Sicilia,"200.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Acerra,"“Integra” Lavori di adeguamento di due unità abitative per adibirle ad attività di integrazione sociale, aggregazione ed accoglienza di persone immigrate",Campania,"471.800,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Sviluppo e legalità,Intervento di recupero del complesso aziendale ex Kaggio da adibire a centro aziendale di sperimentazione sito in Monreale (PA) c.da Finocchiaro,Sicilia,"2.077.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Crescere insieme,“Centro studi italiano sull’Antimafia e sulla cultura della legalità”,Calabria,"2.754.000,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Ugento (LE),“Centro sociale rieducativo per persone sottoposte a provvedimenti privativi o limitativi della libertà personale”,Puglia,"166.000,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Bari,“Fondamenta”,Puglia,"206.980,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Melizzano (BN),“Centro di stoccaggio e di lavorazione dei RAEE (rifiuti di apparecchiature elettriche ed elettroniche) e di un’isola ecologica comunale”,Campania,"2.199.095,85",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Agrorinasce,“Centro di avviamento al lavoro artigianale di persone svantaggiate nel comune di Casal di Principe (CE)”,Campania,"183.000,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Castellaneta (TA),Canile Rifugio,Puglia,"382.902,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Galatina (LE),Turismo responsabile ed impresa sociale,Puglia,"981.078,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Vittoria (RG),Diversamente insieme,Sicilia,"491.017,68",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Noto (CT),Promuovere la legalità,Sicilia,"412.200,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Dipartimento Giustizia Minorile - Direzione Generale per gli interventi di Giustizia Minorile e l’attuazione dei provvedimenti giudiziari,Percorsi di legalità. Azioni di accompagnamento e di inserimento lavorativo di minori /giovani in area penale,-,"3.259.500,00",12 febbraio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,"Dipartimento Libertà Civili e Immigrazione – Direzione Centrale per i diritti civili, la cittadinanza e le minoranze - Area II – tutela delle fragilità sociali",Abbandono scolastico e bullismo: quali rischi tra i giovani?,-,"2.879.145,60",30 marzo 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Comune di Napoli,Lavori di adeguamento della struttura ex scuola “Grazia Deledda” per adibirla ad attività di integrazione per ROM romeni,Campania,"601.472,39",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Comune di Napoli,Attività sociali in favore dei ROM romeni da svolgersi nell’immobile dell’ex scuola “Grazia Deledda”,Campania,"435.202,03",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Dipartimento Libertà Civili e Immigrazione,Accrescere le competenze degli operatori sul fenomeno ROM,Campania,"936.720,00",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Comune di Carini (PA),Il Girasole,Sicilia,"1.218.720,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Presidenza del Consiglio - Dipartimento della Gioventù,"Giovani, Legalità, Cittadinanza e Partecipazione",-,"3.000.000,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Comune di Bari,“L’albero che non c’è”,Puglia,"378.877,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.6 Contenimento devianza. CONTENERE GLI EFFETTI DELLE MANIFESTAZIONI DI DEVIANZA,Comune di Martano (LE),Urban Center – Recupero funzionale a destinazione sociale di edificio ex Enel,Puglia,"261.450,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.7 Tecnologia per trasparenza PA. POTENZIARE LA DOTAZIONE TECNOLOGICA DELLA PA AI FINI DI MIGLIORARE L'EFFICIENZA E LA TRASPARENZA DEI PROCESSI GESTIONALI,Ministero della Giustizia - Dipartimento dell’Amministrazione Penitenziaria,Completamento del SIDAP - Sistema Informativo Direzionale dell’Amministrazione Penitenziaria,-,"853.596,00",30 marzo 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.7 Tecnologia per trasparenza PA. POTENZIARE LA DOTAZIONE TECNOLOGICA DELLA PA AI FINI DI MIGLIORARE L'EFFICIENZA E LA TRASPARENZA DEI PROCESSI GESTIONALI,Servizio Polizia Postale e Comunicazioni del Dipartimento P.S.,Piattaforma Polcast per l’analisi forense certificata di dati informatici,-,"849.600,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.7 Tecnologia per trasparenza PA. POTENZIARE LA DOTAZIONE TECNOLOGICA DELLA PA AI FINI DI MIGLIORARE L'EFFICIENZA E LA TRASPARENZA DEI PROCESSI GESTIONALI,Comune di Pellezzano (SA),"“Trasparenza ed innovazione a favore dell’integrazione tra cittadino e Pubblica Amministrazione, abbattendo tutte le divisioni digitali”",Campania,"493.700,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.7 Tecnologia per trasparenza PA. POTENZIARE LA DOTAZIONE TECNOLOGICA DELLA PA AI FINI DI MIGLIORARE L'EFFICIENZA E LA TRASPARENZA DEI PROCESSI GESTIONALI,Ministero dell’Interno – Ispettorato Generale dell’Amministrazione (I.G.A.),"Banca Dati - Buone Pratiche per la diffusione, l’interscambio e l’utilizzazione delle “buone pratiche” amministrative a livello locale nelle regioni Calabria, Campania, Puglia e Sicilia",-,"6.443.250,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di San Luca (RC),Casa della legalità e della cultura,Calabria,"650.000,00",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Delia Nuova (RC),Musica è educazione alla legalità - Centro di accoglienza giovanile,Calabria,"1.900.000,00",12 febbraio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Villapiana (CS),Recupero di Palazzo Gentile,Calabria,"800.000,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Cittanova,Polo solidale per la legalità,Calabria,"1.437.500,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Bitonto,C’E’ UN’ALTRA SCELTA: IL GUSTO DELLA LEGALITA’- Recupero e rifunzionalizzazione della ex Pretura nel centro antico per la riqualificazione ed occupabilità del tessuto sociale residente,Puglia,"704.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Napoli,Lavori di restauro della Biblioteca Dorso sita in Secondigliano ed istituzione della sezione dedicata agli studi sulla legalita’ intitolata a Gelsomina Verde,Campania,"1.280.554,14",11 febbraio 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Scaletta Zanclea (ME),Centro Sociale Polivalente in località Foraggine,Sicilia,"1.516.000,00",11 febbraio 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Minervino di Lecce (LE),"Recupero funzionale dell'ex ""Scuola Scarciglia""",Puglia,"850.000,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Licodia Eubea (CT),Il teatro della legalità,Sicilia,"892.000,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Provincia di Foggia,Regolar… mente,Puglia,"98.533,56",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Benevento,Incontriamoci,Campania,"100.000,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Eboli,Progetto Giovani,Campania,"100.000,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Provincia di Crotone,Noi con gli altri,Calabria,"99.362,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Vibo Valentia,Isola della legalità,Calabria,"100.000,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Provincia Regionale di Agrigento,Uno spazio per vivere insieme la legalità,Sicilia,"100.000,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.8 Diffusione della legalità. DIFFONDERE LA CULTURA DELLA LEGALITÀ,Comune di Lentini (SR),Agorà giovani,Sicilia,"99.748,00",9 giugno 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.9 Formazione integrata. REALIZZARE TRA GLI OPERATORI DI SICUREZZA A TUTTI I LIVELLI E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DEL MANTENIMENTO DELLA LEGALITÀ UNA FORMAZIONE INTEGRATA,Presidenza del Consiglio dei Ministri - Dipartimento della Funzione Pubblica,Appalto Sicuro,-,"2.500.000,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.9 Formazione integrata. REALIZZARE TRA GLI OPERATORI DI SICUREZZA A TUTTI I LIVELLI E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DEL MANTENIMENTO DELLA LEGALITÀ UNA FORMAZIONE INTEGRATA,Prefettura di Reggio Calabria,Eu.praxis – Percorsi per la diffusione della cultura della legalita,Calabria,"731.500,00",11 febbraio 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.9 Formazione integrata. REALIZZARE TRA GLI OPERATORI DI SICUREZZA A TUTTI I LIVELLI E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DEL MANTENIMENTO DELLA LEGALITÀ UNA FORMAZIONE INTEGRATA,Provincia Regionale di Palermo,Right-Eco. L’impresa legale è patrimonio sociale,Sicilia,"700.000,00",11 febbraio 2010,progetto in corso
Asse 3 'Assistenza tecnica',3.1 Assistenza tecnica. ASSISTENZA TECNICA DA ATTUARSI MEDIANTE L'ATTIVAZIONE DI AZIONI DI SUPPORTO TECNICO SCIENTIFICO VOLTE ALL'INNALZAMENTO DEL LIVELLO DI EFFICIENZA NELLA GESTIONE DELL'INTERO PROGRAMMA,Ministero dell'Interno - Dipartimento della P.S.,Servizio di assistenza tecnica alla gestione del PON,-,"12.017.489,12",10 aprile 2008,progetto in corso
Asse 3 'Assistenza tecnica',3.1 Assistenza tecnica. ASSISTENZA TECNICA DA ATTUARSI MEDIANTE L'ATTIVAZIONE DI AZIONI DI SUPPORTO TECNICO SCIENTIFICO VOLTE ALL'INNALZAMENTO DEL LIVELLO DI EFFICIENZA NELLA GESTIONE DELL'INTERO PROGRAMMA,Ministero dell'Interno - Dipartimento della P.S.,"Organizzazione e coordinamento del sistema di sorveglianza del Programma (Comitati di Sorveglianza, Comitati di Indirizzo e Attuazione, Tavoli Settoriali)",-,"34.678,36",15 maggio 2008,progetto in corso
Asse 3 'Assistenza tecnica',3.1 Assistenza tecnica. ASSISTENZA TECNICA DA ATTUARSI MEDIANTE L'ATTIVAZIONE DI AZIONI DI SUPPORTO TECNICO SCIENTIFICO VOLTE ALL'INNALZAMENTO DEL LIVELLO DI EFFICIENZA NELLA GESTIONE DELL'INTERO PROGRAMMA,Ministero dell'Interno - Dipartimento della P.S.,Supporto all'attuazione del programma,-,"373.809,00",5 febbraio 2010,progetto in corso
Asse 3 'Assistenza tecnica',3.2 Valutazione e studi. VALUTAZIONE DA ATTUARSI MEDIANTE UNO STUDIO COSTANTE DEGLI EFFETTI PRODOTTI DAL PROGRAMMA NONCHÉ DEL LIVELLO DI ATTUAZIONE E DEGLI IMPATTI DEGLI INTERVENTI IN CUI IL PROGRAMMA SI ARTICOLA,Ministero dell'Interno - Dipartimento della P.S.,Servizio di valutazione intermedia del PON,-,"1.460.862,56",21 aprile 2009,progetto in corso
Asse 3 'Assistenza tecnica',3.3 Comunicazione,Ministero dell'Interno - Dipartimento della P.S. - Ufficio relazioni esterne e cerimoniale,Sito internet,-,"148.320,00",11 giugno 2008,progetto in corso
Asse 3 'Assistenza tecnica',3.3 Comunicazione,Ministero dell'Interno - DPS - Ufficio Relazioni Esterne e Cerimoniale,"Servizio di ideazione, progettazione, esecuzione e gestione di un servizio integrato di comunicazione multimediale, ufficio stampa, rassegna stampa, prodotti editoriali e comunicazione di immagine e marketing del Pon Sicurezza 2007-2013”",-,"4.209.280,00",6 maggio 2009,progetto in corso
Asse 3 'Assistenza tecnica',3.3 Comunicazione,Ministero dell'Interno - DPS - Ufficio Relazioni Esterne e Cerimoniale,Materiale promozionale,-,"76.468,08",27 aprile 2009,progetto in corso
Asse 3 'Assistenza tecnica',3.3 Comunicazione,Ministero dell'Interno - DPS - Ufficio Relazioni Esterne e Cerimoniale,Partecipazione a eventi,-,"151.956,00",11 marzo 2008,progetto in corso
