BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,TIPOLOGIA DI AIUTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
CIESSE FLOWER EXPORT SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"23.901,60","7.579,60","16.322,00",-
BEUSI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,IM,"Contributo a fondo 
perduto","50.270,00","15.941,47","34.328,53","50.270,00"
Silvano Giovanni,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,SP,Aiuto de minimis,"15.987,89","5.070,03","10.917,86",-
J.D.O. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"122.350,80","38.799,52","83.551,28",-
ATAR NAIVE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"39.724,68","12.597,37","27.127,31",-
ESI SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"63.295,05","20.071,94","43.223,11",-
Comet Recycling Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,_,"Contributo a fondo 
perduto","133.260,00","42.259,01","91.000,99","46.641,00"
BF di Brivio Flavio,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"9.270,31","2.939,77","6.330,54",-
"Consorzio Vita Felice Società Cooperativa
Sociale","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"22.234,60","7.050,97","15.183,63",-
CANCELLIERI GIUSEPPE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"112.015,55","35.522,04","76.493,51","93.600,00"
AMATORI NUOTO SAVONA Cooperativa Sportiva Dilettantistica,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"41.529,75","13.169,79","28.359,96",-
METALLART SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"9.407,04","2.983,13","6.423,91",-
Ferraro Arredi Tecnici Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,SV,Aiuto de minimis,"21.478,67","6.811,25","14.667,42","6.360,00"
INCOMING LIGURIA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"11.109,60","3.523,04","7.586,56",-
"MA.RA. SNC DI BENASSI ANDREA & EL
IDRISSI","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,SP,Aiuto de minimis,"10.728,17","3.402,09","7.326,08",-
"LOGOS SERVIZI GENERALI LOGISTICI
RAZIONALIZZAZIONE E GESTIONE SCRL","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SP,Aiuto de minimis,"18.277,61","5.796,14","12.481,47",-
C.E.M.I. SAS DI PALADIN G. & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"199.500,00","63.264,84","136.235,16","69.825,00"
Cantiere Valdettaro Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,SP,Aiuto de minimis,"47.822,41","15.165,30","32.657,11",-
"Verduci Autoricambi di Verduci Fortunato &
C. Snc","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"39.600,00","12.557,83","27.042,17",-
Edisoftware srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,GE,Aiuto de minimis,"39.072,49","12.390,55","26.681,94",-
Reale Stefano,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"70.125,64","22.238,03","47.887,61",-
VIDEOPIU' SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"200.000,00","63.423,40","136.576,60","200.000,00"
QUATTROCI di Ciccioni W. e C. Snc,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"52.800,00","16.743,78","36.056,22",-
Tecnomare di Panizzi G. e C. Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"70.860,00","22.470,91","48.389,09",-
"GIVI SERVICE SOCIETA' CONSORTILE A
RESPONSABILITA' LIMITATA","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"17.446,28","5.532,51","11.913,77",-
Piazzo Luciano,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,"Contributo a fondo 
perduto","16.237,80","5.149,28","11.088,52",-
COMAR Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,IM,Aiuto de minimis,"99.000,00","31.394,58","67.605,42",-
"Carrozzeria Royal Snc di Orazio Silesu,
Francesco Caroleo e Domenico Carella","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"97.537,00","30.930,64","66.606,36",-
Cheli e Ranieri Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",24/12/2009,SV,Aiuto de minimis,"10.110,00","3.206,05","6.903,95",-
NUOVA ISOLTERMICA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
LIGURIA PRODUCE MARINE CONSORTIUM,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"20.846,51","6.610,78","14.235,73","20.846,51"
Spiga Nord Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"99.677,97","31.609,58","68.068,39",-
ANTEA Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"31.998,00","10.147,11","21.850,89",-
Ricco Alberto srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,SP,Aiuto de minimis,"132.094,18","41.889,31","90.204,87",-
Ricco Alberto srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,SP,"Contributo a fondo 
perduto","108.742,00","34.483,94","74.258,06",-
ECOFOND SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"91.200,00","28.921,07","62.278,93","91.200,00"
Cemenbit Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,"Contributo a fondo 
perduto","113.000,00","35.834,22","77.165,78",-
Rossi Marina Marina,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"51.703,80","16.396,15","35.307,65",-
BRONDI Snc di Stefano e Claudio Brondi,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"41.349,00","13.112,47","28.236,53",-
"E.M.A.C. ELETTRONICA MEDICALE ED
ATTREZZATURE CHIMICOCLINICHE SRL","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",10/12/09,GE,Aiuto de minimis,"186.988,87","59.297,35","127.691,52",-
Borghi Drill Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"74.550,00","23.641,07","50.908,93",-
SCILLA Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
FERRANIA TECHNOLOGIES S.P.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/12/2009,SV,"Contributo a fondo 
perduto","186.610,23","59.177,28","127.432,95",-
M.C. DI CAMERA MASSIMO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SV,Aiuto de minimis,"23.850,00","7.563,24","16.286,76","8.347,50"
LABOCOLOR Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,"Contributo a fondo 
perduto","72.200,00","22.895,85","49.304,15","72.200,00"
FIRST PLAST SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"200.000,00","63.423,40","136.576,60","70.000,00"
FIRST PLAST SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,"Contributo a fondo 
perduto","76.696,05","24.321,62","52.374,43","26.843,62"
IDRABEL ITALIA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"25.457,20","8.072,91","17.384,29","25.457,20"
Idro-Edil di Bottaro Silvano e Moreno Snc,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"65.640,00","20.815,56","44.824,44",-
Expertise Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,SV,Aiuto de minimis,"22.534,50","7.146,07","15.388,43",-
LINEAR SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"16.592,51","5.261,77","11.330,74","16.592,51"
Ottica Bianchi Enrico Enrico,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"9.838,20","3.119,86","6.718,34","9.496,20"
LABORATORIO ALBARO SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"39.043,80","12.381,45","26.662,35",-
PRECETTI S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"28.813,40","9.137,22","19.676,18",-
"LINEA GRAFICA STAMPA E DESIGN DI
FUGAZZA ANDREA E NICOLA SNC","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"83.609,09","26.513,86","57.095,23",-
PROGESCO GROUP SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"9.330,53","2.958,87","6.371,66",-
GRAFICHE G7 SAS DI GUZZO BRUNO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"74.694,75","23.686,98","51.007,77","69.590,32"
FAG DI FEDI ANDREA & ANNA SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"18.974,70","6.017,20","12.957,50",-
PANDORA' Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,IM,Aiuto de minimis,"29.150,10","9.243,99","19.906,11",-
FPL TRADE Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"89.066,93","28.244,64","60.822,29",-
BS Meccanica S.n.c. di Bausano M. & Strazzarino M.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",9/12/09,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
ETT Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"47.664,00","15.115,06","32.548,94",-
"STABILIMENTO FARMACEUTICO ""CAV G. TESTA"" SRL","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,SV,Aiuto de minimis,"174.213,00","55.245,90","118.967,10",-
CANTIERE INCORVAIA DI INCORVAIA GIANFRANCO E C. SAS,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"28.517,10","9.043,26","19.473,84",-
DUEMME 91 GRAPHIC DI MAMONE MICHELE,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,IM,Aiuto de minimis,"9.626,39","3.052,69","6.573,70",-
Econevea Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"129.000,00","40.908,09","88.091,91",-
O.R.M.E.T. Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"90.376,69","28.659,98","61.716,71","90.376,69"
4M - REFAI Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"21.000,00","6.659,46","14.340,54","21.000,00"
Integra srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"16.590,00","5.260,97","11.329,03",-
GENOVA MODA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"51.456,00","16.317,57","35.138,43",-
F.G. RICICLAGGI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,"Contributo a fondo 
perduto","151.830,90","48.148,16","103.682,74",-
DOTT. CARLO AGNESE Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/12/2009,SP,Aiuto rimborsabile,"215.017,39","68.185,67","146.831,72",-
Officine Vadesi - Societa_ Cooperativa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"13.038,00","4.134,57","8.903,43",-
Maxspar Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"129.708,53","41.132,78","88.575,75",-
VALVON SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"20.711,09","6.567,84","14.143,25",-
B.& L. Stainless Steel Srl Unipersonale,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"11.211,40","3.555,33","7.656,07",-
Cooperativa Edile Soc. Coop. a R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,SV,Aiuto de minimis,"22.338,60","7.083,95","15.254,65",-
B.T.C. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"84.000,00","26.637,83","57.362,17",-
La Falegnameria di Delucchi Massimo e C. Snc,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"19.427,87","6.160,91","13.266,96",-
Campodoni Snc di L.e M. Campodoni & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"17.037,77","5.402,97","11.634,80",-
TECNOMECCANICA T.M. di Lombardi Giunluca e C. Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",24/12/2009,SP,Aiuto de minimis,"37.860,00","12.006,05","25.853,95","37.860,00"
MOTOR MARINE TIGULLIO E MA.MI ASSOCIATE SRL(gia_ MOTOR MARINE TIGULLIO E MA.MI ASSOCIATE Snc ),"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"12.042,60","3.818,91","8.223,69",-
C.L.A.S. SpA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,IM,Aiuto de minimis,"103.793,14","32.914,57","70.878,57","103.793,14"
Cava Trevo Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,Aiuto de minimis,"154.500,00","48.994,58","105.505,42",-
CAVE MARCHISIO SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,SV,Aiuto de minimis,"99.000,00","31.394,58","67.605,42",-
PIERO BASSO & C. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"13.038,34","4.134,68","8.903,66",-
AMA GROUP S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,GE,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
AFFILATURA ED INCISIONI DI GANDOLFO PAOLO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"28.944,98","9.178,95","19.766,03",-
CONSORZIO IDROCANCELLAZIONI STRADALI,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,Aiuto de minimis,"75.000,00","23.783,78","51.216,23",-
GRAZIOSO GENEROSO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",24/12/2009,GE,Aiuto de minimis,"48.200,14","15.285,08","32.915,06",-
Imperia TV srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",24/12/2009,IM,Aiuto de minimis,"147.912,00","46.905,41","101.006,59",-
Il Nodo Società Cooperativa Sociale a r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,SV,Aiuto de minimis,"21.050,28","6.675,40","14.374,88",-
CAVE LITTARDI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,"Contributo a fondo 
perduto","59.800,00","18.963,60","40.836,40",-
COVIM Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,"Contributo a fondo 
perduto","80.870,00","25.645,25","55.224,75",-
LIGURDOLCI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,GE,Aiuto de minimis,"58.054,80","18.410,16","39.644,64",-
EDIMAX SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,IM,Aiuto de minimis,"116.152,41","36.833,90","79.318,51",-
Pirotto Massimo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"49.785,00","15.787,67","33.997,33","49.500,00"
GREEN CHARGE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",20/04/2010,GE,Aiuto de minimis,"87.969,95","27.896,77","60.073,18",-
STICKER DI  ARATA PAOLO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"12.000,00","3.805,40","8.194,60",-
Speich Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"70.002,32","22.198,93","47.803,39","43.800,00"
Grafco di Maia Fabio Renzo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SV,Aiuto rimborsabile,"152.437,50","48.340,52","104.096,98",-
Cartonpro S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/12/2009,SV,Aiuto de minimis,"11.400,00","3.615,13","7.784,87",-
DO.GE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"9.900,00","3.139,46","6.760,54",-
TRANSMARE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"30.759,60","9.754,39","21.005,21","30.759,60"
ALITECNA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"15.741,80","4.991,99","10.749,81",-
BAGNASCO EDOARDO Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,"Contributo a fondo 
perduto","94.671,00","30.021,78","64.649,22",-
FOS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"12.000,00","3.805,40","8.194,60",-
PARAMED SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SP,Aiuto de minimis,"144.197,50","45.727,48","98.470,02",-
Luna Abrasivi Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"42.935,17","13.615,47","29.319,70",-
SEAGUARD ITALANODI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"24.537,45","7.781,24","16.756,21","8.588,10"
SACCHI Geom. Alberto S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"10.107,00","3.205,10","6.901,90",-
TRANCERIA LIGURE Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"11.341,20","3.596,49","7.744,71",-
TELESTAR SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/03/2010,GE,"Contributo a fondo 
perduto","199.184,40","63.164,76","136.019,64",-
ALFATECH SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/03/2010,GE,Aiuto de minimis,"193.656,70","61.411,83","132.244,87",-
EFF & GIBI di Bertelli Fabio,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"27.081,00","8.587,85","18.493,15",-
Cat Genova srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"18.610,92","5.901,84","12.709,08",-
AL.MA.RI.NA. S.c.p.a.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"120.543,00","38.226,23","82.316,77",-
CANEPA & CAMPI Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",14/12/2009,GE,Aiuto de minimis,"29.672,98","9.409,81","20.263,17",-
AUTO SPORT DI AMEGLIO UGO & C SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",14/12/2009,IM,Aiuto de minimis,"9.391,02","2.978,05","6.412,97",-
OMNIA MEDICA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"13.058,40","4.141,04","8.917,36",-
COSTA EDUTAINMENT SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"72.220,24","22.902,27","49.317,97","72.220,24"
Comparato Nello Srl Sistemi Idrotermici,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,"Contributo a fondo 
perduto","77.358,00","24.531,54","52.826,46",-
ISMAR CHIMICA SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"72.450,00","22.975,13","49.474,87","25.357,50"
CONTESSI e C. SAS,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"9.703,35","3.077,10","6.626,25",-
IDEA XS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"9.343,80","2.963,08","6.380,72",-
RADIO BABBOLEO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,GE,Aiuto de minimis,"26.400,00","8.371,89","18.028,11",-
SALVO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"61.683,38","19.560,85","42.122,53","30.841,69"
Transitalia Logistic srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"21.312,00","6.758,40","14.553,60",-
CONTEXPAN BIO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"14.034,30","4.450,52","9.583,78",-
Maneco Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,"Contributo a fondo 
perduto","69.179,02","21.937,84","47.241,18",-
SCIROIDEA SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"16.717,39","5.301,37","11.416,02",-
G.CRESPI & FIGLI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",10/12/09,IM,Aiuto de minimis,"80.777,40","25.615,89","55.161,51",-
ARTI GRAFICHE DI DE MATTEIS ANDREA E C. SAS,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"20.080,50","6.367,87","13.712,63",-
VIAMAR TRANSIT SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"20.334,90","6.448,54","13.886,36",-
TI.PI.CI. SAS DI C.M. PINTO  C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"11.732,96","3.720,72","8.012,24",-
"Saldotecnica Ligure Srl (ex Saldotecnica
Ligure di Magnani Giorgio e C. Sas)","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"41.400,00","13.128,64","28.271,36",-
SITEP ITALIA Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,SP,Aiuto de minimis,"20.535,75","6.512,24","14.023,51",-
C.S.L. DI MENEGATTI ALESSIO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",10/12/09,GE,Aiuto de minimis,"32.100,00","10.179,46","21.920,54","32.100,00"
Piombo Fratelli di Piombo Ermanno e C. snc,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,SV,Aiuto de minimis,"10.292,72","3.264,00","7.028,72",-
Welcome Web srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/02/2010,GE,Aiuto de minimis,"10.785,20","3.420,17","7.365,03",-
Falegnameria Moruzzo di Moruzzo Maurizio,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/02/2010,SP,Aiuto de minimis,"43.800,00","13.889,72","29.910,28","43.800,00"
"Design in the city di Alessandra Fogliati e
Selene Vecchio snc","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/02/2010,GE,Aiuto de minimis,"42.171,09","13.373,17","28.797,92","21.085,54"
COLOMBO MARIO DI COLOMBO ALESSANDRO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,SP,Aiuto de minimis,"10.200,00","3.234,59","6.965,41",-
AMICO & CO. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/04/2010,GE,"Contributo a fondo 
perduto","0,00",-,-,-
ELETTROTIR DI ABATEGIOVANNI LUIGI,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"13.695,00","4.342,92","9.352,08",-
"DICIANNOVE SOCIETA' COOPERATIVA A
R.L.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"38.960,71","12.355,10","26.605,61",-
SCERNI LOGISTICS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"16.470,00","5.222,92","11.247,08",-
C.I.E.L.I. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/02/2010,SV,Aiuto de minimis,"9.000,00","2.854,05","6.145,95",-
DONDERO FABIO ANDREA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"27.681,00","8.778,12","18.902,88",-
ITEC ENGINEERING SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"19.148,70","6.072,38","13.076,32",-
IMPRESA EDILE PITZALIS IGNAZIO SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"21.429,57","6.795,68","14.633,89",-
Acqua Minerale di Calizzano Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,SV,Aiuto de minimis,"30.078,00","9.538,25","20.539,75",-
Tesorini Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,IM,Aiuto de minimis,"80.853,00","25.639,86","55.213,14",-
