"beneficiaries","ALLOCATION YEAR / YEAR OF FINAL PAYMENT","Region","state","EU","total co-financing","priority axes"
"C.M.T. UTENSILI","2009/2010",3796.67,13141.04,10872.29,27810,"priority axe 1"
"BIPIEMME P.C.B. S.R.L.","2009/2010",5327.57,18439.83,15256.27,39023.67,"priority axe 1"
"PLAST 2000 SRL      ","2009/2010",10266.42,35534.21,29399.37,75200,"priority axe 1"
"BLUE LINE PROJECT","2009/2010",11774.98,40755.66,33719.36,86250,"priority axe 1"
"GENTE DI MARE","2009/2010",2937.26,10166.47,8411.27,21515,"priority axe 1"
"DOMINGO SALOTTI","2009/2010",4225.35,14624.78,12099.87,30950,"priority axe 1"
"VEGA S.R.L.","2009/2010",3989.02,13806.84,11423.14,29219,"priority axe 1"
"MECCANICA DI PRECISIONE DI GIACOMINI ACHILLE & C.","2009/2010",4140.43,14330.87,11856.7,30328,"priority axe 1"
"PDI COOPERATIVA A R.L.","2009/2010",1815.74,6284.64,5199.62,13300,"priority axe 1"
"BRANDONI SRL                                                ","2009/2010",4898.68,16955.36,14028.08,35882.12,"priority axe 1"
"AIRFLY","2009/2010",4466.16,15458.33,12789.51,32714,"priority axe 1"
"EFFEGOMMA","2009/2010",3980.59,13777.66,11399,29157.25,"priority axe 1"
"SCATOLIFICIO R.G. SRL","2009/2010",2597.67,8991.05,7438.78,19027.5,"priority axe 1"
"POLITECNICA SRL","2009/2010",3955.71,13691.54,11327.75,28975,"priority axe 1"
"TREVISANI PIETRO","2009/2010",4789.18,16576.33,13714.49,35080,"priority axe 1"
"FORMIFICIO VEREGRA SRL ","2009/2010",1977.86,6845.77,5663.87,14487.5,"priority axe 1"
"S.T.F. S.R.L.","2009/2010",4368.69,15120.94,12510.37,32000,"priority axe 1"
"CLAUDIOFORESI SRL","2009/2010",12259.63,42433.14,35107.23,89800,"priority axe 1"
"SOOFT italia S.p.A","2009/2010",4607.6,15947.87,13194.53,33750,"priority axe 1"
"F.LLI SPINELLI","2009/2010",32403.39,112154.85,92791.76,237350,"priority axe 1"
"TIPOLITOGRAFIA KENNEDY","2009/2010",11081.22,38354.37,31732.64,81168.23,"priority axe 1"
"TECNOLUX","2009/2010",13043.27,45145.46,37351.27,95540,"priority axe 1"
"EUROTRADING DI FORLINI CARLO","2009/2010",7952.38,27524.84,22772.78,58250,"priority axe 1"
"NEREA SPA","2009/2010",20997.01,72675.02,60127.97,153800,"priority axe 1"
"PIOLI  & RAMO","2009/2010",6762.94,23407.92,19366.64,49537.5,"priority axe 1"
"BRANDONI SOLARE","2009/2010",12614.59,43661.72,36123.69,92400,"priority axe 1"
"EGAN Srl","2009/2010",5371.69,18592.52,15382.59,39346.8,"priority axe 1"
"ARREDAMENTI DE BLASI SPA                                    ","2009/2010",3658.1,12661.42,10475.48,26795,"priority axe 1"
"ATTREZZERIA FABRIANESE GATTI SIRO DI BERNA BICE E C. SRL","2009/2010",5038.15,17438.11,14427.49,36903.75,"priority axe 1"
"VALENTINI Srl","2009/2010",2218.48,7678.6,6352.92,16250,"priority axe 1"
"EDITRICE SHALOM SRL","2009/2010",2952.28,10218.45,8454.27,21625,"priority axe 1"
"IMPERO ARGENTI","2009/2010",16508.26,57138.52,47273.78,120920.56,"priority axe 1"
"SILVER SRL","2009/2010",5203.54,18010.53,14901.09,38115.16,"priority axe 1"
"CECI SIDERURGICA SRL","2009/2010",9897.81,34258.38,28343.81,72500,"priority axe 1"
"RI.ME.L. SRL","2009/2010",9413.52,32582.13,26956.95,68952.6,"priority axe 1"
"CIBES - S.R.L.                                              ","2009/2010",6553.04,22681.41,18765.55,48000,"priority axe 1"
"INDUSTRIE ALLEGREZZA SPA","2009/2010",4754.36,16455.84,13614.8,34825,"priority axe 1"
"SR TECHNOLOGY Srl","2009/2010",2935.22,10159.38,8405.4,21500,"priority axe 1"
"VESTA SRL","2009/2010",3918.17,13561.59,11220.24,28700,"priority axe 1"
"P.V.  PREFABBRICATI SNC DI PASSERI & VENTURI SNC","2009/2010",2942.04,10183.01,8424.95,21550,"priority axe 1"
"ST. GERMAIN DES PRES DI DONNINI GIANMATTEO & C. SNC","2009/2010",14778.45,51151.31,42320.24,108250,"priority axe 1"
"MECCANO SPA","2009/2010",19085.71,66059.61,54654.68,139800,"priority axe 1"
"G.R. ELETTRONICA SRL","2009/2010",12324.48,42657.59,35292.93,90275,"priority axe 1"
"ASTER CUCINE","2009/2010",4798.73,16609.41,13741.86,35150,"priority axe 1"
"ARCO INDUSTRIE SRL","2009/2010",5788.51,20035.25,16576.24,42400,"priority axe 1"
"EFFEBI","2009/2010",3907.93,13526.15,11190.92,28625,"priority axe 1"
"SEAV S.R.L.","2009/2010",9552.01,33061.46,27353.53,69967,"priority axe 1"
"H.T.M. HIGH TECNOLOGY MANIFACTURING S.R.L.","2009/2010",6903.46,23894.3,19769.04,50566.8,"priority axe 1"
"LINEA QUATTRO","2009/2010",4167.32,14423.96,11933.72,30525,"priority axe 1"
"S.E.S. INJECTION MOULDS S.R.L.                              ","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"SCATOLIFICIO MAURA DI SILLA  MECOZZI E VITTORI SNC         ","2009/2010",7761.28,26863.4,22225.54,56850.22,"priority axe 1"
"MA.GI. DI MANCINELLI FRANCO & C.","2009/2010",634.09,2194.71,1815.81,4644.61,"priority axe 1"
"TRANCERIA AVANGARDE DI CIAFFONI LUCA","2009/2010",1883.81,6520.24,5394.55,13798.6,"priority axe 1"
"MELPLAST DI MENGO LEONARDO","2009/2010",4785.09,16562.15,13702.76,35050,"priority axe 1"
"B.S. SERVICE S.R.L.","2009/2010",14065.82,48684.7,40279.48,103030,"priority axe 1"
"VIMA S.R.L.","2009/2010",1808.91,6261.01,5180.08,13250,"priority axe 1"
"M.C.E.","2009/2010",2461.15,8518.52,7047.83,18027.5,"priority axe 1"
"C.M.A. S.N.C. DI MINNICUCCI TOMMASO GIUSEPPE & C.","2009/2010",1518.14,5254.6,4347.41,11120.15,"priority axe 1"
"CARLINI SRL","2009/2010",1945.44,6733.54,5571.02,14250,"priority axe 1"
"PGR  AUTOTRASPORTI DI PANICHI GIORGIO","2009/2010",4334.56,15002.81,12412.63,31750,"priority axe 1"
"ANTROX","2009/2010",1911.3,6615.41,5473.29,14000,"priority axe 1"
"C.P. S.N.C. DI CENTURELLI LUCA & C.","2009/2010",17078.84,59113.43,48907.73,125100,"priority axe 1"
"GNASSI CORNICI SRL","2009/2010",1199.34,4151.17,3434.49,8785,"priority axe 1"
"MIAM SNC DI MIGNANI ANDREA E C.","2009/2010",3674.13,12716.95,10521.42,26912.5,"priority axe 1"
"DI BERARDINO PELLETTERIE SNC DI DIANA,MARA E ROBERTO DI BERARDINO","2009/2010",8740.11,30251.35,25028.57,64020.03,"priority axe 1"
"PASTA FRESCA VADESE DI PAPI FILIPPO E C.","2009/2010",3377.1,11688.84,9670.81,24736.75,"priority axe 1"
"LITOEMME SRL","2009/2010",3454,11954.99,9891.01,25300,"priority axe 1"
"SERVILI COMPUTER SRL","2009/2010",4360.83,15093.75,12487.87,31942.45,"priority axe 1"
"G.F.SNC DI GARBATINI VALERIO & C","2009/2010",3909.98,13533.24,11196.78,28640,"priority axe 1"
"FOXART DI BRECCIAROLI STELVIO D.I.","2009/2010",11024.11,38156.75,31569.14,80750,"priority axe 1"
"THILIO PLAST","2009/2010",5018.3,17369.35,14370.6,36758.25,"priority axe 1"
"MANCINELLI MECCANICA DI MANCINELLI MIRKO","2009/2010",2755.64,9537.85,7891.18,20184.67,"priority axe 1"
"FALERIA DI TRASATTI F., DIOMEDI A. & C.","2009/2010",5897.73,20413.27,16889,43200,"priority axe 1"
"M.C.E. MECCANICA","2009/2010",7508.68,25989.12,21502.2,55000,"priority axe 1"
"PICENA GASTRONOMIA DI PIERAGOSTINI SIMONA","2009/2010",2798.69,9686.85,8014.46,20500,"priority axe 1"
"MALATINI SAS DI MALATINI MICHELE & C.","2009/2010",2738,9476.77,7840.64,20055.41,"priority axe 1"
"LAVORGOMMA","2009/2010",6666.47,23074.04,19090.39,48830.9,"priority axe 1"
"L'ANTICO FORNO DI ANTENI IRENE","2009/2010",1051.21,3638.48,3010.31,7700,"priority axe 1"
"MOTOGEN ITALIA SRL","2009/2010",2176.01,7531.65,6231.34,15939,"priority axe 1"
"SCATOLIFICIO MOGLIANI SNC DI MOGLIANI MAURO E ANDREA","2009/2010",2355,8151.13,6743.87,17250,"priority axe 1"
"T.F.T. SRL UNIPERSONALE","2009/2010",1993.42,6899.64,5708.44,14601.5,"priority axe 1"
"SOLETTIFICIO ROMAS DEI F.LLI STOPPO M.R. & C. SNC","2009/2010",2443.73,8458.28,6997.99,17900,"priority axe 1"
"I MASTRI FORNACIAI SNC","2009/2010",3208.26,11104.44,9187.3,23500,"priority axe 1"
"TECNOMODEL S.R.L.","2009/2010",1590.47,5504.97,4554.56,11650,"priority axe 1"
"SABRY TESSITURASNC DI STORANI SABRINA & C.","2009/2010",3564.92,12338.92,10208.66,26112.5,"priority axe 1"
"AMBEDO S.N.C. DI GABRIELLI DOMENICO & C.","2009/2010",14354.56,49684.1,41106.34,105145,"priority axe 1"
"DIGIT ALL SRL","2009/2010",4153.66,14376.71,11894.63,30425,"priority axe 1"
"TM PEDANE SRL","2009/2010",1544.33,5345.25,4422.42,11312,"priority axe 1"
"GIELLEA DI DE ANGELIS GIOVANNI E C. S.N.C.","2009/2010",4634.91,16042.37,13272.72,33950,"priority axe 1"
"FAIM INFISSI SRL UNIPERSONALE","2009/2010",2146.12,7428.16,6145.72,15720,"priority axe 1"
"ANIBALDI GIANCARLO & C.","2009/2010",4163.9,14412.15,11923.95,30500,"priority axe 1"
"MASTER PRODUCTION DI TOCCACELI ANTONELLA & C.","2009/2010",6348.25,21972.62,18179.13,46500,"priority axe 1"
"FRATELLI BALDINI DI MAURIZIO E RICCARDO BALDINI SNC","2009/2010",1108.08,3835.28,3173.14,8116.5,"priority axe 1"
"SPAGNUOLO FRANCESCO","2009/2010",2157.04,7465.96,6177,15800,"priority axe 1"
"CLARY RICAMI DI SCUPPA SAURO","2009/2010",3451.22,11945.39,9883.06,25279.67,"priority axe 1"
"CORRADINI GIUSEPPE E C. S.N.C. OFFICINA MECCANICA E RICAMBI","2009/2010",3290.17,11387.96,9421.87,24100,"priority axe 1"
"PIERLONI SRL","2009/2010",5187.82,17956.12,14856.06,38000,"priority axe 1"
"ZAHIR S.R.L.","2009/2010",5548.65,19205.01,15889.34,40643,"priority axe 1"
"SP PLAST CREATING","2009/2010",11637.43,40279.59,33325.48,85242.5,"priority axe 1"
"SEROS DI CAPPELLI NADIA","2009/2010",5802.16,20082.5,16615.34,42500,"priority axe 1"
"SATAM","2009/2010",2798.78,9687.16,8014.71,20500.65,"priority axe 1"
"FONDERIA GATTAFONI GIANCARLO","2009/2010",1327.87,4596.06,3802.57,9726.5,"priority axe 1"
"COO.VER. SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",3440.34,11907.74,9851.92,25200,"priority axe 1"
"COMPAGNIA INTERNAZIONALE GESTIONE ALBERGHI/HOTELS SRL IN BREVE C.I.G.A. HOTELS SRL","2009/2010",3440.34,11907.74,9851.92,25200,"priority axe 1"
"HOTEL PARCO DEI PRINCIPI SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",1032.11,3572.32,2955.57,7560,"priority axe 1"
"HOTEL VILLA CORALLO SOCIETA A RESPONSABILITA' LIMITATA'","2009/2010",1146.78,3969.25,3283.97,8400,"priority axe 1"
"PICCOLO MONDO SRL","2009/2010",3440.34,11907.74,9851.92,25200,"priority axe 1"
"CALL WORLD","2009/2010",5529.12,19137.44,15833.44,40500,"priority axe 1"
"Kòmaros Servizi s.n.c di Cesini e Pierella","2009/2010",697.29,2413.44,1996.77,5107.5,"priority axe 1"
"CASALE DI SPINELLI CATIA &amp; F.LLI - SOCIETA' IN NOME COLLETTIVO","2009/2010",3464.58,11991.64,9921.33,25377.55,"priority axe 1"
"ELEM SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",1146.78,3969.25,3283.97,8400,"priority axe 1"
"AMATORI T.O.","2009/2010",5529.12,19137.44,15833.44,40500,"priority axe 1"
"TEGG SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",1146.78,3969.25,3283.97,8400,"priority axe 1"
"GESTIONI SOCIETA' A RESPONSABILITA' LIMITATA","2009/2010",1032.11,3572.32,2955.57,7560,"priority axe 1"
"PERBACCO DI BONATTI FEDERICO","2009/2010",716.74,2480.78,2052.48,5250,"priority axe 1"
"L'ORIZZONTE","2009/2010",716.74,2480.78,2052.48,5250,"priority axe 1"
"COUNTRY HOUSE CA' LANI DI ALOIGI MARIO","2009/2010",716.74,2480.78,2052.48,5250,"priority axe 1"
"VACANZE NEL MONTEFELTRO S.A.S. DI FRISONI MICHELA & C.","2009/2010",716.74,2480.78,2052.48,5250,"priority axe 1"
"COUNTRY HOUSE SANT'ANGIOLINO DI FINI AGOSTINO","2009/2010",716.74,2480.78,2052.48,5250,"priority axe 1"
"COMPANY S.r.l.","2009/2010",5529.12,19137.44,15833.44,40500,"priority axe 1"
"ADVANCED S.N.C. DI DONATELLA E ARIANNA PADUANO","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 1"
"Villa Verdefiore s.r.l.","2009/2010",3453.86,11954.52,9890.62,25299,"priority axe 1"
"COMITEL & PARTNERS SRL","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 1"
"ALEMAR - SOCIETA' COOPERATIVA","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 1"
"VILLA MARCHESE DEL GRILLO","2009/2010",1578.39,5463.15,4519.96,11561.5,"priority axe 1"
"TRIO VIAGGI DI MACERATA PIETRO, CARDINALI EUFEMIA & C. SAS","2009/2010",729.36,2524.49,2088.65,5342.5,"priority axe 1"
"HOTEL RISTORANTE DEGLI SFORZA DI BERDINI ADRIANO","2009/2010",1819.4,6297.33,5210.12,13326.85,"priority axe 1"
"PROFESSIONAL CONGRESS","2009/2010",4095.65,14175.88,11728.47,30000,"priority axe 1"
"contry house colle indaco","2009/2010",2722.17,9422,7795.33,19939.5,"priority axe 1"
"ESATOUR S.R.L.","2009/2010",1128.22,3905.01,3230.83,8264.06,"priority axe 1"
"MARONCINI MARIA","2009/2010",859.56,2975.09,2461.45,6296.1,"priority axe 1"
"SCARTOZZI UMBERTO IMPRESA INDIVIDUALE","2009/2010",3226.33,11166.99,9239.06,23632.38,"priority axe 1"
"FUTURA - PROGETTI TURISTICI SRL","2009/2010",1896.16,6563.02,5429.94,13889.12,"priority axe 1"
"FIRST CLASSIT DI BALDASSARI ELENA","2009/2010",1284.01,4444.24,3676.96,9405.21,"priority axe 1"
"Quadrifoglio srl","2009/2010",1008.35,3490.1,2887.55,7386,"priority axe 1"
"BUCCIARELLI BRUNO","2009/2010",6775.29,23450.71,19402.04,49628.04,"priority axe 1"
"OM4 di Mattioli M. & C. ","2009/2010",12742.94,44105.95,36491.23,93340.12,"priority axe 1"
"SELETTRA","2009/2010",24041.45,83212.42,68846.13,176100,"priority axe 1"
"AMI STAMPI DI MILANI ANGELO ","2009/2010",12291.04,42541.82,35197.14,90030,"priority axe 1"
"Foglia","2009/2010",13662.38,47288.33,39124.19,100074.9,"priority axe 1"
"D.L. DI DEL TUTTO LORIANO","2009/2010",16691.19,57771.68,47797.63,122260.5,"priority axe 1"
"ATTREZZERIA FABRIANESE GATTI SIRO DI BERNA BICE & C. -","2009/2010",5139.92,17790.34,14718.91,37649.17,"priority axe 1"
"LA STAFFERIA","2009/2010",26569.55,91962.71,76085.72,194617.98,"priority axe 1"
"AMBEDO S.N.C. DI GABRIELLI DOMENICO & C.","2009/2010",15891.11,55002.42,45506.47,116400,"priority axe 1"
"MARMO IDEA DI DE ANGELIS ASCENZIO","2009/2010",7423.57,25694.49,21258.44,54376.5,"priority axe 1"
"LORETELLI DANIELA","2009/2010",6757.82,23390.2,19351.98,49500,"priority axe 1"
"MICROTECH SNC","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"SCATOLIFICIO TIBERI","2009/2010",26975.95,93369.37,77249.52,197594.84,"priority axe 1"
"C.R.A. INOX ","2009/2010",12391.56,42889.75,35485.01,90766.32,"priority axe 1"
"MODELLERIA EUROPA DI CESETTI ROSSANO & C. SNC","2009/2010",24676.27,85409.69,70664.04,180750,"priority axe 1"
"OMEGA","2009/2010",11677.43,40417.99,33439.98,85535.4,"priority axe 1"
"SAMPAOLESI IGINO & C. s.n.c.","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"GBA LAVORAZIONI MECCANIHE","2009/2010",5394.86,18672.73,15448.96,39516.55,"priority axe 1"
"LITOEMME SRL","2009/2010",5406.26,18712.16,15481.58,39600,"priority axe 1"
"MELIFFI GIAMPAOLO ","2009/2010",14560.02,50395.26,41694.72,106650,"priority axe 1"
"STA2000 S.r.l. ","2009/2010",14007.12,48481.51,40111.37,102600,"priority axe 1"
"PENTA-PLAST DI SATANASSI ARNALDO & C. ","2009/2010",12912.86,44694.1,36977.84,94584.8,"priority axe 1"
"M CONTI ","2009/2010",9266.61,32073.64,26536.25,67876.5,"priority axe 1"
"DUCCI ","2009/2010",23205.11,80317.71,66451.18,169974,"priority axe 1"
"NOVICO Spa","2009/2010",9419.98,32604.53,26975.49,69000,"priority axe 1"
"Graziano Ricami ","2009/2010",12614.59,43661.72,36123.69,92400,"priority axe 1"
"ROSANNA TAGLIO DI FILIPPINI ROSANNA","2009/2010",7402.06,25620.07,21196.87,54219,"priority axe 1"
"FAIP S.r.l. ","2009/2010",11263.03,38983.67,32253.3,82500,"priority axe 1"
"NUOVA SIMA SRL","2009/2010",19449.38,67318.35,55696.1,142463.83,"priority axe 1"
"SCATOLIFICIO OSCAR DI AMAOLO PIERO","2009/2010",20478.23,70879.41,58642.36,150000,"priority axe 1"
"S.T.A.F.","2009/2010",23541.53,81482.12,67414.55,172438.2,"priority axe 1"
"Box Marche ","2009/2010",16613.36,57502.27,47574.73,121690.36,"priority axe 1"
"Tipografia Tacconi di Tacconi Giuseppe ","2009/2010",7626.5,26396.9,21839.58,55862.98,"priority axe 1"
"PNT STAMPI S.N.C. DI PAPARELLI F. E C. ","2009/2010",18037.23,62430.58,51652.19,132120,"priority axe 1"
"BIOAESIS","2009/2010",2942.32,10183.95,8425.73,21552,"priority axe 1"
"PAER MATIC DI PALLOTTA ALFREDO & C.","2009/2010",13003.68,45008.42,37237.9,95250,"priority axe 1"
"OFFICINE CICCONI DI CICCONI FERNANDO E FIGLIO","2009/2010",7781.73,26934.17,22284.1,57000,"priority axe 1"
"FUTURMEC DI PRETELLI WALTER","2009/2010",9283.46,32132,26584.54,68000,"priority axe 1"
"C.R.C. di Rocchi Luigi & C. ","2009/2010",16382.58,56703.53,46913.89,120000,"priority axe 1"
"ELCA DI CARELLI BRUNO & C. SNC ","2009/2010",5468.88,18928.91,15660.91,40058.7,"priority axe 1"
"TRANCERIA FLORIDA","2009/2010",4447.87,15395.01,12737.12,32580,"priority axe 1"
"SCD Smile di Sanchini Eva ","2009/2010",2755.67,9537.96,7891.27,20184.9,"priority axe 1"
"DONDI PAOLO","2009/2010",15080.17,52195.6,43184.23,110460,"priority axe 1"
"OFFICINA MECCANICA DI PRECISIONE DI PETTINARI GIAMPIERO","2009/2010",11704.13,40510.42,33516.45,85731,"priority axe 1"
"METAL 5 DI FALASCONI ETTORE","2009/2010",4646.96,16084.1,13307.24,34038.3,"priority axe 1"
"ROSIS SAS DI ERCOLI ROBERTINO & C. ","2009/2010",5495.54,19021.2,15737.26,40254,"priority axe 1"
"LUPOLULU' SRL","2009/2010",22771.8,78817.9,65210.3,166800,"priority axe 1"
"SALUMIFICIO SAN GIORGIO F.LLI MATTII ENZO, UGO & C. SNC","2009/2010",2882.28,9976.13,8253.79,21112.2,"priority axe 1"
"BRASILI E MARCOZZI SNC","2009/2010",3972.77,13750.61,11376.62,29100,"priority axe 1"
"SENAMEK S.R.L.","2009/2010",20834.55,72112.71,59662.74,152610,"priority axe 1"
"GIOPLAST DEI F.LLI CORRADO E C. S.N.C.","2009/2010",20133.42,69685.94,57654.94,147474.3,"priority axe 1"
"ANDOLFI & C    S.N.C",,23898.1,82716.27,68435.63,175050,"priority axe 1"
"OLEIFICIO ALESSANDRINI OSCAR & C. S.N.C. ","2009/2010",5034.33,17424.85,14416.52,36875.7,"priority axe 1"
"C.L.M. DI STRACCIA MAURIZIO E BARBIZZI TONINO SNC","2009/2010",15699.98,54340.88,44959.14,115000,"priority axe 1"
"R.C.S. DI RANGO TERZILIO","2009/2010",27087.56,93755.67,77569.12,198412.35,"priority axe 1"
"R.G.G. ",,11754.51,40684.78,33660.71,86100,"priority axe 1"
"INFISSI 2000 DI VIOZZI GIAMPAOLO","2009/2010",3235.56,11198.95,9265.49,23700,"priority axe 1"
"TG DI TOMBOLESI  EMILIO & C. S.N.C.","2009/2010",27304.31,94505.88,78189.81,200000,"priority axe 1"
"C.M.R.","2009/2010",7307.04,25291.19,20924.77,53523,"priority axe 1"
"CORSALINI ANTONIO","2009/2010",6962.6,24099,19938.4,51000,"priority axe 1"
"A.D.I. S.N.C. DI DILETTI FRANCO & C.","2009/2010",11742.7,40643.93,33626.92,86013.55,"priority axe 1"
"PUGLIA S.R.L. - VIA SALARIA 139 - SPINETOLI
 (AP)  63030
","2008/2009",13428.25,46477.93,38453.7,98359.88,"priority axe 1"
"O.MEC. S.r.l. - VIA E. Mattei 30/A - ANCONA
 (AN)  60125
","2008/2009",16382.58,56703.53,46913.89,120000,"priority axe 1"
"Tipografia Tacconi di Tacconi Giuseppe - ALTRO Zona Industriale Campolungo 119 - ASCOLI PICENO
 (AP)  63100
","2008/2009",483.7,1674.18,1385.14,3543.02,"priority axe 1"
"COLORIFICIO SAN MARCO - VIA Alta 10 - 
 (VE)  30020
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"GAMBINI MECCANICA - VIA MONTANELLI 32 - PESARO
 (PU)  61100
","2008/2009",22333.34,77300.33,63954.74,163588.41,"priority axe 1"
"A.CE.MA.T. - CAVA DI SABBIA, GHIAIA E GRANULATI ASFALTICI - ALTRO Frazione stazione snc - SERRA SAN QUIRICO
 (AN)  60048
",,23545.88,81497.14,67426.98,172470,"priority axe 1"
"MOLLIFICIO MAZZONI S.r.l. - VIA Enrico Fermi 15 - OSIMO
 (AN)  60027
","2008/2009",11318.32,39175.05,32411.63,82905,"priority axe 1"
"Cisel - S.r.l. - Circuiti stampati per applicazioni elettroniche - VIA della Stazione 50 - CASTELFIDARDO
 (AN)  60022
","2008/2009",16801.48,58153.44,48113.48,123068.4,"priority axe 1"
"Gel - VIA Enzo Ferrari 1 - CASTELFIDARDO
 (AN)  60022
","2008/2009",16153.98,55912.29,46259.25,118325.52,"priority axe 1"
"LA GALVANINA - VIA DELLA TORRETTA 2 - 
              
 (RN)  47900
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"PB GROUP - VIA TURATI 2 - 
 (PT)  51019
","2008/2009",26568.46,91958.94,76082.6,194610,"priority axe 1"
"CENTERINOX S.R.L. - VIA BRASILE 19 - GROTTAMMARE
 (AS)  63013
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"NOVA TECNOSTAMPI S.r.l. - VIA P.Bonomi 13 - OSIMO
 (AN)  60027
","2008/2009",5790.43,20041.86,16581.71,42414,"priority axe 1"
"PRINCIPE DI BOLOGNA SRL - VIA VIA DELL'ARTIGIANATO 9/11 - TORRE SAN PATRIZIO
 (AP)  63010
","2008/2009",5529.12,19137.44,15833.44,40500,"priority axe 1"
"THILIOPLAST S.r.l. Unipersonale - VIA Ponchielli 26 - CASTELFIDARDO
 (AN)  60022
","2008/2009",3774.14,13063.07,10807.79,27645,"priority axe 1"
"IDEOSTAMPA - VIA DEL PROGRESSO S.N. - SALTARA
 (PU)  61030
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"IST2003 S.r.l. - VIA Cannegge 10BIS - CASTELPLANIO
 (AN)  60032
","2008/2009",7044.51,24382.52,20172.97,51600,"priority axe 1"
"LUNA QUINTO - VIA DI JESI 25 - OSIMO
 (AN)  60027
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"CALZATURIFICIO LORENZI DI MAZZA GIOVANNI & C. SAS - ALTRO CONTRADA CAMPIGLIONE 21 - FERMO
 (AP)  53023
","2008/2009",8310.44,28764.14,23798.12,60872.7,"priority axe 1"
"PONTONI S.P.A - VIA ALDO MORO 50 - CALDAROLA
 (MC)  62020
","2008/2009",12416.77,42977.02,35557.21,90951,"priority axe 1"
"VALMEX - VIA FIUME 6 - CARTOCETO
 (PU)  61030
","2008/2009",26558.29,91923.74,76053.48,194535.51,"priority axe 1"
"System srl di Rosati - VIA Veneto 24 - MONSANO
 (AN)  60030
","2008/2009",4519.75,15643.78,12942.95,33106.48,"priority axe 1"
"OMNIA TECNOLOGIE S.R.L. - VIA CAMPIGLIONE 20 - FERMO
 (AP)  63023
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"Zannini S.p.a. - VIA Che Guevara 63A - CASTELFIDARDO
 (AN)  60022
","2008/2009",10140.65,35098.92,29039.23,74278.8,"priority axe 1"
"DIMENSIONE IT - VIA SANTA MARIA DEL PIANO 61 - URBANIA
 (PU)  61049
","2008/2009",27273.73,94400.03,78102.24,199776,"priority axe 1"
"EREDI RAIMONDO BUFARINI - VIA GINO CANONICO 7 - FALCONARA M.MA
 (AN)  60015
","2008/2009",7368.8,25504.94,21101.62,53975.36,"priority axe 1"
"FUNIS COOP - ALTRO CONTRADA MORRICE 1/B - COLLI DEL TRONTO
 (AP)  63030
","2008/2009",2785.04,9639.6,7975.36,20400,"priority axe 1"
"DEFENDI ITALY - VIA DIRETTISSIMA DEL CONERO 29 - CAMERANO
 (AN)  60021
","2008/2009",27304.31,94505.88,78189.81,200000,"priority axe 1"
"RENERGIES ITALIA - ALTRO C.DA MONTEDORO 24/A - URBISAGLIA
 (MC)  62010
","2008/2009",17291.56,59849.68,49516.87,126658.11,"priority axe 1"
"SOVERCHIA SRL - VIA DELL'INDUSTRIA 303 - CORRIDONIA
 (MC)  62014
","2008/2009",9294.9,32171.57,26617.28,68083.75,"priority axe 1"
"OLEIFICIO ALESSANDRINI OSCAR & C. S.N.C. – VIA DEI PINI 4 - MORESCO
 (AP)  63010
","2008/2009",5233.29,18113.5,14986.27,38333.06,"priority axe 1"
"A.D.I. S.N.C. DI DILETTI FRANCO & C. - VIA ENZO FERRARI 12 - PORTO RECANATI
 (MC)  62017
","2008/2009",6655.72,23036.82,19059.61,48752.15,"priority axe 1"
"SUOLIFICIO SAN PAOLO S.R.L. - VIA SAN SEVERINO 20 - RAPAGNANO
 (AP)  63020
","2008/2009",4282,14820.88,12262.12,31365,"priority axe 1"
"L'ARTISTA DEL LEGNO SNC DI SALPANTI IRENE & C. - VIA DEL LAVORO 34 - URBINO
 (PU)  61029
","2008/2009",9215.21,31895.73,26389.06,67500,"priority axe 1"
"NUTRATEC - VIA I MAGGETTI LOCALITA' SASSO 14 - URBINO
 (PU)  61029
","2008/2009",5923.12,20501.16,16961.72,43386,"priority axe 1"
"ALEF DI ANGELETTI FLAVIO - VIA ENRICO FERMI 25 - PORTO SANT'ELPIDIO
 (AP)  63018
","2008/2009",4505.21,15593.47,12901.32,33000,"priority axe 1"
"M.P.C. - VIA SEGHETTO LOCALITA' TRASANNI 12 - URBINO
 (PU)  61029
","2008/2009",4355.72,15076.05,12473.23,31905,"priority axe 1"
