Denominazione beneficiario,Titolo progetto,Provincia,Comune,Anno assegnaz.,Asse,Attivita,Contribute pubblico asseanato,Contribute pubblico Daaato
MYSUI SRL,"Studio, progettazione e prototipazione di una innovativa famiglia di strumenti per chirurgia laparoscopica caratterizzata da una ridottissima intmsivita frndire A0032P00141",RIETI,Rieti,2008,I,1,"429.720,00","214.860,00"
NETWORK & COMPUTER SERVICES SRL,Progettazione di nuovi antibiotici a rischio bassissimo di resistenza batterica fcodice A0032P00031,ROMA,Roma,2008,I,1,"128.340,00","64.170,00"
NEW RADIANT TECHNOLOGY SPA,Realizzazione di una facility di Irraggiamento Sperimentale con Protoni per lo studio e la verifica di modelli cellulari ed animali. (codice aoo3?poooii,LATINA,Aprilia,2008,I,1,"578.210,00","289.105,00"
OKAIROS SRL,Sviluppo di un nuovo vaccino contro la tubercolosi fcodice A0032P0021),ROMA,Pomezia,2008,I,1,"835.560,00","417.780,00"
ORTE COMUNE,Rimozione della pericolosita per frana in localita Orte Scalo - a monte della Stazione FS (codice A0005P0019 - CUP G93B090000fi000fil,VITERBO,Orte,2009,II,3,"550.000,00","55.000,00"
OSPEDAL PEDIATRICO BAMBINO GESU',Sviluppo di prodotti innovativi di immunodiagnostica nel campo delle allergie e intolleranze alimentari. fcodice A0031P00371,ROMA,Roma,2007,I,1,"221.100,00","110.540,00"
Ospedale Pediatrico Bambin Gesu IRCCS -,Prodotti innovativi di immunodiagnostica nel campo delle allergie e intolleranze alimentari (codice A0031P0010),ROMA,Roma,2007,I,1,"69.000,00","34.500,00"
PALIANO COMUNE,Messa in sicurezza e caratterizzazione -Cretacci (codice A0007P0013),FROSINONE,Paliano,2009,II,2,"294.439,74",-
PALMER,"Azioni orizzontali e verticali relative alle frontiere tecnologiche: Aerospazio/economia del mare, ICT audiovisivo e economia turistica, Energia, Biotech e Chimico/Farmaceutico (codice snrnnpnnrvn",FROSINONE,Ferentino,2008,I,1,"3.736.000,00","298.880,00"
PARCO NATURALE MONTI AURUNCI,"Allestimento Museo Naturalistico del Parco e volorizzazione reperti paleontologici """"Orme di Dinosauro (codice A0001P0003 - CUP nfiRFOROooo30oo?i",FROSINONE,Esperia,2008,II,4,"280.800,00","28.080,00"
PARCO NATURALE MONTI AURUNCI,Realizzazione sistema sentieristico del Parco Naturale dei Monti Aurunci (codice A0001P0004 - CUP D33F0R0000700021,LATINA,Campodimele,2008,II,4,"294.396,41","29.439,64"
PARCO NATURALE MONTI AURUNCI,"Realizzazione dell'Ecomuseo del Parco Naturale dei Monti Aurunci (pubblicazioni, segnaletica, guida dell'Ecomuseo) (codice A0001P0005 -nipmqraiRnnnnfinnrm",LATINA,Campodimele,2008,II,4,"270.000,00","27.000,00"
PARCO NATURALE MONTI AURUNCI,"Interventi tesi alia realizzazione di aree attrezzate per attivita didattiche-turistiche e ricettive in localita Monte Faggeto, Pozzo Ranucci, e Parco Letterario """"Landolfi""""nei co (codice A0002P0004 - CUP DR6D0R000090002)",FROSINONE,Pico,2008,II,4,"300.000,00",-
PARCO NATURALE MONTI AURUNCI,Interventi di recupero Chiesa Santa Maria Maggiore in Lenola (codice A0002P0005 - CUP D39G0R000070002),LATINA,Lenola,2008,II,4,"300.000,00",-
PARCO NATURALE MONTI AURUNCI,"Interventi per la valorizzazione del patrimonio carsico (doline, inghiottitoi, forre e grotte) (codice A0002P0006 -CUP D3fiH0R0001600021",LATINA,Campodimele,2008,II,4,"300.000,00",-
PARCO NATURALE REGIONALE BRACCIANO MARTTGNANO,Itinerari tra le acque: dalla Mola Vecchia a Martignano (codice A0001P000R - CUP C3RC0700011000R),ROMA,Anguillara Sabazia,2008,II,4,"855.000,00",-
PARCO NATURALE REGIONALE BRACCIANO MARTTGNANO,"Porta del parco - riconversione dell'ex mattatoio comunale in struttura di vista del parco (punto informativo, punto ristoro ed Ecomuseo) (codice A0002P000R - CUP C33G070001R0002)",ROMA,Anguillara Sabazia,2008,II,4,"920.000,00",-
PARCO NATURALE REGIONALE DEI MONTI LUCRETILI,"Nel cuore del parco tra creste, faggete, altipiani e praterie d'altitudine (codice A0001P0002 - CUP B49B0R000090002)",ROMA,San Polo Dei Cavalie,2008,II,4,"277.200,00",-
PARCO NATURALE REGIONALE DEI MONTI LUCRETILI,"Da Monte Matano a Monteflavio attraverso leccete, boschi misti e coltivi (codice A0002P0002 - CUP B29B0R0001400021",ROMA,Monteflavio,2008,II,4,"738.000,00",-
PARCO NATURALE REGIONALE DEI MONTI LUCRETT.LI,Nei boschi misti tra Vicovaro e Campitello (codice A0002P0003 - CUP B59B08000110002),ROMA,Vicovaro,2008,II,4,"474.500,00",-
PARCO REGIONALE DELL'APPIA ANTT.CA,Recupero casali storici della caffarella (codice A0001P0013 - CUP G86H080000400021,ROMA,Roma,2008,II,4,"561.906,00",-
PARCO REGIONALE DELL'APPIA ANTT.CA,Porte di Accesso e Sentieri (codice A0001P0014 - CUP G82D08000920002),ROMA,Roma,2008,II,4,"335.548,80","16.777,44"
PARCO REGIONALE DELL'APPIA ANTT.CA,Area didattica e Sentieri Natura (codice A0001P0015 - CUP G85G08000040002),ROMA,Roma,2008,II,4,"300.807,90","15.040,40"
PARCO REGIONALE DELL'APPIA ANTT.CA,Conservazione cisterne Monumentali (codice A0002P0012 - CUP G82D080009100021,ROMA,Roma,2008,II,4,"319.317,17",-
PARCO REGIONALE DELL'APPIA ANTT.CA,Conservazione cisterne Minori (codice A0002P0013 - CUP G87I08000110002),ROMA,Roma,2008,II,4,"323.413,57",-
PARCO REGIONALE DI VEIO,"II Casalaccio: da Morlupo a Castelnuovo"""", inserito nel Master Plan """"Ecomuseo lungo la via Flaminia a Veio (codice A0001P0011 -CUP Fnpnnannnnnnnai",ROMA,Morlupo,2008,II,4,"351.252,00",-
PARCO REGIONALE DI VEIO,L'Assura (codice A0001P0012 - CUP B32D08000100008),ROMA,Morlupo,2008,II,4,"558.360,00",-
PARCO REGIONALE DI VEIO,I fontanili e le sorgenti e le mole nel territorio di Castelnuovo di Porto (codice A0002P0011 -CUP B42D080000200021,ROMA,Castelnuovo Di Porto,2008,II,4,"814.560,00",-
PARCO SUBURBANO VALLE DEL TREJA CONSORZIO TRA COM.,Valorizzazione del sito medievale di Santa Maria di Castelvecchio (codice A0001P0033 - CUP H22D08000050009),ROMA,Mazzano Romano,2008,II,4,"316.890,01","15.844,50"
PARCO SUBURBANO VALLE DEL TREJA CONSORZIO TRA COM.,Fruizione dell'ambiente fluviale nei pressi del Santuario falisco di Monti Li Santi - Le Rote e valorizzazione della necropoli del Cavone di Monte Li Santi (codice A0001P0034 - CUP Hfi?nnRnnnn?nnn9i,VITERBO,Calcata,2008,II,4,"316.534,33","15.666,66"
PARCO SUBURBANO VALLE DEL TREJA CONSORZIO TRA COM.,"Sistemazione e valorizzazione del sentiero """"Rio"""" da Calcata a Narce e degli sacvi del santuario falisco di Monte li santi -le Rote (codice A0002P0029 - CUP H62D08000030009)",ROMA,Mazzano Romano,2008,II,4,"430.500,00",-
Parco TECNO - TT.BERIS,"Azioni orizzontali e verticali relative alle frontiere tecnologiche: ICT, Aerospaziale, Biotecnologico, Economia dei Servizi Culturali, Energia frndire Anmnpnnrm",ROMA,Roma,2008,I,1,"7.722.500,00","617.800,00"
PATRICA COMUNE,Messa in sicurezza e caratterizzazione -Valesani/Le Cese (codice A0006P0006 -CUP D52J090000300061,FROSINONE,Patrica,2009,II,2,"75.000,00",-
PICINISCO COMUNE,Messa in sicurezza e caratterizzazione -Colleruta (codice A0007P0015),FROSINONE,Picinisco,2009,II,2,"21.516,54",-
PIEDIMONTE SAN GERMANO COMUNE,Messa in sicurezza e caratterizzazione -Signoritti (codice A0007P0014),FROSINONE,Piedimonte San Germa,2009,II,2,"150.000,00",-
PIGLIO COMUNE,Messa in sicurezza e caratterizzazione -Pastene/Piagge (codice A0006P0007 -CUP F15B070000300021,FROSINONE,Piglio,2009,II,2,"170.000,00",-
POGGIO NATTVO COMUNE,Completamento opere di presidio mediante il consolidamento del costone sottostante il centro storico (II Lotto) (codice A0005P0020 - CUP BfiRGrmnnmnnn?!,RIETI,Poggio Nativo,2009,II,3,"1.000.000,00",-
PONZA COMUNE,Interventi di manutenzione in corrispondenza della falesia di Chiaia di Luna (codice A0005P00211,LATINA,Ponza,2009,II,3,"400.000,00","20.000,00"
POSTA FIBRENO COMUNE,POSTA FIBRENO - VICALVI XIV CM. -Messa in sicurezza e caratterizzazione -Campo Gizi (codice A0006P0008 - CUP C55G09003?fi000?l,FROSINONE,Posta Fibreno,2009,II,2,"396.854,70",-
POSTA FIBRENO COMUNE,Completamento struttura 'ex centro ricettivita turistica' -1 lotto -Realizzazione Ostello ecocompatibile con annesso sentiero di collegamento con le sponde del lago in loc. Carpe (codice A0001P0031 - CUP rwmqnnnmnnrm,FROSINONE,Posta Fibreno,2008,II,4,"337.500,00",-
POSTA FIBRENO COMUNE,"Completamento struttura """"ex centro ricettivita turistica"""", 11å¡ lotto, Realizzazione centro visita, laboratori ambientali della Riserva, con annesse aree sosta e servizio (codice Annn?pnn?7 - n ip r^Fnqnnnmnnrm",FROSINONE,Posta Fibreno,2008,II,4,"375.000,00",-
PST dell'Alto Lazio,"Azioni orizzontali e verticali relative alle frontiere tecnologiche: ICT elettronico, Elettromeccanica, Biotecnologie, Energie rinnovabili, Ceramica avanzata, Economia dei Servizi Culturali (codice Anmnpnnrm",RIETI,Rieti,2008,I,1,"3.412.500,00","273.000,00"
RADIM SPA,Biosensori per la determinazione rapida (POCT) della celiachia e delle allergie. fcodice A0032P00151,ROMA,Pomezia,2008,I,1,"628.000,00","314.000,00"
RAPTECH SRL,Servizi di Assistenza Sanitaria su Telefonia Mobile fcodice A0032P00261,ROMA,Roma,2008,I,1,"92.160,00",-
RE.D.D. SRL,Identificazione di biomarcatori diagnostici e prognostici di malattia respiratoria associata a fattori ambientali di rischio (codice A0032P00221,ROMA,Roma,2008,I,1,"245.300,00","122.650,00"
REGIONE LAZIO,Raddoppio tratta Riano - S-Oreste -Han Paradiso (codice A0008P0002 -CUP F74F080000300091,ROMA,Roma,2009,III,1,"192.991.607,60",-
REGIONE LAZIO,Raddoppio tratta Montebello -Riano fcodice A0008P00031,ROMA,Roma,2009,III,1,"25.008.392,42",-
RIPI COMUNE,Messa in sicurezza e caratterizzazione -Tavernola fcodice A0007P00161,FROSINONE,Ripi,2009,II,2,"1.088.678,19",-
RISERVA NATURALE DEI LAGHI LUNGO E RIPASOTTILE,"Sorgenti S. Susanna-Centro Visite Lago Lungo-Fiume S. Susanna"""" fcodice A0001P0019 - CUP I48C08000140008)",RIETI,Poggio Bustone,2008,II,4,"337.500,00","16.875,00"
RISERVA NATURALE DEI LAGHI LUNGO E RIPASOTTILE,Percorso lacustre di Ripasottile - Villa d'Assio - Lama dei Santi fcodice A0001P0020 - CUP I19D08000210002),RIETI,Colli Sul Velino,2008,II,4,"270.000,00","13.500,00"
RISERVA NATURALE DEI LAGHI LUNGO E RIPASOTTILE,Ponte Crispolti - Centro Visite Ripasottile (codice A0002P0016 - CUP I39D08000120008),RIETI,Rieti,2008,II,4,"375.000,00",-
RISERVA NATURALE MONTE NAVEGNA E MONTE CERVIA,"Itinerario storico - religioso: dal Mulino di Nespolo all'area storico -archeologico di Montagliano Sfondato, passando per la Chiesa San Giovanni in Fistola (codice A0001P0027 - CUP r9?m9nnnninnn?i",RIETI,Castel Di Tora,2008,II,4,"369.000,00","18.450,00"
RISERVA NATURALE MONTE NAVEGNA E MONTE CERVIA,Sistema di fruizione per I'interpretazione del paesaggio (codice A0002P0023 - CUP C92I090000000081,RIETI,Castel Di Tora,2008,II,4,"375.000,00",-
"RISERVA NATURALE REGIONALE NAZZANO, TEVERE FARFA",Potenziamento delle imbarcazioni esistenti e centro polivalente per attivita turistica (codice A0001P0032 -CUP C98C080000400081,ROMA,Nazzano,2008,II,4,"360.000,00","18.000,00"
"RISERVA NATURALE REGIONALE NAZZANO, TEVERE FARFA","Potenziamento delle aree attrezzate, allestimento fattoria didattica - acquisto mezzi ecologici (codice A0002P0028 -CUP C981090000000021",ROMA,Nazzano,2008,II,4,"400.000,00",-
ROCCA D'ARCE COMUNE,Messa in sicurezza e caratterizzazione -Sant'Antonio (codice A0007P00171,FROSINONE,Rocca D'Arce,2009,II,2,"481.000,00",-
ROCCA D'ARCE COMUNE,Bivio Strada provinciale accesso Rocca D'Arce via Re Manfredi (codice A0005P0022 - CUP E73B080001900021,FROSINONE,Rocca D'Arce,2009,II,3,"1.250.000,00",-
ROCCA D'ARCE COMUNE,"Dissesti lungo la strada  accesso a Rocca d'Arce -Km 0,0-0,5 (codice A0005P0023 - CUP E73B080001800021",FROSINONE,Rocca D'Arce,2009,II,3,"550.000,00","27.500,00"
ROCCASECCA COMUNE,Messa in sicurezza e caratterizzazione -Tore (codice A0007P00181,FROSINONE,Roccasecca,2009,II,2,"802.000,00",-
ROCCASECCA COMUNE,Messa in sicurezza e caratterizzazione -Pantanelle (codice A0007P00191,FROSINONE,Roccasecca,2009,II,2,"1.659.000,00",-
ROMA AMMINISTRAZIONE PROVINCIALE,"Sistemazione degli approdi della Riserva Naturale del Monte Soratte, di Filacciano e di  Nazzano (codice A0001P0022 - CUP F35G080001200021",,,2008,II,4,"288.000,00",-
ROMA AMMINISTRAZIONE PROVINCIALE,Realizzazione welcome area della Riserva Naturale di Macchia di Gattaceca e del Barco e della Riserva Naturale di Nomentum (codice A0001P0023 - CUP F35G080001300051,,,2008,II,4,"270.000,00",-
ROMA AMMINISTRAZIONE PROVINCIALE,Acquisto di due battelli ecocompatibili (codice A0002P0018 - CUP F60F090000000051,ROMA,Filacciano,2008,II,4,"300.000,00",-
SAN BIAGIO SARACINISCO COMUNE,Rimozione della pericolosita per frana in adiacenza al centro storico e via Pero dell'Orso (codice A0005P0025 - CUP F93B090000200021,FROSINONE,San Biagio Saracinis,2009,II,3,"1.990.000,00",-
SAN GIOVANNI INCARICO COMUNE,Messa in sicurezza e caratterizzazione -Vignarola (codice A0007P0022),FROSINONE,San Giovanni Incaric,2009,II,2,"76.560,00",-
san vrrroRE del lazio COMUNE,Messa in sicurezza e caratterizzazione -Sode (codice A0007P0023),FROSINONE,San Vlttore Del Lazi,2009,II,2,"103.705,92",-
SANTANDREA DEL GARIGLIANO COMUNE,Messa in sicurezza e caratterizzazione -Cardito (codice A0007P0020),FROSINONE,Sant'Andrea Del Gari,2009,II,2,"514.942,50",-
SANTAPOLLINARE COMUNE,Messa in sicurezza e caratterizzazione -Santo Ianni (codice A0007P00211,FROSINONE,Sant'Apollinare,2009,II,2,"300.000,00",-
SANTOPADRE COMUNE,Messa in sicurezza e caratterizzazione -Cappella (codice A0007P00241,FROSINONE,Santopadre,2009,II,2,"80.000,00",-
SAPIENZA - TOR VERGATA -TUSCIA,Controllo della fermentazione e la tracciabilita' nella filiera vino tramite I'uso di tecnologie wireless e RFID fcodice A0031P00391,ROMA,Roma,2007,I,1,"449.500,00","224.750,00"
STRANGOLAGALLI COMUNE,Rimozione della pericolosita per frana via Cerreto (codice A0005P0026 - CUP G52J080001100081,FROSINONE,Strangolagalli,2009,II,3,"1.000.000,00",-
SUPINO COMUNE,Messa in sicurezza e caratterizzazione -Morolense fcodice A0007P0025),FROSINONE,Supino,2009,II,2,"340.000,00",-
SVILUPPO LAZIO S.P.A.,Rano degli interventi AT. Sviluppo Lazio 2008 (codice A0019P0001 - CUP F81I09000130009!,-,-,2009,IV,1,"5.938.000,00","267.264,00"
SVILUPPO LAZIO S.P.A.,Rano degli interventi Incentivi Sviluppo Lazio 2008/15 (codice A0019P0002 -CUP F81I090001600091,-,-,2009,IV,1,"2.190.000,00",-
SVILUPPO LAZIO S.P.A.,Interventi per la valorizzazione e la promozione dei GAC (codice A0019P0003 - CUP F81I090001500091,-,-,2009,IV,1,"478.500,00",-
SVILUPPO LAZIO S.P.A.,Rano di Comunicazione 2009 (codice A0019P0004 - CUP F81I09000140009),-,-,2009,IV,1,"5.900.000,00","1.077.200,00"
SVILUPPO LAZIO S.P.A.,Rano Operativo di Gestione degli Awisi Pubblici e dello Schema di Convenzione tra la Regione Lazio e I'Agenzia regionale per gli investimenti e lo sviluppo (Attivita II.1) (codice Anm9Pnnn7 - nip FRIT090001900091,-,-,2009,IV,1,"435.000,00",-
TECNOPOLO di Castel Romano,"Azioni orizzontali e verticali relative alle frontiere tecnologiche: Aerospazio, Energia, Ambiente (codice A0030P0001)",ROMA,Roma,2008,I,1,"3.074.500,00","245.960,00"
TES TELEINFORMATICA E SISTEMI SRL,Sistema integrato innovativo per campagne di screening mammografico basate su tecniche di pattern recognition del carcinoma mammario. frndire A0032P00201,ROMA,Roma,2008,I,1,"468.540,00","234.270,00"
TTVOLI COMUNE,Completamento consolidamento dei dissesti nel centro storico (codice A0005P0030 - CUP D37H87000000006),ROMA,Tivoli,2009,II,3,"1.200.000,00",-
TOR VERGATA,"Realizzazione di un sistema di integrazione di banche dati esistenti tramine terminali eterogenei tra loro (palmari, smart-phones, portatili) ed in condizioni critiche ( banda ridotta,disturbi , potenza limitata). trnAira 40031 P00331",ROMA,Roma,2007,I,1,"285.000,00",-
TORRICE COMUNE,Messa in sicurezza e caratterizzazione -Cantamerla (codice A0007P0026),FROSINONE,Torrice,2009,II,2,"4.530.355,00",-
"Universita degli studi di Roma ""Tor Vergata"" - Dipartimento di ingegneria dell'Impresa","Caratterizzazione della interazione di radiazione LASER con agenti chimici inquinanti/tossici dispersi in atmosfera per consentire la realizzazione di un dispositivo idoneo al telerilevamento degli agenti stessi, alio scopo di prevenire/mitigare i danni (codice anmipnmu",ROMA,Roma,2007,I,1,"36.200,00","36.200,00"
Universita Cattolica del Sacro Cuore - Facolta di Medicina e Chirurgia - Istituto di Biochimica p Rinrhimira rlinira,"Profilassi dei tumori del cavo orale, faringe e laringe con proteine salivari somministrate con colluttorio (codice A0031P0017)",ROMA,Roma,2007,I,1,"100.000,00","99.720,80"
Universita degli studi della Tuscia,"Creazione di un ""Centro Grandi Apparecchiature"" (codice A0030P0006)",VITERBO,Viterbo,2008,I,1,"2.789.600,00","871.750,00"
Universita degli studi di Cassino,"Veicoli ibridi a trazione elettrica diretta - VITED - mappatura, monitoraggio e prevenzione ambientale - MAMPA -sistemi energetici da fonti integrate rinnovabili - SEFIR (codice A0030P00071",FROSINONE,Cassino,2008,I,1,"5.126.100,00","1.601.906,00"
Universita degli studi di Cassino -Dipartimento DAEMI,Progetto e caratterizzazione di contatti serigrafati su celle solari industriali con emitter poco drogato (codice A0031P00181,FROSINONE,Cassino,2007,I,1,"36.200,00","18.100,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Fisica","Ottimizzazione di particolari strutture di dimensioni nanoscopiche i  ""Poli-Elettrosomi"" (Poly-Electro-Somes, PESo) da impiegare come vettori di farmaco ""multi-drug-delivery"" a rilascio controllato e/o per applicazioni di drug",ROMA,Roma,2007,I,1,"60.000,00","30.000,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Genetica e Biologia Molecolare",Disegno e messa a punto di DNA e LNA chips per I'analisi del profilo di espressione di microRNA in cellule eucariotiche fcodice A0031P00061,ROMA,Roma,2007,I,1,"36.200,00","18.100,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Ingegneria Elettronica",Sviluppo e implementazione di hardware di tecniche di analisi per I'individuazione di segnali radar a bassa probability di intercettazione (codice A0031P00151,ROMA,Roma,2007,I,1,"60.000,00","30.000,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Ingegneria Elettronica","Studiare e formalizzare il problema dell'allocazione delle risorse di memoria su sistemi integrati su singolo chip, ed in particolare architetture di tipo multi-core, tale da considerare sia le prestazioni della macchina sia il consumo energetico (codice anmipnmfil",ROMA,Roma,2007,I,1,"50.000,00","25.000,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Scienze di Sanita Pubblica","Creazione di una biobanco microbiologico: caratterizzazione molecolare di virus, batteri e parassiti di interesse in sanita pubblica e valutazione del rischio di contaminazione degli alimenti (codice flnrnipnmqi",ROMA,Roma,2007,I,1,"36.150,00","18.075,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento di Scienze Neuroloaiche",Sviluppo affinamento e applicazione di tecniche di Risonanza Magnetica (codice A0031P0022),ROMA,Roma,2007,I,1,"50.000,00","25.000,00"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento Fisiologia Umana e Farmacologia",Generazione di un dispositivo di controllo di apparecchiature domotiche basato su segnali Elettroencefalografici e Elettromiografici (codice A0031P0002),ROMA,Roma,2007,I,1,"36.192,05","34.806,53"
"Universita degli studi di Roma ""La Sapienza"" - Dipartimento Fisiologia Umana e Farmacologia",Generazione di un dispositivo di interfaccia cervello computerportatile per applicazioni domestiche che svolga una azione sostitutiva di funzioni motorie eventualmente compromesse iYnrlireAnn?ipnn?Ti,ROMA,Roma,2007,I,1,"36.200,00","36.200,00"
"Universita degli studi di Roma ""Tor Vergata"" - Dipartimento di Biologia",Indagare la fattibilita dell'uso delle larve di libellula nella lotta biologica alle zanzare nell'area italiana per un inserimento di questa pratica nel merratn frndire ADrRIPDm?!,ROMA,Roma,2007,I,1,"80.000,00","40.000,00"
"Universita degli studi di Roma ""Tor Vergata"" - Dipartimento di Fisica",Prototipazione di un sistema integrato di raffreddamento per uso bio-medicale per il raffreddamento autonomo mono-dose a batteria per periodi prolungati in situazioni di emergenza o indisponibilita della catena del freddo (codice A0031P0013),ROMA,Roma,2007,I,1,"36.191,08","18.095,54"
"Universita degli studi di Roma ""Tor Vergata"" - Dipartimento di Medicina Sperimentale e Scienze Rinrhimirhe",Identificazione di nuove molecole organiche ad attivita stimolatrice sul sistema endocannabinoide (codice A0031P0021),ROMA,Roma,2007,I,1,"60.000,00","30.000,00"
Universita degli studi di Roma La Sapienza,"Stazione sperimentale navigante per lo sviluppo di tecnologie innovative per la nautica - SEALAB - Sensoristica interconnessa per la sicurezza  -Laboratorio per lo sviluppo di materiali e dispositivi innovativi micro/nano-strutturati multifunzionali - Tecnologie avanzate per la produzione di farmaci ed intermedi per Hndustria farmaceutica.  - Laboratorio per lo sviluppo di Tecnologie per i Beni Culturali - HERITAGE - LAB  -Innovazione di processo e di prodotto a favore delle PMI. Processi di Prototyping e Rapid Manufactoring  -Laboratorio isola della Sapienza-microcogenerazione distribuita  -Sviluppo e design integration di Mini-Morpher Vehicles - MMV ( mini piattaforme volanti per I'osservazione del territorio ) - Programma integrato per il monitoraggio, la riqualificazione ed il recupero ambientale della Valle del flume Sacco, sito di bonifica di interesse nazionale. - Sviluppo di nuove metodologie terapeutiche basate sull'uso dell' RNA.  - Sviluppo di chips genomici di seconda generazione a basso costo - GeneAccess e sviluppo di",ROMA,Roma,2008,I,1,"8.087.850,00","2.527.454,00"
Universita degli studi di Roma Tor Vergata,"Ricerca e sviluppo di nuovi prodotti di origine vegetale da utilizzare come fitoterapici , integratori alimentari e nutraceutici.  - Soluzioni di supporto per la sorveglianza ed il controllo dell'ambiente urbano ai fini del contenimento delHnquinamento relativo a veicoli ad alimentazione ibrida. -Nuove carte con elevate caratteristiche funzionali e a basso impatto energetico ed ambientale (codice A0030P0009)",ROMA,Roma,2008,I,1,"2.101.950,00","656.859,00"
Universita degli studi di Roma Tre,"Applicazioni delle tecnologie delHnformazione e della comunicazione alHndustria ed ai servizi. - Biotecnologie per la salute e I'ambiente. - Efficienza ed impatto ambientale del trasporto aeronautico  - Analisi, monitoraggio e protezione del territorio e delle risorse -Nuovi metodi ad alto rendimento per la conversione e la conservazione dell'energia. - Studio chimico-fisico e strutturale della materia e dei materiali. (codice A0030P0008)",ROMA,Roma,2008,I,1,"5.894.500,00","1.842.031,00"
"Universita degli studi di Viterbo ""La Tuscia"" - Dipartimento di Ecologia e Sviluppo Economico Snitpnihilp",Sviluppo di metodologie biologiche per il monitoraggio dei corsi d'acqua (codice A0031P0001),VITERBO,Viterbo,2007,I,1,"33.300,00","33.300,00"
VEROLI COMUNE,"Messa in sicurezza e caratterizzazione -Casamari, Pagliaro Murato (codice A0006P0009 - CUP F65B070000600021",FROSINONE,Veroli,2009,II,2,"96.000,00",-
VEROLI COMUNE,"Messa in sicurezza e caratterizzazione -Veroli, Pagliaro Murato/Scalelle (codice A0006P0010 - CUP F65B07000050002)",FROSINONE,Veroli,2009,II,2,"110.000,00",-
VICALVI COMUNE,Messa in sicurezza e caratterizzazione -Pescarola (codice A0007P0027),FROSINONE,Vicalvi,2009,II,2,"10.000,00",-
VICO NEL LAZIO COMUNE,Messa in sicurezza e caratterizzazione -Orneta (codice A0007P0028 - CUP F85B070000200021,FROSINONE,Vico Nel Lazio,2009,II,2,"89.300,00",-
VILLA LATINA COMUNE,Messa in sicurezza e caratterizzazione -Camponi (codice A0006P0011),FROSINONE,Villa Latina,2009,II,2,"155.037,24",-
VILLA SANTA LUCIA COMUNE,Messa in sicurezza e caratterizzazione -Ouerceto (codice A0007P0029),FROSINONE,Villa Santa Lucia,2009,II,2,"898.500,00",-
VITERBO AMMINISTRAZIONE PROVINCIALE,Secondo tratto del raddoppio del collettore del fosso della cupa all'interno del centro abitato (codice A0005P0031 - CUP G78G08000090006),VITERBO,Vignanello,2009,II,3,"1.000.000,00",-
vmcuso COMUNE,Messa in sicurezza e caratterizzazione -Falascuso (codice A0007P0030),FROSINONE,Viticuso,2009,II,2,"75.900,00",-
YLICHRON SRL,LAboratory for High-Throughput OMIC Sciences (codice A0032P0010),ROMA,Roma,2008,I,1,"336.990,00","168.495,00"
