"List of beneficiaries for London, England (last updated 11 January 2010)",,,,,,,,,,,
This table lists the organisations that have been awarded ERDF contracts under the London ERDF 2007-13 programme.  It is split by ERDF Priority & Theme.,,,,,,,,,,,
"Priority 1 : Business innovation, and research & promoting eco-efficiency",,,,,,,,,,,
"Theme 1 : Developing a culture of, and capacity for, creating and using innovation throughout London’s businesses to create sustainable economic growth",,,,,,,,,,,
Name of the beneficiary organisation,Name of the project,Geographical coverage,Description (in project's own words),Year of allocation/year of final payment,ERDF amount awarded,Other public funding allocated,Private funding allocated,Voluntary funding allocated,Total amount paid at the end of the project,Project contact name,Contact email
London Borough of Croydon,Built to Compete,Croydon,"By providing targeted and in-depth advice and guidance to 140 Croydon-based SMEs the Built to Compete project will equip them to enter into the supply chains of major public and private sector organisations and lever in £5 million worth of new business into the borough over the next 3 years.
The project will work with SMEs to help them to develop key policies and procedures, develop bid and tender writing skills and bring together major buyers with the SMEs of Croydon, all with one thing in mind – to do business together.",2009-2012,"£300,000","£300,000",£0,£0,TBC,Jivko Hristov,jivko.hristov@croydonenterprise.com
East London Small Business Centre Ltd,Access to New Markets for the Fashion Sector,"Tower Hamlets, Newham","This project will provide hands on business support for young/designers/makers in the clothing industry based in Tower Hamlets/Newham, working towards accessing new markets, future growth and sustainability, with an emphasis on viability during a difficult economic downturn in the economy  Thereby, increasing business and employment opportunities culminating in strengthening the boroughs economic and business base.  The objective of the project is to promote designers by opening up new opportunities created by marketing opportunities, ability to embrace change, supporting clients at events, introducing networking events and working with other international trade teams.  ELSBC will continue to support viable clothing businesses with short term clothing loan funds to service orders and loans for expansion when needed.  ",2009-2011,"£150,000",£0,"£150,000",£0,TBC,Pauline Barnett,paulineb@goeast.org
Greater London Enterprise Ltd,Global London,Pan London,"The aim of the GLOBAL London project is to promote social and economic cohesion by enhancing high-level sustainable growth, competitiveness and productivity of new and established businesses in London, strengthening existing entrepreneurs and creating more and better jobs through international trade opportunities.",2009-2011,"£5,040,000","£5,068,000",£0,£0,TBC,Ketevan Moseshvili,ketevan.m@gle.co.uk
Greater London Enterprise Ltd,Diverse Supply Links,Pan London,"Diverse Supply Links project engages with London’s priority groups, delivering awareness-raising and advice and enabling London SMEs to understand and exploit supply chain opportunities through community business networks. The project strengthens London-diverse SMEs by helping them get ready to supply, to access procurement opportunities, and to develop and improve their environmental performance (thus leading to sustainable growth).   It is delivering 310 businesses assisted, creating  45 new jobs and safeguarding  80 jobs and generating  £2.9M sales through procurement. It is also improving the performance of 150 SMEs through introducing them to the benefits of supplier diversity and good green credentials. ",2009-2011,"£315,608","£135,000",£0,"£180,608",TBC,Peter Thackwray,peter.t@gle.co.uk
London Borough of Camden,iCam 2,Camden & Islington,"The Camden & Islington Sustainable Procurement Project is an integrated service run by a team very experienced business support and procurement experts that will implement an innovative outreach and support programme designed to enable SME’s, particularly those that are minority led, to become “fit to supply” sustainable goods and services to a new easily accessible supply chain created by the projects partnership with major public and private sector organisations in the borough of Camden and Islington.",2009-2011,"£238,696","£191,821",£0,"£46,875",TBC,Sandi Phillips,sandi.phillips@camden.gov.uk
West London Business,Gateway Asia,"West London: Ealing, Hillingdon, Hounslow, Brent, Harrow, Hammersmith and Fulham and in South London: Croydon and the surrounding area","Gateway Asia will provide a targeted, coherent package of support for BAME businesses and other SMEs to address barriers of accessing international markets, focusing particularly on emerging markets like India and China to increase business performance, encourage two way trade, investment and joint ventures. 
The project will deliver 200 Businesses Assisted, Create 60 jobs and generate £1,425,000 million sales in new markets. It will provide a co-ordinated, well-designed programme building on existing activities delivered by UKTI (e.g. Passport to Export, High Growth Markets programme) and delivered by an experienced  partnership that understands the potential of the market.  ",2009-2012,"£600,000","£465,000","£135,000",£0,TBC,Frank Wingate,fwingate@westlondon.com
London Borough of Hillingdon,Heathrow Area Supply Chains,Pan London,"The project will assist 250 SMEs in Hillingdon, Ealing and Hounslow to access major local supply chains, including those at Heathrow Airport and in the public sector. It will be delivered by a partnership led by the London Borough of Hillingdon, and including BAA Heathrow, that has been collaborating since 1997 on supply chain programmes in the Heathrow area. The project builds on the experience gained by partners over the last 12 years to create a programme that will add measurable value for local SMEs.",2009-2012,"£295,000","£115,000","£180,000",£0,TBC,Nigel Cramb,ncramb@hillingdon.gov.uk
London Development Agency,Supply London (Phase 2),Pan London,"Supply London is a major 2.5 year programme designed to coincide with the launch of public sector and Olympic contracts on CompeteFor.  Supply London aims to increase the likelihood of SMEs, particularly diverse SMEs, to succeed in their bids by developing their strengths to identify opportunities, complete PQQs and successfully bid for contracts to both public procurers and private sector contractors and sub-contractors.  Supply London will address both 'hard' skills (such as bid-writing skills and understanding how to build consortia) and 'soft' skills such as pitching and making the most of networking such as meeting buyers.",2008-2011,"£1,375,000","£1,375,000",£0,£0,TBC,Rickard O'Connell,rickardoconnell@lda.gov.uk
HBV Enterprise,New Markets for Hackney Enterprise,Hackney,"The project will work closely with Hackney Council’s Enterprise Network to recruit local SMEs operating in disadvantaged communities, many of whom are currently unable to access development support existing to assist with competitiveness and new market opportunities such as internationalisation, procurement and supply chain development, and environmental enterprise.  A range of proven support tools will be used to build confidence, knowledge and capacity, so that SMEs are enabled to directly enter new markets, or access support projects that will help them progress and become ‘fit to supply.’  Project partners will provide high level support and access to tangible supply opportunities. ",2009-2011,"£276,000","£276,000",£0,£0,TBC,Viv Abbott,Viv@hbv.org.uk
Islington Training Network,Cultural Business Investment,"Islington, hackney, Tower Hamlets, Haringey","The CBI project addresses the economic and marketing barriers faced by a large number of BAME and female owned SMEs within the fashion, craft, beauty to cultural business clusters in specific deprived areas of London. Through initiating cross-sector collaborations and value-added specialist knowledge transfer, it will offer product targeting/differentiation, product branding, consumer-focused promotions, marketing advice and joint sales initiatives to support economic rejuvenation, competitiveness and sustainable growth of 250 cultural, creative and related service industries within the east, north and surrounding boroughs of London, including those in the Olympic zones of Hackney, Tower Hamlets and Newham. ",2008-2011,"£650,000","£199,996","£299,992","£150,012",TBC,Toyin Fagbemi,toyin@itn.org.uk
Newham College of Further Education,Fit for Business,"The 4 Olympic boroughs of East/north east of London: Tower Hamlets, Hackney and Waltham Forest","“Fit for Business” will assist 350 SMEs in 4 Olympic boroughs to become ‘fit to supply’ enabling them to take advantage of emerging opportunities through regeneration initiatives including the 2012 Olympics/Paralympics, Thames Gateway, Stratford City, the Royal Docks developments and other growth markets in the City and east London. It will achieve this through a comprehensive and tailored programme of business action planning, counselling/mentoring, and support in marketing, branding, procurement and related areas. The project is sponsored by a powerful cross-sectoral partnership including Business Link, Prevista, Deltaclub, THC, Bovis Lendlease and BAME and women’s business organisations.",2008-2011,"£509,999","£260,000","£250,001",£0,TBC,Diane Gowland,diane.gowland@newham.ac.uk
Newham College of Further Education,London Style,Pan London   ,"This project provides specialist business support to design SMEs in the Fashion, Jewellery and Accessories sector enabling them to access new markets in the fashion industry supply chain including overseas markets. It meets the growing demand for products, demonstrating high ethical and environmental standards. Supported by a powerful cross-sector partnership, it is delivered from the Academy at the Fashion and Textile Museum (FTM), a unique London-based hub for the fashion industries. FTM resources are used to develop and showcase new designs and products, through exhibitions, computer suites with the latest industry CAD/CAM software, fully-equipped production workshops and the FTM archive.",2008-2011,"£749,999","£525,001","£225,000",£0,TBC,Diane Gowland,diane.gowland@newham.ac.uk
North London Business,Exporting Success - The Export Escalator,"Haringey, Enfield and Waltham Forest, with additional delivery in Islington, Camden, Barnet, Hackney, and some pan-London.","A programme led by North London Business, through a partnership with the UKTI, Prevista, Delta Club, North London Chamber of Commerce, Tottenham partnership, Argall Bid Company and the Enfield Enterprise Agency. Our ‘Export Escalator’ will assist local SME’s in identifying and realising their export potential. The activities include: business engagement, diagnostic review; export potential report;   4 new Export Clubs, with dedicated export desks; training programme (export strategy, export communications review and export marketing scheme) and mentoring. Supporting 500 SME’s, with 25% increasing export activities and generating new sales revenues of £5million.  Haringey, Enfield and Waltham forest will partner.",2009-2012,"£840,000","£110,000","£730,000",£0,TBC,Gary Ince,gary.ince@northlondonbusiness.com
Social Enterprise London CIC,Tender Readiness For Social Enterprise,Pan London,"A ground breaking project designed to assist social enterprises to access new markets and diversify funding streams whilst maintaining their social purpose. Using a comprehensive and co-ordinated package of specialist support, managers and leaders from social enterprises will be supported to capacity build their organisations to access new markets through tendering and improved marketability.  Awareness raising activities will be complemented by holistic 1:1 support from specialist advisers plus mentoring from mainstream business leaders, resulting in social enterprises being tender ready. Underpinned by sustainability, collaborations of social enterprises and mainstream business will access to new markets enabling tenders to be successful. ",2008-2011,"£1,500,000","£723,755","£550,000","£226,245",TBC,Angela Heap,angela@sel.org.uk
South East Enterprise Limited,Sustainable Sales Growth Challenge,Greenwich and Lewisham,"This project provides a focus on growth built upon new market opportunities.  SME’s will be assisted to identify and exploit new market opportunities that exist in South East London, the Thames Gateway and beyond. These opportunities include underserved markets, the growth in demand for environmental products and services, opportunities stemming from local regeneration and the further potential for international sales.  The businesses will benefit from bespoke support, master classes and coaching to assist their business growth. ",2008-2011,"£256,000","£256,000",£0,£0,TBC,Jeremy Hedger,jeh@seenterprise.co.uk
University of East London,Eureka,"Barking & Dagenham, Newham, Havering, Tower Hamlets, Hackney, W/Forest, Havering, Kingston Upon Thames","The project will set up and run an Environmental Technologies (ET) network, connecting SMEs with knowledge from within UEL’s Sustainability Research Institute, KnowledgeEast, Kingston University, WestFocus.  The network will offer advice, peer support and supply chain connections to help SMEs access new market opportunities. It will form the business application network for HE expertise and knowledge, including learning generated out of IfS activities (i.e. knowledge on sustainability good practice from the regeneration of the Gateway), in tandem with the vision for the Sustainable Industries Park (SIP) to position East London as the focus for ET business.",2008-2011,"£334,132","£334,132",£0,£0,TBC,Linsey Cole,l.cole@uel.ac.uk
Westminster City Council,Supply Cross River,"Lambeth, Southwark, City of Westminster and the City of London","Supply Cross River will open up the enormous purchasing power of companies and organisations in Westminster, City, Lambeth and Southwark to SMEs across the sub-region, creating local supply chains and spreading growth. It will help SMEs to access private and public sector contracts through “fit to supply” support and will promote supplier diversity and sustainable procurement to major buyers. By mapping contract and supply chain opportunities and matching them to SME profiles it will increase the amount of contracts won, sales generated and improve business performance. Working at a sub-regional level, it will embed sustainable procurement practices into the central London economy.",2008-2011,"£1,168,402","£1,168,402",£0,£0,TBC,Maku Obuobi,mobuobi@westminster.gov.uk
Priority 3 : ,,,,,,,,,,,
Land Restoration Trust,Dagenham Washlands,Barking and Dagenham & Havering,"The Dagenham Washlands Enhancement Project will provide 53 ha of multifunctional open space within Dagenham whilst protecting public and private sector investments valued at c£1.5billion. The project seeks to improve, enhance and manage landholding in perpetuity, delivering a range of economic, social and environmental benefits. The project accords with key elements of the Governments ‘Parklands’ strategy with an aim to: • provide strategic access corridors along the river tributaries and green areas; • manage water collection, cleansing and flood risk with multifunctional spaces and; • provide a beautiful, diverse and managed landscape to the highest standards for people and wildlife.",2010-2012,"£1,576,288","£2,927,392",£0,£0,TBC,Jonathan Ducker,jonathanducker@landrestorationtrust.org.uk
London Borough of Bexley,Belvedere Green Links,Bexley,The project will provide environmental and transportation improvements to the Belvedere Employment Area as a major step in implementing the Belvedere Development Framework.  It will improve connectivity within the area by providing an internal link road and access to transport termini and open space.  It will enhance the environmental quality of the area creating an attractive environment for investors.  The project is sponsored by the London Borough of Bexley in partnership with Communities and Local Government and London Development Agency Thames Gateway Parklands.,2008-2011,"£3,000,000","£6,708,000",£0,£0,TBC,David Eyre,david.eyre@bexley.gov.uk
London Borough of Havering,Rainham Gateway Greenspace,Havering,"The project entails physical improvement works to the buffer zone between the Rainham Employment Area and the western edge of Wildspace and the proposed Rainham Marsh Local Nature Reserve.  The works will substantially improve the setting of the employment site; improving its environmental quality, increasing its attractiveness for inward investors and providing direct access to the adjoining nature reserve for employees and the general public.  It is being sponsored by the London Borough of Havering in collaboration with the RSPB, LTGDC and others and represents the culmination of over five years partnership working.",2008-2011,"£1,410,000","£2,217,456",£0,"£401,116",TBC,Robert Flindall,bob.flindall@havering.gov.uk
London Borough of Tower Hamlets,Whitechapel Enterprise & Employment Centre,Whitechapel Ward in Tower Hamlets,"The project is a BAME community-led partnership between the Council and voluntary sector providers to reconfigure the Whitechapel Centre to create much needed affordable and sustainable workspace, training and community facilities which will result in an income-generating asset.  It will include. 482 sq m of additional lettable space for businesses and social enterprises. The main development proposal includes : 837 sq m of workspace, 69 sq m of new business training/meeting space and 329 sq m of exhibition space at roof level. Enterprise support programmes will support the growth of local businesses, particularly start-ups, women's and social enterprises and local entrepreneurs. Work with young people will meet the needs of our young population, in particular tackling youth unemployment and inactivity. A 'Community Hub' will address worklessness.",2008-2011,"£500,000","£1,125,960",£0,£0,TBC,Chris Holme,chris.holme@towerhamlets.gov.uk
Park Royal Partnership,Sustaining Park Royal's Business Environment,"Brent, Ealing, Hammersmith & Fulham","This project will facilitate job sustainability and job creation on the Park Royal Estate through improving access to employment sites and public realm improvements including creating accessible green spaces, improved lighting and targeted grant support to facilitate environmentally sound business improvements.  Working with the private sector, it will deliver environmental improvements that are aligned to developments on the Park Royal Industrial Estate to address the physical degradation and decline of the area that impacts on inward investment and employee recruitment and retention.  It will deliver significant tangible outputs including the creation of 80 jobs, 150 SME’s assisted and 4,000m2 of new floorspace.",2008-2011,"£612,500","£350,000","£787,500",£0,TBC,Mohit Garg,MGarg@parkroyal.org 
Ravensbourne College of Design & Communication,Ravensbourne Business Eco-Incubator,Greenwich,"Ravensbourne College is relocating to the Greenwich Peninsula. As part of this move, the College will be creating 600m2 of new, eco-efficient space for SMEs in a state of the art building. Situated in a location providing a high quality, sustainable environment, ERDF monies will be used to ensure the provision of low carbon incubator space, incorporating new technologies and a suite of environmentally sustainable features which will improve businesses’ environmental performance. The facility will positively contribute to the climate change agenda and the protection of natural resources, and will promote environmental awareness and best practice to its users. ",2008-2011,"£1,525,000","£2,835,000",£0,£0,TBC,Bob Harris,b.harris@rave.ac.uk
European Investment Bank,JESSICA,Pan London,"The aim of the JESSICA scheme is to establish a £100m investment vehicle - JESSICA Holding Funding - that will provide repayable investments for environmentally sustainable infrastructure.  The JESSICA Holding fund, which is managed by the EIB, will make contributions to two smaller funds, called urban development funds (UDFs), one focusing on decentralised energy systems/district heating and the other on waste infrastructure.  The UDFs will, in turn, provide funding for infrastructure projects in the form equity, loan or guarantee.",2009,"£50,000,000","£50,000,000",£0,£0,TBC,Frank Lee,lee@eib.org
Shoreditch Trust,Digital Green Technology Workspace Centre,London Borough of Hackney,"The Centre will regenerate the largest derelict site in South Shoreditch, providing flexible SME accommodation.  It will include office and presentation space for SMEs as well as ICT workspace, enabling co-location of ICT infrastructures.  It will innovate through the application of ICT to create new models for workspace sustainability.  The office space will be equipped with thin clients that use 98% less electricity than PCs and the building will incorporate Europe’s first business implementation of DEHEMS -an advanced building management system that provides a real time carbon footprint and energy efficiency rating.  The ICT workspace will be the greenest facility of its type in Europe, with advanced use of CCHP power to deliver the first tri-generation model for a data centre. ",2008-2011,"£2,401,449",£0,£0,"£4,987,825",TBC,Atul Hatwal,atul@shoreditchtrust.org.uk
London Borough of Barking and Dagenham,Sustainable Managed Workspace in LBBD,London Borough of Barking and Dagenham,"LB Barking and Dagenham plans under its LEGI programme will deliver 60,000 sq ft of new managed workspace in two locations by 2011.  The first of these will be in Dagenham and is the subject of this bid.  It will deliver numerous economic and social outcomes in a flagship high profile development in one of the Borough’s most deprived wards. This funding bid aims to ensure the flagship building is also an environmental exemplar achieving BREEAM ‘excellent’ rating or beyond. When fully occupied between 21 and 25 businesses (depending on sub division) in office and workshop space and approximately 90 employees will benefit from reduced energy costs and improved environmental well-being.  The centre will provide a strong practical demonstration of sustainability to the SME community.",2009-2012,"£205,877","£22,100","£360,243",£0,TBC,Kelly Morre,Kmoore@barking-dagenham.gov.uk
Priority 4 : ,,,,,,,,,,,
European Programmes Management Unit/London Development Agency,EPMU TA 1,Pan London,"London has been allocated approximately £135m of funding under the 2007-2013 ERDF Programme. ERDF will enable the European Programmes Management Unit (EPMU) to put together a skilled team, situated within the LDA and charged with the effective delivery of the Programme. Working closely with the Mayor, EPMU aims to deliver a coherent regeneration agenda for London, ensuring Londoners get maximum benefit from ERDF. ",2007-2010,"£1,381,781","£1,381,781",£0,£0,TBC,Louise Murch,louisemurch@lda.gov.uk
London Development Agency,Access to Finance Scoping Study,N/A,"The scoping study is to establish the scale and type of provision required to assist those SMEs having difficulties accessing finance – that is, to determine the SME finance gaps in London. Various studies and data indicate the need for continued public sector intervention. However, the studies and data are insufficiently detailed to determine the exact funding gaps in London, if any.  A scoping study is required to establish the type, size and scope of funding needed by London’s SMEs. ",2008-2009,"£24,352","£24,352",£0,£0,TBC,Eric Osei,ericosei@lda.gov.uk
