Organisation Name,Project Name,Value,Delivery Partners,Start Date,End Date,,
ACTION ACTON LIMITED ,"Young Offenders in Custody & the 
Community","£210,000.00 ","Feltham YOI 
Community 
Chaplaincy, Intuition PIMMS, Mel Productions ",1/1/09,31/12/2010 ,,
"AKADEMI SOUTH ASIAN 
DANCE UK ",ReAct  ,"£340,919.50 ","Bharatiya Vidya Bhavan, Brent Connexions, Copland Community School, Patidar Samaj Community Organisation (Brent)",17/01/2009 ,31/12/2010 ,,
"AMICUSHORIZON GROUP 
LIMITED ",Y/S01 ,"£87,499.30 ",SLFHA Ltd. ,10/1/09,31/12/2010 ,,
ASPHALEIA LIMITED ,"Youth Engage 
Support (YES) 2 ","£62,498.98 ","Phoenix 
Community Care ",1/12/08,30/11/2010 ,,
ASPHALEIA LIMITED ,"Youth, Engage, 
Support (YES) ","£195,338.70 ","Hillingdon Social 
Services, Hillingdon LACEd, Rosedale College, Connexions ",1/8/08,31/12/2010 ,,
ASPHALEIA LIMITED ,"Time 2 Learn 
(T2L) ","£437,765.00 ","Hillingdon Social 
Services Child 
Asylum Team, Hillingdon Social NEET Team, Hillingdon Social Services LACEd Team, Connexions",1/8/08,31/12/2010 ,,
BE TOTALLY YOU ,Be Totally You ,"£216,292.00 ","Deptford Green 
Secondary School, London East 
Connexions, Sydenham Secondary school, Voluntary Action Lewisham ",1/11/08,31/07/2010 ,,
BE TOTALLY YOU ,Be Totally You ,"£415,949.00 ","Deptford Green 
Secondary School, London East 
Connexions, Sydenham 
Secondary school, Voluntary Action Lewisham ",1/11/08,31/07/2010 ,,
"BUSINESS AND EDUCATION 
LONDON SOUTH ","Jumpstart 
Employment & 
Develop your 
Initiative (JEDI) ","£702,342.82 ","Bromley London Borough Council, Croydon Education Business Partnership, Kingston and Merton Education Business Partnership, Richmond upon Thames London Borough Council, Kingston upon Thames Royal Borough Council, Sutton London Borough Council, Young Enterprise London, NLP Academy, Sutton and District Training Ltd.",1/10/08,30/11/2010 ,,
"CAREERS DEVELOPMENT 
GROUP ",Skills for Jobs ,"£354,812.00 ",,1/9/08,31/03/2010 ,,
"CAREERS ENTERPRISE 
LIMITED ","ESF NEET 
Project  ","£705,000.00 ","Lewisham College, The Prince's Trust, Barking College, Lewisham EBP, Motorvations, LFB",1/11/08,31/12/2010 ,,
"CERTIFIED COMPUTING 
PERSONNEL LTD ","Kick Start 
Programme ","£42,000.00 ","Youth Offending 
Service, Job Centre Plus, Connexions, Local Authorities",1/4/09,31/03/2010 ,,
CFBT EDUCATION TRUST ,FOCUs ,"£285,000.00 ","Hillingdon Borough 
Council ",1/12/08,30/11/2010 ,,
CITY GATEWAY LIMITED  ,"Early Intervention 
IAG ","£433,990.60 ","Lifeline, Tower Hamlets Hub, Southwark, Hackney & Barking and Dagenham 14-19 Partnership ",1/7/08,30/11/2010 ,,
CITY GATEWAY LIMITED  ,"Personalised 
Post-16 Inclusion 
Places ","£356,692.70 ","Pecan, Lifeline, Tower Hamlets Hub, Southwark, 
Hackney and 
Barking & 
"NEWHAM COLLEGE OF 
FURTHER EDUCATION ",Reskill & Renew ,"£140,855.80 ","Bovis 
Lendlease, Eden Project, London Borough of Newham, CISCO, SET Solutions, SET Solutions, Greenfile Development ",1/11/08,31/12/2010 ,,,,,
"NORTH HERTFORDSHIRE 
COLLEGE ",Not Available ,"£450,786.00 ",,14/09/2009 ,31/12/2010 ,,,,,
"ORPINGTON COLLEGE OF 
FURTHER EDUCATION ","Childminding 
Challenge ","£255,000.00 ","The 
Childcare Company ",1/1/09,31/12/2010 ,,,,,
"PORTOBELLO BUSINESS 
CENTRE ",Winning at Work ,"£780,000.00 ","London 
School of 
Accountancy, London 
Enterprise 
College, Thames Valley University  ",1/11/08,31/10/2010 ,,,,,
PREVISTA LTD ,"Better Skills 
Brighter Future ","£759,202.50 ","Barnet 
College, City & Islington, Computer Gym, Camden ITEC, Newham College, Ealing Hammersmith and West London College",1/8/08,31/07/2010 ,,,,,
QVQ LTD ,Not Available ,"£717,288.50 ",,14/09/2009 ,31/12/2010 ,,,,,
RUSKIN PRIVATE HIRE LTD ,Not Available ,"£1,541,170.50 ",,14/09/2009 ,31/12/2010 ,,,,,
"SKILLS & ENTERPRISE 
DEVELOPMENT ACADEMY 
(SEDA)  ",E/S03 ,"£407,195.00 ","Maybloom 
(UK) Limited 
(MT), Somali Welfare Centre (SWC), CTC Training Limited (CTL), Lea Valley College (LVC), United College (UC)",1/11/08,30/08/2010 ,,,,,
SKILLS FOR HEALTH ,ESF London 03  ,"£529,750.00 ","Barnet 
College, Information Horizons, Quay Assessment Training Ltd, Santy ",1/11/08,31/10/2010 ,,,,,
STANMORE COLLEGE ,"Level 3 Child 
minding ","£254,999.45 ","Mapalim 
Limited ",1/11/08,31/10/2010 ,,,,,
"SUTTON CENTRE FOR THE 
VOLUNTARY SECTOR 
CHARITY COMPANY ","Up Skill South 
London ","£733,050.00 ","Merton 
College, Croydon College, Community Network Training, Amani Training, Share Community, Community Centre for Technology, CTC Training & Employment Ltd, Dering Employment Services, Business To Business, Elthorne Learning Centre, Grenfell Housing Association, St Giles Trust",1/9/08,31/08/2010 ,,,,,
THAMES VALLEY UNIVERSITY ,Bridge The Gap ,"£660,000.00 ","Portobello 
Business 
Centre, Uxbridge College, Account3 Women's Consultancy Service ",1/9/08,31/08/2010 ,,,,,
"THE COLLEGE OF HARINGEY, 
ENFIELD AND NORTH EAST 
LONDON ",REACH ,"£1,536,000.00 ","Barnet 
College, Enfield College, Southgate College, Waltham Forest College ",1/11/08,31/10/2010 ,,,,
"THE COLLEGE OF HARINGEY, 
ENFIELD AND NORTH EAST 
LONDON ",UPLIFT ,"£750,000.00 ","Barnet 
College, Enfield College, Waltham Forest College ",1/11/08,31/10/2010 ,,,,
"THE SKILLS PARTNERSHIP 
LIMITED ","ESF London L2 
provision ","£701,500.00 ","Fitpro 
(Fitness 
Professionals 
Ltd) ",1/10/08,30/09/2010 ,,,,
TNG LIMITED ,"Level 3 & 4 
Leadership & 
Management ","£720,000.00 ","Quay 
Assessment, The Portable Group ",1/10/08,30/09/2010 ,,,,
TRADES UNION CONGRESS ,"Union Learning 
Representatives ","£318,696.75 ","Trade Unions 
representing 
Adult 
Learners in 
London, Lewisham College, CoNEL, WEA, West Thames College",5/1/09,31/12/2010 ,,,,
TRIBAL CONSULTING LIMITED ,"Forward through 
Leadership ","£694,920.00 ","Tribal 
Education 
Limited ",1/10/08,31/12/2010 ,,,,
"WIDOWS AND ORPHANS 
INTERNATIONAL ",Not Available ,"£573,749.00 ",,1/9/09,31/12/2010 ,,,,
"ACTON TRAINING CENTRE 
LIMITED ","My Job MY 
Future  ","£3,090,660.00 ",,20/04/2009 ,31/12/2010 ,,,,
"CITY AND ISLINGTON 
COLLEGE ","Response to 
Redundancy ","£2,060,420.00 ",,20/04/2009 ,31/12/2010 ,,,,
CROYDON COLLEGE ,"Response to 
Redundancy ","£2,317,960.00 ",,20/04/2009 ,31/12/2010 ,,,,
"HAVERING COLLEGE OF 
FURTHER AND HIGHER 
EDUCATION ","Response to 
Redundancy ","£1,803,030.00 ",,20/04/2009 ,31/12/2010 ,,,,
"SOUTH LONDON BUSINESS 
LIMITED ","Response to 
Redundancy ","£2,318,100.00 ",,20/04/2009 ,31/12/2010 ,,,,
TBG LEARNING LTD ,"Response to 
Redundancy ","£1,545,270.00 ",,20/04/2009 ,31/12/2010 ,,,,
"THE COLLEGE OF HARINGEY, 
ENFIELD AND NORTH EAST 
LONDON ","Rapid Response 
to Redundancy ","£1,803,000.00 ",,20/04/2009 ,31/12/2010 ,,,,
TOWER HAMLETS COLLEGE ,"Response to 
Redundancy ","£2,060,550.00 ",,20/04/2009 ,31/12/2010 ,,,,
