organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
ENABLE Scotland,Moving forward in Employment for People with Learning Disabilities,"780,666",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Forestry Commission Scotland,Modern Apprenticeship Scheme,"433,454",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Glasgow City Council,Metro West Business Subsidy,"632,987",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Glasgow South East Regeneration Agency,"Retention, Aftercare and Process (RAP)","311,296",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Glasgow South West Regeneration Agency,South West Glasgow Progression in Work,"685,817",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Kibble Education and Care Centre,Men Care 2,"439,735",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Kilmarnock College,Workforce Plus,"106,918",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Midlothian Council (New Leaf Adult Guidance Service),Employment Development and Upskilling Project,"275,218",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Momentum Scotland Ltd,Pathways - Early Intervention / Job Retention Project,"91,140",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
North Ayrshire Council,Skills for Growth,"277,801",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Perth College,CfE - Growing Enterprise and Management Skills,"85,581",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Renfrewshire Council,West Central Job Rotation (Workforce Development),"168,634",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Chambers of Commerce,Business Mentoring Scotland,"846,493",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Council for Voluntary Organisations,Moving On,"272,363",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Council for Voluntary Organisations,Women and Leadership,"217,187",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Enterprise,Delivering Business Improvement Techniques with Scotland's Manufacturing Sector,"907,200",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Stow College,Lowlands & Uplands Trade Union Education,"88,453",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Action Group,Progressing to Better Real Jobs,"410,929",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Adam Smith College,Skills for Scotland,"2,895,545",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Robert Gordon University,Business Skills for Growth,"185,255",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Thistle Foundation,Ordinary People - Extraordinary Support,"989,457",European Social Fund,"2 Years, 11 Months",,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Wise Group,STEP UP (Workforce Development),"235,842",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Tourist Board Training Ltd,Increasing Skills in the Tourism Industry,"577,035",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
University of Abertay Dundee,Embreonix,"132,844",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
West Lothian College,West Lothian SME Workforce Development,"210,514",European Social Fund,"2 Years, 4 Months",,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Workers' Educational Association (WEA),WEA Employee JobRotation (Ayrshire),"304,347",European Social Fund,"2 Years, 2 Months",,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Angus College,Virtual Learning for Angus,"120,683",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Coatbridge College,Learning for Employment for Migrants,"87,010",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Common Knowledge (CKCK),CK Works,"101,103",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Dundee College,Employment Driver-Supporting Disabled People,"237,323",European Social Fund,"2 Years, 6 Months",,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Edinburgh Business Development,Industry Alliance for Jobs Hubs Infrastructure,"742,400",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Glasgow Metropolitan College,Accessible Learning@GlasgowMET,"91,839",European Social Fund,"1 Year, 6 Months",,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Kibble Education and Care Centre,The Learning Zone,"298,422",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Motherwell College,E-Learning Skills for Offenders,"211,255",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
North Lanarkshire Council,Learning Pathways to Employment,"183,347",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Reid Kerr College,Greater Opportunities and Access to Learning (GOAL),"967,147",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Rosemount Lifelong Learning,Rosemount Lifelong Learning Demonstration Project,"460,712",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Enterprise,Developing a Learning Infrastructure to support Scotland's Productivity Agenda,"213,750",European Social Fund,2 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Qualifications Authority,TranSET,"609,229",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Qualifications Authority,S4S (Skills for Scotland),"152,733",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
Scottish Trades Union Congress,Union Learning Programme for Scotland,"1,500,000",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
South Lanarkshire Council,Core Connex,"270,253",European Social Fund,3 Years,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
The Adam Smith College,Creating Equal Access to Education (CREATE),"730,020",European Social Fund,1 Year,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ESF2.pdf
