"Project Title and PPIMS case ID","Priority and Theme","Strategic Framework","Beneficiary or Sponsor","Estimated Start Date and project duration","WEFO Project Development Officer ","Project Aim ","National Funding","ERDF Grant"
"LCRI (80366)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","Cardiff 
University ","Late 2009 
(5 years) ","Jacky Doran 
01685 
729376 ","The aim of the 
programme is to pull 
together expertise on 
energy research and 
facilitate, through the 
Low Carbon 
Research Institute 
(LCRI), a strategic co-
ordinated approach to 
the industrial energy 
research & 
development sector in 
Wales, in 
collaboration with 
Industry. The project 
will co-ordinate 
funding allocations to 
industrial energy 
research projects in 
alignment with the 
themes of the LCRI. ",8900000,15300000
"Social Enterprise Growth Fund (80424)","Priority 5 
Theme 2 ","Community 
Economic 
Development ","Ceredigion 
County Council ","Late 2009 
(4 years) ","Kerry 
Charles 
01685 
729368 ","The project will 
stimulate the growth 
of new and existing 
social enterprises in Ceredigion resulting 
in increased 
employment and 
increased turnover.  ",500000,1500000
"The Waterfront City (80402)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre 
renewal) ","City & County of 
Swansea ","Late 2009 
(6 years) ","Janet Lewis 
01267 
225473 ","The project will 
continue the 
regeneration of 
Swansea�s waterfront.",18800000,19700000
"Technium Pan �Wales (80312)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2009 
(6 years) ","Jacky Doran 
01685 
729376 ","Creation of an 
effective pan Wales 
network of innovation 
centres that provide 
business support 
designed to 
accelerate their 
growth and 
development while in 
the network. ",9100000,7200000
"Llanelly House (80342)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre 
renewal) ","Carmarthenshire 
Heritage 
Regeneration 
Trust ","Late 2009 
(2.5 years) ","Janet Lewis 
01267 
225473 ","The project will 
restore one of 
Llanelli�s most historic 
buildings and turn it 
into a community 
heritage centre.  ",5500000,1900000
"Strategic Regeneration Programme for Blaenau Ffestiniog (80385)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre 
renewal) ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2009 
(4 years) ","Linda 
Weaver 
01970 
613287 ","The scheme will 
revitalise Blaenau 
Ffestiniog town centre 
through a series of 
renewal schemes 
outlined in the 
Blaenau Ymlaen 
Regeneration 
Strategy. ",4400000,3100000
"CRT Social Enterprise Grant Scheme (80217)","Priority 5 
Theme 2 ","Community 
Economic 
Development ","Coalfields 
Regeneration 
Trust ","Late 2009 
(2.5 years) ","Nicola 
Weekes 
01685 
729384","The grant programme 
will primarily focus 
investment on the 
development of new 
social enterprises or 
to encourage income 
growth in existing or 
emerging social 
enterprises. It will 
assist enterprises in 
becoming more 
sustainable, focusing 
support to the social 
and economic 
regeneration of 
former Coalfield 
Areas. ",900000,900000
"Valleys Rail Strengthening (80427)","Priority 3 
Theme 1 ","Sustainable 
Transport ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2009 
(1.6 years) ","Craig 
Roberts 
01685 
729371 ","The project will 
facilitate continued 
deployment of 
strengthened train 
services in the 
Valleys and offer 
better quality and 
more frequent 
services to and from 
the Valleys and 
Cardiff. ",8900000,10400000
"Community Scale Renewable Energy Generation (80468)","Priority 4 
Theme 1 ","Climate 
Change ","Department for 
Environment, 
Sustainability & 
Housing - Welsh 
Assembly 
Government ","Late 2009 
(5.5 years) ","Ceri Jones 
01685 
729369 ","The project will 
establish or further 
develop around 20 or 
more sustainable 
social enterprises 
based on new 
community scale 
renewable energy 
installations. ",7200000,6300000
"SIF Enhancement Areas (80477)","Priority 2 
Theme 2 ","Business 
Finance ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2009 
(5 years) ","Dougie 
Singh 
01685 
729405 ","This project aims to 
provide enhanced 
support to 
enterprises, including 
social enterprises, 
located in highly 
disadvantaged 
localities within the 
Convergence region. 
Financial support will enable firms to invest 
in new production 
capacity, create jobs 
and cover additional 
business overheads. ",23000000,6000000
"Parc Busnes Treorci (80502)","Priority 3 
Theme 2 ","Sustainable 
Regeneration ","Parc Busnes 
Treorci ","Late 2009 
(2.4 Years) ","Mark 
Pritchard 
01267 
225472 ","The project will 
refurbish the 
redundant Burberry 
building to provide 
facilities and offices 
for new business 
start-ups and SME�s. ",2000000,1800000
"RD and I Financial Support for Business (80504)","Priority 2 
Theme 2 ","Business 
Finance ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2009  
(5 years) ","Dougie 
Singh 
01685 
729405 ","The project will 
provide financial 
�grant� support to 
SMEs with growth 
potential to 
encourage & support 
them to undertake 
thorough research 
projects to develop 
technologically 
innovative products, 
processes & services. 
It forms part of a suite 
of 4 financial support 
projects which fall 
under the umbrella of 
the Single Investment 
Fund (SIF) including the Enhancement 
Areas Fund, Advance 
Technology Growth 
Fund & Investments 
with Environmental & 
Energy-Saving 
Benefits. ",11900000,10000000
"Resource Efficiency and Industrial Symbiosis (80519)","Priority 4 
Theme 2 ","Materials 
Efficiency 
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing - Welsh 
Assembly 
Government ","Late 2009 
 (1.3 years) ","Vivienne 
Lewis 
01685 
729381 ","The project aims to 
improve the resource 
efficiency of at least 
230 businesses 
across the 
convergence area. 
This will be achieved 
by delivering 
consultancy services 
via face-to-face and 
online delivery. ",600000,800000
"Deltastream Prototype (80287)","Priority 4 
Theme 1 ","Climate 
Change ","Tidal Energy 
Limited ","Jan 2008 
(2.25 
years)   ","Ceri Jones 
01685 
729369 ","The project aims to 
demonstrate the 
technical, 
environmental and 
economic benefits of 
the �DeltaStream� 
marine current turbine 
and the suitability of 
Ramsey Sound to 
host a tidal stream 
generator. ",600000,700000
"Bargoed Regeneration Programme (80303)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre 
renewal) ","Caerphilly 
County Borough 
Council ","Early 2010 
(4.25 
years) ","Eluned 
Jones 
01267 
245156 ","The project will re-
establish Bargoed 
town centre as the 
focus of economic 
and social activity 
within the Rhymney 
Valley area, 
broadening the town�s 
socio-economic and 
cultural base. It will 
transform the town 
through the 
implementation of a 
comprehensive 
regeneration strategy 
that complements the 
growth&development 
of Bargoed as a 
primary settlement 
within the Heads of 
the Valleys. ",5100000,3200000
"Digital Tourism Business Framework (80554)","Priority 1 
Theme 2 ","ICT 
Infrastructure 
and 
Exploitation ","Welsh 
Assembly 
Government - 
Heritage ","Early 2010 
(5 years) ","Eleanor 
Warley 
01685 
729362 ","The project aims to 
maximise business 
opportunities for 
tourism SMEs via a 
contemporary digital 
business framework 
that will provide an 
opportunity to create 
a step-change in the competitiveness of 
the tourism industry in 
Wales over the next 
five years. ",8200000,9200000
"Stackpole Rediscovered (80026)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","National Trust ","Early 2010 
(2 years) ","Meinir 
Collyer 
01267 
225488 ","The project aims to 
create economic 
benefit to Wales and 
Pembrokeshire, by 
investing in the 
Stackpole Estate to 
enhance its potential 
as a tourism 
destination, focusing 
on the environment, 
and encouraging 
additional and return 
visits. ",1000000,1600000
"SIF Advance Technology Growth Fund (80473)","Priority 2 
Theme 2 ","Business 
Finance ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2010 
(5 years) ","Dougie 
Singh 
01685 
729405 ","To provide financial 
support to advance 
technology 
companies with the 
potential for rapid 
growth. Emphasis will 
be on existing high 
tech SMEs less than 
5 years old to enable 
them to achieve their 
employment potential 
and GVA growth. The 
fund will facilitate investment in new 
production capacity, 
contribute to the costs 
of new and additional 
overheads and 
improve companies� 
competitiveness 
through profile raising 
marketing activities 
such as attendance at 
UK trade shows and 
bespoke campaigns. ",15000000,5000000
"The Works (80518)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre 
renewal) ","Carmarthenshire 
County Council ","Early 2010 
(3.5 years) ","Janet Lewis 
01267 
225473 ","The project will 
support the integrated 
strategic regeneration 
of Llanelli by creating 
a new Arts Centre in 
the town. ",9500000,5100000
"SIF Investments with Environmental and Energy Saving Benefits (80474)","Priority 2 
Theme 2 ","Business 
Finance ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2010 
(5 years) ","Dougie 
Singh 
01685 
729405 ","The aim of the project 
is to provide financial 
support to enterprises 
undertaking 
investments which will 
produce significant 
and measurable 
environmental or 
energy saving 
benefits while 
creating jobs, increasing profitability 
and contributing to 
long term 
sustainability.   ",16600000,7000000
"A40 Penblewin to Slebech Park Improvements (80553)","Priority 3 
Theme 1 ","Sustainable 
Transport ","Department of 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2010 
(2 years) ","Craig 
Roberts 
01685 
729371 ","The project aims to 
improve a 2.5km sub 
standard section of 
single carriageway of 
the A40 trunk road 
and provide a 2km 
bypass for Robeston 
Wathen. ",16800000,20500000
"SEREN (80302)","Priority  1 
Theme 1 ","Innovation, 
R&D & 
Technology ","Cardiff 
University ","Early 2010 
(5 years) ","Jacky Doran 
01685 
729376 ","The project will build 
on the Geo-
environmental 
Engineering research 
experience in Wales 
to create new 
initiatives to develop 
the latest ground 
engineering 
technologies aimed at 
tackling the Low 
Carbon Agenda. ",3700000,4600000
"Physical Regeneration of Ferndale (80437)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
regeneration 
inc town 
centre renewal)","Rhondda Cynon 
Taf County 
Borough 
Council ","Early 2010 
(5 years) ","Eluned 
Jones 
01267 
245156 ","The project aims to 
provide an integrated 
and sustainable 
series of 
improvements to the 
physical infrastructure and built environment of Ferndale.",1100000,2100000
