"Eixo Prioritário / Área de Intervenção","Programa Operacional (FEDER)","Tipologia da Operação","Sub-Tipologia da Operação","Código do Concurso","Designação do Projecto","Concelho","Data de Decisão","Promotor","Código de Operação","Fundo Comunitário","Investimento Elegível"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","PALAVRAS SEM FRONTEIRAS","Faro",22/03/10,"INPOKULIS - TRADUÇÕES E 
EVENTOS, UNIPESSOAL, LDA","ALG-01-0201-FEDER-012653","65.223,94","144.942,08"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","REFORO DAS CAPACIDADES DE PRODUO E 
COMERCIALIZAO, INTERNACIONALIZAO E 
IMPLEMENTAO DE UM SISTEMA DA QUALIDADE","Faro",22/03/10,"ADJ 3 SISTEMAS PROJECTO E 
GESTÃO DE SISTEMAS 
INFORMATICOS, LDA","ALG-01-0201-FEDER-012863","21.060,00","46.800,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","INOANGOLA2010","Faro",22/03/10,"INFORMAT SOLUÇÕES PARA A 
GESTÃO, LDA","ALG-01-0401-FEDER-012879","33.412,50","74.250,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","INTERNACIONALIZAÇÃO E QUALIFICAÇÃO DO 
EMPREENDIMENTO LONGEVITY WELLNESS RESORT 
MONCHIQUE","Monchique",22/03/10,"MONTINHO DE MONCHIQUE 
(CONSTRUÇÕES), LDA","ALG-01-0401-FEDER-012880","247.409,30","494.818,59"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2008-03  
Cod. SI: 12/SI/2008","Optimização de Sistemas de Controlo de Produção e 
Marcação CE","Tavira",18/07/08,"ROFICER - Cerâmica da Fonte 
Salgada, Lda.","ALG-01-0201-FEDER-003136","3.750,00","5.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2008-07   
Cod. SI: 18/SI/2008","Caracterização Ambiental da Exploração","S. Brás de 
Alportel",04/02/09,"Eduardo Pinto Contreiras & Filhos, 
Lda","ALG-01-0401-FEDER-003808","23.625,00","31.500,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2009-03   
Cod. SI: 07/SI/2009","Estudo geo-económico de pedreira de calcário","São Brás de 
Alportel",17/06/09,"Eduardo Pinto Contreiras & Filhos, 
Lda","ALG-01-0401-FEDER-005978","20.100,00","26.800,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2009-03   
Cod. SI: 07/SI/2009","Identificação e análise de produtos e processos","Lagos",17/06/09,"Algarstone - Mármores e Granitos, 
Lda.","ALG-01-0401-FEDER-006325","4.260,00","5.680,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2009-03   
Cod. SI: 07/SI/2009","Produção de chouriço de atum com elevado teor de 
antioxidantes: viabilização do projecto e transferência de 
conhecimento","Vila Real de 
Santo António",17/06/09,"Conservas de Peixe Dâmaso, 
Unipessoal, Lda.","ALG-01-0401-FEDER-006431","18.750,00","25.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2009-09   
Cod. SI: 26/SI/2009","Promoção e desenvolvimento de conteúdos utilizados em 
programas de ecoturismo na Ria Formosa","Faro",13/11/09,"NaturaNautica, Lda.","ALG-01-0401-FEDER-011438","16.330,32","21.773,76"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Vale","Cod. PO: ALG-01-2009-09   
Cod. SI: 26/SI/2009","Plano de Pormenor de área Industrial (Pedreira)","São Brás de 
Alportel",13/11/09,"Eduardo Pinto Contreiras & Filhos, 
Lda","ALG-01-0401-FEDER-011609","25.000,00","35.625,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Conjuntos","Cod. PO: ALG-01-2009-04    
Cod. SI: 13/SI/2009","CONQUISTAR- PROJECTO DE PROSPECÇÃO DE 
MERCADOS EXTERNOS","Multi concelhos",23/09/09,"ACRAL - ASSOC. DO COMÉRCIO E 
SERVIÇOS DA REGIÃO DO 
ALGARVE","ALG-01-0401-FEDER-007857","56.694,18","114.533,70"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Sistema de Apoio ao Financiamento e Partilha de Risco da Inovação","SAFPRI","Cod. PO: ALG-01-2009-04    
Cod. SI: 13/SI/2009","Linhas de Crédito PME Investe I e II","Multi concelhos",18/12/08,"IAPMEI, I.P./ Turismo de Portugal, I.P.",1,"3.654.000,00","13.144.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","Facturação electronica","Multi concelhos",31/07/08,"Globalgarve, Cooperação e 
Desenvolvimento, SA","ALG-01-0526-FEDER-000002","264.960,00","441.600,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","Loja do municipe de Faro","Faro",31/07/08,"Município de Faro","ALG-01-0526-FEDER-000004","36.238,37","72.476,74"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","DIGIURB - Desmaterialização dos processos de 
urbanismos","Albufeira",31/07/08,"Município de Albufeira","ALG-01-0526-FEDER-000006","59.866,93","119.733,86"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","Desmaterialização e desburocratização de processos da 
CCDR Algarve","Faro",31/07/08,"Comissão de Coordenação e 
Desenvolvimento Regional do Algarve","ALG-01-0526-FEDER-000005","111.925,00","223.850,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","Disponibilização dos Planos Municipais de Ordenamento 
do Território na Internet","Multi concelhos",31/07/08,"Globalgarve, Cooperação e 
Desenvolvimento, SA","ALG-01-0526-FEDER-000003","34.776,08","57.960,14"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2007-01","Processo de Modernização Administrativa","Tavira",04/02/09,"Processo de Modernização 
Administrativa","ALG-01-0526-FEDER-000007","167.825,50","335.651,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2009-02","Expansão das Lojas do Cidadão na Região do Algarve","Multi 
concelhos 
(Tavira e 
Portimão)","1108/2009","Agência para a Modernização 
Administrativa","PO303","1.190.790,00","1.984.650,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Apoio à Modernização Administrativa","Sistema de Apoio à Modernização Administrativa","ALG-26-2009-02","Loja de Tavira - Rede de Expansão das Lojas do Cidadão 
de 2ª Geração","Tavira",30/11/09,"Agência para a Modernização 
Administrativa","ALG-01-0526-FEDER-000014","74.995,80","124.993,00"
"EP1 - Competitividade, Inovação e Conhecimento","Modernização e Qualificação da Administração Pública/ Desenvolvimento da Sociedade do Conhecimento","Economia Digital e Sociedade do Conhecimento","Economia Digital e Sociedade do Conhecimento","ALG-66-2009-01","Apetrechamento Tecnológico das EB 1 do Algarve","Multi concelhos",31/03/10,"AMAL - Comunidade Intermunicipal 
do Algarve","ALG-01-0566-FEDER-000001","337.800,00","675.600,00"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2008-01","Elaboração de Estratégia de Eficiência Colectiva e 
Programa de Acção PROVERE","Multi concelhos",08/08/08,"Almargem - Associação de Defesa do 
Património Cultural e Ambiental do 
Algarve","ALG-01-0627-FEDER-000003","24.846,25","38.225,00"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2008-01","Acções Preparatórias do Programa de Valorização 
Económica dos Recursos Endógenos (PROVERE)","Multi concelhos",08/08/08,"Associação Inn Loco","ALG-01-0627-FEDER-000002","14.972,91","23.035,25"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2008-01","Âncoras do Guadiana","Multi concelhos",08/08/08,,"ALG-01-0627-FEDER-000001","23.242,38","35.757,51"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2009-02","Promoção Institucional da Região - ARTICULAR PARA 
INTERVIR","Faro",04/08/09,"CCDR Algarve","ALG-01-0627-FEDER-000004","690.774,89","1.062.730,60"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2009-03","Âncoras do Guadiana - 3º fase - Projecto de Animação, 
Gestão e Coordenação da Parceria","Multi concelhos",26/11/09,"Odiana - Associação para o 
Desenvolvimento do Baixo Guadiana","ALG-01-0627-FEDER-000010","144.633,75","192.845,00"
"EP1 - Competitividade, Inovação e Conhecimento","Promoção Institucional da Região","Promoção e Capacitação Institutional","Promoção e Capacitação Institutional","ALG-27-2009-03","Algarve Sustentável - 3º fase - Projecto de Animação, 
Gestão e Coordenação da Parceria","Multi concelhos",26/11/09,"Almargem - Associação de Defesa do 
Património Cultural e Ambiental do 
Algarve","ALG-01-0627-FEDER-000011","155.721,00","207.628,00"
"EP2 - Protecção e Qualificação Ambiental","Ordenamento e Valorização da Orla Costeira","Acções de Valorização do Litoral","Acções de Valorização do Litoral","ALG-32-2007-01","Requalificação da frente de mar de Armação de Pêra 
Nascente","Silves",04/09/08,"Município de Silves","ALG-02-1132-FEDER-000003","841.050,00","1.401.750,00"
"EP2 - Protecção e Qualificação Ambiental","Ordenamento e Valorização da Orla Costeira","Acções de Valorização do Litoral","Acções de Valorização do Litoral","ALG-32-2007-01","Projectos de valorização do litoral do concelho de Vila do 
Bispo","Vila do Bispo",04/09/08,"Município de Vila do Bispo","ALG-02-1132-FEDER-000005","22.104,00","36.840,00"
"EP2 - Protecção e Qualificação Ambiental","Ordenamento e Valorização da Orla Costeira","Acções de Valorização do Litoral","Acções de Valorização do Litoral","ALG-32-2007-01","Requalificação da Rua dos Pescadores e Largo Central de 
Salema","Vila do Bispo",04/09/08,"Município de Vila do Bispo","ALG-02-1132-FEDER-000001","454.722,00","757.870,00"
"EP2 - Protecção e Qualificação Ambiental","Ordenamento e Valorização da Orla Costeira","Acções de Valorização do Litoral","Acções de Valorização do Litoral","ALG-32-2007-01","Requalificação da Baixa do Carvoeiro","Lagoa",04/09/08,"Município de Lagoa","ALG-02-1132-FEDER-000002","78.492,00","130.820,00"
"EP2 - Protecção e Qualificação Ambiental","Ordenamento e Valorização da Orla Costeira","Acções de Valorização do Litoral","Acções de Valorização do Litoral","ALG-32-2007-01","Operação de recolha e sistematização de dados 
geográficos da orla costeira","Portimão",28/10/08,"Município de Portimão","ALG-02-1132-FEDER-000004","26.448,00","44.080,00"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Plano de Gestão da Região Hidrográfica das Ribeiras do 
Algarve (RH8)","Faro",26/11/09,"Administração da Região Hidrográfica 
do Algarve, IP","ALG-02-0931-FEDER-000001","517.083,33","1.034.166,66"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Sinalização da Rede Natura 2000 - Algarve","Multi concelhos",26/11/09,"Instituto da Conservação da Natureza 
e da Biodiversidade, IP","ALG-02-0931-FEDER-000005","57.286,10","114.572,20"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Valorização das Margens da Ribeira da Torre e 
Recuperação do Dique - Portimão","Portimão",26/11/09,"Administração da Região Hidrográfica 
do Algarve, IP","ALG-02-0931-FEDER-000009","207.000,00","414.000,00"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Valorização dos Açudes de Alcaria Cova, Galaxos, Várzea","Alcoutim",26/11/09,"Município de Alcoutim","ALG-02-0931-FEDER-000004","203.651,85","407.303,70"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Estação de Biodiversidade de Loulé","Loulé",26/11/09,"Município de Loulé","ALG-02-0931-FEDER-000008","15.000,00","30.000,00"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Melhoria da Monitorização da Qualidade do Ar no Algarve","Multi concelhos",26/11/09,"CCDR Algarve","ALG-02-0931-FEDER-000002","166.666,66","333.333,32"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Agenda 21 Local de Monchique","Monchique",26/11/09,"Município de Monchique","ALG-02-0931-FEDER-000011","20.350,00","40.700,00"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Reconstrução dos Açudes junto às povoações de Bentos e 
Fernandilho","Alcoutim",26/11/09,"Município de Alcoutim","ALG-02-0931-FEDER-000006","77.053,54","154.107,08"
"EP2 - Protecção e Qualificação Ambiental","Monitorização, Informação e Promoção Ambiental e Eficiência Energética","Acções de Valorização e Qualificação do Ambiente","Acções de Valorização e Qualificação do Ambiente","ALG-31-2009-01","Elaboração do Plano de Ordenamento da Albufeira de 
Odeleite","Castro Marim",26/11/09,"Instituto da Água, IP","ALG-02-0931-FEDER-000015","37.950,00","75.900,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Centro Histórico e Zona Ribeirinha de Tavira","Tavira",30/04/09,"Município de Tavira","PO104001135","1.344.000,00","2.240.000,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Núcleo Museológico da Água e Requalificação da 
Envolvente","Tavira",23/03/10,"Município de Tavira","ALG-03-1241-FEDER-000001","188.031,60","313.386,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Reabilitação do Imóvel do Gaveto no Largo da Misericórdia","Tavira",22/03/10,"Município de Tavira","ALG-03-1241-FEDER-000002","23.261,40","38.769,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Núcleo Museológico Islâmico, Posto de Turismo e Galeria","Tavira",22/03/10,"Município de Tavira","ALG-03-1241-FEDER-000004","195.766,20","326.277,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Centro Histórico e Frente Ribeirinha de Olhão","Olhão",30/04/09,"Município de Olhão","PO104001137","1.052.000,00","1.753.333,33"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Reintegrar o Centro Histórico Medieval no Centro de 
Loulé","Loulé",30/04/09,"Município de Loulé","PO104001136","1.604.000,00","2.673.333,33"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Parcerias para a Regeneração Urbana","Política de Cidades Parcerias para a Regeneração Urbana","Parcerias para a Regeneração Urbana","ALG-41-2007-01","Cine-teatro Louletano","Loulé",23/03/10,"Município de Loulé","ALG-03-1241-FEDER-000003","648.900,00","1.081.500,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Competitividade da rede Urbana Regiona","Política de Cidades Redes Urbanas para a Competitividade e Inovação","Redes Urbanas para a Competitividade e Inovação","ALG-40-2008-01","Algarve Central - Uma Parceria Territorial","Multi 
concelhos",30/04/09,"Município de Faro (Líder)",,"3.060.000,00","6.800.000,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Competitividade da rede Urbana Regiona","Política de Cidades Redes Urbanas para a Competitividade e Inovação","Redes Urbanas para a Competitividade e Inovação","ALG-40-2008-01","Formação e Criação Artística em Rede","Multi concelhos",28/04/10,"DEVIR, Associação de Actividades 
Culturais","ALG-03-1340-FEDER-000001","270.000,00","600.000,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Competitividade da rede Urbana Regiona","Política de Cidades Redes Urbanas para a Competitividade e Inovação","Redes Urbanas para a Competitividade e Inovação","ALG-40-2008-01","ECOS - Energia e Construção Sustentáveis","Multi 
concelhos",26/11/09,"Município de Silves (Líder regional)","PO104002011","400.000,00","888.890,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Competitividade da rede Urbana Regiona","Política de Cidades Redes Urbanas para a Competitividade e Inovação","Redes Urbanas para a Competitividade e Inovação","ALG-40-2008-01","Rede de Cidades com Marinas - Via Marítima para a 
Qualidade","Multi 
concelhos",26/11/09,"Município de Lagos (Líder regional) 
Municípios de Albufeira, Lagoa, 
Portimão, VRSA e IPTM",,"1.600.000,00","3.555.555,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Nova Escola EB1 com Jardim de Infância (junto à EB2/3 
José Crlos da Maia)","Olhão",15/09/08,"Município de Olhão","ALG-03-1444-FEDER-000003","1.075.520,00","2.151.040,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Construção da EB1 e JI de Vale de Pedras","Albufeira",15/09/08,"Município de Albufeira","ALG-03-1444-FEDER-000005","960.000,00","1.920.000,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Escola de Santo António","VRSA",15/09/08,"Município de VRSA","ALG-03-1444-FEDER-000006","965.400,00","1.930.800,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Centro Escolar EB1/JI de Vale de Rãs","Loulé",15/09/08,"Município de Loulé","ALG-03-1444-FEDER-000004","1.153.800,00","2.307.600,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Ampliação da EB 1 nº6 e construção de Jardim de Infância","Olhão",30/01/09,"Município de Olhão","ALG-03-1444-FEDER-000001","599.451,00","1.198.902,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","Jardim de Infância de Ferragudo","Lagoa",30/01/09,"Município de Lagoa","ALG-03-1444-FEDER-000002","116.575,00","233.150,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2008-01","EB 1 da Correeira","Albufeira",30/01/09,"Município de Albufeira","ALG-03-1444-FEDER-000007","21.600,00","43.200,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Centro Escolar EB1/JI de Vale de Almancil","Loulé",28/07/09,"Município de Loulé","ALG-03-1444-FEDER-000008","1.024.200,00","2.048.400,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Escola EB 1 e JI do Pontal","Portimão",23/11/09,"Município de Portimão","ALG-03-1444-FEDER-000018","1.263.800,00","2.527.600,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Ampliação da EB 1 nº1 de Lagos (Escola do Bairro 
Operário)","Lagos",26/11/09,"Município de Lagos","ALG-03-1444-FEDER-000027","348.450,00","696.900,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Ampliação da EB1 / JI de Algoz - Silves","Silves",26/02/10,"Município de Silves","ALG-03-1444-FEDER-000023","231.000,00","462.000,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Ampliação da EB1 / JI de Moncarapacho - Olhão","Olhão",26/02/10,"Município de Olhão","ALG-03-1444-FEDER-000029","569.853,87","1.139.707,74"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Requalificação e Ampliação da EB1 de Vale Carneiros - 
Faro","Faro",26/02/10,"Município de Faro","ALG-03-1444-FEDER-000030","281.323,09","562.646,18"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","Requalificação da Rede Escolar do 1o Ciclo do Ensino Básico e da Educação Pré- Escolar","ALG-44-2009-02","Centro Escolar da Horta do Carmo - Tavira","Tavira",26/02/10,"Município de Tavira","ALG-03-1444-FEDER-000031","683.600,00","1.367.200,00"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Rede de Equipamentos Culturais","Rede de Equipamentos Culturais","ALG-52-2009-01","Algarve Central - Programação Cultural em Rede","Multi concelhos",04/08/09,"Município de Faro","ALG-03-1452-FEDER-000002","293.485,54","733.713,85"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Rede de Equipamentos Culturais","Rede de Equipamentos Culturais","ALG-52-2009-01","Algarve Cultural - Um Programa de Acção em Rede","Multi concelhos",04/08/09,"Teatro Municipal de Faro (Líder)","ALG-03-1452-FEDER-000001","206.514,46","516.286,15"
"EP3 - Valorização Territorial e Desenvolvimento Urbano","Equipamentos Colectivos/ Estruturantes","Rede de Equipamentos Culturais","Rede de Equipamentos Culturais","ALG-52-2009-01","ARTESUL","Faro",23/11/09,"Teatro Municipal de Faro, EM","ALG-03-1452-FEDER-000003","121.317,09","303.292,72"
