Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
VAKA Valtakunnallinen Klubi - ja aluekiertuehanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.12.2008,31.12.2010,"Cursor Oy, Kotkan-Haminan seudun kehittämisyhtiö",55 811,0,62 789,0,433 000,0
Sosiaalinen Sirkus -esiselvitys,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2009,30.4.2009,"Tampereen yliopisto, Tutkivan teatterityön keskus",11 677,7 707,13 168,8 691,29 230,20 783
Työ ja tekijät kohtaamaan Etelä-Pohjanmaalla,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,2.3.2009,30.11.2010,"Seinäjoen koulutuskuntayhtymä, Sedu Aikuiskoulutus, liikelaitos",35 460,14 139,53 190,21 209,177 300,35 348
Opin Ovi Uudenmaan TE-keskus,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.4.2009,31.12.2010,Uudenmaan TE-keskus,23 556,0,35 334,0,135 890,0
OHJAAN,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2010,Educa-Projektit Oy,93 880,23 541,102 820,25 783,234 700,49 324
Ammatillisen koulutuksen hyvinvointiverkosto,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2009,31.12.2011,Suomen ammatillisen koulututuksen kulttuuri- ja urheiluliitto SAKU ry,64 129,0,72 093,0,256 195,0
Samovaari-hanke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.4.2009,31.5.2012,Koti ja Kuusi Osk,87 824,21 019,131 735,31 528,404 636,52 547
TERO - Työelämään Erinomaista Osaamista,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2009,31.3.2012,"Seinäjoen koulutuskuntayhtymä, Sedu Aikuiskoulutus, Liikelaitos",66 117,1 742,75 025,0,587 750,1 742
DiMeKe - Tuotekehitystä digimediaan,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.2.2009,31.12.2011,Oulun yliopiston koulutus- ja tutkimuspalvelut,184 620,0,169 119,0,710 000,0
Osaajaksi,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,AEL Oy,110 909,14 393,124 811,16 197,411 930,36 398
VIRVE kehittämisohjelma pk-yrityksille,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,2.3.2009,31.12.2011,"Hämeen TE-keskus, työllisyys ja yrittäjyys vastuualue",288 240,17 116,432 360,25 675,1 153 500,42 791
KAMoon TYKE 2009-2011,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,Kalajokilaakson koulutuskuntayhtymä,140 284,18 663,148 196,0,526 800,19 413
Motivoimaa,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,Niilo Mäki -säätiö,185 940,41 737,213 910,0,723 200,41 737
Parempaan alkuun,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,Sastamalan koulutuskuntayhtymä,75 544,22 320,84 316,0,292 326,26 653
KoutsiHäme,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.5.2009,31.12.2012,Kiipulasäätiö,264 230,0,342 826,0,825 718,0
Työssäoppimisen portaat - TOPO,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.2.2009,31.1.2012,Espoon seudun koulutuskuntayhtymä Omnia,117 956,8 554,132 700,0,471 754,8 554
TopTrainerTeam,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,Jyväskylän koulutuskuntayhtymä,392 094,24 254,441 106,0,1 492 823,28 535
Yhdessä tekemällä,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,9.3.2009,8.3.2012,Oulun seudun ammattiopisto,350 651,0,394 483,0,1 147 659,0
Pirkanmaan liiton ESR -hallinnointiprojekti,Riksomfattande delen,5,Birkalands förbund,Verksamhet pågår,18.1.2008,31.12.2013,Pirkanmaan liitto,7 000,5 748,11 000,9 033,27 000,14 781
Työelämä tutuksi - työssäoppiminen tavaksi,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.3.2009,31.12.2011,Päijät-Hämeen koulutuskonserni -kuntayhtymä / Koulutuskeskus Salpaus,161 346,0,181 515,0,585 929,0
MAMU ohjauskeskusohjelma,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.4.2008,31.8.2011,Vaasan työvoimatoimisto,119 993,63 385,135 007,71 316,546 056,134 701
Bothnia Work,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.4.2008,31.8.2011,Vaasan työvoimatoimisto,280 435,48 802,315 565,54 908,908 549,103 710
Osaamisesta kasvuun,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.7.2008,30.12.2011,"Pohjanmman TE-keskus, Oman tuotannon hankkeiden toteutusyksikkö",466 882,113 916,523 118,128 459,1 550 000,242 375
Yrittäjien sijaispalvelu,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2008,31.3.2011,Päijät-Hämeen koulutuskonserni-kuntayhtymä / Lahden ammattikorkeakoulu/ Innovaatiokeskus,156 667,57 115,207 001,75 795,391 668,135 453
Osaamisesta kasvua - Varsinais-Suomi,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.9.2008,31.12.2013,Varsinais-Suomen ELY-keskus,675 200,202 473,1 012 800,303 710,5 068 000,506 183
Hämeenlinnan seudun maahanmuuttajaneuvonta ja -opastusjärjestelmän kehittäminen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.9.2008,30.4.2012,Hämeenlinnan kaupunki,190 660,24 181,165 060,20 934,544 260,50 324
Arbetslivsperioder för lärare och utbildare,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Axxell Utbildning Ab,32 419,8 716,38 057,1 280,171 423,9 996
Oma polku,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Keski-Pohjanmaan koulutusyhtymä,76 380,4 006,89 120,4 674,292 675,8 680
Maahanmuuttajanuorten VaSkooli - Nuorten maahanmuuttajien koulutustakuumallin kehittäminen ja käyttöönotto Turun ja Salon seutukunnissa,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.10.2010,Turun ammatti-instituutti,97 880,86 902,112 970,5 256,328 095,106 879
"NUOVE, neuvonta- ja ohjauspalvelujen kehittämisprojekti",Riksomfattande delen,3,Arbets- och näringsministeriet,Verksamhet pågår,1.9.2008,31.12.2013,"Työ- ja elinkeinoministeriö, TYO-osasto, TOKI-ryhmä",597 934,299 241,671 565,336 090,5 967 520,635 331
Osaaminen käyttöön - Työvoimaa uudesta suunnasta,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Invalidisäätiö / Keskuspuiston ammattiopisto,96 709,49 604,113 463,58 197,406 936,117 651
Open Zone - Avoimen oppimisen ja aktiivisen kansalaisuuden lähikirjastovyöhyke,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.8.2008,31.12.2011,"Turun kaupunki, Turun ammattikorkeakoulu",81 722,24 470,92 154,27 594,462 310,61 353
Osaamisesta kasvua - Pohjois-Pohjanmaalla,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.12.2010,Pohjois-Pohjanmaan TE-keskus,569 415,113 220,594 585,127 673,1 394 000,240 893
METKA (Metallitoimialan ennakointi ja työelämälähtöisten koulutustarpeiden arviointi),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.12.2010,Raahen osaamiskeskus Oy,130 680,37 754,147 020,40 621,326 700,92 204
Työperäisen maahanmuuton edistäminen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,15.5.2008,14.5.2011,Pohjois-Pohjanmaan TE-keskus,132 305,59 337,149 195,66 912,544 500,126 249
TYÖLÄS - Työlähtöisen työterveyshuollon ja kuntoutuksen oppimisverkosto sosiaali- ja terveydenhuollon muuttuvien työorganisaatioiden ja pk-yritysten tukena,Riksomfattande delen,1,Social- och hälsovårdsministeriet,Verksamhet pågår,1.8.2008,31.5.2011,Verve,468 902,346 251,246 499,155 898,2 945 343,710 256
"Liikunnan kehittämishankkeen eli LIKE-hankkeen ESISELVITYSHANKE, valtakunnallinen osio",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,31.1.2008,31.5.2008,Pohjanmaan Liikunta ja Urheilu PLU ry,13 640,13 640,15 382,15 382,29 022,29 022
"Osaamisesta kasvua -kehittämisohjelma, Pirkanmaa",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2008,30.6.2011,Pirkanmaan TE-keskus,426 886,152 992,481 382,172 523,1 623 620,325 515
TäsmäProtek,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,4.7.2008,31.12.2013,Varsinais-Suomen TE-keskus,1 002 300,157 595,1 503 450,236 393,3 371 000,393 988
Hyvän elämän palveluita kolmannelta sektorilta 2008-2010 -hanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2010,Lapin Nuorison Liitto ry,348 917,151 011,380 977,166 579,884 950,385 519
Kaakkois-Suomen välityömarkkinoiden kehittäminen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,28.2.2010,Parik-säätiö,488 888,361 873,611 112,452 347,1 222 221,904 689
Hyvinvointipalvelujen kehittäminen kunnan ja urheiluseuran välillä,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2010,Suomen Jääkiekkoliitto ry,165 595,24 031,182 179,27 099,916 917,64 580
Kasvu yrittäjyyteen,Riksomfattande delen,1,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2011,Valkeakosken Seudun Kehitys Oy,396 432,103 617,346 878,90 665,1 698 000,228 048
YES-yrittäjyyskasvatuskeskukset,Riksomfattande delen,1,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.7.2010,Porin Seudun Kehittämiskeskus POSEK Oy,206 528,141 908,150 492,103 405,1 919 611,368 519
SOTE-ENNAKOINTI,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.5.2008,30.4.2011,Etelä-Karjalan koulutuskuntayhtymä,141 459,28 929,146 338,32 547,413 126,72 408
F Y Y R A - välityömarkkinat haltuun Varsinais-Suomessa,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,15.6.2008,31.12.2013,Varsinais-Suomen TE-keskus,1 717 818,486 045,2 338 087,726 434,7 312 400,1 246 520
SPURTTI - Työperusteisen maahanmuuton edistäminen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.8.2008,31.12.2013,Varsinais-Suomen TE-keskus,158 163,55 125,237 243,82 687,1 240 945,137 812
MOT - Moniosaajat kiinteistöpalvelualalla,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Keski-Uudenmaan koulutuskuntayhtymä,178 782,1 963,205 918,2 298,444 955,4 261
Amikset asuntoloiden kehittäjinä,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Nuorten Akatemia,45 440,25 595,51 760,29 155,167 700,59 360
Roti 2,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Keski-Uudenmaan koulutuskuntayhtymä,74 800,61 552,86 200,9 758,291 450,82 678
"NITOJA - nivelvaihe, toiminta ja jatko työelämään",Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Espoon seudun koulutuskuntayhtymä Omnia,84 357,34 807,98 219,40 527,358 622,97 416
Pohjois-Pohjanmaan ProtekTuki,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.7.2008,30.6.2011,Pohjois-Pohjanmaan TE-keskus,146 217,66 013,164 883,74 441,502 200,140 454
JOOP- Joustavat oppimisympäristöt projekti,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.5.2010,"Seinäjoen koulutuskuntayhtymä, Koulutuskeskus Sedu, Ähtäri Koulutie",62 640,200,70 460,225,194 000,425
Voimaa vaihdolla,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.9.2008,31.12.2010,"Amisäätiö, Amiedu",54 360,17 939,63 740,21 035,245 020,38 974
PALO,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,15.9.2008,31.12.2011,Turun kaupunki,34 417,0,30 115,0,883 883,0
ICF-viitekehyksessä tapahtuva toimintakyvyn arviointi työpajoilla,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.2.2008,31.5.2010,Kumppaniksi ry,51 700,44 849,51 250,44 073,155 400,111 348
Lapin Letka,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.3.2008,31.12.2013,Rovaniemen koulutuskuntayhtymä,470 000,180 911,530 000,204 006,3 919 988,398 316
Välityömarkkinoiden kehittäminen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.7.2008,30.6.2011,Pohjois-Pohjanmaan TE-keskus,150 400,84 939,169 600,95 783,735 420,180 722
SYKKÄYS,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Raahen koulutuskuntayhtymä,109 360,5 581,93 360,4 896,273 400,13 096
Työpaikkaohjaajan valmentaja,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Vaasan kaupunki / Vaasan aikuiskoulutus,216 344,66 438,252 967,1 552,865 906,69 043
OptiMera2,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Optima samkommun,93 200,26 719,107 725,30 883,369 000,61 296
KOKEVA Osaaja,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Hämeen ammatillisen korkeakoulutuksen kuntayhtymä,184 220,69 020,202 330,75 805,699 208,201 463
Vireä kolmas sektori,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.10.2008,30.9.2011,Haukiputaan kunta/ Perusturvapalvelut,113 172,35 293,129 698,40 859,486 240,94 574
RÄTY- räätälöityä työvoimaa yrityksiin,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.8.2011,Ouluseutu Yrityspalvelut,138 834,56 285,156 191,63 322,567 963,140 845
LOGNET - Osaavaa henkilöstöä pk-yritysten logistiikkatehtäviin Pohjois-Suomessa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.8.2008,31.7.2011,Oulun yliopisto/Meri-Lappi Instituutti,63 365,24 296,63 365,24 296,255 220,48 592
OSUMA - Ohjauksella osuvuutta aikuisopiskeluun,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.10.2008,30.9.2011,Pohjois-Pohjanmaan TE-keskus,122 200,40 780,137 800,45 986,390 000,86 766
"CREADA, luovien alojen yrittäjyysvalmennus",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.6.2008,31.12.2010,Adulta Oy,254 560,73 306,278 840,80 298,733 550,190 924
"Maahanmuuttajien palveluohjauksen kumppanuusprojekti, työhallinnon osuus",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.10.2008,31.12.2011,Varsinais-Suomen ELY-keskus,114 500,16 018,171 750,24 027,669 450,40 045
OPTIMES,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.10.2008,30.9.2011,"TAO,  Turun Ammattiopistosäätiö",59 800,22 176,89 700,33 264,285 000,55 440
Itä-Uudenmaan Opin Ovi / Läroporten i Östra Nyland,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.12.2011,"Itä-Uudenmaan koulutuskuntayhtymä, Edupoli",93 493,26 881,99 574,28 630,567 000,64 335
Tasa-arvoa palkkaukseen: Työn vaativuuden sekä pätevyyden ja suoriutumisen arvioinnin toimivuus Suomessa (TAPAS),Riksomfattande delen,1,Social- och hälsovårdsministeriet,Verksamhet pågår,1.9.2008,31.12.2011,"Aalto-yliopiston Teknillinen korkeakoulu, BIT Tutkimuskeskus",97 569,66 828,122 632,83 995,881 798,162 134
Aikuisohjauksen koordinaatioprojekti,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.7.2011,Jyväskylän ammattikorkeakoulu Oy,149 401,66 855,224 102,100 283,800 000,167 138
Opin Ovi Pirkanmaa,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.9.2008,31.12.2011,Tampereen Aikuiskoulutussäätiö/ Tampereen Aikuiskoulutuskeskus,51 796,27 551,57 194,29 549,432 690,66 886
Urakka,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.9.2008,31.12.2010,Adulta Oy,111 786,23 373,127 964,26 755,496 053,50 128
"Työvalmennuksesta ja verkostosta voimaa vaikeasti työllistyvien työnhakijoitten työllistymiseen, SihtiPilotti",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.11.2008,31.8.2009,"Oulun Diakonissalaitoksen Säätiö, Kuntoutuksen erityispalvelut, diakonian ja sosiaalityön yksikkö",44 858,25 195,51 638,29 004,112 144,55 079
Osaamisesta kasvua 2 - Etelä-Pohjanmaa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.7.2008,31.12.2013,Etelä-Pohjanmaan TE-keskus Työllisyys ja yrittäjyys-vastuualue,300 000,94 018,450 000,141 027,1 430 000,235 045
HOPE,Riksomfattande delen,1,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.3.2011,"Länsi-Pirkanmaan koulutuskuntayhtymä, Ikaalisten käsi- ja taideteollisuusoppilaitos",71 910,0,86 338,0,1 110 640,0
ART360,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2008,31.5.2011,Satakunnan ammattikorkeakoulu,218 414,58 346,229 169,61 219,1 033 333,148 986
Kaakkois-Suomen aikuiskoulutuksen työssäoppimisen mallintaminen,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,11.8.2008,31.12.2009,Rastor Oy,45 889,45 889,52 858,52 858,200 440,98 747
Koulutusorganisaatiot innovaatiojärjestelmän toimijoina (KIT -projekti),Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2008,31.12.2011,Päijät-Hämeen koulutuskonserni -kuntayhtymä,154 160,65 524,178 740,75 971,625 000,172 363
"Samapalkkaisuus, tasa-arvo ja uudet palkkausjärjestelmät (SATU)",Riksomfattande delen,1,Social- och hälsovårdsministeriet,Verksamhet pågår,1.9.2008,31.12.2010,Palkansaajien tutkimuslaitos,170 770,172 219,256 155,79 010,426 925,251 229
Klusteriennakointimalli osaamistarpeiden selvittämiseen; ammatillisen perus- ja korkea-asteen koulutuksen opetussisältöjen kehittäminen,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.8.2008,28.2.2011,Seinäjoen koulutuskuntayhtymä,79 960,17 390,89 955,19 564,375 000,37 954
Film Location Finland,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.7.2008,31.12.2010,POEM-Säätiö,69 068,11 516,70 941,11 828,288 110,40 283
Yrittäjyyskasvatuksen mittaristo,Riksomfattande delen,1,Utbildningsstyrelsen,Verksamhet pågår,1.2.2008,31.1.2011,"Lappeenrannan teknillinen yliopisto, Koulutus- ja kehittämiskeskus",144 517,171 992,201 926,72 572,642 680,260 145
"EDU-vuxen, vuxenutbildningsservice på svenska",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,20.8.2008,31.12.2011,Arcada,75 780,21 635,109 720,31 241,509 150,61 888
KieSi-työpartio - työvalmennuksen kehittämishanke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.11.2008,31.10.2011,Hämeenlinnan Seudun Työvalmennussäätiö Luotsi,102 964,35 814,110 446,38 416,345 730,92 730
Päijät-Hämeen Opin ovi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.9.2008,30.11.2011,Päijät-Hämeen koulutuskonserni/Lahden ammattikorkeakoulu/Innovaatiokeskus,131 302,108 641,128 953,106 698,811 930,258 885
Huippuvalmennuksella kilpailukykyä (Huki),Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,31.12.2010,Skills Finland ry,122 340,52 277,141 323,60 388,1 200 150,150 775
Avoimet verkostot oppimiseen -AVO,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2011,Suomen eOppimiskeskus ry,592 400,56 923,668 027,64 189,2 650 349,152 859
Yritys-Suomi palvelujärjestelmän kehittämisohjelma,Riksomfattande delen,3,Arbets- och näringsministeriet,Verksamhet pågår,1.6.2008,31.12.2010,Työ- ja elinkeinoministeriö,1 134 740,319 695,1 279 600,360 507,4 000 000,680 202
INFORTE,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.4.2008,30.6.2011,Jyväskylän yliopisto,177 462,90 315,196 640,100 075,841 620,246 049
Työstä työhön -kehittämisohjelma,Riksomfattande delen,2,Arbets- och näringsministeriet,Verksamhet pågår,1.9.2008,30.8.2011,"Työ- ja elinkeinoministeriö, työllisyys- ja yrittäjyysosasto, työvoima- ja yrityspalvelut -ryhmä",97 428,44 044,109 865,49 667,600 000,93 711
VALTAVA  Sukupuolten tasa-arvon edistäminen ja valtavirtaistaminen - valtakunnallisen kehittämisohjelman koordinaatioprojekti,Riksomfattande delen,2,Arbets- och näringsministeriet,Verksamhet pågår,1.9.2008,31.12.2013,Työ- ja elinkeinoministeriö /Strategia- ja ennakointiyksikkö,141 752,45 773,159 848,51 616,1 110 600,97 389
TASSU - Tasa-arvoa ja samapalkkaisuutta uran alkuun,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2008,29.2.2012,"Päijät-Hämeen koulutuskonserni -kuntayhtymä, Lahden ammattikorkeakoulu, Innovaatiokeskus",201 420,45 887,180 872,55 050,503 549,112 006
Homelike Oulu - Oulu omaksi - maahanmuuttajien ohjaus- ja neuvontapalvelut,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.5.2008,30.4.2011,"Oulun kaupunki, keskushallinto, Innovaatiot ja markkinointi -ryhmä",228 079,97 242,257 196,75 015,1 087 290,246 255
Yritysten ensiaskeleet Turun seudulla II,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.7.2008,31.12.2011,Raision kaupunki,55 000,23 414,48 125,20 487,192 500,58 535
Yritysten ensiaskeleet Turun seudulla I,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.7.2008,31.12.2011,Paimion kaupunki,55 000,24 362,48 125,21 317,192 500,61 186
Muutosvoimaa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.6.2008,31.5.2011,Oulun seudun yrityspalvelukeskus,228 590,170 744,257 772,188 915,1 140 778,434 041
Immigratum -työperusteisen maahanmuuton kehittäminen,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.4.2008,30.6.2011,Mäntän seudun ammatillisen koulutuksen kuntayhtymä,290 416,156 351,261 998,141 052,862 371,336 619
Aloittavien yritysten neuvontapalvelut,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.2.2008,30.6.2011,Tredea Oy,164 500,136 801,93 667,77 895,894 667,404 720
Hyvinvointia ja osaamista liikunnan avulla,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2010,Suomen Palloliitto ry,231 900,92 151,261 505,103 916,603 037,197 082
Osuvaa osaamisen johtamista yritysverkostossa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.5.2008,30.6.2011,Tampere Business Campus TBC ry,256 913,98 714,289 712,111 317,647 104,210 031
HynäPro - kehittyvä yritysverkosto teknologiateollisuudessa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.5.2008,30.6.2011,Tredea Oy,163 560,125 671,184 440,141 715,699 500,267 386
"Opin Ovi: Osuvuutta ja kysyntälähtöisyyttä aikuisopiskelun tieto-, neuvonta- ja ohjauspalveluilla",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,18.8.2008,31.12.2013,Varsinais-Suomen TE-keskus,98 000,42 805,147 000,64 208,855 000,107 013
ProoMu,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.7.2008,31.5.2011,Koneteknologiakeskus Turku Oy,39 680,1 743,42 220,1 855,443 043,26 598
"Osaamisesta kasvua 2, Satakunta",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,1.6.2008,30.6.2011,Satakunnan TE-keskus,525 744,109 328,592 256,123 285,1 601 000,232 613
