Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
Open Manufacturing,Agoria,Open Manufacturing beoogt een moderne reconversie van de Vlaamse toeleveringssector: van individualistische aanpak naar open vorm van samenwerking: *bewustwording dat het businessmodel alleskunner op lange termijn onhoudbaar is *top-down en bottom-up ideeëngeneratie *kennisnetwerk en innovatieplatform *opstarten van 3 economische clusters *disseminatie naar de volledige toeleveringssector. Bij de 30 bedrijven die actief participeren aan de 3 economische clusters beoogt het project binnen de termijn van 2 jaren een groei van 12% in werkgelegenheid. Op lange termijn zal de verwachte daling in de werkgelegenheid volledig omgebogen worden en zal het huidige niveau (20000 arbeidsplaatsen) behouden blijven.,"286,403.88","716,009.71",40.00%,12/18/08,12/17/08
Logistiek Platform West-Poort,Provincie West-Vlaanderen,"De basisdoelstelling van het project is het versterken van de West-Vlaamse competitiviteit op het vlak van logistiek door de verdere opbouw, overdracht en borging van kennis en expertise, en toepassing ervan in de praktijk. Het Logistiek Platform West-Poort fungeert als kennisplatform en beoogt op samenwerking tussen alle relevante logistieke actoren (overheden, kennisinstellingen, bedrijven en intermediaire organisaties).","214,400.00","536,000.00",40.00%,11/15/08,11/14/10
KPLO,Vlaamse ICT Organisatie,"Het project beoogt een gestructureerde, geïntegreerde en gepersonaliseerde kennisdeling over steden en gemeenten heen om zo te komen tot een snellere en efficiëntere dienstverlening. Dit verbetert de interne werking van lokale overheden en indirect de resultaten bij burgers en bedrijven, wat ook het imago en voorbeeldfunctie van de overheid verbetert.","270,450.76","676,126.90",40.00%,9/1/08,8/31/10
ECO_CHEM,FEDERATIE VAN DE CHEMISCHE INDUSTRIE VAN BELGIE,"ESSENSCIA wil met ECO_CHEM een bruikbare EEM-toolbox (eco-efficiëntie meetmethoden) samen met VITO en UGent ontwikkelen, die beide (zelfs internationaal) zeer actief zijn op het vlak van EEM en samen beschikken over het ganse pallet van complementaire EEM. ESSENSCIA zal deze EEM-toolbox implementeren bij alle chemie KMOs van de chemiewaardeketen en integreren in het toekomstige KMO-loket voor duurzame chemische producten en processen.","271,637.70","679,094.30",40.00%,1/1/10,1/1/12
Collectief Cleantech RealisatiePlan,Stad Genk,"Het project Collectief Cleantech RealisatiePlan van de Stad Genk tracht maximale duurzame waarde te creëren op bestaande industrieterreinen door het stimuleren en realiseren van nieuwe duurzame bedrijfsactiviteiten, het reduceren van de milieu-impact (CO2-uitstoot, materialengebruik, afval) en het verbeteren van de werkomgeving. Hierbij is de uitbouw van collectieve Cleantech projecten (bv. gezamenlijke aankoop zonnecellen, gezamenlijke hernieuwbare energieproductie, uitwisseling warmte en restproducten, samen afval verwerken) essentieel, dit door gerichte samenwerking van bedrijven, investeerders, overheden en kennisinstellingen. Genk-Zuid wordt het eerste implementatieterrein. Dit terrein van bijna 1000 ha is de grootste industriële cluster in Limburg en nummer vier in Vlaanderen. Het bedrijventerrein bevindt zich op het grondgebied van Genk, Bilzen en Zutendaal. ","200,000.00","500,000.00",40.00%,1/1/10,12/31/11
GRASkracht,ONDERSTEUNEND CENTRUM VAN HET AGENTSCHAP VOOR NATUUR EN BOS (OC-ANB),"Het beheer van natuurgebieden en bermen genereert jaarlijks een grote hoeveelheid grasmaaisel waarbij de afvoer van dit maaisel voor problemen zorgt. Enerzijds is er een beperkte verwerkingscapaciteit bij de compostering, anderzijds is afvoer en compostering van maaisel een grote kostenpost voor de terreinbeheerder. De sterke opkomst van vergistinginstallaties in Vlaanderen zorgt voor een mogelijkheid om de verwerkingscapaciteit voor maaisel verder te verhogen. Duurzame energie opgewekt vanuit beheerresten is een markt in volle ontwikkeling. Met Graskracht tracht OC ANB door middel van platformwerking de verschillende actoren binnen het werkveld met elkaar in contact te brengen, samenwerkingsverbanden op te zetten, het vergistingspotentieel in kaart te brengen en de procesoptimalisatie in co-vergistingsinstallaties te verbeteren alsook kennis en ervaringen uit te wisselen en te verspreiden.","397,015.82","992,539.56",40.00%,1/1/10,12/31/11
Xpo als internationale poort - immateriële component,XIM vzw,"Kortrijk Xpo wordt als kennisspillover centraal geplaatst in de versterking van de economische dynamiek in de regio en opgeladen tot een gespecialiseerd businesscentrum als internationale poort voor West-Vlaanderen en het Eurodistrict Lille-Kortrijk-Tournai, met een economische dienstverlening inzake overdracht van kennis en innovatie in een internationale context, internationale netwerkvorming, verhandelings- en investeringstrajecten.","246,666.00","616,666.00",40.00%,12/15/08,12/14/10
Export Kringloopgoederen De Kringwinkel Zuiderkempen,De Kringwinkel Zuiderkempen,Door de bestaande exportcontacten te verbeteren en nieuwe bijkomende exportcontacten te zoeken wil De Kringwinkel Zuiderkempen met dit project meer goederen een tweede leven geven op een externe markt. Het is de uitdrukkelijke bedoeling de gerealiseerde exportkanalen ter beschikking te stellen voor de collegakringloopcentra.,"178,160.00","445,400.00",40.00%,10/15/08,10/14/10
Internationalisatie van de Vlaamse kenniseconomie,Vlaams Agentschap voor Internationaal Ondernemen,Het project wil een belangrijke en structurele bijdrage leveren tot de internationalisatie van de Vlaamse kenniseconomie in een aantal strategisch belangrijke regio's buiten Europa. Dit gebeurt door het opzetten van formele samenwerkingsplatformen en het verbreden en faciliteren van de communicatiekanalen voor kennisuitwisseling en technologische samenwerking tussen Vlaanderen en deze regio's.,"193,121.00","482,802.48",40.00%,12/1/08,11/30/10
CO2PE!,Groep T,"Energie-efficiënt en duurzaam produceren is vandaag voor elke sector een noodzaak. Ook machinebouwers worden in toenemende mate geconfronteerd met de vraag naar documentatie van het energieverbruik en de volledige milieuvoetafdruk van de aangeboden machines. Binnen de Vlaamse maakindustrie is er daarom nood aan betrouwbare data over de milieubelasting van bewerkingsprocessen, vergelijkbaar met de LCA-data (levenscyclusanalyse) die voor materialen beschikbaar zijn. Anderzijds dient op basis hiervan het onbenut innovatiepotentieel voor de ontwikkeling en optimalisatie van eco-efficiënte bewerkingsmachines en -processen aangeboord. Het project CO2PE! van Campus Vesalius beoogt de actieve uitbouw en coördinatie van een internationale kenniscluster, en het uitbouwen van een internationale databank. ","119,380.03","298,450.07",40.00%,11/1/09,10/31/11
IKEBANA,Universiteit Antwerpen,"Bamboe is een multi-inzetbaar gewas, geschikt als hernieuwbare grondstof in de houtnijverheid, als bio-energiegewas en voor de sanering van marginale, vervuilde gronden, waarover in Vlaanderen heel wat expertise voorhanden is (bv. Europees onderzoeksproject Bamboo for Europe, lopend onderzoek aan de Universiteit Antwerpen). Hoewel wereldwijd erkend, blijft deze kennis en kunde beperkt tot enkele spelers. Met het project IKEBANA willen onderzoekers van de Universiteit Antwerpen en het tuinbouwbedrijf Oprins Plant NV samen een K_ (kennis-kunde-kassa) platform oprichten om (a) verder onderzoek mogelijk te maken door het aanleggen van collecties; (b) de disseminatie van de kennis en kunde naar geïnteresseerden vanuit de praktijk te stimuleren via publicatie van folders, monografieën, en de organisatie van symposia voor locale actoren; (c) een Vlaamse hub te maken voor een wereldwijd netwerk van bamboespecialisten en -gebruikers. ","122,694.80","306,737.01",40.00%,1/1/10,12/31/11
Holle kunststofproducten d.m.v. waterinjectie realiseren in Vlaanderen,Katholieke Hogeschool Limburg,"Het vervaardigen van holle spuitgietproducten via waterinjectie (WIT = Water Injection Technology of Wasser Injection Technik) is een veelbelovende technologie die hoofdzakelijk aan het IKV te Aken wordt ontwikkeld. In Vlaanderen is de technologie nog niet doorgedrongen. Cel Kunststoffen wil zijn spuitgietinstallatie voor waterinjectie gebruiken om de Vlaamse spuitgieters de mogelijkheden en beperkingen van deze innovatieve, maar complexe techniek te demonstreren en om de toepassing ervan te ondersteunen. Om de Vlaamse achterstand op dit gebied zo snel mogelijk te overbruggen willen we een intensieve samenwerking met het IKV starten en samen met bedrijven concrete voorbeelden uitwerken. Via de eigen netwerking in geheel Vlaanderen willen we deze voorbeelden ter discussie stellen en nieuwe industriële projecten stimuleren.","163,792.60","409,481.50",40.00%,9/1/08,8/31/10
Centra voor Onafhankelijk Leven: Regionaal kennis- en dienstencentrum voor Persoonsgebonden Budgetten,Budgethoudersvereniging Onafhankelijk Leven,"Het PGB decreet treedt via een voorloperproject in werking in september 2008. Om de huidige aanbodgestuurde zorg op een geslaagde manier te transformeren naar vraaggestuurde zorg, heeft men kennis en instrumenten nodig. Dit project beoogt het opstarten van een kennis en diensten centrum voor 'goede praktijken' uit binnen- en buitenland aangaande werken met Persoonsgebonden Budgetten. De Europese middelen zijn ook nodig om mechanismen op te starten die de zorggebruiker in Vlaanderen in een sterkere positie plaatsen, namelijk als consument van zorg. Het project is ook een stimulans om zorgmiddelen binnen het Vlaamse budget voor welzijn op een (economisch) efficiëntere, kwaliteitsvollere manier in te zetten en het totale aanbod en de diversiteit van zorgondersteuning te vergroten.","209,580.00","523,948.00",40.00%,7/1/08,6/30/10
Het gebouw maakt ons wijzer,Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economische Sociale Expansie van het Arrondissement Leuven,"Uitrusten van het wetenschapspark Arenberg met een energiezuinig installatieconcept en eveneens klaarmaken voor monitoring om te leren hoe de vernieuwende technieken zoals bodemwarmtewisselaar, warmtepomp en betonkernactivering in de praktijk werken.","300,056.80","750,142.00",40.00%,2/1/08,1/31/10
Een passende toekomst,GPB Kamp C - Provinciebestuur Antwerpen,"Het provinciebestuur van Antwerpen wil met dit project duurzaam bouwen en hernieuwbare energie bij diverse types bouwheren promoten en bekendmaken zodat de provincie toonaangevend blijft op het vlak van deze materies en de bouwbedrijven, instellingen, openbare besturen en particulieren de nodige informatie, demonstratie en netwerken in de provincie hebben om aan de top te blijven in hun sector en in het bijzonder in hun bouwactiviteiten. Via samenwerking met de gemeentebesturen, hogere overheden, bedrijven en sectoren en onderzoeksinstellingen en het onderwijs wil het provinciebestuur deze acties ondersteunen en verderzetten via haar provinciebedrijf KampC, provinciaal centrum duurzaam bouwen en wonen.","807,000.00","2,017,500.00",40.00%,10/1/08,9/30/10
Nul-energie bedrijvencentrum De Basis,GPB Kamp C - Provinciebestuur Antwerpen,"Bedrijvencentrum De Basis wil een voorbeeldproject zijn op het vlak van duurzaam bouwen en hernieuwbare energie. Tijdens de eerste fase is de volledige zuidgevel uitgevoerd in fotovoltaïsche zonnepanelen, waardoor 90% van de elektriciteitsbehoefte van fase 1 op jaarbasis wordt voldaan. De tweede fase beoogt de uitbreiding naar een tweede bedrijvencentrum en een polyvalent seminargebouw, aan elkaar verbonden met glazen doorgangen. De gebouwen worden maximaal duurzaam gebouwd en de energievraag wordt zo laag mogelijk gehouden. Met dit project worden de investeringen in betonkernactivering, kleine windmolens en zonne-energie gerealiseerd, zodat het gehele complex een nul energie bedrijvencentrum wordt. Alle infrastructuur en technische voorzieningen worden bovendien optimaal didactisch omkaderd door diverse publiciteits- en disseminatieacties over het thema. In het bedrijvencentrum kunnen ondernemers ervaren dat duurzaam bouwen en hernieuwbare energie, dezelfde comfortverwachtingen kunnen bieden. Hetzelfde zal ook gebeuren bij de gebruikers van de polyvalente congresinfrastructuur, waar bezoekers tijdens vergaderingen, seminars en studiedagen de kwaliteitsaspecten van het project leren kennen.","131,144.64","327,861.60",40.00%,1/1/08,12/31/09
Open raam op innovatieve materiaaltechnologie voor een duurzaam Vlaams productielandschap,SIRRIS LEUVEN,Dit project werkt als een trechter of funel. Het poogt bedrijven te mobiliseren en engageren rond het thema duurzaamheid. In deze aanpak primeren twee dimensies: (1) innovatie met de best beschikbare materiaaltechnologie en (2) hefbomen ontdekken die bedrijven toelaten om in duurzaamheid te investeren.,"390,852.65","977,131.63",40.00%,12/1/08,11/30/10
Duurzaam en energiezuinig kantoorgebouw Infrax-Wvem in Torrhout,West-Vlaamse Energie- en Teledistributiemaatschappij,"In het kantoorgebouw worden diverse eco-innovatieve technieken toegepast zoals een groene gevel, een boorgatenenergieopslagveld (BEO-veld) en betonkernactivering (BKA). De toepassing van diverse eco-innovatieve technieken zorgt voor een primaire energiebesparing van 42% en een belangrijke comfortverbetering. De berekende waarde van het E-peil van het gebouw bedraagt E55. De daling van het energiegebruik zal zorgen voor een jaarlijkse besparing van ongeveer 30.000 euro.","300,109.60","750,274.00",40.00%,5/1/08,4/30/10
Innovatief duurzaam administratief centrum,Gemeente Zwevegem,"De centrale doelstelling is het opbouwen, bundelen, aanwenden en ter beschikking stellen van know-how inzake energie-efficiënt bouwen en verbouwen, waarbij een optimaal economische en ecologisch rendement behaald wordt op een wijze die haalbaar is voor zowel burgers, overheidsbesturen als bedrijven. Het project concretiseert zich in het renoveren van een verouderd kantoorgebouw tot een modern, functioneel en comfortabel administratief centrum waar zowat alle diensten van de Gemeente Zwevegem worden gecentraliseerd op ca. 5150m2 bruikbare oppervlakte.","308,792.00","771,980.00",40.00%,12/1/08,11/30/10
Laagdrempelige Expertise- en Dienstverleingscentra (LED's),Provincie West-Vlaanderen,Met de uitbouw van een complementair netwerk van Laagdrempelige Expertise- en Dienstverleningscentra (LED's) wil de provincie West-Vlaanderen de aanwezige kennis en expertise binnen de hogescholen vlotter ontsluiten. KMO's en organisaties krijgen op die manier creatieve probleemoplossingen aangereikt; ze worden gestimuleerd om alert te blijven voor de nieuwste ontwikkelingen en kunnen rekenen op een doorgedreven ondersteuning om deze zelf te gaan toepassen. Dit moet op termijn resulteren in een dynamisch werkveld dat aandacht heeft voor strategische innovatie.,"427,733.00","1,069,333.00",40.00%,10/1/08,9/30/10
Multifuncitionele sporthal Maldegem,Autonoom Gemeentebedrijf Maldegem,"Er werd bij het ontwerpen van de nieuwe sporthal uitgegaan van een duurzaam en vernieuwend concept waarbij rekening gehouden werd met de oriëntatie, het materiaalgebruik en de aangewende technieken, zodat een energiezuinig en duurzaam gebouw ontworpen werd, dat maximaal gebruik maakt van hernieuwbare energie en waarbij de energiebehoefte zoveel mogelijke gereduceerd zal worden. De bottomline wordt gevormd door de Trias energetica (vraag energie beperken, duurzame energiebronnen gebruiken, enerige efficiënt gebruiken) Dit zal gerealiseerd worden door: het beperken van de energievraag; het zoveel mogelijk inzetten van hernieuwbare energiebronnen; het inzetten van efficiënte technieken voor de resterende energievraag; het vernieuwend gebruik van duurzame materialen.","297,725.60","744,314.00",40.00%,9/1/08,8/31/10
Gent 3D,Stad Gent,"Het project omvat het maken van een 3D-maquette van de Stad Gent in verschillende detail niveaus en met verschillende spin-off mogelijkheden. Het unieke zit in de data-inwinning en de implementatie van nieuwe interfaces voor gebruik. Daarnaast wordt ook een systeem van digitale driedimensionale bouwaanvraag geïnitieerd, om continu over een geactualiseerd 3D-model te beschikken.","317,840.00","794,600.00",40.00%,4/1/09,3/31/11
VLARIPdiensten,Federatie van de Chemische Industrie van België,"VLARIP diensten is 1 v/d REACH Implementatieprojecten van Essenscia Vlaanderen waarbij de Vlaamse PV-dienstensector samenwerkt met de chemie-industrie om hun toekomstvisie te ontwikkelen en hun PV-dienstenaanbod te optimaliseren (aard, kwaliteit, kwantiteit en timing) aan de hand van de behoeften aan PV-diensten zoals gedefinieerd door de peterschapprojecten VLARIP en VLARIP gebruiker. Het afstemmen v/d Vlaamse PV-diensten op de noden van de chemie-industrie en haar klanten zal een grote bijdrage leveren aan de verankering en verdere uitbouw van de ganse waardeketen v/d Vlaamse chemie-industrie. Dit project moet leiden tot nieuwe samenwerkingsverbanden en zelfs volledig nieuwe dienstenbedrijven. De overheid, grote chemiebedrijven en Essenscia worden gemotiveerd om het tijdelijke marktfalen v/d PV-dienstensector op te vangen met o.m. innovatief aanbesteden. Dit is een pilootproject voor een mogelijk toekomstig Vlaams PV-competentiecentrum in de schoot van essenscia (en voor de grotere rol die industriefederaties zoals Essenscia zouden kunnen toebedeeld krijgen i.v.m. innovatie- en ondernemerschapstimulering) maar kan ook uitmonden in een nieuwe PV-dienstensector.","70,990.00","177,475.00",40.00%,12/1/08,12/1/10
Innovatieve concepten via een multidisciplinaire aanpak,Universiteit Hasselt - Instituut EDM,"Door samen te werken met actoren uit bepaalde sectoren, wil EDM nieuwe concepten ontwikkelen op het terrein van innovatie met ICT middelen, met bijzondere aandacht voor humane aspecten en eindgebruikers. Via dit project beoogt EDM om naar de sector toe adviezen te formuleren, relevante informatie beschikbaar te stellen, relevantie en bruikbaarheid van nieuwe technologieën uit te testen, haalbaarheid van geïntegreerde concepten uit te schrijven. Als concrete case is er gekozen voor ‘innovatieve serviceflats’. De bedoeling is, rekening houdend met de doelgroep, nieuwe concepten te introduceren zodat een aangenamere en veiligere leefomgeving met aandacht voor welzijn, kwaliteit van leven, preventie, comfort en gebruiksgemak ontstaat.","311,890.00","779,726.00",40.00%,12/1/08,11/30/10
Moving Forward!,Universiteit Hasselt - Instituut IMOB,"Er is al heel wat tijd geïnvesteerd in de kennisopbouw rond bereikbaarheidskaarten. Toch zijn er nog enkele belangrijke knelpunten. Wat betreft dataverzameling stellen we vast dat dit vaak een complex en tijdrovend proces is. Bovendien zijn de gegevens weinig gedigitaliseerd, wat het updaten van gegevens op snelle en eenvoudige manier onmogelijk maakt. Ook ontbreekt er vaak informatie of blijft de bereikbaarheidskaart beperkt tot de onmiddellijke omgeving van de locatie. Doordat bereikbaarheidskaarten ook vaak alleen in hard kopie versie bestaan, stellen er zich ook problemen op het vlak van betrokkenheid en het bereik van de eindgebruikers. De activiteiten, die ondernomen worden om een oplossing te bieden aan deze problemen zijn: het gebruik van bestaande GSM -technologie, het digitaliseren van gegevens, het koppelen van relevante data(banken) aan de kaarten en het visualiseren van bereikbaarheidskaarten in een webomgeving.","118,402.78","296,006.97",40.00%,4/1/09,3/31/11
Energiezuinig concept voor revalidatiecentrum UZ-Gent,Universitair Ziekenhuis Gent,"Voor een ziekenhuis en zeker voor een REVA (afdeling revalidatie) is het van groot belang om te voldoen aan de vraag van de patiënten (NAH - Niet Aangeboren Hersenletsel of Dwarslaesie) naar een steeds groter comfort, o.a. koeling in de zomer, zonder hierbij het efficiënte gebruik van de thermische energie uit het oog te verliezen. Een goed energiebeheer begint bij de bouwschil en daarom zal meer dan de gewone isolatie in vloeren, daken en wanden worden voorzien. Bovendien wordt alle aandacht geschonken aan het luchtdicht bouwen. De bedoeling is om het verlies aan warmte via de gevel (ramen, enz.…) te minimaliseren. Om een perfect klimaat te creëren wordt een systeem met pulsie- en extractie voorzien. Verder wordt BoorgatEnergieOpslag toegepast gekoppeld aan een omkeerbare warmtepomp. Lage temperatuur verwarmings- en hoge temperatuur koelingssystemen zijn hiervoor de ideale duurzame energievorm. Daarom worden koel- en warmbalken toegevoegd aan het BEO-systeem. Door het recupereren van energie wordt eveneens de uitstoot van de CO2 gevoelig verminderd.","160,852.56","402,131.40",40.00%,12/18/08,12/17/10
MLOZ-ZorgTV,Landsbond van de onafhankelijke ziekenfondsen,"Het pilootproject MLOZ-zorgTV beoogt de creatie van een digitaal interactief TV-kanaal dat toelaat om gepersonaliseerde informatie en gepersonaliseerde diensten ( o.m. coaching) te bieden aan een geselecteerde groep patiënten met één of meerdere chronische aandoeningen en/of een zorgbehoefte. Via deze vernieuwende methode van informatie- en kennisoverdracht wordt gewerkt aan de empowerment van de patiënt en aan de compliance, wat op langere termijn resulteert in een betere medische outcome.","70,854.61","177,136.52",40.00%,4/1/08,3/31/10
Ritchie,Universiteit Hasselt - Instituut EDM,"Om tegemoet te komen aan de nood van de erfgoed- en cultuurtoeristische sector aan advies over inzet en bruikbaarheid van mobiele ICT toepassingen en een goede afstemming van dergelijke technologieën op de doelomgeving, willen het EDM en het PGRM gezamenlijk een kenniscentrum uitbouwen. De expertise van beide partners binnen dit domein zal via het kenniscentrum optimaal verspreid kunnen worden, o.m. door middel van adviesverlening en demonstraties. Door hun gezamenlijke uitvoering van het EFRO onderzoeksproject ARCHIE hebben het EDM, als onderzoeksinstituut toegepaste informatica, en het PGRM als toonaangevend museum op het vlak van publiekswerking, deze expertise vergaard. Binnen dit project werden vier belangrijke aspecten ontdekt en gedefinieerd die meespelen in de slaagkans van een mobiele ICT toepassing voor erfgoedontsluiting, namelijk mobiliteit, sociale interactie, personalisatie en lokalisatie. Vanuit een informatiepunt wil men de mogelijke aanbieders van dergelijke technologieën uit de erfgoed- en cultuurtoeristische sector sensibiliseren met betrekking tot deze vier aspecten. Door de uitbouw van een demo- en testinfrastructuur biedt men de mogelijkheid om elk van deze aspecten via een prototype toepassing te testen en te evalueren, waarbij ze aandacht schenken aan de ondersteuning van specifieke gebruikersgroepen. Een belangrijke doelstelling is de verankering van het beoogde kenniscentrum binnen het PGRM. Dit houdt onder meer in dat het kenniscentrum zoveel mogelijk zelfbedruipend is na afloop van dit project.","294,625.00","736,563.00",40.00%,9/1/08,8/31/10
Challenge-me,VOKA - Kamer van Koophandel West-Vlaanderen,"Ondernemingen hebben steeds meer behoefte aan open innovatie en externe input bij hun innovatie-inspanningen. Om mee aan deze nood tegemoet te komen, zijn in het buitenland sinds enkele jaren 'Creation Nets' actief. Op een Creation Net doen bedrijven aan Crowd Sourcen: ze plaatsen op het internet een open oproep om oplossingen te vinden bij innovatie struikelblokken. In Vlaanderen is deze tool nog ongekend. www.challenge-me.be wil een Vlaamse vertaling zijn van een dergelijk Creation Net. West-Vlaanderen kmo's zullen er 'challenges' (vragen/oproepen) kunnen richten naar hogeschoolstudenten in West-Vlaanderen. Het project sluit aan bij de samenwerkingsinitiatieven tussen industrie en hogescholen. Challenge-Me voorziet de opbouw, bekendmaking, gebruik, coördinatie, evaluatie van het Creation Net, het noteren van best practices en de disseminatie van de resultaten. Doelstellingen van het project zijn het fenomeen Creation Net bekend te maken bij West-Vlaamse kmo's en hogeschoolstudenten en Vlaamse variant creëren en zo de drempel verlagen om beroep te doen op/mee te werken aan een Creation Net. Op deze manier willen ze ondernemingen helpen in hun zoektocht naar externe input. Expertise opdoen en best practices verzamelen om zo mogelijkheden te bieden voor een self-supporting Creation Net in Vlaanderen is een andere doelstelling.","76,477.56","191,193.90",40.00%,9/1/08,8/31/10
"Woonlabo: kennisvalorisatie gericht op levenslang wonen, aanpasbaar bouwen en universal design",Provinciale Hogeschool Limburg,"Dit project wil gebaseerd op een fysieke locatie, het Woonlabo, de kennis bundelen en verspreiden rond levenslang wonen, aanpasbaar bouwen en Universal design. Het beschikbaar stellen en verspreiden van deze kennis is noodzakelijk om voor iedereen de mogelijkheid te bieden op een aangepaste woning, van goede kwaliteit, in een behoorlijke woonomgeving en tegen een betaalbare prijs.","294,200.00","735,500.00",40.00%,12/15/08,12/14/10
De ontwikkeling en realisatie van een multitouch interface,Provincie Limburg,"Z33 wil een digitale multitouch interface ontwikkelen, vormgeven en realiseren die op een vernieuwende interactieve manier bezoekers in de tentoonstellingsruimtes informeert en begeleidt. Voor de realisatie van dit project wordt beroep gedaan op 2 partners: EDM en de KHLim, afdeling Media en Design. Z33 levert inhoud aan, coördineert het project en verzorgt disseminatie van resultaten in de context van tentoonstellingsprojecten. EDM staat in voor het functionele ontwerp en de bouw van de multitouchtafel, het technologisch onderzoek en de ontwikkeling van het softwareplatform dat zal toelaten om mediarijke netwerktoepassingen te ontwikkelen die van de multitouch functionaliteit gebruik maken. KHLim, MDA zal de multitouchtafel vormelijk ontwerpen en de nodige toepassingen ontwikkelen voor Z33 op basis van het softwareplatform dat EDM ontwikkelt en de bezoekersgegeven bekomen uit de toepassingen analyseren en interpreteren.","120,000.00","300,000.00",40.00%,12/1/08,11/30/10
KIK-off,Katholieke Hogeschool Limburg,"Met behulp van netwerkacties binnen het project KIK-off wil I refrigeration, de expertisecel van de Katholieke hogeschool Limburg de kennis over eco-innovatieve koeltechnieken valoriseren met behulp van een demonstratielabo met duurzame koelinstallaties, kennisplatform en virtueel labo. Nu werkt meer dan 20% van de commerciële koelinstallaties nog met milieuonvriendelijke koelmiddelen die het broeikaseffect versterken. Vanaf 2015 moeten die vervangen worden door natuurlijke koelmiddelen zoals CO2.","154,254.00","385,636.00",40.00%,9/1/08,8/31/10
Innovation Wizard: contextuele creativiteit,Hogeschool West-Vlaanderen,"De Innowiz software wordt tijdens het lopende TETRA project ontwikkeld en resulteert in een praktische, laagdrempelige webgebaseerde creativiteitssoftware die de gebruiker aanspoort op regelmatige basis creatieve technieken toe te passen binnen de concrete bedrijfsomgeving. De software stelt op basis van een beknopte contextbeschrijving een creativiteitstechniek voor die de meeste kans op slagen zal hebben in die specifieke omstandigheden. Daaraan worden praktische visualisatie en concretisering instrumenten gekoppeld. Dit project is een vervolgtraject van het huidige TETRA project. De opgedane kennis, ontwikkelde instrumenten en expertise moet nu verspreid worden onder de beoogde doelgroep. Ondertussen wordt de software verder uitgebreid met een logging- en feedbacksysteem, waarmee op termijn een intelligent systeem uitgebouwd kan worden.","63,800.00","159,500.00",40.00%,12/1/08,1/30/10
Sint-Vincentiusziekenhuis,Sint-Vincentiusziekenhuis te Antwerpen,"Het project beoogt een duurzame energie-efficiënte verwarming en koeling aan een hoog rendement en aan een lagere energie- en exploitatiekost dan een referentie installatie voor een algemeen stedelijk ziekenhuis. Door uniek gebruik te maken van betrouwbare technologieën van BoorgatenEnergieOpslag (BEO) met Warmte Pomp(WP), gekoppeld aan een bestaande installatie met Warmtekrachtkoppeling (WKK) en condenserende ketel zal het mogelijk zijn een maximum optimaal comfort te leveren aan patiënten, personeel en bezoekers. Een maximale reductie van de primaire energie zal de afhankelijk ervan verminderen Een goed energiebeheer begint bij de bouwschil en daarom zal naast de introductie meer dan gewone isolatie in vloeren, wanden en daken worden voorzien. Bovendien zal alle aandacht worden geschonken aan het luchtdicht bouwen. De bedoeling is om het verlies aan warmte via de gevel te minimaliseren. Een optimaal pulsie- en extractiesysteem zal zorgen voor een perfect binnenklimaat","199,842.68","499,606.68",40.00%,10/1/08,9/30/10
Economische kaart West-Vlaanderen,Provincie West-Vlaanderen,"Deze provinciale kaart wil een overzicht bieden van alle economische activiteit, van landbouwer en bakker tot industriële multinational en (non-) profit dienstverlener (ruim 100.000), die voldoet aan met gebruikers geformuleerde kwaliteitseisen. Met de Economische Kaart wil de Provincie West-Vlaanderen in samenwerking met de gemeenten de data uit het VKBO uitzuiveren, vervolledigen, actualiseren, eventueel verrijken, en ontsluiten. Het project beoogt te komen tot een bedrijvendatabank, in eerste instantie te benutten door de lokale en provinciale overheid, te verrijken met een Giscomponent en te ontsluiten via het net, waardoor er ook een winsituatie ontstaat voor bedrijven en burger.","115,038.00","287,598.00",40.00%,12/1/08,11/30/10
Profoto,Hogeschool West-Vlaanderen,"Het project beoogt het opstellen van een proefveld voor fotovoltaïsche panelen van de verschillende hedendaagse technologieën. Hierin worden niet alleen de fotovoltaïsche panelen naar efficiëntie en opbrengst onder verschillende klimatologische omstandigheden met elkaar aangetoond, maar ook de impact van de netkoppeling op de efficiëntie van de fotovoltaïsche panelen en zijn impact op het openbaar voedingsnet wordt gedemonstreerd.","60,000.00","150,000.00",40.00%,11/3/08,10/30/10
TEB - THE ENERGY BOX,GREENBRIDGE INNOVATIECENTRUM,"The Energy Box van Greenbridge Innovatiecentrum is een demonstrator van nieuwe technologieën op het vlak van duurzame energie, producten, concepten, processen en diensten (PCPD). Het richt zich specifiek naar kmo’s, waaronder start-ups en (academische) spin-offs, R&D centra & platformen, die marktrijpe prototypes in de cleantech sector ontwikkelden, doch niet het kader hebben of vinden om de markt daadwerkelijk te betreden. ","599,813.37","1,499,533.42",40.00%,2/1/10,1/31/12
Milieuvriendelijke teeltwijzen ter productie van residu-arm fruit,Proefcentrum Fruitteelt,Met het project Milieuvriendelijke teeltwijzen ter productie van residu-arm fruit wil het Proefcentrum Fruitteelt het gebruik van recent ontwikkelde alternatieve milieuvriendelijke teeltwijzen stimuleren door overdracht van de binnen pcfruit aanwezige kennis en expertise omtrent deze alternatieve strategieën en het aanleggen van proefpercelen ter demonstratie. ,"101,580.00","253,950.00",40.00%,1/1/10,12/31/11
