Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
Centrum Biznesu i Promocji Kadr Spółka z ograniczoną odpowiedzialnością,"""Przedsiębiorczy zawód"" - program wsparcia kobiet w powiecie",Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"298,464.00","270,176.13",2008,2009
Centrum Biznesu i Promocji Kadr Spółka z ograniczoną odpowiedzialnością,"""Zdobądź uprawnienia na bazie doświadczenia""",Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"342,091.31","320,693.42",2009,2010
Centrum Biznesu i Promocji Kadr Spółka z ograniczoną odpowiedzialnością,Orientacja - program doradczo-psychologiczny dla uczniów zagrożonych przedwczesnym wypadnięciem z systemu oświaty,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"283,378.00","281,955.90",2008,2009
Centrum Biznesu i Promocji Kadr Spółka z ograniczoną odpowiedzialnością,Grafika dla młodego informatyka - kompleksowe wsparcie doradczo - szkoleniowe uczniów szkół gimnazjalnych,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"267,458.00","262,193.79",2008,2009
Centrum Biznesu i Promocji Kadr Spółka z ograniczoną odpowiedzialnością,Grafika dla młodego informatyka - kompleksowe wsparcie doradczo - szkoleniowe uczniów szkół gimnazjalnych,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"275,152.00","258,171.93",2008,2009
Centrum Biznesu Małopolski Zachodniej Sp. z o.o.,Aktywizacja zawodowa szansą na pracę.,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,985.00","49,246.36",2009,2010
Centrum Biznesu Małopolski Zachodniej Sp. z o.o.,Dorównaj młodszym. Szkolenia z obsługi systemów komputerowych,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"232,536.60","215,503.36",2007,2009
"Centrum Budownictwa i Ogrodnictwa ""EREM""- Ryszrd Musz",Zakup i wdrożenie informatycznego systemu zarządzania firmą realizującego funkcje B2B,Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdrażania elektronicznego biznesu typu B2B,,"774,288.00","400,250.00",2008,2010
"Centrum Budownictwa i Ogrodnictwa ""EREM""- Ryszrd Musz","„WZROST KONKURENCYJNOŚCI CENTRUM BUDOWNICTWA I OGRODNICTWA ""EREM"" W PRZEMYŚLU POPRZEZ INFORMATYCZNE WYPOSAŻENIE CENTRUM BUDOWLANEGO”",Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"580,170.67","256,954.35",2008,2010
Centrum Charytatywno-Opiekuńcze Caritas pw. Matki Bożej z Lourdes w Pile ,Moja szansa na inne życie,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"2,106,940.00","2,106,922.94",2008,2010
Centrum Charytatywno-Społeczne CARITAS Ordynariatu Polowego Wojska Polskiego im. Bł. Ks.Kmdr. Władysława Miedonia u Ustce,"""Sięgaj wyżej""- działania integracyjne dzieci niepełnosprawnych w powiecie słupskim ",Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,218.00","49,124.82",2008,2009
Centrum Charytatywno-Społeczne CARITAS Ordynariatu Polowego Wojska Polskiego im. Bł. Ks.Kmdr. Władysława Miegonia u Ustce,„Sięgaj wyżej II” – warsztaty komunikacji i integracji społecznej dzieci niepełnosprawnych w powiecie słupskim,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"50,000.00","50,000.00",2009,2010
Centrum Doradczo Szkoleniowe Projeky - Mariusz i Dorota Golińscy Spółka Jawna,Specjalista ds. pozyskiwania funduszy unijnych,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"240,080.00","239,216.90",2009,2010
Centrum Doradczo Szkoleniowe Projeky - Mariusz i Dorota Golińscy Spółka Jawna,Z komputerem za pan brat,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"205,297.50","204,912.67",2008,2009
Centrum Doradztwa Gospodarczego  Sp. z o.o.,ROZKWITNIJ NA RYNKU PRACY!,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"298,301.42","281,095.55",2008,2009
Centrum Doradztwa Gospodarczego  Sp. z o.o.,IDZ WŁASNĄ DROGĄ - Program aktywizacji wychowanków domów dziecka,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"510,920.00","442,114.20",2008,2010
"Centrum Doradztwa i Szkoleń ""Europrojekt"" Joanna Juszczyńska, Dorota Juszko sp.j",Młodzi na start,Program Operacyjny Kapitał Ludzki,6.2. Wsparcie oraz promocja przedsiębiorczości i samozatrudnienia,,"992,208.18","965,395.78",2008,2010
"Centrum Doradztwa i Szkoleń ""Europrojekt"" Joanna Juszczyńska, Dorota Juszko sp.j",Inwestycja w samego siebie szansą dla młodych przedsiebiorców w regionie,Program Operacyjny Kapitał Ludzki,6.2. Wsparcie oraz promocja przedsiębiorczości i samozatrudnienia,,"992,208.18","980,407.45",2008,2010
"Centrum Doradztwa Strategicznego s.c. D. Bieńkowska, C. Ulasiński, J. Szymańska",Identyfikacja i analiza potrzeb edukacyjnych ponadgimnazjalnego szkolnictwa zawodowego w Skierniewicach.,Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"541,664.79","482,246.55",2008,2010
"Centrum Doradztwa Strategicznego s.c. Dagmara Bieńkowska, Cezary Ulasiński, Justyna Szymańska",Podkarpacki Portal Pracy,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"875,527.96","824,608.67",2008,2010
"Centrum Doradztwa Unijnego Wioletta Piotrowska - Tarapacz, Jacek Frankowski s.c.","""Dostosowanie oferty szkolnictwa zawodowego do wymogów dolnośląskiego rynku pracy""",Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"420,698.80","385,833.36",2008,2010
"Centrum Doradztwa Unijnego Wioletta Piotrowska - Tarapacz, Jacek Frankowski s.c.","""Dostosowanie oferty szkolnictwa zawodowego do wymogów łódzkiego rynku pracy"".",Program Operacyjny Kapitał Ludzki,9.2. Podniesienie atrakcyjności i jakości szkolnictwa zawodowego,,"405,634.72","375,366.17",2008,2010
"Centrum Doradztwa Unijnego Wioletta Piotrowska-Tarapacz, Jac",Rozwój zawodowy-szansą dla osób pozostających bez zatrudnienia,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"985,010.40","906,775.42",2007,2010
"Centrum Doradztwa Unijnego Wioletta Piotrowska-Tarapacz, Jacek Frankowski s.c",Dostosowanie oferty szkoleniowej instytucji rynku pracy do wymogów łódzkiego rynku pracy,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"418,202.52","405,444.04",2008,2009
Centrum Doskonalenia Nauczycieli i Kształcenia Ustawicznego w Suwałkach,Nowy zawód- nowe szanse.,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"248,055.00","247,642.62",2009,2010
Centrum Doskonalenia Nauczycieli i Kształcenia Ustawicznego w Suwałkach,Chcę zdobyć zawód i pracować,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"246,423.40","244,008.35",2008,2009
"Centrum Edukacji ""SUKCES"" mgr Małgorzata Iwańska",Gimnastyka buzi i języka,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,179.60","47,626.16",2009,2010
"Centrum Edukacji ATUT Dolny Śląsk s.c Jarosław Jastrzębski, Marek Kullanda, Andrzej Maciejowski, Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe""Victoria"" sp. z o.o.",Kadra na piątkę,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"380,850.94","323,001.37",2008,2010
"Centrum Edukacji ATUT Dolny Śląsk s.c. Jarosław Jastrzębski, Marek Kullanda, Andrzej Maciejowski, Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe ""Victoria"" Sp. z o.o.",Radosny świat przedszkolaka.,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"460,151.56","452,827.46",2009,2010
Centrum Edukacji ATUT Wielkopolska Jarosław Jastrzębski Spółka jawna,Aktywni mieszkańcy - fundamentem rozwoju gminy Osielsko,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"38,266.70","38,266.70",2008,2010
Centrum Edukacji ATUT Wielkopolska Jarosław Jastrzębski Spółka jawna,Aktywni mieszkańcy - fundamentem rozwoju gminy koronowo,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"36,543.50","36,543.50",2008,2010
Centrum Edukacji ATUT Wielkopolska Jarosław Jastrzębski Spółka jawna,Aktywni mieszkańcy - fundamentem rozwoju Ciechocinka,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,983.50","49,738.00",2008,2010
Centrum Edukacji ATUT Wielkopolska Jarosław Jastrzębski Spółka jawna,Razem możemy więcej - proedukacyjne działania na terenie gminy Solec Kujawski,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"36,543.50","36,278.50",2008,2010
Centrum Edukacji ATUT Wschód s.c.,Nowe kwalifikacje drogą do sukcesu,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"599,993.99","562,983.74",2008,2009
Centrum Edukacji British School Zbigniew Misiura,Kluczowe kompetencje kobiet,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"628,803.60","605,406.53",2007,2010
"Centrum Edukacji i Doskonalenia Kadr ""LIDER""",Kształcenie ustawiczne szansą na mobilność zawodową mieszkańców Powiatu Ostrowieckiego,Program Operacyjny Kapitał Ludzki,9.3. Upowszechnienie formalnego kształcenia ustawicznego,,"128,610.00","128,264.04",2008,2010
"Centrum Edukacji i Kultury ""Zenit"" - inż. Ryszard Girczyc",Osiągnij Zenit swoich możliwości po pięćdziesiątce,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"597,716.36","591,195.90",2008,2010
"Centrum Edukacji i Kultury ""Zenit"" - inż. Ryszard Girczyc","""Just press enter - wakacyjne kursy dla gimnazjalistów""",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"48,112.96","47,148.41",2008,2010
"Centrum Edukacji i Kultury ""Zenit"" - inż. Ryszard Girczyc",You can help - wakacyjne kursy dla gimnazjalistów,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,612.36","46,719.50",2008,2010
Centrum Edukacji Lingua,Rozwój przedszkolaka szansą rozwoju powiatu krośnieńskiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"99,876.50","98,299.04",2008,2009
Centrum Edukacji Lingua,Przedszkole szansą na równy start w szkole dzieci z powiatów rzeszowskiego oraz ropczycko - sędziszowskiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"99,898.50","98,330.24",2008,2009
Centrum Edukacji Lingua,Atrakcyjne zajęcia jako narzędzie wszechstronnego rozwoju przedszkolaka z powiatu kolbuszowskiego i tarnobrzeskiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"99,898.50","98,324.46",2008,2009
Centrum Edukacji Lingua,Małe przedszkole ośrodkiem rozwoju dzieci z gminy Trzebownisko,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"92,062.71","90,611.55",2008,2009
Centrum Edukacji Lingua,Dodatkowe zajęcia przedszkolne szansą na lepszy start dzieci z powiatu łańcuckiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"94,983.50","93,488.84",2008,2009
Centrum Edukacji Lingua,Rozwój poprzez edukację przedszkolnąszansą na konkurencyjny start w życie dzieci z powiatu przeworskiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"99,975.00","96,959.18",2008,2009
Centrum Edukacji Lingua,Małe przedszkole z powiatu rzeszowskiego kształcące wielkich ludzi,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"94,334.22","92,845.71",2008,2009
Centrum Edukacji Lingua,Kompleksowe zajęcia przedszkolne atutem placówek z powiatów brzozowskiego oraz sanockiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"94,061.97","92,461.75",2008,2009
Centrum Edukacji Lingua,Przedszkole z gminy Łańcut placówką otwierającą świat wielkich możliwości,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"94,202.71","87,779.55",2008,2009
Centrum Edukacji Lingua,Przedszkole bez granic - zajęcia przedszkolne ukierunkowane na rozwój dzieci z gminy Markowa,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"91,725.90","89,737.47",2008,2009
Centrum Edukacji Lingua,Warsztaty językowe w powieci brzozowskim otwierające świat wielkich mozliwości,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"288,937.79","289,689.77",2008,2010
Centrum Edukacji Lingua,Edukacja językowa otwierająca świat wielkich mozliwości dla powiatu ropczycko - sędziszowskiego i dębickiego,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"259,037.79","259,708.68",2008,2010
Centrum Edukacji Lingua,"Warsztaty językowe w szkołach z powiatu rzeszowskiego, łańcuckiego i kolbuszowskiego szansą na lepszy start w dorosłe życie",Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"297,949.75","298,727.19",2008,2010
Centrum Edukacji Nauczycieli w Białymstoku,Wirtualny CEN - Wykwalifikowany Nauczyciel Wiejskiej Szkoły,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"595,641.20","504,567.00",2008,2010
Centrum Edukacji Nauczycieli w Suwałkach,Kompetencje - Aktywność - Współpraca. Wysoko wykwalifikowane kadry systemu oświaty w gminach doliny Rospudy.,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"235,263.28","198,202.71",2008,2010
Centrum Edukacji Sp z o.o.,Wykorzystaj swoją szansę,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"347,489.80","339,861.59",2008,2009
Centrum Edukacji Ustawicznej Krzysztofa Augustyniaka,Profesjonalna kadra biurowa,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"220,539.90","191,040.15",2008,2009
Centrum Edukacji Zawodowej CARGO Andrzej Palka,Znaczące ulepszenie usług szkoleniowych świadczonych przez firmę Centrum Edukacji Zawodowej CARGO poprzez wykorzystanie Mobilnego symulatora jazdy samochodem ciężarowym i autobusem.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.4. Mikroprzedsiębiorstwa i MŚP,"1,464,000.00","720,000.00",2009,2010
Centrum Edukacji Zawodowej im. Witolda Pluty,Uwierz w siebie,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"405,000.00","405,000.00",2008,2010
Centrum Edukacji Zawodowej w Stalowej Woli,Wyższe kwalifikacje nauczycieli szansą dla ucznia w kształtowaniu kariery edukacyjno-zawodowej,Program Operacyjny Kapitał Ludzki,9.4. Wysoko wykwalifikowane kadry systemu oświaty,,"99,993.00","82,704.61",2008,2010
"Centrum Edukacji, Diagnozy i Pomocy Psychologiczno-Pedagogicznej ""PROGRES""",Rodzina wolna od uzależnień filarem integracji społecznej na terenie Gminy Brójce,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,740.00","49,223.02",2009,2010
"CENTRUM EDUKACYJNE ""OMNIBUS TERESA"" WASIŁEK",SEKRETARKA/SEKRETARZ POSZUKIWANI NA REGIONALNYM I EUROPEJSKIM RYNKU PRACY,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"273,238.00","271,075.94",2007,2009
"Centrum Edukacyjne ""Sigma"" Wojeciech Waluk",Zawód z przyszłością - nowe możliwości dla osób po 45 roku życia,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,650.00","49,196.48",2008,2010
"Centrum Edukacyjne ""Sigma"" Wojeciech Waluk",Młodzi duchem - edukacja komputerowa dla mieszkańców gminy Bojszowy,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,800.00","48,240.76",2008,2010
"Centrum Edukacyjne ""Sigma"" Wojeciech Waluk",Zawód z przyszłością - nowe możliwości dla osób po 45 roku życia,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,900.00","49,682.22",2008,2010
"Centrum Edukacyjne ""Sukcesy""",Zwiększenie kwalifikacji zawodowych pracowników woj. wielkopolskiego poprzez kursy językowe uzupełnione prezentacją zagadnień dotyczących mobilności zawodowej i warsztatami z obsługi komputera,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"323,210.00","318,703.26",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Azymut praca - rozwój kompetencji umożliwiających zaistnienie na rynku pracy jako antidotum dla wykluczania społecznego mieszkańców gminy Koszęcin,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"47,393.00","47,235.09",2008,2009
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Tacy sami - rozwój kompetencji umożliwiających zaistnienie na rynku pracy jako antidotum dla wykluczenia społecznego mieszkańców gminy Zbrosławice,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"38,150.47","38,101.80",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Tacy sami - rozwój kompetencji umożliwiających zaistnienie na rynku pracy jako antidotum dla wykluczenia społecznegpo mieszkańsów gminy Rudnik,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"45,895.35","45,819.37",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Tacy sami - rozwój kompetencji umożliwiających zaistnienie na rynku pracy jako antidotum dla wykluczenia społecznego mieszkańców gminy Tworóg,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"37,213.03","37,200.15",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Tacy sami - rozwój kompetencji umożliwiających zaistnienie na rynku pracy jako antidotum dla wykluczenia społecznego mieszkańców gminy Łazy,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"42,145.20","42,139.71",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Nauka przez całe życie.,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,404.00","47,398.19",2007,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Filary wiedzy i umiejętności człowieka w kontekście procesów globalizacji i informatyzacji współczesnego świata z perspektywy mieszkańca gminy Łazy,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"34,449.87","34,446.76",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Filary wiedzy i umiejętności człowieka w kontekście procesów globalizacji i informatyzacji współczesnego świata z perspektywy mieszkańca gminy Koszęcin,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"34,558.24","34,555.46",2008,2010
"Centrum Edukacyjne Active School spółka cywilna Włodzimierz Bondarenko, Robert Kiedrzynek",Filary wiedzy i umiejętności człowieka w kontekście procesów globalizacji i informatyzacji współczesnego świata z perspektywy mieszkańca gminy Rudnik,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"37,547.12","37,529.05",2008,2010
"Centrum Edukacyjne Active School Włodzimierz Bondarenko, Robert Kiedrzynek Spółka Cywilna",Filary wiedzy i umiejętności człowieka w kontekście procesów globalizacji i informatyzacji współczesnego świata z perspektywy mieszkańca gminy Tworóg,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"33,258.90","33,239.42",2008,2010
Centrum Edukacyjne Future,FUTURE w Twoich rękach-podnieś kwalifikacje,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"552,243.00","551,442.42",2008,2010
Centrum Edukacyjno - Doradcze,Szeroki horyzont,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,880.00","49,821.36",2008,2010
