Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,,,Gmina Parczew,Wiem i potrafi_ - projekty unijne 2009,2-Apr-14,1-Aug-14,2-Feb-14,49950
,,,Gmina Podedwórze,"Wspóla inicjatywa, wspólny sukces",2-May-13,1-Nov-13,26-May-13,49154
,,,,Wykorzystaj swój potencja_,2-May-13,1-Sep-13,26-May-13,43568
,,,O_rodek Pomocy Spo_ecznej w Piaskach,PIASKIarka - szkolenia dla mieszka_ców Gminy Piaski,2-Oct-13,31-Mar-14,22-Jul-13,47200
,,,Parafia rzymskokatolicka pw. _w. Stanis_awa Kostki w Wólce Dobry_skiej,Pi_kne i smakowite - cykl szkole_ - Wólka Dobry_ska 2009,2-Jun-13,1-Apr-14,6-Jun-13,49200
,,,STOWARZYSZENIE CENTRUM PROMOCJI PRACY,Centrum Aktywizacji zawodowej w gminie Trzydnik Du_y,2-Sep-13,1-Mar-14,17-Jun-13,49990
,,,Stowarzyszenie Centrum Promocji Pracy,Centrum Aktywizacji Zawodowej w Gminie Urz_dów,2-Sep-13,1-Mar-14,17-Jun-13,49990
,,,Stowarzyszenie Lokalne Porozumienie Na Rzecz Zatrudnienia W Powiecie W_odawskim,Kreowanie aktywno_ci zawodowej oraz wizerunku osobistego mieszka_ców Gminy Urszulin,2-Jun-13,1-Feb-14,21-May-13,49360
,,,Stowarzyszenie Lubelskie Drewno-Regionalny Klaster w Lublinie,Aktywizacja zawodowa mieszka_ców gminy Wilko_az poprzez szkolenia z zakresu stolarstwa,2-Jun-13,1-Sep-13,26-Jun-13,49564.12
,,,Stowarzyszenie Mieszka_ców Doliny Wis_y,Szansa regionu Twoj_  szans_!,2-Apr-14,1-Oct-14,5-Feb-14,47850
,,,Stowarzyszenie na Rzecz Rozwoju Gminy Serniki-Wspólny Cel,Kursy prawa jazdy kat. B dla mieszka_ców obszarów wiejskich czynnikiem aktywizacji zawodowej osób bezrobotnych w gminie Serniki,2-May-13,1-Dec-13,12-May-13,49990.3
,,,"Stowarzyszenie Rozwoju Zachodniej Lubelszczyzny ""Nowe Perspektywy""",Twoja kariera - wspólna sprawa,2-Apr-14,1-Oct-14,5-Feb-14,43260
,,,,Ku_nia szans i mo_liwo_ci,2-Apr-14,1-Oct-14,10-Feb-14,49660
,,,Zak_ad Doskonalenia Zawodowego w Lublinie,Aktywny w swoim _rodowisku,2-May-13,1-Aug-13,1-May-13,46215.69
,VII. Promocja integracji spo_ecznej,7.1. Rozwój i upowszechnienie aktywnej integracji,Gmina Batorz/O_rodek Pomocy Spo_ecznej w Batorzu,Program aktywnej integracji Gminy Batorz - Twoja szansa,2-Jan-13,1-Jan-14,17-Jun-13,15000
,,,Gmina Konstantynów/Gminny O_rodek Pomocy Spo_ecznej w Konstantynowie,Program aktywizacji zawodowej w gminie Konstantynów,2-Jan-13,1-Jan-14,21-Jul-13,15418.48
,,,Gmina _uków/Gminny Osrodek Pomocy Spo_ecznej w _ukowie,"Wiara w swoje mo_liwo_ci, motywacj_ dzia_ania.",2-Feb-13,1-Jan-14,25-Aug-13,133800
,,,Gmina Stary Zamo__/Gminny O_rodek Pomocy Spo_ecznej w Starym Zamo_ciu,Integracja zawodowa osób w gminie Stary Zamo__,2-Jan-13,1-Jan-14,16-Jul-13,40000
,,,Gminny Osrodek Pomocy Spo_ecznej w _ukowej,Aktywizacja spo_eczno- zawodowa klientów pomocy spo_ecznej Gminy _ukowa,2-Jun-12,1-Jan-13,27-Sep-12,13421.12
,,,Gminny Osrodek Pomocy Spo_ecznej w Mirczu,"Nie stój, zrób co_ dla siebie",2-Jan-12,1-Jan-13,18-Jul-12,34425.04
,,,Gminny Osrodek Pomocy Spo_ecznej w Zakrzewie,Wspieranie aktywnych form integracji spo_ecznej i zawodowej w Gminie Zakrzew,2-Mar-12,1-Jan-13,17-Jul-12,56100.35
,,,Gminny O_rodek Pomocy Spolecznej w Woli Mys_owskiej,Praca-najwieksze bogactwo czlowieka,2-May-12,1-Jan-13,29-Jul-12,20497.3
,,,Gminny O_rodek Pomocy Spo_ecnej w _ó_kiewce,Wiedza Twoim sukcesem,2-Jan-12,1-Jan-13,16-Jul-12,29817.97
,,,Gminny O_rodek Pomocy Spo_ecznej Jastków,Gmina Jastków naszym miejscem na Ziemi,2-Feb-12,1-Jan-13,15-Jul-12,83967.63
,,,Gminny O_rodek Pomocy Spo_ecznej w Abramowie,Nowe umiej_tno_ci kapita_em na przysz_o__-promocja aktywnej integracji spo_eczno-zawodowej w Gminie Abramów,2-Jan-12,1-Jan-13,30-Jul-12,11804.84
,,,Gminny O_rodek Pomocy Spo_ecznej w Adamowie,Wspieranie aktywnej integracji spo_ecznej i zawodowej w Gminie Adamów,2-May-12,1-Jan-13,18-Jul-12,22691.16
,,,,Nowe umiej_tno_ci kapita_em na przysz_o__-promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Adamów,2-Jan-12,1-Jan-13,30-Aug-12,37523.74
,,,Gminny O_rodek Pomocy Spo_ecznej w Aleksandrowie,"Umiesz wi_cej, mo_esz wi_cej - nowe kwalifikacje poprzez aktywne dzia_ania i integracj_ spo_eczn_",4-Mar-12,1-Jan-13,26-Aug-12,16927.2
,,,Gminny O_rodek Pomocy Spo_ecznej w Baranowie,Zacznij od nowa,2-Jan-12,1-Jan-13,22-Jul-12,20044.99
,,,Gminny O_rodek Pomocy Spo_ecznej w Be__cu,CZ_OWIEK RENESANSU,6-May-12,1-Jan-13,4-Oct-12,24395.54
,,,Gminny O_rodek Pomocy Spo_ecznej w Bia_ej Podlaskiej,Ucz_ si_ aby pracowa_,2-May-12,1-Jan-13,2-Aug-12,110000
,,,Gminny O_rodek Pomocy Spo_ecznej w Bia_opolu,Wspólny sukces,2-Jan-12,1-Jan-13,10-Jul-12,17292.29
,,,Gminny O_rodek Pomocy Spo_ecznej w Bi_goraju,Akademia aktywno_ci - aktywna integracja osób pozostaj_cych bez zatrudnienia w gminie Bilgoraj,2-Jan-12,1-Jan-13,16-Jul-12,62527.9
,,,Gminny O_rodek Pomocy Spo_ecznej w Biszczy,Tratwa - szkolenia i warsztaty dla osób bezrobotnych,2-Apr-12,1-Jan-13,28-Oct-12,23788.57
,,,Gminny O_rodek Pomocy Spo_ecznej w Borkach,"Cogito ergo sum - my_l_ o lepszej przysz_o_ci, wi_c podnosz_ swoje kwalifikacje",2-Mar-12,1-Jan-13,12-Aug-12,38154.04
,,,Gminny O_rodek Pomocy Spo_ecznej w Borzechowie,Program Aktywizacji Zawodowej w Gminie Borzechów - Nowe Szanse,2-Jan-12,1-Jan-13,22-Jul-12,14393.88
,,,Gminny O_rodek Pomocy Spo_ecznej w Chodlu,Efektywna pomoc spo_eczna w Gminie Chodel,2-Jan-12,1-Jan-13,9-Oct-12,47565.97
,,,Gminny O_rodek Pomocy Spo_ecznej w Chrzanowie,Aktywna integracja na terenie Gminy Chrzanów,2-Jan-12,1-Jan-13,19-Jul-12,56171.83
,,,Gminny O_rodek Pomocy Spo_ecznej w Czemiernikach,Aktywizacja osób bezrobotnych na obszarach wiejskich,2-Jul-12,1-Jan-13,21-Oct-12,36775.4
,,,Gminny O_rodek Pomocy Spo_ecznej w D_bowej K_odzie,Aktywizacja osób bezrobotnych z terenu gminy D_bowa K_oda,2-Jan-12,1-Jan-13,4-Oct-12,42538.09
,,,Gminny O_rodek Pomocy Spo_ecznej w Do_hobyczowie,Chc_ i__ naprzód - Program wsparcia osób zagro_onych wykluczeniem spo_ecznym,2-Mar-12,1-Jan-13,27-Sep-12,41404.52
,,,Gminny O_rodek Pomocy Spo_ecznej w Drelowie,Od bierno_ci do aktywno_ci. Program aktywnej integracji mieszka_ców Gminy Drelów.,2-Jan-12,1-Jan-13,19-Aug-12,30729.9
,,,Gminny O_rodek Pomocy Spo_ecznej w Garbowie,Garbów - Teraz My,2-Apr-12,1-Jan-13,19-Sep-12,25429.58
,,,Gminny O_rodek Pomocy Spo_ecznej w G_usku,Aktywna integracja osób nieaktywnych zawodowo z gminy G_usk,2-Jul-12,1-Jan-13,24-Sep-12,19452
,,,Gminny O_rodek Pomocy Spo_ecznej w Goraju,Aktywno__ dla wszystkich,2-Jan-12,1-Jan-13,10-Jul-12,61809.79
,,,Gminny O_rodek pomocy Spo_ecznej w Gorzkowie,Masz szans_,2-Apr-12,1-Jan-13,16-Jul-12,13453.48
,,,Gminny O_rodek Pomocy Spo_ecznej w Grabowcu,Twoja przysz_o__,2-Apr-12,1-Jan-13,19-Jul-12,19854.5
,,,Gminny O_rodek Pomocy Spo_ecznej w Hannie,Tak aktywno_ci nie bezczynno_ci,2-Jan-12,1-Jan-13,13-Sep-12,64666.52
,,,Gminny O_rodek Pomocy Spo_ecznej w Ha_sku,Razem _atwiej,2-Jan-12,1-Jan-14,4-Aug-12,76877.8
,,,Gminny O_rodek Pomocy Spo_ecznej w Horodle,Aktywizacja zawodowa bezrobotnych naro_onych na wykluczenie spo_eczne w Gminie Horod_o,2-Mar-12,1-Jan-13,23-Jul-12,39151.55
,,,Gminny O_rodek Pomocy Spo_ecznej w Hrubieszowie,Lepsze _ycie,2-Apr-12,1-Jan-13,18-Jul-12,56591.99
,,,Gminny O_rodek Pomocy Spo_ecznej w Izbicy,Jestem bezrobotny -wykorzystam szans_,2-Jul-12,1-Jan-13,16-Sep-12,38340.4
,,,Gminny O_rodek Pomocy Spo_ecznej w Jab_oni,B_d_ aktywny a zyskasz,2-Jun-12,1-Jan-13,23-Jul-12,19337.66
,,,Gminny O_rodek Pomocy Spo_ecznej w Jab_onnie,Podnoszenie kompetencji zawodowych,2-Apr-12,1-Jan-13,25-Sep-12,25132.8
,,,Gminny O_rodek Pomocy Spo_ecznej w Janowcu,Efektywna pomoc spo_eczna w gminie Janowiec,2-Jan-12,1-Jan-13,2-Oct-12,16418.93
,,,Gminny O_rodek Pomocy Spo_ecznej w Janowie Podlaskim,Równe szanse na rynku pracy,2-Apr-12,29-Nov-12,16-Sep-12,22841.14
,,,Gminny O_rodek Pomocy Spo_ecznej w Jarczowie,Aktywizacja zawodowa szans_ dla bezrobotnych,2-Apr-12,1-Jan-13,12-Sep-12,19808.1
,,,Gminny O_rodek Pomocy Spo_ecznej w Kamieniu,Razem _atwiej - aktywizacja osób bezrobotnych zagro_onych wykluczeniem spo_ecznym,2-Jan-12,1-Jan-13,18-Sep-12,31456.83
,,,Gminny O_rodek Pomocy Spo_ecznej w K_kolewnicy Wschodniej,Zwi_kszenie efektywno_ci funkcjonowania instytucji pomocy spo_ecznej w Gminie K_kolewnica Wschodnia,2-Jan-12,1-Jan-14,9-Jul-12,78811.6
,,,Gminny O_rodek Pomocy Spo_ecznej w K_oczewie,Program aktywnej integracji w Gminie K_oczew,2-Jan-12,1-Jan-13,20-Sep-12,75209.4
,,,Gminny O_rodek Pomocy Spo_ecznej w Kodniu,Bezpieczne jutro,2-Apr-12,1-Jan-13,13-Aug-12,36319.17
,,,Gminny O_rodek Pomocy Spo_ecznej w Komarowie-Osadzie,Droga do lepszego jutra,2-Apr-12,1-Jan-13,18-Jul-12,28574.79
,,,Gminny O_rodek Pomocy Spo_ecznej w Komarówce Podlaskiej,Umiesz wi_cej mo_esz wi_cej,2-Mar-12,1-Jan-13,14-Aug-12,37442.66
,,,Gminny O_rodek Pomocy Spo_ecznej w Konopnicy,B_d_ samodzielny - program aktywizacji spo_eczno-zawodowej bezrobotnych klientów pomocy spo_ecznej,2-Jan-12,1-Jan-13,26-Jul-12,40313.23
,,,Gminny O_rodek Pomocy Spo_ecznej w Krasnobrodzie,Wskazówka- b_d_ aktywny na rynku pracy,1-May-12,1-Jan-13,22-Jul-12,76730.21
,,,Gminny O_rodek Pomocy Spo_ecznej w Krasnymstawie,Bli_ej potrzebuj_cych,2-Jan-12,1-Jan-13,15-Jul-12,36989
,,,Gminny O_rodek Pomocy Spo_ecznej w Kra_niczynie,Kompleksowe dzia_ania Gminnego O_rodka Pomocy Spo_ecznej w Kra_niczynie w celu poprawy integracji spo_ecznej,3-Jun-12,1-Jan-13,16-Jul-12,19214.62
,,,Gminny O_rodek Pomocy Spo_ecznej w Kra_niku,Aktywizacja spo_eczno-zawodowa osób bezrobotnych na terenie gminy Kra_nik,2-Mar-12,1-Jan-13,15-Jul-12,72432.14
,,,Gminny O_rodek Pomocy Spo_ecznej w Krynicach,PO KL- szans_ dla spo_eczno_ci gminy Krynice,2-Apr-12,1-Jan-13,18-Jul-12,20178.44
,,,Gminny O_rodek Pomocy Spo_ecznej w Krzywdzie,Efektywna pomoc spo_eczna w gminie Krzywda,2-Jan-12,1-Jan-13,4-Sep-12,93367.2
,,,Gminny O_rodek Pomocy Spo_ecznej w Ksi__polu,Rozwój i upowszechnienie aktywnej integracji przez o_rodki pomocy spo_ecznej,2-May-12,1-Jan-13,27-Sep-12,19552.95
,,,Gminny O_rodek Pomocy Spo_ecznej w Le_nej Podlaskiej,Pomagamy i__ do przodu z wiar_ we w_asne si_y i nadziej_ na lepsz_ przysz_o__,2-Apr-13,1-Jan-14,3-Jun-13,30000
,,,Gminny O_rodek Pomocy Spo_ecznej w Le_niowicach,Pomocna d_o_,2-Jan-13,1-Jan-14,21-Jul-13,33000
,,,Gminny O_rodek Pomocy Spo_ecznej w Lubartowie,Efektywna pomoc spo_eczna w Gminie Lubartów,2-Jan-12,1-Jan-13,24-Sep-12,60156.64
,,,Gminny O_rodek Pomocy Spo_ecznej w Lubyczy Królewskiej,Uwierz w siebie-wsparcie i aktywizacja osób zagro_onychwykluczeniem spo_ecznym,2-Apr-12,1-Jan-13,12-Jul-12,67638
,,,Gminny O_rodek Pomocy Spo_ecznej w _abuniach,Wyj__ z cienia,2-Jun-12,1-Jan-13,16-Jul-12,39359.41
,,,Gminny O_rodek Pomocy Spo_ecznej w _omazach,Aktywna integracja w gminie _omazy,3-Jun-12,1-Jan-13,4-Oct-12,20031.01
,,,Gminny O_rodek Pomocy Spo_ecznej w _opienniku Górnym,Szansa na zmian_,2-Jul-12,1-Jan-13,4-Sep-12,23758.89
,,,Gminny O_rodek Pomocy Spo_ecznej w Mi_czynie,Szansa na lepsze jutro-aktywizacja osób bezrobotnych,4-Mar-12,1-Jan-13,5-Sep-12,70122.2
,,,Gminny O_rodek Pomocy Spo_ecznej w Milanowie,Aktywnie w przysz_o_c,2-Jan-12,1-Jan-13,1-Oct-12,27119.98
,,,Gminny O_rodek Pomocy Spo_ecznej w Modliborzycach,O_rodek pomocy twoim partnerem,2-Jan-12,1-Jan-13,18-Jul-12,75058.05
,,,Gminny O_rodek Pomocy Spo_ecznej w Nieliszu,"""Szansa"" - wspieranie aktywnej integracji na terenie Gminy Nielisz",2-Jan-12,1-Jan-13,17-Sep-12,22838.55
,,,Gminny O_rodek Pomocy Spo_ecznej w Obszy,Aktywne formy integracji spo_ecznej w Gminie Obsza,2-Jun-12,1-Jan-13,4-Oct-12,19834.05
,,,Gminny O_rodek Pomocy Spo_ecznej w Piszczacu,Podniesienie kwalifikacji zawodowych oraz kompetencji i umiejetno_ci w_ród kobiet z terenu Gminy Piszczac,2-Sep-12,1-Jan-13,23-Jul-12,35636.06
,,,Gminny O_rodek Pomocy Spo_ecznej w Podedwórzu,Aktywno__ Twoj_ szans_,2-Jul-12,1-Jan-13,2-Aug-12,13613.04
,,,Gminny O_rodek Pomocy Spo_ecznej w Potoku Górnym,Reintegracja zawodowa i spo_eczna osób bezrobotnych i d_ugotrwale korzystajacych z pomocy spo_ecznej,2-Apr-12,1-Jan-13,3-Sep-12,15602.48
,,,Gminny O_rodek Pomocy Spo_ecznej w Pu_awach,Efektywna pomoc spo_eczna w Gminie Pu_awy,2-Jan-12,1-Jan-13,17-Sep-12,90898.99
,,,Gminny O_rodek Pomocy Spo_ecznej w Rachaniach,Prze_ama_ bariery,2-Apr-12,1-Jan-13,18-Jul-12,31741.86
,,,Gminny O_rodek Pomocy Spo_ecznej w Radecznicy,GOPS Radecznica pomys_em zachwyca,2-Feb-12,1-Jan-13,4-Sep-12,21685.53
,,,Gminny O_rodek Pomocy Spo_ecznej w Rokitnie,Podnoszenie jako_ci _ycia - startem w lepsze jutro,2-Jan-12,1-Jan-13,25-Sep-12,61712.88
,,,Gminny O_rodek Pomocy Spo_ecznej w Rossoszu,Aktywna integracja w gminie Rossosz,2-Jul-12,1-Jan-14,6-Dec-12,26231.58
,,,Gminny O_rodek Pomocy Spo_ecznej w Rudniku,Twoja szansa ,2-Mar-13,1-Jan-14,14-Jul-13,35000
,,,Gminny O_rodek Pomocy Spo_ecznej w Rybczewicach,Jestem Samodzielny,4-Mar-12,1-Jan-13,31-Jul-12,60277.73
,,,Gminny O_rodek Pomocy Spo_ecznej w Sawinie,"Od uzale_nienia, choroby i zale_no_ci do zdrowej aktywno_ci ",2-Jan-12,1-Jan-13,14-Nov-12,29995.98
,,,Gminny O_rodek Pomocy Spo_ecznej w Serokomli,Program aktywizacji zawodowej w gminie Serokomla - uwierz w siebie,2-Jan-12,1-Jan-13,1-Oct-12,28126.13
,,,Gminny O_rodek Pomocy Spo_ecznej w Siemieniu,Perspektywa - wspieranie aktywnej integracji na terenie gminy Siemie_,2-Jan-12,1-Jan-13,29-Oct-12,25642.08
,,,Gminny O_rodek Pomocy Spo_ecznej w Siennicy Ró_anej,Poznaj swoje mo_liwo_ci ,2-Jul-12,1-Jan-13,24-Sep-12,22904.1
,,,GMINNY O_RODEK POMOCY SPO_ECZNEJ W SITNIE,IM WI_CEJ TYM LEPIEJ,2-Apr-12,1-Jan-13,11-Sep-12,73303.95
,,,GMINNY O_RODEK POMOCY SPO_ECZNEJ W SKIERBIESZOWIE,MASZ SZANS_ - CHCIEJ SOBIE POMÓC,2-Apr-12,1-Jan-13,1-Nov-12,75866.7
,,,Gminny O_rodek Pomocy Spo_ecznej w S_awatyczach,PROMOCJA ZATRUDNIENIA NA TERENIE GMINY S_AWATYCZE,3-Jun-12,1-Jan-13,1-Nov-12,14367.24
,,,GMINNY O_RODEK POMOCY SPO_ECZNEJ W SOSNÓWCE,RAZEM MO_EMY WI_CEJ,2-Jan-12,1-Jan-13,24-Sep-12,13130.55
,,,GMINNY O_RODEK POMOCY SPO_ECZNEJ W SPICZYNIE,"AKTYWIZACJA D_UGOTRWALE BEZROBOTNYCH, KORZYSTAJ_CYCH Z POMOCY SPO_ECZNEJ",2-Apr-12,1-Jan-13,10-Nov-12,35240.86
,,,Gminny O_rodek Pomocy Spo_ecznej w Staninie,EFEKTYWNA POMOC SPO_ECZNA W GMINIE STANIN,2-Jan-12,1-Jan-13,19-Sep-12,86024.28
,,,GMINNY O_RODEK POMOCY SPO_ECZNEJ W STOCZKU _UKOWSKIM,KONTRAKT SOCJALNY JAKO DROGA DO AKTYWIZACJI OSÓB BEZROBOTNYCH,2-Jan-12,1-Jan-13,25-Sep-12,40699.5
,,,Gminny O_rodek Pomocy Spo_ecznej w Su_owie,Szansa-wspieranie aktywnej integracji na terenie Gminy Su_ów,2-Jan-12,1-Dec-12,19-Jul-12,21146.53
,,,Gminny O_rodek Pomocy Spo_ecznej w Su_cu,B_D_CIE AKTYWNI - aktywizacja spo_eczno -zawodowa osób bezrobotnych,2-Apr-12,1-Jan-13,23-Aug-12,49467.41
,,,Gminny O_rodek Pomocy Spo_ecznej w Tarnawatce,"Aktywizacja zawodowa osób pozostaj_cych bez pracy, zagro_onych wykluczeniem spo_ecznym z terenu Gminy Tarnawatka",2-May-12,1-Jan-13,19-Jul-12,27610.22
,,,Gminny O_rodek Pomocy Spo_ecznej w Telatynie,Chcesz - mo_esz - masz szans_,15-Mar-12,29-Dec-12,30-Jul-12,18838.46
,,,Gminny O_rodek Pomocy Spo_ecznej w Terespolu,Szansa na lepsze jutro,2-Jan-12,1-Jan-13,22-Aug-12,74651.43
,,,Gminny O_rodek Pomocy Spo_ecznej w Tereszpolu,Program integracji osób bezrobotnych w Gminie Tereszpol,31-Jul-12,1-Dec-12,20-Sep-12,20949.72
,,,Gminny O_rodek Pomocy Spo_ecznej w Tomaszowie Lubelskim,Alternatywne pomaganie - program aktywizacji mieszka_ców Gminy Tomaszów Lubelski,2-Jan-12,1-Jan-13,23-Sep-12,51918.36
,,,Gminny O_rodek Pomocy Spo_ecznej w Trzeszczanach,Szansa dla Ciebie,2-Apr-12,1-Dec-12,26-Aug-12,34663.45
,,,Gminny O_rodek Pomocy Spo_ecznej w Tucznej,Twój los w Twoich r_kach,2-Apr-12,1-Jan-13,6-Sep-12,24523.39
,,,Gminny O_rodek Pomocy Spo_ecznej w Turobinie,Projekty systemowe realizowane przez o_rodki pomocy spo_ecznej,7-May-12,1-Jan-13,3-Sep-12,27185.86
,,,Gminny O_rodek Pomocy Spo_ecznej w Uchaniach,Nowe umiej_tno_ci to szansa i mo_liwo_ci,16-Apr-12,1-Jan-13,24-Jul-12,19390.33
,,,Gminny O_rodek Pomocy Spo_ecznej w Ulhówku,Powiedz NIE d_ugotrwa_emu bezrobociu,16-Jun-12,1-Jan-13,1-Aug-12,35542.28
,,,Gminny O_rodek Pomocy Spo_ecznej w U___u,Program aktywnej integracji w gminie U___,2-Jan-12,1-Jan-13,1-Aug-12,29138.97
,,,Gminny O_rodek Pomocy Spo_ecznej w Urszulinie,Aktywni na rynku pracy,2-Apr-12,1-Jan-13,25-Jul-12,21479
,,,Gminny O_rodek Pomocy Spo_ecznej w Urz_dowie,Aktywna integracja spo_eczna i zawodowa mieszka_ców gminy Urz_dów,2-Feb-12,1-Jan-13,18-Jul-12,37906.99
,,,Gminny O_rodek Pomocy Spo_ecznej w Werbkowicach,INTEGRACJA I JA,2-Jan-12,1-Jan-13,9-Aug-12,41722.69
,,,Gminny O_rodek Pomocy Spo_ecznej w Wisznicach,Rozwój form aktywnej integracji na terenie gminy Wisznice,2-May-12,1-Jan-13,1-Aug-12,21106.58
,,,Gminny O_rodek Pomocy Spo_ecznej w Wohyniu,Bli_ej rynku pracy,2-Apr-12,1-Jan-13,19-Jul-12,36230.1
,,,Gminny O_rodek Pomocy Spo_ecznej w Wojcieszkowie,Wojcieszków - Aktywna integracja,2-Jul-12,1-Jan-13,19-Jul-12,32289.16
,,,Gminny O_rodek Pomocy Spo_ecznej w Woli Uhruskiej,Rozwój aktywnej integracji w Gminie Wola Uhruska,2-Jan-12,1-Jan-13,25-Jul-12,34901.26
,,,Gminny O_rodek Pomocy Spo_ecznej w Wyrykach,Unia Europejska dla Gminy Wyryki,2-Jan-12,1-Jan-13,14-Aug-12,24167.37
,,,Gminny O_rodek Pomocy Spo_ecznej w Wysokiem,Wspieranie i rozwój aktywnej integracji spo_ecznej i zawodowej w gminie Wysokie,2-May-12,1-Jan-13,19-Aug-12,21098.35
,,,Gminny O_rodek Pomocy Spo_ecznej w Zalesiu,Moge inaczej,2-Jun-12,1-Jan-13,20-Aug-12,34337.19
,,,Gminny O_rodek Pomocy Spo_ecznej w Zamo_ciu,Moja szansa-EFS,2-Feb-12,1-Jan-13,11-Jul-12,151652.95
,,,Gminny O_rodek Pomocy Spo_ecznejw Miedzyrzecu Podlaskim,Od bierno_ci do aktywno_ci klientów pomocy spo_ecznej poprzez prace socjaln_ w Gminie Mi_dzyrzec Podlaski,2-Jan-12,1-Jan-13,2-Oct-12,124793.35
,,,Miejski Osrodek Pomocy Spolecznej w Miedzyrzecu Podlaskim,Szansa,2-Jan-12,1-Jan-13,23-Sep-12,142142.25
,,,Miejski O_odek Pomocy Spo_ecznej w _widniku,CZAS NA ZMIANY-systemowy projekt MOPS _widnik,2-May-12,1-Jan-13,19-Jul-12,121407.9
,,,Miejski O_rodek Pomcy Spo_ecznej w Radzyniu Podlaskim,Moja szansa,2-Jul-12,1-Jan-13,24-Jul-12,118787.28
,,,Miejski O_rodek Pomocy Rodzinie w Che_mie,Razem w_ród ludzi,2-Jan-12,1-Jan-13,1-Jul-12,701909.13
,,,Miejski O_rodek Pomocy Rodzinie w Lublinie,CZ_OWIEK INWESTYCJ_ W SPO_ECZE_STWO,1-Apr-12,1-Jan-13,1-Jul-12,3024086.1
,,,Miejski O_rodek Pomocy Spo_ecznej w Bia_ej Podlaskiej,Mam prac_... tata - promocja integracji spo_eczno-zawodowej w Bia_ej Podlaskiej,2-Jan-12,1-Jan-13,16-Jul-12,474302.9
,,,Miejski O_rodek Pomocy Spo_ecznej w Bi_goraju,Czas na zmian_. Podnosienie atrakcyjno_ci zawodowej i spo_ecznej niepracuj_cych mieszka_ców Bi_goraja.,13-May-12,13-Dec-12,17-Jul-12,109317.78
,,,Miejski O_rodek Pomocy Spo_ecznej w Hrubieszowie,Czas na aktywno__ w Hrubieszowie,2-Jul-13,1-Jan-14,21-Jul-13,114900
,,,Miejski O_rodek Pomocy Spo_ecznej w Józefowie,Krok do przodu - aktywna integracja klientów pomocy spo_ecznej w Gminie Józefów,21-Mar-12,1-Jan-13,14-Aug-12,44518.14
,,,Miejski O_rodek Pomocy Spo_ecznej w Krasnymstawie,"""Aktywno__ pop_aca"" wsparcie i aktywizacja zawodowo-spo_eczna niepracuj_cych klientów Miejskiego O_rodka Pomocy Spo_ecznej w Krasnymstawie",2-Mar-12,1-Jan-13,10-Jul-12,109516.67
,,,Miejski O_rodek Pomocy Spo_ecznej w Kra_niku,Nasza misja-wasza praca - program aktywizacji spo_eczno-zawodowej realizowany na terenie miasta Kra_nik,2-Mar-12,1-Jan-13,15-Jul-12,209634.76
,,,Miejski O_rodek Pomocy Spo_ecznej w Lubartowie,OD AKTYWIZACJI DO ROZWOJU. Integracja spo_eczna i zawodowa klientów pomocy spo_ecznej w Lubartowie,2-Apr-12,1-Jan-13,12-Jul-12,110415.87
,,,Miejski O_rodek Pomocy Spo_ecznej w __cznej,Daj sobie szans_! Aktywizacja zawodowa osób z terenu gminy __czna,2-Apr-12,1-Jan-13,25-Sep-12,135568.23
,,,Miejski O_rodek Pomocy Spo_ecznej w _ukowie,Pomocna d_o_. Wspieranie aktywnych form integracji spo_ecznej w miescie _uków,2-Jan-12,1-Jan-13,22-Aug-12,134274.8
,,,Miejski O_rodek Pomocy Spo_ecznej w Na__czowie,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Na__czów,2-Jan-13,1-Jan-14,14-Jul-13,68400
,,,Miejski O_rodek Pomocy Spo_ecznej w Parczewie,Postaw na siebie - aktywizacja zawodowa klientów Miejskiego O_rodka Pomocy Spo_ecznej w Parczewie,2-Apr-12,1-Jan-13,7-Oct-12,90526.01
,,,Miejski O_rodek Pomocy Spo_ecznej w Pu_awach,Aktywni-niezale_ni,2-Apr-12,1-Jan-13,26-Aug-12,268451.55
,,,Miejski O_rodek Pomocy Spo_ecznej w Rejowcu Fabrycznym,Na dobrej drodze-aktywizacja osób bezrobotnych miasta Rejowiec Fabryczny,2-Jun-12,1-Jan-13,20-Sep-12,31721.77
,,,Miejski O_rodek Pomocy Spo_ecznej w Tarnogrodzie,Twoja szansa,2-Mar-12,16-Dec-12,13-Sep-12,35484.7
,,,Miejski O_rodek Pomocy Spo_ecznej w Terespolu,"Im wy_ej, tym lepiej - podnoszenie kwalifikacji dla klientów MOPS Terespol",3-Jun-12,1-Nov-12,26-Aug-12,26233.02
,,,Miejski O_rodek Pomocy Spo_ecznej w Tomaszowie Lubelskim,"Aktywno__, wspó_praca, integracja, drog_ do osi_gni_cia _yciowej samodzielno_ci",2-May-12,1-Jan-13,30-Jul-12,73617.94
,,,Miejski O_rodek Pomocy Spo_ecznej w Tyszowcach,Aktywizacja osób nara_onych na wykluczenie spo_eczne w gminie Tyszowce,2-Jan-12,1-Jan-13,6-Sep-12,46092.31
