t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Consultant Support the communication and promotion of the program&quot; the OP: Administrative Reform, 2007-2013, in line 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Σύµβουλος Υποστήριξης ∆ράσεων Επικοινωνίας και Προβολής του Προγράµµατος» του ΕΠ: ∆ΙΟΙΚΗΤΙΚΗ ΜΕΤΑΡΡΥΘΜΙΣΗ, 2007-2013», στον Άξονα 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"153.510,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Consultant Support the communication and promotion of the program&quot; the OP: Administrative Reform, 2007-2013, in line 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Measuring administrative burdens with the base period in 2007 to four (4) policy areas with the Standard Cost Model&quot;, the Priority Axis 1,2,3, General purpose I &quot;Upgrading of public policies, eksynch ...","«Μέτρηση διοικητικών επιβαρύνσεων µε περίοδο βάσης το 2007 σε τέσσερεις (4) τοµείς πολιτικής µε το Τυποποιηµένο Μοντέλο Κόστους», στον Άξονα Προτεραιότητας 1,2,3, Γενικός Στόχος Ι «Αναβάθµιση των δηµοσίων πολιτικών, εκσυγχρονισµός του ρυθµιστικού πλαισίου και των δοµών της δηµόσιας διοίκησης»",2009,"70.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Measuring administrative burdens with the base period in 2007 to four (4) policy areas with the Standard Cost Model&quot;, the Priority Axis 1,2,3, General purpose I &quot;Upgrading of public policies, eksynch ...",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Preliminary Re-engineering Management Training Administration (E.S.D.D.) Priority Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration","«Ανασχεδιασµός Προεισαγωγικής Εκπαίδευσης Στελεχών ∆ηµόσιας ∆ιοίκησης (Ε.Σ.∆.∆.) του Άξονα Προτεραιότητας 4,5,6, Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"1.990.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Preliminary Re-engineering Management Training Administration (E.S.D.D.) Priority Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Preliminary Re-engineering Management Training for Local Government (E.S.T.A.), Priority Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration","«Ανασχεδιασµός Προεισαγωγικής Εκπαίδευσης Στελεχών Τοπικής Αυτοδιοίκησης (Ε.Σ.Τ.Α.)», του Άξονα Προτεραιότητας 4,5,6, Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"820.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Preliminary Re-engineering Management Training for Local Government (E.S.T.A.), Priority Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Creating educational materials programs for the development of human resources administration under the education - training of Priority Axis 4,5,6 &#39;Overall Objective II Development of A. ..","«∆ηµιουργία εκπαιδευτικού υλικού προγραµµάτων για την ανάπτυξη του ανθρώπινου δυναµικού της δηµόσιας διοίκησης βάσει σχεδίων εκπαίδευσης – κατάρτισης του Άξονα Προτεραιότητας 4,5,6», Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"1.280.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Creating educational materials programs for the development of human resources administration under the education - training of Priority Axis 4,5,6 &#39;Overall Objective II Development of A. ..",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Designing Programs for human resource development under the Public Administration Training Project - Training of Priority Axis 4,5,6 &#39;Overall Objective II&quot; Human Resource Development ...","«Σχεδιασµός Προγραµµάτων για την ανάπτυξη του ανθρώπινου δυναµικού της ∆ηµόσιας ∆ιοίκησης βάσει Σχεδίων Εκπαίδευσης – Κατάρτισης του του Άξονα Προτεραιότητας 4,5,6», Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"640.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Designing Programs for human resource development under the Public Administration Training Project - Training of Priority Axis 4,5,6 &#39;Overall Objective II&quot; Human Resource Development ...",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Implementation of training for human resource development of Public Administration under the education - training of Priority Axis 4,5,6 &#39;Overall Objective II Development of human resources ...","«Υλοποίηση δράσεων κατάρτισης για την ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης βάσει σχεδίων εκπαίδευσης – κατάρτισης του Άξονα Προτεραιότητας 4,5,6», Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"18.172.600,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Implementation of training for human resource development of Public Administration under the education - training of Priority Axis 4,5,6 &#39;Overall Objective II Development of human resources ...",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Training Management of Public Administration at the International Level Best Practices&quot; in the Axis 4,5,6, General Objective II &quot;Development of Human Resources of Public Administration","«Κατάρτιση Στελεχών της ∆ηµόσιας ∆ιοίκησης σε Βέλτιστες Πρακτικές ∆ιεθνούς Επιπέδου» στον Άξονα 4,5,6, Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"2.500.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Training Management of Public Administration at the International Level Best Practices&quot; in the Axis 4,5,6, General Objective II &quot;Development of Human Resources of Public Administration",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Training managers ministries, public bodies and local authorities&quot; of E.K.D.D.A. 4,5,6 to Axis II General objective &quot;Development of Human Resources of Public Administration","«Επιµόρφωση των ∆ιευθυντικών Στελεχών Υπουργείων, ∆ηµοσίων Φορέων και Οργανισµών Τοπικής Αυτοδιοίκησης» του Ε.Κ.∆.∆.Α. στον Άξονα 4,5,6 Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"2.240.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Training managers ministries, public bodies and local authorities&quot; of E.K.D.D.A. 4,5,6 to Axis II General objective &quot;Development of Human Resources of Public Administration",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Support system and develop materials for the Certificate of training government officials, public entities and local authorities &quot;in the Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration","«Υποστήριξη συστήµατος και ανάπτυξη υλικού για την Πιστοποίηση της επιµόρφωσης υπαλλήλων ∆ηµοσίου, Ν.Π.∆.∆. και Ο.Τ.Α.» στον Άξονα 4,5,6, Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"1.730.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Support system and develop materials for the Certificate of training government officials, public entities and local authorities &quot;in the Axis 4,5,6, General Objective II&quot; Development of Human Resources of Public Administration",EKT
EKDDA,ΕΚ∆∆Α,"&quot;Development of the education - training&quot; of E.K.D.D.A. to Axis 4,5,6, General Objective II &quot;Development of Human Resources of Public Administration","«Ανάπτυξη σχεδίων εκπαίδευσης - κατάρτισης» του Ε.Κ.∆.∆.Α. στον Άξονα 4,5,6, Γενικός Στόχος ΙΙ «Ανάπτυξη του Ανθρωπίνου ∆υναµικού της ∆ηµόσιας ∆ιοίκησης»",2009,"4.000.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,EKDDA,"&quot;Development of the education - training&quot; of E.K.D.D.A. to Axis 4,5,6, General Objective II &quot;Development of Human Resources of Public Administration",EKT
ΥΠΕΣ - Central Office,ΥΠΕΣ - Κεντρική Υπηρεσία,&quot;Integrated Action Plan for the upgrading of immigration policy &amp; political integration of immigrants by modernizing the regulatory framework and structures of Public Administration ...,"«Ολοκληρωµένο Σχέδιο ∆ράσης για την αναβάθµιση της µεταναστευτικής πολιτικής & της πολιτικής κοινωνικής ένταξης των µεταναστών µέσω του εκσυγχρονισµού του ρυθµιστικού πλαισίου και των δοµών της ∆ηµόσιας ∆ιοίκησης» της Κεντρικής Υπηρεσίας του Υπουργείου Εσωτερικών στους Άξονες 1 «Αναβάθµιση των δηµοσίων πολιτικών µέσω του εκσυγχρονισµού του ρυθµιστικού πλαισίου και των δοµών της ∆ηµόσιας ∆ιοίκησης στις 8 Περιφέρειες σύγκλισης», 2 «Αναβάθµιση των δηµοσίων πολιτικών µέσω του εκσυγχρονισµού του ρυθµιστικού πλαισίου και των δοµών της ∆ηµόσιας ∆ιοίκησης» στις 3 Περιφέρειες σταδιακής εξόδου», 3 «Αναβάθµιση των δηµοσίων πολιτικών µέσω του εκσυγχρονισµού του ρυθµιστικού πλαισίου και των δοµών της ∆ηµόσιας ∆ιοίκησης στις 2 Περιφέρειες σταδιακής εισόδου», του Επιχειρησιακού Προγράµµατος «∆ιοικητική Μεταρρύθµιση 2007- 2013»",2009,"154.700,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ΥΠΕΣ - Central Office,&quot;Integrated Action Plan for the upgrading of immigration policy &amp; political integration of immigrants by modernizing the regulatory framework and structures of Public Administration ...,EKT
