"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
46,"Inčukalna novada dome","Atmodas iela 4, Inčukalna novads, LV-2141"," Vangažu pilsētas dome,  Inčukalna novada dome, ","Izglītības iestāžu informatizācija","Vidzeme, ",26/11/2009,"Vangažu pilsētas dome: Projekta ietvaros tiks iegādāti 26 stacionārie datori, 2 portatīvie datori, viens multimediju tehnikas komplekts (viena interaktīvā tāfele un viens projektors), attīstīts lokālais tīkls. Līdz ar to Vangažu vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie datori tiks saslēgti jaunizveidotajā lokālajā tīklā, kas sevī ietvers arī bezvadu tīkla komponenti. Jaunizveidotais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Inčukalna novada dome: Projekta ietvaros Inčukalna pamatskola tiks apgādāta ar 12 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (interaktīvā  tāfele  un projektors), un attīstīts 1 lokāllais tīkls. Līdz ar to skola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku ITK izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros izveidotais esošais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",35599.68,30259.72,5339.96,18
47,"Jaunpiebalgas novada dome","Gaujas iela 4, Jaunpiebalga, Jaunpiebalgas novads, LV-4125"," Jaunpiebalgas novada dome,  Jaunpiebalgas novada dome, ","Izglītības iestāžu informatizācija","Vidzeme, ",26/11/2009,"Jaunpiebalgas novada dome: Projekta ietvaros Pētera pamatskola tiks apgādāta ar 6 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (projektors un interaktīvā tāfele), kā arī attīstīts 1 lokālais datortīkls. Līdz ar to Pētera pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Jaunpiebalgas novada dome: Projekta ietvaros Jaunpiebalgas novada domes Piebalgas pamatskola tiks aprīkota ar četriem stacionārajiem datoriem un diviem portatīvajiem datoriem, iegādāts viens multimediju tehnikas komplekts – viena interaktīvā tāfele un viens projektors, kā arī attīstīts viens lokālais datortīkls. Līdz ar to, Piebalgas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",15837.23,13461.64,2375.59,18
48,"Viesītes novada pašvaldība","Smilšu iela 2, Viesīte, Viesītes novads, LV-5237"," Rites pagasta padome,  Viesītes pilsētas ar lauku teritoriju dome, ","Viesītes vidusskolas un Rites pamatskolas informatizācija","Zemgale, ",26/11/2009,"Rites pagasta padome: Projekta ietvaros Rites pamatskola tiks apgādāta ar 2 portatīvajiem un 9 stacionārajiem datoriem, iegādāts 1 multimediju tehnikas komplekts, kā arī attīstīts lokālais datortīkls, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.


Viesītes pilsētas ar lauku teritoriju dome: Projekta realizācijas rezultātā Viesītes vidusskola tiks apgādāta ar 9 stacionārajiem datoriem, kā arī tiks modernizēts 1 lokālais datortīkls. Līdz ar to Viesītes vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā modernizētajā lokālajā tīklā. Projekta ietvaros modernizētais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",17094.03,14529.92,2564.11,18
49,"Ķekavas novada pašvaldība","Gaismas iela 19, k.9, Ķekava, Ķekavas pagasts, Ķekavas novads, LV-2123"," Ķekavas pagasta pašvaldība,  Daugmales pagasta padome,  Baložu pilsētas dome, ","Izglītības iestāžu informatizācija","Rīgas reģions, ",26/11/2009,"Ķekavas pagasta pašvaldība: Projekta ietvaros 2 Ķekavas pagasta skolas tiks apgādātas ar 26 stacionārajiem datoriem un 1 portatīvo datoru, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīti 2 lokālie datortīkli. Līdz ar to Ķekavas vidusskola un Pļavniekkalna sākumskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Daugmales pagasta padome: Projekta rezultātā Daugmales pamatskola tiks apgādāta ar 1 stacionāro un 2 portatīvajiem datoriem, tiks iegādāts un uzstādīts 1 multimēdiju komplekts, tiks attīstīts
lokālais datortīkls. Līdz ar to Daugmales pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē,
tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātais stacionārais dators tiks pievienots esošajam lokālajam datortīklam.
Baložu pilsētas dome: Projekta ietvaros Baložu pilsētas vidusskola tiks apgādātas ar 8 stacionārajiem un 2 portatīvajiem datoriem; iegādāti 1 multimediju tehnikas komplekti ( 1 interaktīvā  tāfele  un 1 projektors),kā arī attīstīts 1 lokāllais datortīkls. Līdz ar to, vidusskolā tiks nodrošināta  ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku ITK izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros izveidotais esošais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",36891.85,31358.07,5533.78,18
50,"Priekuļu novada pašvaldība","Cēsu prospekts 5, Priekuļi, Priekuļu pagasts, Priekuļu novads, LV-4126"," Priekuļu pagasta padome,  Liepas pagasta padome,  Mārsnēnu pagasta padome, ","Izglītības iestāžu informatizācija","Vidzeme, ",26/11/2009,"Priekuļu pagasta padome: Projekta ietvaros paredzēta Priekuļu vidusskolas IT vides veidošana un uzlabošana, tādējādi uzlabojot skolas informatizācijas kapacitāti, un sniedzot iespēju skolniekiem strādāt ar mūsdienu prasībām atbilstošām tehnoloģijām.
Projekta ietvaros Priekuļu pagasta padomes, Priekuļu vidusskola tiks apgādāta ar 2 stacionārajiem  datoriem, kā arī attīstīts 1 lokālais datortīkls.
Līdz ar to Priekuļu vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
Projekta ietvaros paredzēta lokālā tīkla izbūvēšana ātrai informācijas apmaiņai, efektīvi strādājošs datortīkls ir viens no pamata priekšnoteikumiem jebkurai organizācijai. Papildus IT infrastruktūras modernizācija skolā ļaus ne tikai apgūt zināšanas par jauninājumiem programmā un tehnoloģijās, bet arī sniegs praktiskas iemaņas darbā ar datortīkliem.

Liepas pagasta padome: Projekta ietvaros Liepas pamatskolā tiks izveidota efektīva multimediju klase mācību priekšmetu apguvei, kura tiks apgādāta ar 16 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīts 1 lokālais datortīkls. Līdz ar to Liepas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Mārsnēnu pagasta padome: Projekta ietvaros Mārsnēnu pamatskola tiks apgādāta ar 2 portatīvajiem datoriem, 1 multimediju tehnikas komplektu (1 interaktīvo tāfeli un 1 projektoru), Līdz ar to, Mārsnēnu pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu skolā, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
",21483.65,18261.1,3222.55,18
51,"Engures novada Dome","Pagastmāja, Smārdes pagasts, Engures novads, LV-3129"," Smārdes pagasta padome,  Lapmežciema novada dome, ","Izglītības iestāžu informatizācija","Rīgas reģions, ",26/11/2009,"Smārdes pagasta padome: Projekta ietvaros 2 Smārdes pagasta skolas- Smārdes pamatskola un Milzkalnes sākumskola  tiks apgādātas ar 10 stacionārajiem datoriem, 3 portatīvajiem datoriem,  tiks iegādāti 2 multimediju tehnikas komplekti (2 interaktīvās tāfeles un 2 projektori), kā arī attīstīts lokālais tīkls Smārdes pamatskolā, kurā tiks uzstādīti visi projekta rezultātā iegādātie stacionārie datori. Līdz ar to abas pašvaldības skolas tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Lapmežciema novada dome: Projekta ietvaros Lapmežciema pamatskola tiks apgādāta ar 10 stacionāriem un 2 portatīviem datoriem, iegādāts 1 multimediju tehnikas komplekts ( interaktīvā tāfele un projektors), kā arī pilnveidots skolas lokālais datortīkls. Līdz ar to, Lapmežciema pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu skolā, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.  Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā esošo lokālo tīklu.
",26305.85,22359.97,3945.88,18
52,"Beverīnas novada pašvaldība","""Pagastmāja"",Mūrmuiža, Kauguru pagasts, Beverīnas novads, LV-4224"," Brenguļu pagasta padome,  Trikātas pagasta padome,  Kauguru pagasta padome, ","Beverīnas novada pašvaldības izglītības iestāžu informatizācija","Vidzeme, ",26/11/2009,"Brenguļu pagasta padome: Projekta ietvaros paredzēta Brenguļu sākumskolas, IT vides veidošana un uzlabošana, tādējādi uzlabojot skolas informatizācijas kapacitāti, un sniedzot iespēju skolniekiem strādāt ar mūsdienu prasībām atbilstošām tehnoloģijām. 
Projekta ietvaros Brenguļu pagasta padomes, Brenguļu sākumskola tiks apgādātas ar 3 stacionārajiem un 1 portatīvo datoru, iegādāts 1 multimediju tehnikas komplekts - 1 interaktīvās tāfele un 1 projektors, kā arī attīstīts 1 lokālais datortīkls. Līdz ar to, Brenguļu sākumskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
Projekta ietvaros paredzēta lokālā tīkla izbūvēšana ātrai informācijas apmaiņai, efektīvi strādājošs datortīkls ir viens no pamata priekšnoteikumiem jebkurai organizācijai. Papildus IT infrastruktūras modernizācija skolā ļaus ne tikai apgūt zināšanas par jauninājumiem programmās un tehnoloģijās, bet arī sniegs praktiskas iemaņas darbā ar datortīkliem.

Trikātas pagasta padome: Projekta ietvaros paredzēta Trikātas pamatskolas, IT vides veidošana un uzlabošana, tādējādi uzlabojot skolas informatizācijas kapacitāti, un sniedzot iespēju skolniekiem strādāt ar mūsdienu prasībām atbilstošām tehnoloģijām. 
Projekta ietvaros Trikātas pagasta padomes, Trikātas pamatskola tiks apgādātas ar 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts - 1 interaktīvās tāfele un 1 projektors. 


Kauguru pagasta padome: Projekta ietvaros Kauguru pagasta J.Endzelīna Kauguru pamatskola tiks apgādāta ar 10 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīts1 lokālais datortīkls. Līdz ar to pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. 


",21365.24,18160.45,3204.79,18
53,"Neretas novada pašvaldība","Rīgas iela 1, Neretas pagasts, Neretas novads, LV-5118"," Neretas pagasta padome,  Pilskalnes pagasta padome,  Mazzalves pagasta padome,  Zalves pagasta padome, ","Izglītības iestāžu informatizācija","Zemgale, ",26/11/2009,"Neretas pagasta padome: Projekta ietvaros Neretas pagasta Neretas vidusskola tiks apgādāta ar 23 stacionārajiem datoriem un 1 lokālo datortīklu. Līdz ar to, Neretas vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.


Pilskalnes pagasta padome: Projekta ietvaros Pilskalnes pamatskola tiks apgādāta ar 2 portatīvajiem datoriem, 1projektoru un 1 interaktīvo tāfeli. To pielietošana dos iespēju skolotājiem daudz kvalitatīvāk un dinamiskāk vadīt stundas dabas zinībās, matemātikā, fizikā un valodās, kā arī atvieglos viņu darbu, sagatavojoties stundām. Norādītās tehnikas pielietošana dos iespēju paaugstināt mācību procesa efektivitāti. 




Mazzalves pagasta padome: Projekta ietvaros Mazzalves pamatskola tiks apgādāta ar 9 stacionāriem un 2 portatīvajiem datoriem, iegādāta multimediju tehnika (1 interaktīvā tāfele un 1 projektors), kā arī attīstīts 1 lokālais tīkls. Līdz ar to Mazzalves pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Zalves pagasta padome: Projekta ietvaros Zalves pagasta pamatskolas tiks apgādātas ar 4 stacionārajiem datoriem, 4 portatīvajiem datoriem, 2 multimediju tehnikām un 2 lokāliem datortīkliem. Līdz ar to, Sproģu pamatskola un Zalves pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicina plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros attīstītais lokālais tīkls savienos projekta ietvaros iegādātos stacionāros datorus un tiks savienots ar skolā jau esošo lokālo tīklu.


",42965.48,36520.65,6444.83,16
54,"Cēsu novada pašvaldība","Raunas iela 4, Cēsis, Cēsu novads, LV-4101"," Vaives pagasta padome,  Cēsu pilsētas dome, ","Izglītības iestāžu informatizācija","Vidzeme, ",26/11/2009,"Vaives pagasta padome: Vaives pagasta valdījumā ir Rāmuļu un Līvu pamatskolas. Eiropas Reģionālās attīstības fonda projekta ietvaros Rāmuļu pamatskolai iegādāsies 2 portatīvos datorus, 1 vienību multimediju tehniku un Līvu pamatskolai iegādāsies 2 portatīvos datorus, 3 stacionāros datorus, 1 vienību multimediju tehniku un tiks attīstīts lokālais tīkls. Rāmuļu pamatskolā iegādātos datorus pievienos esošam lokālam tīklam. Līvu pamatskolā datori un multimediju tehnika tiks saslēgti vienotā lokālā tīklā.
 Projekta ietvaros sešas Cēsu pilsētas skolas  tiks apgādātas ar 91 stacionāriem  un 11 portatīvajiem datoriem ,iegādāti 4 multimediju tehnikas komplekti (4 interaktīvās tāfeles un 4 projektori)  kā arī attīstīti 4 lokālie datortīkli 5 skolās. Līdz ar to Cēsu pilsētas pamatskola, Cēsu 1. Pamatskola, Draudzīgā aicinājuma Cēsu Valsts ģimnāzija, Cēsu 2. pamatskola un Cēsu Pastariņa pamatskola  tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku informācijas un komunikāciju tehnoloģiju  izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",95619.97,81276.97,14343,18
55,"Vecumnieku novada dome","Rīgas iela 29, , Vecumnieku pagasts, Vecumnieku novads, LV-3933"," Vecumnieku pagasta padome,  Stelpes pagasta padome,  Valles pagasta padome,  Bārbeles pagasta padome,  Kurmenes pagasta padome, ","Izglītības iestāžu informatizācija","Zemgale, ",26/11/2009,"Vecumnieku pagasta padome: Projekta ietvaros, Vecumnieku pagastā, ar datortehniku tiks aprīkotas 2 skolas – Misas vidusskola un Vecumnieku vidusskola. Vidusskolās tiks uzstādīti 48 stacionārie un 2 portatīvie datori, iegādāts 1 multimediju tehnikas komplekts, kā arī attīstīti 2 lokālie datortīkli. Līdz ar to, Vecumnieku un Misas vidusskolas, tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.
Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

Stelpes pagasta padome: Projekta ietvaros Stelpes pamatskola tiks apgādāta ar 6 stacionārajiem datoriem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts ( 1 projektors). Kā arī tiks attīstīts 1  lokālais tīkls. Līdz ar to Stelpes pagasta pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot kvalitāti un efektivitāti.  Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls  tiks  savienots ar skolā esošo lokālo tīklu.
Valles pagasta padome: Projekta ietvaros Valles vidusskola tiks apgādāta ar 12 stacionārajiem datoriem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors). Kā arī  attīstīts 1  lokālais datortīkls. Līdz ar to Valles vidusskola tik nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls  tiks  savienots ar skolā jau esošo lokālo tīklu. 
Bārbeles pagasta padome: Projekta ietvaros, Bārbeles pagastā, ar datortehniku tiks aprīkota Bārbeles pamatskola. Pamatskolā tiks uzstādīti 8 stacionārie un 2 portatīvie datori, iegādāts 1 multimediju tehnikas komplekts, kā arī attīstīts 1 lokālais datortīkls. Līdz ar to, Bārbeles pamatskola, tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.
Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.


Kurmenes pagasta padome: Projekta ietvaros Aizkraukles rajona Kurmenes pamatskola tiks apgādāta ar 2 portatīvajiem un četriem stacionārajiem datoriem, tiks iegādāts viens multimediju tehnikas komplekts, kā arī attīstīts lokālais tīkls. Šī projekta īstenošanas rezultātā tiks veicināta IKT izmantošana mācību procesā, tādejādi uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. 

",77000.55,65450.46,11550.09,18
56,"Jēkabpils novada pašvaldība","Rīgas iela 150 a, Jēkabpils, LV-5202"," Rubenes pagasta padome,  Dignājas pagasta padome,  Zasas pagasta padome,  Leimaņu pagasta padome, ","Izglītības iestāžu informatizācija","Zemgale, ",26/11/2009,"Rubenes pagasta padome:  Projekta ietvaros Rubenes pamatskola tiks apgādāta ar 5 stacionārajiem  un 2 portatīvajiem datoriem ,iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), pilnveidots 1 lokālais tīkls. Līdz ar to Rubenes pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Tā kā Rubenes pamatskolā pirms projekta īstenošanas  jau ir ierīkots lokālais tīkls, to ir paredzēts savienot ar projekta ietvaros ierīkoto lokālo tīklu.
Dignājas pagasta padome: Projekta ietvaros Dignājas pamatskola tiks apgādāta ar 2 portatīvajiem datoriem , 6 stacionārajiem datoriem, iegādāti 1 multimediju tehnikas komplekts, kā arī  attīstīts 1 lokālais datortīkls. Līdz ar to pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
Zasas pagasta padome: Projekta ietvaros Zasas vidusskola tiks apgādāta ar 14 stacionāriem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (viena interaktīvā tāfele un viens projektors), projekta ietvaros iegādātos datorus savienos lokālajā tīklā. Lokālais datortīkls tiks attīstīts, savienojot esošo tīklu ar jauno. Līdz ar to Zasas vidusskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, ceļot izglītības kvalitāti un efektivitāti.
Leimaņu pagasta padome: 
Projekta ietvaros Bērzgala pamatskola tiks apgādāta ar 2 portatīvajiem datoriem un tiks iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors). Projekta ieviešanas rezultātā tiks veicināta plašāku un efektīvāku informācijas un komunikāciju tehnoloģiju izmantošana mācību procesā, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Pedagogiem radīsies iespēja veidot savas mācību stundas interesantākas un radošākas. Skolēniem būs iespēja apgūt IKT izmantošanas prasmes, kas ir būtisks nosacījums veiksmīgām mācībām nākamajās izglītības pakāpēs.


",34765.48,29550.65,5214.83,18
57,"Ozolnieku novada dome","Stadiona iela 10, Ozolnieku pagasts, Ozolnieku novads, LV-3018"," Sidrabenes pagasta padome,  Ozolnieku novada dome, ","Izglītības iestāžu informatizācija","Zemgale, ",26/11/2009,"Sidrabenes pagasta padome:          Projekta ietvaros 2 Sidrabenes pagasta pamatskolas tiks apgādātas ar 4 stacionārajiem un 4 portatīvajiem datoriem, iegādāti 2 multimediju tehnikas komplekti (2 interaktīvās tāfeles un 2 projektori), kā arī tiks izveidoti 2 lokālie datortīkli (pirms projekta īstenošanas nav ierīkoti lokālie tīkli), kas savienos projekta ietvaros iegādātos stacionāros datorus. Līdz ar to, Sidrabenes pagasta Salgales pamatskola un Garozas pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. 


Ozolnieku novada dome: 
Projekta ietvaros Ozolnieku novada Teteles pamatskola tiks apgādāta ar 2 portatīviem datoriem ,tiks iegādāts 1 multimediju tehnikas komplekti ( interaktīvās tāfele un projektors). Līdz ar to Teteles pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.



",15992.03,13593.22,2398.81,18
