"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
27,"Pārgaujas novada dome","""Iktes"", Stalbes pagasts, Pārgaujas novads, LV-4151",," Materiāli tehniskās bāzes un infrastruktūras uzlabošana Raiskuma sanatorijas internātpamatskolā","Vidzeme, ",07/12/2009,"Projekta mērķis ir uzlabot izglītības ieguves iespējas, nodrošināt drošu un pieejamu izglītības vidi Raiskuma sanatorijas internātpamatskolā izglītojamajiem ar fiziskās attīstības traucējumiem.
   Speciāli aprīkota autotransporta iegāde nodrošinās pilnvērtīgu mācību  un rehabilitācijas procesu.
Lifta iegāde un nomaiņa  nodrošinās izglītojamo ar fiziskās attīstības traucējumiem piekļuvi mācību telpām, ārstniecības kabinetiem, atpūtas telpām un internātam.
Automātiskās ugunsaizsardzības signalizācijas iekārtas ierīkošana mācību telpās un metodiskajos kabinetos mazinās risku skolēnu drošībai atrodoties skolā visu diennakti.
 Projekta īstenošanā tiks sasniegti rezultāti: 
1. Speciāli aprīkots autotransports
2. Pasažieru – slimnīcas gultu lifts
3. Automātiskās ugunsaizsardzības signalizācijas iekārta
Projekta īstenošanas vieta 
„Dzelmes 5”, Raiskums, Raiskuma pagasts, Pārgaujas novads, LV 4146
Plānotais ERAF finansējums Ls 81740, pašvaldības budžeta finansējums Ls 14425
",96165,81740,0,18
28,"Baltinavas novada pašvaldība","Kārsavas ielā 16, Baltinava, Baltinavas novads, LV-4594",,"Baltinavas Kristīgās speciālās internātpamatskolas ēkas renovācija un mācību materiālās bāzes papildināšana","Latgale, ",07/12/2009,"Projektu ""Baltinavas Kristīgās speciālās internātpamatskolas ēkas renovācija un mācību materiālās bāzes papildināšana"" ir plānots realizēt 11 nēnešos - 2010.gadā no februāra līdz decembrim. Projekta iesniedzējs ir Baltinavas novada dome. Kopējai projekta budžets ir 97652,00 LVL; 85% jeb 83004,00 LVL tiks finansēts no Eiropas Reģionālā attīstības fonda, 15% jeb 14648,00 LVL ir projekta iesniedzēja līdzfinansējums.
Projekta mērķis ir uzlabot mācību vidi, veicināt darba un sadzīves prasmju attīstību izglītojamajiem ar speciālām vajadzībām, veicot ēkas renovāciju un papildinot mācību materiālo bāzi. Tiešā projekta mērķa auditorija: izglītojamie speciālās izglītības iestādēs un speciālās izglītības iestāžu pedagogi. Projektā realizēs 2 aktivitātes: Baltinavas Kristīgās speciālās internātpamatskolas ēkas renovācija - veicot jumta seguma nomaiņu un mācību materiālu, mācību aprīkojuma, tehnoloģiju un mēbeļu iegādes skolas materiāli tehniskās bāzes uzlabošanai, papildinot mācību darbnīcas kokapstrādē materiālo bāzi, mācību darbnīcas šušanā materiālo bāzi, aprīkojot mācību darbnīcu - mācību virtuvi un papildinot skolas materiālo bāzi. Projekta rezultātā uzlabos mācību vidi, veicinās izglītojamajiem speciālās izglītības iestādēs darba un sadzīves prasmju attīstīšanu.",97652,83004,0,11
29,"Kuldīgas novada pašvaldība","Baznīcas iela 1, Kuldīga, Kuldīgas novads, LV-3301",,"Jumta renovācija skolas vecajam korpusam un lifta izbūve jaunajā ēkā","Kurzeme, ",07/12/2009,"Projekta vispārējais mērķis ir nodrošināt piemērotus mācību apstākļus un vides pieejamību skolēniem ar garīgās attīstības  un kustību traucējumiem no Kuldīgas novada un apkārtējām pašvaldībām.
Projekta specifiskais mērķis ir uzlabot un pielāgot mācību vidi izglītojamajiem ar garīgās attīstības un kustību traucējumiem, veicot Pelču speciālās internātpamatskolas – attīstības centra renovācijas darbus un lifta ierīkošanu.
Projekta mērķgrupa ir Pelču speciālās internātpamatskolas – attīstības centra audzēkņi ar garīgās attīstības un kustību traucējumiem, skolas pedagogi, tehniskie darbinieki un skolēnu vecāki.
Projekta galvenās aktivitātes:
1. Renovācijas darbi vecās skolas ēkā.
2. Lifta ierīkošana jaunajā skolas ēkā.
Paredzams, ka projekta rezultātā 193 audzēkņiem tiks uzlabota mācību vide un tās pieejamība.
Projekta īstenošanas vieta – Pelču speciālā internātpamatskola – attīstības centrs , Pelču pagasts, Kuldīgas novads.
Kopējās projekta attiecināmās izmaksas Ls 98392, no tām Ls 83633 jeb 85%–ERAF finansējums.
Kopējais projekta īstenošanas laiks 8 mēneši.",98392,83633,0,8
30,"Daugavpils novada dome","Rīgas iela 2, Daugavpils, LV-5400",,"Medumu speciālās internātpamatskolas infrastruktūras  un aprīkojuma uzlabošana","Latgale, ",30/11/2009,"Projekta ietvaros tiks atbalstīta Daugavpils novada Medumu speciālā internātpamatskola
Realizējot šo  projektu tiks uzlabota mācību vide  Medumu speciālās internātpamatskolas izglītojamiem ar speciālām vajadzībām, modernizējot un pielāgojot telpas, iegādājoties  speciālo autotransportu ,lai šos bērnus varētu atvest un aizvest uz mājām. Projekta ietvaros tiks uzlabots mācību procesam nepieciešamais mācību aprīkojums, lai veicinātu darba un sadzīves prasmju attīstīšanu izglītojamiem speciālās izglītības iestādēs.
   Projekta aktivitātes tiek iesaistīta mērķa grupa- Medumu speciālās internātskolas  patreizējie izglītojamie un potenciālie(kam pašlaik noteikta mājas apmācība),kā arī  speciālās izglītības iestādes pedagogi.
  Ņemot vērā to, ka Medumu skolā jau strādā pedagogi, kuriem ir profesionālā kvalifikācija vai pieredze darbā ar izglītojamiem ar funkcionāliem traucējumiem, nodrošinot vispārējās izglītības iestādes reālu pieejamību izglītojamajiem ar kustību traucējumiem, tiks nodrošināta vide, kas sekmēs šo izglītojamo integrāciju Medumu skolā.  
  Lai to panāktu Medumu speciālās internātpamatskolas telpās   tiks veikts:
       1) Divu tualešu ,dušas telpu  pārplānošana, remonts un aprīkojums to pielāgošanai bērniem ar funkcionāliem traucējumiem, atbilstoši Latvijas būvnormatīva LBN 208-08 „Publiskas ēkas un būves” normu prasībām.
   2) Guļamistabu ar kopējo platību 46,1 m2 un gaiteņu pielāgošana bērniem ar funkcionāliem traucējumiem, durvju pielāgošanu personām ar kustību traucējumiem.. 
   3) telpu grupā tiek nomainīta elektroinstalācija, gaismas ķermeni, ierīkota ventilācija.       
   Lai bērni ar kustību traucējumiem no Daugavpils novada pašvaldībām nonāktu skolā un varētu integrēties sabiedrībā, tiks iegādāts  speciāls mikroautobuss 12 vietām, kurš būs pielāgots invalīdu ratiņu pārvadāšanai.
   Uz doto momentu  ,lai nodrošinātu kvalitatīvu mācību procesu, skolai pietrūkt mācību tehniskā aprīkojuma ,kā arī ir nepieciešamas jaunas mēbeles. Projekta  „3.aktivitātes „Mācību materiālu, mācību aprīkojuma, tehnoloģiju iegāde, kā arī mācībām nepieciešamo mēbeļu iegāde” tiks iegādāts:8  stacionārie datori ar atbilstošu programmatūru; interaktīva tāfele; datorkrēsli – 10;skolēnu krēsli – 75.

Projekta kopējā summa- 98 392 LVL.
Projekta ilgums 10 mēneši 2010.gada janvāris –oktobris.
",98392,83633,0,10
31,"Gulbenes novada dome","Ābeļu iela 2, Gulbene, Gulbene, Gulbenes novads, LV-4401",,"Sveķu speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Vidzeme, ",11/12/2009,"Projekta specifiskais mērķis ir uzlabot mācību vidi, veicināt darba un sadzīves prasmju attīstīšanu Sveķu speciālās internātpamatskolas audzēkņiem. 
Lai nodrošinātu izvirzītā mērķa sasniegšanu un radītu priekšnosacījumus audzēkņu prasmju attīstīšanai, projekta ietvaros plānots veikt šādas aktivitātes:
1. Internāta ēkas vienkāršotā rekonstrukcija.
2. Darbnīcu ēkas vienkāršotā rekonstrukcija.
Projekta aktivitāšu realizācijas rezultātā tiks rekonstruētas Sveķu speciālās internātpamatskolas 2 ēkas- internāts un darbnīcas. Rekonstruētās ēkās paaugstināsies energoefektivitāte un pieejamība. 
Projekta iesniedzējs – Gulbenes novada dome, projekta aktivitāšu realizācijas vieta- Sveķu speciālā internātpamatskola. 
Projekta realizācijas laiks 2009.gada 10.novembra līdz 2010.gada 1.augustam, kopējais realizācijas laiks 9 mēneši. 
Projekta realizācijas vieta: Sveķu speciālā internātpamatskola, Aduliena, Jaungulbenes pagasts, Gulbenes novads.
Kopējās projekta realizācijas izmaksas LVL 111 404, no tām kopējās attiecināmās izmaksas LVL 98 392 (kopējo attiecināmo izmaksu sadalījums- 85% ERAF finansējums LVL 83 633, 15% Gulbenes novada domes līdzfinansējums LVL 14 759). Neattiecināmās izmaksas LVL 13 012 apmērā pašvaldība sedz no pašvaldības budžeta. 
",98392,83633,0,9
32,"Cēsu novada pašvaldība","Raunas iela 4, Cēsis, Cēsu novads, LV-4101",,"Cēsu sanatorijas internātpamatskolas aprīkojuma un infrastruktūras uzlabošana","Vidzeme, ",11/12/2009,"Lai nodrošinātu vienlīdzīgas iespējas pamatizglītības iegūšanai, projekta „Cēsu sanatorijas internātpamatskolas aprīkojuma un infrastruktūras uzlabošana” ietvaros Cēsu sanatorijas internātpamatskolā tiks uzlabota mācību un sadzīves vide izglītojamiem ar somatiskām saslimšanām, bronhiālo astmu un citām nespecifiskām plaušu saslimšanām, kā arī veicināta viņu garīgās un fiziskās veselības uzlabošana.
Mērķa sasniegšanai, projekta ieviešanas gaitā tiks īstenotas sekojošas aktivitātes:
1. Projekta vadība un administrēšana;
2. Autobusa iegāde;
3. Lifta izbūve;
4. Garderobes renovācija;
5. 3.stāva labierīcību renovācija;
6. Projekta informācijas un publicitātes pasākumi.
Projekta ietvaros, 18 mēnešu laikā, Cēsu sanatorijas internātpamatskolā tiks uzlabots aprīkojums un infrastruktūra par kopējo summu 98 392 LVL.
",98392,83633,0,18
33,"Madonas novada pašvaldība","Saieta laukums 1, Madona, Madonas novads, LV-4801",,"Infrastruktūras un mācību vides uzlabošana izglītojamiem ar speciālajām vajadzībām Dzelzavas speciālajā internātpamatskolā","Vidzeme, ",11/12/2009," Dzelzavas speciālā internātpamatskola atrodas Kļavu ielā 2, Dzelzavas pagastā, Madonas novadā. Tajā mācās bērni ar garīgās attīstības traucējumiem un ir integrēti bērni ar smagiem kustību un garīgās attīstības traucējumiem. 2008/2009.m.g. skolā mācās 118 bērni no Madonas rajona pašvaldībām. Skolā strādā 37 pedagogi ar augstāko izglītību speciālajā pedagoģijā, no tiem 13 pedagogi ar maģistra grādu pedagoģijā. 
         Projekta vispārējais mērķis ir uzlabot mācību vidi izglītojamiem ar speciālajām vajadzībām, veicinot izglītojamo darba un sadzīves prasmju attīstīšanu.
         Projekta specifiskais mērķis ir veikt rekonstrukcijas un renovācijas darbus Dzelzavas speciālajā internātpamatskolā, tādejādi paaugstinot atbilstošus mācību vides un dzīves apstākļus izglītojamiem ar speciālajām vajadzībām. 
         Lai sasniegtu projekta mērķi tiks veiktas sekojošas aktivitātes:
1.   Tehniskā projekta izstrāde internāta korpusa jumta rekonstrukcijai;
2.   Dzelzavas speciālās internātpamatskolas internāta korpusa jumta rekonstrukcija;
3.   Dzelzavas speciālās internātpamatskolas telpu vienkāršota renovācija;
 4.      Mēbeļu iegāde dzīvojamām, bērniem –invalīdiem ar kustību traucējumiem  telpām;
 5.      Publicitātes un informatīvie pasākumi.
         Projekta realizācija ļaus ievērot pastāvošās likumdošanas prasības, radīs iespējas un apstākļus bērnam ar garīgās attīstības traucējumiem, iegūt viņa veselības stāvoklim un iespējām, attīstības līmenim atbilstošu izglītību, kā arī palielināsies ēku energoefektivitāte, kas ļaus ietaupīt līdzekļus.
         Projekts tiks realizēts 2010.gadā – 12 mēnešos Kļavu ielā 2, Dzelzavas pagastā, Madonas novadā. Projekta kopējās izmaksas sastāda 98 392 lati. Eiropas Reģionālā attīstības fonda finansējuma apjoms ir 83 633 lati.
",98392,83633,0,12
34,"Jelgavas pilsētas dome","Lielā iela 11, Jelgava, LV-3001",,"Jelgavas pilsētas speciālo izglītības iestāžu infrastruktūras uzlabošana","Zemgale, ",07/12/2009,"Projekta ""Jelgavas pilsētas speciālās izglītības iestāžu infrastruktūras uzlabošana"" mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, uzlabojot 3 speciālo izglītības iestāžu infrastruktūru Jelgavas pilsētā: Jelgavas 1.sanatorijas internātpamatskolā, Jelgavas speciālā internātpamatskolā un Jelgavas speciālā pamatskolā. 
Projekta mērķa grupa ir Jelgavas pilsētas speciālās izglītības iestāžu izglītojamie un pedagogi. 
Projekta ietvaros plānots veikt sekojošas darbības: 
1. Jelgavas speciālajās internātpamatskolas infrastruktūras uzlabošana: 
- Veikt logu rāmju nomaiņu; 
- Nomainīt mācību korpusa jumtu; 
- Renovēt skolas aktu zāli; 
- Veikt mācību korpusa fasādes renovācīju; 
- Nomainīt mācību korpusa ārdurvis. 
2. Jelgavas 1.sanatorijas internātpmatskolas infrastruktūras uzlabošana: 
- Renovēt skolas sporta zāli; 
- Renovēt pāreju starp skolas korpusiem. 
3. Jelgavas speciālajās pamatskolas infrastruktūras uzlabošana: 
- Veikt logu rāmju nomaiņu; 
- Renovēt skolas sporta zāli; 
- Veikt 1.stāva koridora grīdas seguma atjaunošanu. 
Projekta rezultātā visiem šo skolu izglītojamiem (kopā 411, ņemot vērā 2008/2009 mācību gada datus) tiks nodrošināta kvalitatīvāka un pieejamāka mācību vide, tiks uzlabota skolu energoefektivitāte, mazināsies skolu uzturēšanas izdevumi. 
Projekts tiks īstenots laika posmā no 2009.gada decembra līdz 2010.gada oktobrim, un tā kopējās izmaksas ir LVL 295 176, tai skaitā ERAF līdzfinansējums LVL 250 899, pašvaldības līdzfinansējums LVL 44 277.
",295176,250899,0,11
35,"Dagdas novada pašvaldība","Alejas iela 4, Dagdas novads, LV-5674",,"Materiāli tehniskās bāzes un infrastruktūras modernizēšana Aleksandrovas speciālajā internātpamatskolā izglītojamiem ar garīgās attīstības traucējumiem","Latgale, ",30/11/2009,"Projekta mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, īpaši  izglītojamiem ar kustību traucējumiem, izveidojot un aprīkojot multifunkcionālu mācību klasi, iegādājoties specializētu transportu un pielāgojot infrastruktūru mērķa grupas vajadzībām. 
Aktivitāšu īstenošanas rezultātā tiek plānots sasniegt projekta mērķi, proti, uzlabot Aleksandrovas speciālās internātpamatskolas izglītojamiem ar speciālām vajadzībām audzēkņu mācību vidi, īpaši risinot izglītojamo ar kustību traucējumiem problēmas. Rekonstruējot telpas, tiks izveidota un aprīkota multifunkcionāla mācību klase audzēkņu vajadzībām, pielāgota apkārtējā vide bērnu ar smagiem un vieglākiem kustību traucējumiem,  papildināts bibiotēkas / videotēkas fonds, kas ļaus nodrošināt kvalitatīvu mācību procesu. Nozīmīgs ieguldījums būs iegādātais speciāli aprīkotais autotransports ērtai audzēkņu pārvadāšanai. Efektīvāka izziņas procesa nodrošināšanai, mērķa grupas kognitīvo un kustību prasmju attīstīšanai, tiks  iegādāti datori, interaktīvās tehnoloģijas un kvalitatīva speciālā programmatūra. 
Projektu realizēs Dagdas novada dome  no 2010. gada 1. janvāra līdz 2010. gada 31. decembrim.  Projekta īstenošanas vieta ir Dagdas novada Konstantinovas pagasta Aleksandrovas ciema „Aleksandrovas skola” un Dagdas novada Konstantinovas pagasta Aleksandrovas ciema „Tūjas”. Kopējās projekta izmaksas ir 80 169,00 LVL, no tiem 68 143, 00 ERAF līdzfinansējums. 
",80169,68143,0,12
36,"Valmieras novada dome","Alejas iela 8, Kocēnu pagasts, Valmieras novads, LV-4220",,"Infrastruktūras uzlabošana  Vaidavas speciālajā internātpamatskolā","Vidzeme, ",07/12/2009,"Projekta vispārīgais mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām. 
Projekta specifiskais mērķis ir Vaidavas speciālās internātpamatskolas infrastruktūras un mācību vides uzlabošana, kā rezultātā izglītojamiem ar speciālām vajadzībām tiks uzlabota mācību vide.
 Projekta ietvaros skolas ēkai tiks nomainīts jumta segums, pārbūvētas ieejas kāpnes un rekonstruēts pagalms. Rezultātā tiks uzlabota mācību vide izglītojamiem ar speciālām vajadzībām.
Projekta ietvaros tiks īstenota šāda aktivitāte – izglītības iestādes pielāgošana personām ar funkcionāliem traucējumiem.
Projekta īstenošanas vieta – Valmieras novada Vaidavas pagasta Vaidavas speciālā internātpamatskola, LV – 4228.
Plānotais kopējais projekta īstenošanas ilgums: 9 mēneši.
Projekta plānotās attiecināmās izmaksas ir  Ls  98392,00  (Deviņdesmit astoņi tūkstoši trīs simti deviņdesmit divi lati 00 santīmi, t.s. ERAF finansējums Ls 83632,00;  līdzfinansējums Ls 14760,00).
",98392,83632,0,9
37,"Rēzeknes pilsētas dome","Atbrīvošanas aleja 93, Rēzekne, LV-4601",,"Rēzeknes logopēdiskās internātpamatskolas sporta zāles jumta un griestu nomaiņa un logopēdu kabinetu izbūve","Latgale, ",07/12/2009,"Projekts paredz Rēzeknes logopēdiskajā internātpamatskolā, lai veiksmīgi un kvalitatīvi varētu realizēt speciālās pamatizglītības programmas izglītojamiem ar valodas traucējumiem skolā uzbūvēt izbūvi skolas sporta zāles bēniņos, nedaudz paceļot jumtu kopējās ēkas augstumā, iebūvējot tur 5 logopēdiskos kabinetus, telpu koriģējošai vingrošanai, kabinetu psihologam, izveidojot telpu bloku komandai, kas strādā ar bērniem ar speciālām vajadzībām, ar ieeju no 2,stāva koridora. Tādējādi nodrošinot sporta zāles saglabāšanu. Tiktu ierīkoti kabineti atbilstoši skolas programmas specifikai bērniem ar valodas traucējumiem. 
Realizējot projektu tiktu nodrošināta katra skolēna ar speciālām vajadzībām nepieciešamība izglītoties tieši viņam vispiemērotākajā veidā. 
Projekta ietvaros tiks īstenota šāda aktivitāte - Rēzeknes logopēdiskās internātpamatskolas sporta zāles jumta un griestu nomaiņa un logopēdu kabinetu izbūve. 
Projekta īstenošanas vieta - Rēzeknes logopēdiskā internātpamatskola, Rēzekne, Varslavāna ielā 5, LV-4601. 
Plānotais kopējais projekta īstenošanas ilgums: 18 mēneši. 
Projekta plānotās attiecināmās izmaksas Ls 98 390, t.sk. ERAF finansējums.",98390,83631,0,18
38,"Daugavpils pilsētas dome","Kr.Valdemāra iela 1, Daugavpils, LV-5401",,"Daugavpils pilsētas speciālo izglītības iestāžu infrastruktūras un aprīkojuma uzlabošana","Latgale, ",30/11/2009,"Projekta “Daugavpils pilsētas speciālo izglītības iestāžu infrastruktūras un aprīkojuma uzlabošana” mērķis ir nodrošināt Daugavpils pilsētas speciālo izglītības iestāžu infrastruktūras pielāgošanu cilvēkiem ar funkcionāliem traucējumiem un uzlabot to materiālo bāzi ar nepieciešamo aprīkojumu. Lai sasniegtu projekta mērķi tiks īstenotas šādas aktivitātes: 
1. Speciālās izglītības iestādes ēku, būvju, telpu infrastruktūras un inženierkomunikāciju renovācija un rekonstrukcija, tai skaitā telpu un infrastruktūras pielāgošana bērniem ar speciālām vajadzībām.
2. Mācību materiālu, tai skaitā elektroniskās apmācības un programmatūras iegāde, mācību aprīkojuma un tehnoloģiju iegāde, kā arī mācībām nepieciešamo mēbeļu iegāde.
         Projekta mērķa grupa ir Daugavpils 1.speciālās pamatskolas, Daugavpils 4.speciālā pamatskolas, Daugavpils logopēdiskā internātpamatskola – attīstības centra izglītojamie, potenciālie izglītojamie un pedagogi

           Projekta kopējais īstenošanas ilgums – 12 mēneši.
           Projekta kopējās izmaksas ir Ls  295 176  no tiem:
• ERAF līdzfinansējums 85% - Ls 250 899;
• Daugavpils pilsētas domes līdzfinansējums 15 % - Ls  44 277.
",295176,250899,0,12
