"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
27,"Kaunatas pagasta pārvalde","Rāznas iela 38, Kaunatas pagasts, Rēzeknes novads, LV-4622",,"Mūsdienīgas materiālās bāzes nodrošināšana kvalitatīvai dabaszinātņu apguvei Kaunatas vidusskolā","Latgale, ",21/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas skolā, projekta ietvaros plānots veikts šādas aktivitātes:
 1.Telpu renovācija:
      1.1.ūdensapgādes sistēmas rekonstrukcija ķīmijas, bioloģijas kabinetos;
      1.2.kanalizācijas sistēmas renovācija fizikas, bioloģijas, matemātikas kabinetos;
      1.3.grīdas rekonstrukcija ķīmijas kabinetā;
      1.4.grīdas atjaunošana bioloģijas, fizikas, matemātikas kabinetos un laboratorijās;
      1.5.elektroapgaismojuma modernizēšana visos kabinetos;
      1.6.dalēja elektroinstalācijas rekonstrukcija fizikas kabinetā;
      1.7.sienu kosmētiskais remonts visos kabinetos;
      1.8.piekaramo griestu ierīkošana ķīmijas un fizikas kabinetos;
      1.9.ventilācijas sistēmas atjaunošana, attiecīgi mūsdienu prasībām fizikas, ķīmijas,  bioloģijas kabinetos.
 2.Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
      2.1.izveidotas 20 darbavietas darbam ar datoru prioritārajos priekšmetos;
      2.2.izglītības programmas ķīmijā īstenošanai;
      2.3. izglītības programmas fizikā īstenošanai;
      2.4. izglītības programmas bioloģijā īstenošanai;
      2.5. izglītības programmas matemātikā īstenošanai.
 3. Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēkas un mācību fondu pilnveide.
 ",98392,83633,0,20
28,"Valkas novada dome","Semināra 9, Valka, Valkas novads, LV-4701",,"Dabas zinātņu kabinetu labiekārtošana Valkas ģimnāzijā","Rīgas reģions, Vidzeme, ",09/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes Valkas ģimnāzijā:
 
 1.	Telpu renovācija (skat. 4.pielikumu).
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	Materiāli tehniskās bāzes izveide (centralizētais iepirkums; skat. 3.pielikumu):
 2.1.1.	izveidotas 15 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.1.2.	izglītības programmas ķīmijā īstenošanai;
 2.1.3.	izglītības programmas fizikā īstenošanai;
 2.1.4.	izglītības programmas bioloģijā īstenošanai;
 2.1.5.	izglītības programmas matemātikā īstenošanai.
 2.2.	Mēbeļu iegāde.
 ",98392,83633,0,21
29,"Saulkrastu novada dome","Raiņa iela 8, Saulkrasti, Saulkrastu novads, LV-2160",,"Kvalitatīvai dabas zinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Zvejniekciema vidusskolā","Rīgas reģions, ",09/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Zvejniekciema vidusskolā plānots veikt šādas darbības:
 –	modernizēt un pilnveidot materiāli tehnisko bāzi (iekārtas aprīkojums, tehnoloģijas, datortehnika, programmatūra, datu bāzes) ķīmijas, fizikas, bioloģijas un matemātikas kabinetos;
 –	izveidot darbavietas darbam ar datoru prioritārajos priekšmetos;
 –	veikt prioritāro zinātņu kabinetos telpu renovācijas darbus, kas saistīti ar mācību aprīkojuma uzstādīšanu, ventilācijas, ugunsdrošības, ūdensapgādes un elektroapgādes sistēmu uzstādīšanu;
 –	pilnveidot bibliotēku, mācību video un fonotēku fondus.
 ",98392,83633,0,21
30,"Aknīstes novada pašvaldība","Skolas iela-7 Aknīste, Aknīstes novads, LV-5208",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Aknīstes vidusskolā","Zemgale, ",09/01/2009,"Aknīstes pilsētā ar lauku teritoriju dzīvo divi tūkstoši iedzīvotāju un teritoriju ir 129.72 kvadrātkilometri liela.
 2006./2007.mācību gadā Aknīstes vidusskolā mācās 332 skolēnu, tai skaitā no apkārtējiem pagastiem 75 skolēni. Visos apkārtējos pagastos ir savas pamatskolas un liela daļa šo skolu beidzēju turpina mācības Aknīstē vidusskolā.
 Esošās situācijas analīze liecina, ka, lai veicinātu reģionālo attīstību, nodrošinātu vienlīdzīas iespējas kvalitātīvas vispārējās vidējās izglītības iegūšanai un uzlabotu skolēnu vispārējās zināšanas, jāpalielina ieguldījumus skolu materiāli tehniskās bāzes attīstībā ne tikai reģionālās nozīmes, bet arī novadu un vietējas nozīmes attīstības centros.
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk - prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Aknīstes vidusskolā plānojam veikt sekojošas aktivitātes:
 1. Telpu renovācija.
 Aknīstes vidusskolas pamatēka nodota ekspluatācijā 1940.gadā 2.jūnijā. 1968.gadā ekspluatācijā nodeva 3-stāvu piebūvi, katlu māju un 1970.gadā sporta zāli. Telpas laika gaitā ir nolietojušās un, lai pilnveidotu dabaszinātņu un matemātikas apguves iespējas, vispirms nepieicešams veikt remontu bioloģijas, ķīmijas, fizikas un matemātikas kabinetos un laboratorijās.
 
 2.Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana, lai nodrošinātu:
 2.1. 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2. izglītības programmas bioloģijā īstenošanu;
 2.3. izglītības programmas ķīmijā īstenošanu;
 2.4. izglītības programmas fizikā īstenošanu;
 2.5. izglītības programmas matemātikā īstenošanu.
 
 3.Mācību materiālu un mācību programmatūras iegāde.
 Pilnveidosim dabaszinātņu un matemātikas priekšmetu mācību materiālus, datu bāzes
 
 4.Bibliotēku un mācību video fondu pilnveide.
 Papildināsim zinātnisko literatūru kabinetos (enciklopēdijas, rokasgrāmatas, videomateriālus u.c.)",98392,83633,0,20
31,"Rundāles novada dome","Pilsrundāle 1, Pilsrundāle, Rundāles pagasts, Rundāles novads, LV-3921",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšanu Pilsrundāles vidusskolā","Zemgale, ",09/01/2009,"Lai nodrošinātu iespēju kvalitatīvi apgūt dabaszinātnes (ķīmija, bioloģija, fizika) un matemātiku Pilsrundāles vidusskolā, kā arī radītu priekšnosacījumu zinātņu un tehnoloģiju ietilpīgo nozaru attīstībai valstī, projekta ietvaros Pilsrundāles vidusskolā plānots veikt šādas aktivitātes:
 1.  Renovēt 4 mācību kabinetus un 3 sagatavotavas:
      1.1. ķīmijas mācību kabineta ar sagatavotavu renovācija;
      1.2. fizikas mācību kabineta ar sagatavotavu renovācija;
      1.3. matemātikas mācību kabineta renovācija;
      1.4. bioloģijas mācību kabineta ar sagatavotavu renovācija.
 2.  Iegādāties un uzstādīt iekārtas, piederumus, aprīkojumus, tehnoloģijas, lai varētu
     2.1. izveidot 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
     2.2. īstenotizglītības programmu ķīmijā;
     2.3. īstenot izglītības programmu fizikā;
     2.4. īstenot izglītības programmu matemātikā;
     2.5. īstenot izglītības programmu bioloģijā
 3.  Iegādāties mēbeles renovēto telpu aprīkošanai:
      3.1. ķīmijas mācību kabineta ar sagatavotavu aprīkošana ar mēbelām;
      3.2. fizikas mācību kabineta ar sagatavotavu aprīkošana ar mēbelām;
      3.3. matemātikas mācību kabineta aprīkošana ar mēbelēm;
      3.4. bioloģijas mācību kabineta ar sagatavotavu aprīkošana ar mēbelēm.
 ",98392,83633,0,25
32,"Aizkraukles novada pašvaldība","Lāčplēša iela 1a, Aizkraukle, Aizkraukles novads, LV-5101",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Aizkraukles novada ģimnāzijā un Aizkraukles vakara (maiņu) vidusskolā","Zemgale, ",09/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmijas, bioloģijas, fizikas) , matemātikas un informātikas (prioritāro priekšmetu) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Aizkraukles novada ģimnāzijā un Aizkraukles vakara (maiņu) vidusskolā plānots veikt šādas aktivitātes:
 1.	Telpu renovācija:
 	Telpu renovācija Aizkraukles novada ģimnāzijā;
 	Telpu renovācija Aizkraukles vakara (maiņu) vidusskolā;
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai Aizkraukles novada ģimnāzijā (centralizētais iepirkums);
 	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai Aizkraukles vakara (maiņu) vidusskolā (centralizētais iepirkums);
 	Mēbeļu iegāde Aizkraukles novada ģimnāzijā;
 	Mēbeļu iegāde Aizkraukles vakara (maiņu) vidusskolā
 ",176370,149915,0,22
33,"Salaspils novada dome","Līvzemes iela 8, Salaspils, Salaspils novads, Rīgas rajons, LV-2169",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Salaspils 1. vidusskolā un Salaspils 2. vidusskolā","Rīgas reģions, ",21/01/2009,"Lai realizētu projektā noteikto mērķi, nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1.	Telpu renovācija
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidotas 50 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	izglītības programmas ķīmijā īstenošanai (2 komplekti); 
 2.3.	izglītības programmas fizikā īstenošanai (2 komplekti);
 2.4.	izglītības programmas bioloģijā īstenošanai (2 komplekti);
 2.5.	izglītības programmas matemātikā īstenošanai (2 komplekti).",196784,167266,0,22
34,"Iecavas novada Dome","Skolas iela 4, Iecava, Iecavas novads, Bauskas rajons, LV-3913",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Iecavas vidusskolā","Zemgale, ",09/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārās izglītības programmas) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 Iecavas vidusskolā jau ir veikts ļoti plašs telpu remonts, siltināšana, ventilācijas un elektroinstalācijas izveide. Skola ir veiksmīgi piedalījusies Pasaules Bankas projektā šādu līdzekļu piesaistei, taču, lai realizētu šo projektu, četros kabinetos ir jāveic nelieli renovācijas darbi, kas saistīti ar to piemērošanu nepieciešamā aprīkojuma uzstādīšanai – elektroinstalācijas nomaiņa vai papildināšana un nepieciešamo mēbeļu iegāde un uzstādīšana. 
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidot 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	uzstādīt nepieciešamo aprīkojumu un apgādāt kabinetus ar nepieciešamajām iekārtām un vielām dabaszinātņu un matemātikas mācību satura īstenošanai vidusskolā:
 2.2.1.	IT un ierīces, kuras savietojamas ar IT;
 2.2.2.	ierīces un piederumi pētnieciskajai darbībai prioritārajos priekšmetos skolēniem;
 2.2.3.	nodrošinājumu eksperimentu sagatavošanai un demonstrēšanai bioloģijā, fizikā un ķīmijā;
 2.2.4.	laboratorijas trauku komplektus un vielas un materiālus;
 2.2.5.	modeļus, kolekcijas un preparātus;
 2.2.6.	mēbeļu iegāde.
 
 3.Bibliotēkas un mācību videofondu pilnveide un atjaunošana.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 3.Bibliotēkas un mācību videofondu pilnveide un atjaunošana.
 
 
 
 
 3.	Bibliotēkas un mācību videofondu pilnveide un atjaunošana.
 ",98392,83633,0,22
35,"Strenču novada dome","Valkas iela 16, Strenči,, Strenču novads, LV-4730",,"Kvalitatīvai dabas zinātņu apguvei atbilstošas materiāli tehniskās bāzes nodrošināšana Strenču vidusskolā","Vidzeme, ",15/01/2009,"  Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Strenču vidusskolā plānots veikt šādas aktivitātes:
 1.	Dabaszinātņu un matemātikas kabinetu (kopējais skaits - 4 kab.) telpu renovācija.
 2.	 Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana, kā arī nepieciešamā personāla apmācība darbam ar iekārtām un tehnoloģijām :
 	2.1. Materiāli tehniskās bāzes izveide;
 	     2.1.1. datortehnika, programmatūra, datortehnikas pārvietošanas ierīces
                      2.1.2. ierīces, aparatūra, uzstādīšana, tehniskās apmācība
 	     2.1.3. materiāli, piederumi (trauki, vielas, uzskates līdzekļi)
                 2.2. Mēbeļu iegāde (laboratorijas darbu galdi, plaukti, skapji, vilkmes skapji, galdi, krēsli skolēniem un skolotājiem)
 ",98392,83632,0,22
36,"Neretas novada pašvaldība","Rīgas iela 1, Neretas pagasts, Neretas novads, LV-5118",,"Kvalitatīvai dabaszinātņu un matemātikas apguvei atbilstošas materiālās bāzes nodrošināšana Neretas vidusskolā","Zemgale, ",21/01/2009,"Projekta vispārīgais mērķis ir vispārējās vidējās izglītības kvalitātes paaugstināšana prioritārajos mācību priekšmetos Neretas pagastā. Projekta specifiskais mērķis ir modernizēt un pilnveidot Neretas vidusskolas materiāli tehnisko bāzi, nodrošinot kvalitatīvu vidējās izglītības programmu dabaszinātnēs (fizika, ķīmija, bioloģija) un matemātikā īstenošanu. Lai vietējā līmenī nodrošinātu kvalitatīvu prioritāro priekšmetu apguves iespējas un valstiskā līmenī radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Aizkraukles rajona Neretas vidusskolā tiks veiktas sekojošas aktivitātes:
 
 1. Telpu renovācija
 2. Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1. Materiāli tehniskās bāzes izveidošana;
 2.2. Mēbeļu iegāde.
 ",98392,83633,0,22
37,"Piltenes pilsētas pārvalde","Lielā iela 28, Piltene, Ventspils novads, LV-3620",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Piltenes vidusskolā","Kurzeme, ",15/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Piltenes vidusskolā plānots veikt šādas aktivitātes:
 1.	Piltenes vidusskolas ķīmijas, bioloģijas, fizikas, matemātikas mācību telpu un trīs sagatavotavu renovācija, iepirkuma veikšana.
  1.1. Četru mācību telpu un trīs sagatavotavu renovācija – speciālie darbi. 
 1.2. Četru mācību telpu un trīs sagatavotavu renovācija – kosmētiskais remonts. 
 2.Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana Piltenes vidusskolas ķīmijas, bioloģijas, fizikas un matemātikas kabinetos.
 2.1.Materiāli tehniskās bāzes izveide vispārējās vidējās izglītības programmas ķīmijā, bioloģijā, fizikā un matemātikā īstenošanai( centralizēti). 
 2.2.Datortehnika, programmatūra, datortehnikas pārvietošanas ierīces.
 2.3. Mēbeļu iegāde un uzstādīšana prioritāro priekšmetu mācību telpās, iepirkuma veikšana.
 2.4. Bibliotēkas fondu pilnveide.
 3.Projekta īstenošanas administrēšana.
  Projekta īstenošana Piltenes pašvaldības Piltenes vidusskolā veicinās 3. Darbības programmas „Infrastruktūra un pakalpojumi” stratēģiskā mērķa sasniegšanu, atbalstot ieguldījumu infrastruktūrā, kas nodrošina cilvēku kapitāla attīstību. Jo īpaši izglītības infrastruktūras modernizācijā, kas veicina tautsaimniecības attīstībai nepieciešamo cilvēkresursu attīstību un kvalificēta darbaspēka sagatavošanu, kas nepieciešami virzībai uz zināšanu ietilpīgu ekonomiku.
 ",98392,83633,0,28
38,"Cesvaines novada dome","Pils iela 1A, Cesvaine, Cesvaines novads, LV-4871",,"Dabaszinātņu un matemātikas apguves uzlabošana Cesvaines vidusskolā","Vidzeme, ",21/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Cesvaines vidusskolā plānots veikt šādas aktivitātes:
 1.	Telpu vienkāršotā renovācija - ķīmijas un fizikas kabinetu iekārtojuma maiņa.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 1.1.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 1.2.	izglītības programmas ķīmijā īstenošanai;
 1.3.	izglītības programmas fizikā īstenošanai;
 1.4.	izglītības programmas bioloģijā īstenošanai;
 1.5.	izglītības programmas matemātikā īstenošanai.
 3.	Mācību materiālu un mācību programmatūras iegāde.
 4.    Bibliotēkas un mācību video fondu pilnveide.
 ",98392,83633,0,20
39,"Kuldīgas novada dome","Baznīcas iela 1, , Kuldīga, Kuldīgas novads, LV-3301",,"Kuldīgas vidusskolu dabaszinību klašu pilnveide mācību kvalitātes uzlabošanai","Kurzeme, ",21/01/2009," Lai nodrošinātu trīs Kuldīgas pilsētas vidējās izglītības iestāžu skolēnus ar atbilstošiem dabaszinātņu kabinetiem un piemērotiem apstākļiem sekmīgai mācību vielas apguvei, kā arī radīt skolēnos interesi par eksaktajām zinātnēm trīs Kuldīgas vidusskolās – Kuldīgas Centra vidusskolā, Kuldīgas Mākslas un humanitāro zinību vidusskolā un Kuldīgas 2. vidusskolā – tiks veiktas šādas aktivitātes:
 1.	Mācību kabinetu renovācija un mēbeļu uzstādīšana
 1.1.	Mācību kabinetu renovācija
 1.2.	Mēbeļu iegāde un uzstādīšana
 2.	Tehnoloģiju, iekārtu, aprīkojuma un piederumu iegāde un uzstādīšana
 2.1.	Darbavietas skolēnu darbam ar datoru prioritārajos priekšmetos uzstādīšana
 2.2.	Izglītības programmas ķīmijā īstenošana;
 2.3.	Izglītības programmas fizikā īstenošana;
 2.4.	Izglītības programmas bioloģijā īstenošana;
 2.5.	Izglītības programmas matemātikā īstenošana
 Projektu paredzēts īstenot 24 mēnešus no 2009. gada janvāra līdz 2010. gada decembrim.
 Projekta kopējās izmaksas – Ls 295 176,00
 
 
 ",295176,250899,0,20
40,"Madonas pilsētas dome","Saieta laukums 1, Madona, Madonas novads, LV-4801",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana 
 Madonas pilsētas vidusskolās
                                                           ","Vidzeme, ",15/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu - ķīmijas, bioloģijas, fizikas un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Madonas pilsētas 1.vidusskolā un Madonas pilsētas 2. vidusskolā plānots veikt šādas aktivitātes:
 1.	Mācību kabinetu renovāciju;
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegādi un uzstādīšanu prioritāro priekšmetu īstenošanai:
 2.1. darbavietu darbam ar datoru izveidošana;
 2.2.izglītības programmas ķīmijā īstenošanai;
 2.3. izglītības programmas fizikā īstenošanai;
 2.4. izglītības programmas bioloģijā īstenošanai;
 2.5. izglītības programmas matemātikā īstenošanai.
  3. Mācību materiālu un mācību programmatūras iegādi, kā arī bibliotēkas fondu pilnveidi.
 ",196784,167266,0,28
41,"Varakļānu novada pašvaldība","Rīgas iela 13, Varakļāni, Varakļānu novads, LV-4838",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Varakļānu vidusskolā","Vidzeme, ",21/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu -ķīmijas, bioloģijas, fizikas un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Varakļānu vidusskolā plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro priekšmetu īstenošanai:
 2.1. materiāli tehniskās bāzes izveide (centralizētais iepirkums);
 2.2. papildus aprīkojuma iegāde (pašvaldības iepirkums).
 2.3. mēbeļu iegāde (pašvaldības iepirkums).
 ",98392,83633,0,30
42,"Pļaviņu novada dome","Dzelzceļa iela 11, Pļaviņas, Aizkraukles rajons, LV-5120",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Marijas Brimmerbergas Pļaviņu vidusskolā","Zemgale, ",21/01/2009,"Dabaszinātņu un matemātikas kabinetu modernizēta un pilnveidota materiāltehniskā bāze nodrošinās vispārējās vidējās izglītības dabaszinātnēs un matemātikā kvalitātes paaugstināšanu, uzlabos skolēnu vizpārējo zināšanu līmeni, attīstīs skolēnu praktsiskās iemaņas, kā arī ļaus aktivizēt skolēnu dabaszinātniskās izziņas procesu.
 Projekta īstenošanas gaitā tiks veikti:
 1. telpu piemērošanas būvdarbi tehnoloģiju un mācību aprīkojuma uzstādīšanai fizikas, bioloģijas un matemātikas kabinetos, kā arī kabinetu aprīkošana ar nepieciešamajām mēbelēm;
 2. nepieciešamo iekārtu, piederumu, aprīkojumu un tehnolģiju iegāde un uzstādīšana:
 2.1. 25 darbavietu darbam ar datoru prioritārajos priekšmetos izveide
 2.2. Materiāli tehniskās bāzes izveide izglītības programmas ķīmijā īstenošanai;
 2.3. Materiāli tehniskās bāzes izveide izglītības programmas fizikā īstenošanai;
 2.4. Materiāli tehniskās bāzes izveide izglītības programmas bioloģijā īstenošanai;
 2.5. Materiāli tehniskās bāzes izveide izglītības programmas matemātikā īstenošanai;
 3. Bibliotēkas fondu un mācību videofondu pilnveide.",98392,83633,0,23
43,"Ērgļu novada dome","Rīgas iela 10, Ērgļu novads, Madonas rajons, LV-4840",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes izveide Ērgļu vidusskolā","Vidzeme, ",09/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Ērgļu vidusskolā plānots veikt šādas aktivitātes:
 1.	Fizikas un bioloģijas kabinetu vienkāršota renovācija, veicot būvdarbus, lai nodrošinātu mācību aprīkojuma uzstādīšanu un ekspluatāciju.
 2.	Mācību kabinetu modernizēšana - iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana. 
 2.1.	Iekārtu, piederumu, aprīkojuma iegāde un uzstādīšana:
 2.1.1.	izglītības programmas īstenošanai matemātikā,
 2.1.2.	izglītības programmas īstenošanai ķīmijā,
 2.1.3.	izglītības programmas īstenošanai fizikā,
 2.1.4.	izglītības programmas īstenošanai bioloģijā .
 2.2.	Divdesmit piecu darbavietu izveide darbam ar informācijas tehnoloģijām dabaszinātņu un matemātikas apguvei.
 2.3.	Fizikas, bioloģijas un matemātikas kabinetu aprīkošana ar nepieciešamajām mēbelēm.
 ",98392,83633,0,24
44,"Pāvilostas novada pašvaldība","Dzintaru iela 73, Pāvilosta, Pāvilostas novads, LV-3466",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Pāvilostas vidusskolā","Kurzeme, ",02/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas  apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros, Pāvilostas vidusskolā plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma iegāde;
       2.3.aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana. 
 
 Projekta realizācijas laiks 30 mēneši.
 Kopējais finansējums sastāda 98 392 Ls.
  
 ",98392,83633,0,30
45,"Priekuļu novada pašvaldība","Cēsu prospekts 5, Priekuļi, Priekuļu pagasts, Priekuļu novads, LV-4126",,"Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Priekuļu vidusskolā","Vidzeme, ",11/02/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu - dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas - apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Priekuļu vidusskolā plānots veikt sekojošas aktivitātes:
 1.	Telpu renovācija.
 2.	Mācību aprīkojuma iegāde un uzstādīšana:
 2.1.	Materiāli tehniskās pamatbāzes izveide;
 2.2.	Papildus aprīkojuma izveide.
 3.	Bibliotēkas fondu un mācību videofonda pilnveide.
 Projekta īstenošanu plānots uzsākt 2009.gada II ceturksnī un īstenot līdz 2010.gada  beigām, par kopējo summu 98 392 LVL.
 ",98392,83633,0,21
