"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
26,"Portas","SIA","Ozolciema iela 18-345, Rīga, LV-1058","SIA Portas darbinieku apmācības","Talsi ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Konkurences saasināšanās metāla izstrādājumu apstrādes jomā uzstāda augstas prasības darbinieku zināšanām, tādēļ projekta ietvaros paredzēts veikt darbinieku apmācības. Projekta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 14. Projektā paredzētā aktivitāte ir Metālapstrāde.","35,520.00","26,284.80",0,9,"www.portas.lv"
27,"Premier grupa","SIA","Baltā iela 3/9, Rīga, LV-1055","SIA ""Premier grupa"" darbinieku kvalifikācijas celšana","Jelgava ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Pieaugošā konkurence uzņēmumu vidū rada nepieciešamību SIA „PREMIER GRUPA” uzlabot esošo darbinieku zināšanas gan par darbu ar IT tehnoloģijām, gan par darba drošību dažādos darba etapos, gan vadošajiem darbiniekiem par darba tiesiskajām attiecībām, gan par finanšu jautājumiem un nodokļu optimizēšanu, kas ir ļoti nozīmīgi valsts pašreizējās ekonomiskās krīzes laikā.
Projekta ietvaros plānots apmācīt 20 darbiniekus šādās programmās: „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Darba drošība”, „Finanšu vadība uzņēmuma vadošajiem darbiniekiem”, „Darba tiesiskās attiecības”, „Nodokļu optimizācija un metodes”.","30,650.00","22,984.44",0,3,"www.chocolateand pepper.lv"
28,"Baltic Sea Port","AS","Daugavgrīvas iela 93, Rīga, LV-1007","AS ""Baltic Sea Port"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","AS „Baltic Sea Port” pamatā ražo būvniecībai paredzētus metāla izstrādājumus, tai skaitā dzelzsbetonu. Nepieciešamas personāla apmācības, lai celtu produktivitāti, personāla kvalifikāciju, apgūt jaunas zināšanas, kas palīdzēs palielināt ražošanu un produkcijas noietu.
Paredzēts apmācīt 21 darbinieku šādās apmācību programmās:
•Kvalitātes vadība;
•Efektīva klientu apkalpošana;
•Uzņēmējdarbības pamati un mārketings;
•Informācijas tehnoloģiju efektīva pielietošana;
•Darba likumdošana un darba aizsardzība;
•Nodokļu likumdošana un grāmatvedība;
•Juridiskā apmācība;
•Risku vadība;
•Lietvedība, lietišķā sarakste;
•Personāla atlase;
•Būvniecība. Par apmācību sniedzēju izvēlēts SIA „Legio”.","49,700.00","29,820.00",0,6,"www.bsp.lv"
29,"Neja & KO","AS","K. Barona 119, Rīga, LV-1012","Akciju sabiedrības ""Neja &Ko"" ražošanas darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Šūšanas ražošanas darbinieku kvalifikācijas paaugstināšana nepieciešama sakarā ar jauna šūšanas virziena attīstību – skolēnu formu šūšanu. Bērnu un pusaudžu formas apģērbu šūšanai ir citāda ražošanas specifika nekā pieaugušo apģērbu ražošanai.
Projekta ietvaros paredzēts apmācīt 47 darbiniekus šādās programmās:
1.Tekstila un apģērbu tehnoloģija;
2.Šūto izstrādājumu ražošanas tehnoloģija
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","58,784.00","44,088.00",0,12,"www.neja.lv"
30,"Roto 4","SIA","Zemgales prospekts 4-7, Jelgava, LV-3001","SIA ""Roto 4"" darbinieku produktivitātes celšana un jaunu zināšanu apguve","Jelgava ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 8. Projektā paredzētās aktivitātes ir Efektīva klientu apkalpošana; Datorapmācība; Nodokļu llikumdošana un grāmatvedība.","19,120.00","14,320.88",0,5,
31,"Cobold Eksports","SIA","Ganību dambis 19, Rīga, LV-1005","COEXA","Valmieras pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA ""Cobold Eksports"" kopš 2005.gada ražo dažāda veida siltumizolācijas materiālus gan Latvijas, gan ārvalstu tirgus. Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 28. Projektā paredzētās aktivitātes ir Kvalitātes vadība; Darba drošība; Vide; MS Ofice; Gala atskaites sagatavošana un iesniegšana LIAA.","124,532.10","91,780.16",0,21,"www.cobold.lv"
32,"NT Piedzīvojumi","SIA","Kandavas iela 8-55, Rīga, LV-1083","SIA ""NT Piedzīvojumi"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācības SIA „NT Piedzīvojumi” darbiniekiem nepieciešamas, jo šobrīd jo īpaši aktuāli ir divi faktori, kas samazina uzņēmuma konkurētspēju tirgū. Pirmkārt. Informācijas tehnoloģijas ļoti strauji attīstās, radot nepieciešamību apgūt arvien jaunas prasmes, un otrkārt, vairumam uzņēmuma darbinieku trūkst nepieciešamās izglītības, līdz ar to arī teorētiskās vispārīgas izpratnes.
Projekta ietvaros tiks apmācīti 7 darbinieki trijās apmācību programmās. Darbinieku prasmes Microsoft Windows 95/98/2000/XP vidē tiks paaugstinātas programmā „efektīva datora lietošana” (120 akadēmiskās stundas), pasniedzējs Ojārs Zvirbulis, teorētiskās zināšanas tiks papildinātas programmā „Aktuālas tendences Informācijas Sabiedrības Tehnoloģijās” (56 akadēmiskās stundas), pasniedzējs Uldis Kanders. Lai uzlabotu komunikāciju ar klientiem tiks piedāvāts kurss „Efektīva klientu apkalpošana” (40 akad.st.), kuru pasniegs Iveta Upīte. Pasniedzēji tika izvēlēti balstoties uz pozitīvām Latvijas Policijas akadēmijas un Latvijas Universitātes studentu un lektoru atsauksmēm.","13,487.80","9,913.53",0,5,"www.ntpiedzivojumi.lv"
33,"Sigulda Woodworking Ltd.","SIA","Šķūņu iela 4, Peltes, Siguldas pagasts, Siguldas novads, Rīgas rajons, LV-2150","SIA ""Sigulda WoodWorking Ltd."" darbinieku kvalifikācijas celšana","Siguldas pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu konkurentu ienākšana tirgū, esošās konkurences uzņēmumu vidū SIA „Sigulda Woodworking Ltd.” Rada nepieciešamību uzlabot esošo darbinieku zināšanas produkcijas pārdošanas jomā, apmācot darbiniekus komunikācijā ar klientiem, jaunu klientu piesaistei un produkta virzību tirgū. Projekta ietvaros plānots apmācīt 5 darbiniekus sekojošās programmās – „Produkta virzība tirgū un tā sekmīga pārdošana” (40 astronomiskās, jeb 54 akadēmiskās stundas) un „Jaunu klientu piesaiste un apkalpošana” (32 astronomiskās, jeb 43 akadēmiskās stundas) un „Pārdošanas veidi un kultūra” ( 40 astronomiskās, jeb 54 akadēmiskās stundas). Apmācības veiks Edmunds Kidikas. Vēl plānots apmācīt - „Laika plānošana izmantojot informācijas tehnoloģijas” (22 akadēmiskās stundas), „Microsoft Office – Word, Excel, Access” (22 akadēmiskās stundas), „Internets – vide jaunu klientu piesaistei” (48 akadēmiskās stundas). Apmācības veiks Andris Lembergs.","14,122.00","10,450.28",0,6,"www.sigulda-woodworking.lv"
34,"Teko Plus","SIA","Stirnu iela 21-80, Rīga, LV-1035","Medicīniskas precīzijas tehnikas izgatavošanas tehnoloģiju apmācība","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","TEKO PLUS ir plaša profila kompānija, kas plāno principiāli jaunas medicīniskās tehnikas ražošanu un eksportu. Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 6. Projektā paredzētās aktivitātes ir: Menedžments, intelektuālā īpašuma aizsargāšana.; Atļauju saņemšana uz klīniskiem pētējumiem un jaunas aparatūras pielietojumu; Medicīniskas precīzijas aparatūras konstruēšana, tās izgatavošanas tehnoloģijas, komplektējošās detaļas, aprīkojums un cits.","40,540.00","29,990.00",0,24,
35,"Neto O","SIA","Brīvības iela 71, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""NETO O"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Uzņēmumā ir pieņemt lēmums palielināt metāla konstrukciju ražotni un paplašināt reklāmas aģentūras darbību. Šim mērķim tiks palielināts uzņēmuma pamatkapitāls. Lai sasniegtu iecerēto nepieciešama personāla kvalifikācijas paaugstināšana un jaunu zināšanu iegūšana.
Paredzēts apmācīt 8 SIA „NETO O” darbiniekus šādās apmācību programmās:
•Darba likumdošana;
•Dizains, datordizains;
•Efektīva klientu apkalpošana;
•Informācijas tehnoloģiju efektīva pielietošana;
•Produkta dizaina menedžments;
•Poligrāfijas tehnoloģijas;
•Juridiskā apmācība;
•Nodokļu likumdošana un grāmatvedība;
•Uzņēmējdarbības pamati un mārketings.","38,960.00","29,181.00",0,9,"www.netoo.lv"
36,"Severstaļlat","AS","Mednieku iela 10-17, Ogre, Ogres novads, Ogres rajons, LV-5001","AS ""Severstaļlat"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācību nepieciešamība ir saistīta ar AS „Severstaļlat” attīstību un paplašināšanos pēdējo gadu laikā.
Projekta ietvaros plānots apmācīt 176 darbiniekus 21 dažādā apmācību programmā:
•Stratēģija sarežģītā biznesa vidē;
•Transporta loģistika;
•Pārdot dārgi;
•Praktiskais menedžments;
•Iekšējais auditors;
•Metālzinības;
•Celtņa operatoru un stropētāju kursi;
•Efektīvā pārdošana;
•Iepirkumu procesa vadīšana;
•Microsoft SQL Server 2005 datubāzu uzturēšana;
•Tīkla aplikāciju veidošana ar IBM Lotus Domino Designer 7;
•Windows Vista operētājsistēmas un programmu instalēšana un konfigurēšana;
•Projektu un programmu vadība ar Microsoft Office Project Server 2007;
•Microsoft Windows Server 2003 tīkla infrastruktūras ieviešana, vadība un uzturēšana;
•Datortīklu drošības pamati;
•Microsoft SQL Server 2005 datubāzu veidošana;
•Lietišķās un profesionālās angļu valodas kurss iesācējiem;
•Lietišķās un profesionālās angļu valodas kurss ar minimālām, vidējām, labām priekšzināšanām un vadītājiem.","132,891.15","76,667.69",0,14,"www.ssl.lv"
37,"Advanta","SIA","Saules iela 17, Rēzekne, LV-4601","SIA ""Advanta"" darbinieku kvalifikācijas celšana","Preiļi ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Strauji palielinoties konkurencei starp uzņēmumiem, kas ražo koka logus, SIA „Advanta” ir spiesta vairāk domāt par ražošanas izmaksu optimizāciju, jaunu klientu piesaisti, kā arī par efektīvu darbaspēka izmantošanu.
Projekta ietvaros paredzēts apmācīt 9 darbiniekus šādās programmās:
1.Produkta virzība tirgū un tā sekmīga pārdošana;
2.Jaunu klientu piesaiste un apkalpošana;
3.Pārdošanas veidi un kultūra;
4.Logu kalkulācijas programma Klaes, tās darbības principi;
5.Arhitektūras programma Auto Cad;
6.Laika plānošana izmantojot informācijas tehnoloģijas;
7.Microsoft Office;
8.Attālinātie sakari
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","25,092.00","18,568.08",0,17,"www.advanta.lv"
38,"Capital","AS","Brīvības iela 85, Rīga, LV-1001","AS ""Capital"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","A/s ""Capital"" ir viens no vadošajiem uzņēmumiem datortehnoloģiju jomā Latvijā. Ja darbinieku profesionalitāte netiks pilnveidota, a/s ""Capital"" pieaugušās konkurences apstākļos nevarēs īstenot savu biznesa plānu. Ja jaunos darbiniekus turpinās ievadīt darbā un apmācīt esošie kolēģi, tas tiks veikts nepilnīgi, apmācībai būs nepieciešams ilgāks laika posms - līdz ar to apmācība būs neefektīva. Lai sasniegtu izvirzītos mērķus un uzdevumus, a/s ""Capital"" plāno darbiniekus apmācīt profesionālos kursos. Ņemot vērā, ka a/s ""Capital"" ir atklājusi jaunus savus un pasaules vadošo informācijas tehnoloģiju un sakaru produkcijas veikalus, darbiniekiem jāapgūst inženiertehniskās iemaņas, jāpilnveido personālo datoru lietošanas iemaņas, angļu valodu u.c. Plānots, ka 65 darbinieki (daži apmeklēs vairākus kursus) pilnveidos savu kvalifikāciju 12 mēnešu laikā. ","14,970.00","11,188.50",0,12,"www.capital.lv"
39,"Kronus","SIA","Rencēnu iela 6b, Rīga, LV-1073","Kvalifikācijas celšanas un apmācības kurss SIA ""Kronus"" darbiniekiem","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir veicināt uzņēmuma cilvēkresursu attīstību, sekmēt uzņēmuma pamatkapitāla palielināšanos un ieguldījumus pamatlīdzekļos. Projekta uzdevumi ir veikt vadošo darbinieku apmācību šādās apmācības jomās: Angļu valodas apmācība; Menedžeris un organizācija; Profesionāla pārdošana; Ciparu un tekstu iegaumēšana. Tiks apmācīti 52 uzņēmuma darbinieki. Projekta ilgums ir 6 mēneši, projekta īstenošana sākas 2009.gada novembrī. Pēc projekta realizācijas apmācītie struktūrvienību vadītāji apmācīs darbiniekus vietās.","43,500.50","29,275.75",0,6,"www.kronus.eu"
40,"L2","SIA","Karpu iela 8, Garkalnes novads, Rīgas rajons, LV-2137","SIA L2 personāla vispārējas apmācības","Garkalnes novads",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Lai SIA „L2” spētu veiksmīgi realizēt jaunās ražošanas nozares attīstību, uzņēmuma darbiniekiem ir nepieciešamas jaunas zināšanas un iemaņas. Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 3 uzņēmuma darbiniekus šādās apmācībās: „Pārdot sevi citiem: jauna pārdošanas psiholoģija”, „Pārliecināšanas māksla”, „Ķermeņa valoda”, „Komunikācija un prezentācija – meistaru noslēpumi”, „21.gadsimta pārdošanas modelis”, „10 pārdošanas likumi”, „Profesionāla komunikācija”, „Līderu īpašību attīstība”, „Motivācijas modeļi”, „Biznesa hipnoze”.","13,290.00","9,834.60",0,5,"www.kawasawi.lv"
41,"Leskvitte","SIA","""Bandavas"", Stopiņu novads, Rīgas rajons, LV-2132","SIA ""Leskvitte"" darbinieku apmācība","Līgatne ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Palielinoties pieprasījumam tirgū pēc dažādiem apdrošināšanas pakalpojumiem, SIA „Leskvitte” veiks uzņēmuma paplašināšanu- iegādāsies jaunu biroju, veiks ieguldījumu pamatlīdzekļos. Jau šobrīd tiek pieņemti darbā jauni darbinieki, kuriem ir nepieciešamas apmācības tieši apdrošināšanas jautājumos. Projekta ietvaros tiks apgūtas 3 apmācību programmas „Apdrošināšana 1”, Apdrošināšana 2”, kurās tiks apgūtas specifikas zināšanas par apdrošināšanas jautājumiem, ka arī apgūta apmācību programma „Apdrošināšanas IT uzskaites sistēma”, lai nodrošinātu darbinieku apmācības darbam ar IT sistēmu, kas ir izveidota ar mērķi nodrošināt apdrošināšanas brokeru kompāniju darbības uzskaiti. Projekta ietvaros tiks apmācīti 4 SIA „Leskvitte” darbinieki, ņemot vērā, ka palielināsies arī konkurence apdrošināšanas nozarē, tad uzņēmuma mērķis ir pozicionēt sevi kā kompetentu uzņēmumu ar augtu apkalpošanas servisu.","33,300.00","22,644.00",0,4,
42,"OMTERUM FASĀDES","SIA","Meža iela 4-59, Rīga, LV-1048","SIA ""OMTERUM FASĀDES"" darbinieku apmācības","Rudzātu pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros paredzēts apmācīt 9 darbiniekus šādās programmās:
1.Darba aizsardzība;
2.Darbs augstumā un grūti pieejamās vietās;
3.Elektrodrošība;
4.Lietišķā etiķete;
5.Galda kultūra dažādās etniskās vidēs;
6.C1 apliecība;
7.Mārketinga kursi;
8.Lietvedības pamati;
9.Mūsdienu vadītājs AFW sertifikāts;
10.Personāla vadības kursi;
11.Projekta vadība;
12.Nodokļu samazināšanas shēmas un metodes;
13.AutoCad;
14.Corel Draw;
15.TimeMentor;
16.Noliktavas uzskaites programma;
17.Fasādes montāža;
18.Jumtu un fasādes izbūve;
19.Karkasu sistēmas apmācība;
20.Ražošanas tehnoloģijas izpēte un apguve;
21.Mūsdienīgi materiāli un to pielitošana;
22.Angļu valoda;
23.Poļu valoda","35,505.00","28,089.00",0,18,"www.omterum.lv"
43,"PATA AB","SIA","Inčukalns, Miera iela 2, Inčukalna novads, Rīgas rajons, LV-2141","SIA ""PATA AB"" darbinieku kvalifikācijas celšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „PATA AB ir viens no vadošajiem meža nozares uzņēmumiem Latvjā, kura pamatdarbība ir meža apsaimniekošana, kokapstrāde un kokmateriālu tirdzniecība. Projektā plāno organizēt apmācības 28 uzņēmuma darbiniekiem 11 apmācību kursos. Projekta mērķis ir darbinieku kvalifikācijas celšana un Jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros tiks organizētas šādas apmācība:
1.Angļu valoda;
2.Krievu valoda;
3.AutoCAD 2009: Essentials Training;
4.Microsoft Windows Server 2008 tīkla infrastruktūras un aktīvās direktorijas tehnoloģiju jauninājumi;
5.Konsolidācijas pamati;
6.Finansu un vadības grāmatvedība.","33,972.00","18,770.40",0,5,"www.pata-ab.eu"
44,"Stora Enso Timber","AS","""Krogzemji"", Launkalnes pagasts, Valkas rajons, LV-4718","AS ""Stora Enso Timber"" darbinieku kvalifikācijas celšana","Launkalnes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt kopā 64 darbiniekus šādās apmācībās: 
1.B III Kvalifikācijas grupas iegūšana elektrodrošībā;
2.Hodrauliskā torņa celtņa operatoru apmācība;
3.Apmācība darbs augstumā, sastatņu montāžai un demontāžai;
4.Dažādu kravu stropētāju apmācība;
5.Tvaika spiedieniekārtu operatoru apmācība;
6.Degvielas uzpildes staciju tehnoloģisko iekārtu operatoru apmācība;
7.Atbildīgo speciālistu par cilvēku celšanai paredzēto pacēlāju tehnisko stāvokli un pareizu ekspluatāciju apmācība;
8.Atbildīgo speciālistu par darbu augstumā, sastatņu montāžu un demontāžu, apmācība;
9.Atbildīgo speciālistu par kravas celtņu tehnisko stāvokli un pareizu ekspluatāciju apmācība;
10.Uzticības personu apmācības darba aizsardzībā;
11.Darbinieku apmācība pirmās palīdzības sniegšanā;
12.Atbildīgo personu par ugunsdrošību apmācība;
13.OHSAS&ISO iekšējo auditoru apmācība un sertifikācija;
14.Darbinieku apmācība par iekšējo komunikāciju un komandas darba veicināšanu;
15.Komunikācijas māksla un pārrunu vadīšana;
16.Apmācība datorprasmju pilnveidošanā;
17.Angļu valoda.","39,668.00","23,254.80",0,21,
45,"Troja","SIA","Bauskas iela 143, Rīga, LV-1004","SIA ""Troja"" administrācijas darbinieku profesionālās pilnveides apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA ""Troja"" nespēj pilnībā izmantot savu darbinieku potenciālu , jo uzņēmuma tehniskajiem darbiniekiem trūkst iemaņu darbam ar jaunākājām datorprogrammām, savukārt administratīvajiem darbiniekiem trūkst iemaņas tādos jautājumos kā laika plānošana, saskarsmes psiholoģija, svešvalodu zināšanas un citos. Darbinieku apmācību mērķis ir sekmēt SIA ""Troja"" cilvēkresursu attīstību, kas savukārt būs par pamatu paša uzņēmuma attīstībai. Apmācību process ietver inženiertehnisko darbinieku kvalifikācijas paaugstināšanu un profesionālo kompetenču uzturēšanu. Apmācībās kopā tiks apmācīts 31 darbinieks. Apmācību kursus veiks SIA ""Mācību un konsultāciju centrs ABC"", SIA ""Baltijas datoru akadēmija"", SIA ""Komercizglītības centrs"", SIA ""Bureau Veritas Latvia"" un ražošanas un plānošanas eksperts Aivars Oliņš.","83,317.57","49,325.07",0,14,
46,"Ginve","SIA","Kuršu iela 32, Liepāja, LV-3401","Hotel Kolumbs darbinieku apmācība","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA ""Ginve"" savu darbu plāno tā, lai tās darbība nemitīgi tiktu koncentrēta uz viesnīcas ""Hotel KOLUMBS"" pakalpojumu sniegšanas kvalitāti un kvantitāti - nosakot ilgtermiņa stratēģiskos mērķus, gan organizējot ikdienas rutīnu, sistemātiski uzlabojot iekšējos un īpaši  uz āru vērstos procesus, izglītotu un motivētu darbiniekus, celtu to atbildību. Projekta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 23. Aktivitāšu nosaukumi: 1.Klientu apkalpošana. Dabs ar grūtajiem klientiem. 2.Veiksmīga mērķa uzstādīšana. Stratēģiskā plānošana. 3.Saskarsme un uzņēmuma iekšējā komunikācija. 4.Stresa vadība 5.Darbinieku motivācija un lojalitāte 6.Pārliecinoša uzstāšanās 7.Mērķtiecīga pārdošana 8.IT (Corel Draw) 9.Mārketinga stratēģijas plānošana 10.Team Building","39,447.50","29,191.15",0,5,"www.hotelkolumbs.lv"
47,"LATEKOLS","SIA","Piedrujas iela 3-307, Rīga, LV-1073","SIA LATEKOLS nodarbināto apmācības komersanta konkurētspējas veicināšanai","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA LATEKOLS vēlas paplašināt savu darbību , lai ar resursiem, kas ir komersanta rīcībā, īsākā laikā un daudz kvalitatīvāk varētu sniegt savu ieguldījumu jaunu elektroiekārtu ražošanas un vēja enerģijas izmantošanas jomas attīstībā Latvijā.
Projekta īstenošanas laikā (10 mēneši) nepieciešams īstenot apmācības 7 komersanta darbiniekiem sekojošās jomās: materiālu pretestība, aerodinamika (ieguldījums nozares attīstībā), elektronisko datu vākšana un apstrāde, pielietojot informatīvās tehnoloģijas (darba optimizācijas sekmēšanai), projektu izstrāde un vadība uzņēmumos (projekta īstenošanas kvalitātes nodrošināšanai un risku mazināšanai) un valodas apmācības (latviešu un spāņu, kura nav darbinieku dzimtā valoda, sekmējot komunikācijas attīstību starp zinātniekiem un pakalpojumu saņēmējiem – valsts institūcijas, uzņēmēji Latvijā un ārvalstīs, sadarbības partneri), tā radot pievienoto vērtību Latvijā veiktajiem pētījumiem un sekmējot ražošanas procesu optimizāciju Latvijas uzņēmumos.","12,035.00","8,905.90",0,10,
48,"LatInSoft","SIA","Mihoelsa 56, Daugavpils, LV-5403","SIA LatInSoft darbinieku klientorientētu sadarbības, komunikācijas un IT iemaņu pilnveide","Daugavpils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir celt SIA LatInSoft darbinieku kvalifikāciju pilnveidojot viņu klientorientētas sadarbības, komunikācijas un IT iemaņas, kā rezultātā palielinātos uzņēmuma sniegot pakalpojumu kvalitāte un konkurētspēja.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros paredzējuši apmācīt 2 darbiniekus šādās programmās: 
1.Projekta vadība;
2. Klientu apkalpošanas māksla;
3.IT lietošanas iemaņu uzlabošana.","24,436.10","18,082.71",0,7,"www.latinsoft.lv"
49,"Micro Dators","SIA","Elizabetes iela 65-12, Rīga, LV-1050","SIA ""Micro Dators""darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Micro Dators” darbības nozare ir elektronikas iekārtu ražošana. 2009. gadā uzņēmums plāno sākt produkta zīmola „Mazzy” ražošanu un izplatīšanu.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
 Projekta ietvaros tiks apmācīti 15 darbinieki šādās programmās:
1.IT;
2.Projektu vadība;
3.Mārketings.","26,675.00","20,006.25",0,3,"www.microdators.lv"
50,"Ramsta","SIA","Lielā 34-4, Saldus, Saldus rajons, LV-3801","SIA ""Ramsta"" darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Saldus ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Ramsta” nodarbojas ar kravas pārvadājumiem un kokmateriālu pārstrādi. Ir plānots palielināt kokmateriālu ražotni, paplašināt kravas pārvadājumu apgrozījumu un celt pakalpojumu klāstu. Lati to sasniegtu, nepieciešamas personāla apmācības, lai celtu produktivitāti, personāla kvalifikāciju apgūtu jaunas zināšanas, kas palīdzēs palielināt ražošanu un apgrozījumu.
Paredzēts apmācīt 18 darbiniekus šādās programmās:
1.Uzņēmējdarbības pamti un mārketings;
2.Efektīva klienu apkalpošana;
3.Nodokļu likumdošana un grāmatvedība;
4.Informācijas tehnoloģiju efektīva pielietošana;
5.Darba likumdošana un darba aizsardzība;
6.Risku vadība un apdrošināšana;
7. Juridiskā apmācība;
8.Lietvedība, lietišķā sarakste.","37,960.00","28,431.62",0,6,
