List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
Donoghue Engineering,Capital,"4,875.00","2,625.00","7,500.00"
"Rashid Butt, t/a IT Zone",Employment,"2,437.50","1,312.50","3,750.00"
"Michael O'Dowd, t/a Song School",Employment,"4,875.00","2,625.00","7,500.00"
"INET Ltd., c/o Ronan McNamara",Employment,"2,437.50","1,312.50","3,750.00"
ACS Drives & Controls Ltd,Capital,"3,952.00","2,128.00","6,080.00"
Tom Keague,Employment,"2,437.50","1,312.50","3,750.00"
Jimmy & Linda Duffy,Employment,"4,875.00","2,625.00","7,500.00"
Aoife O'Reilly,Employment,"2,437.50","1,312.50","3,750.00"
Clodagh Flannery,Employment,"2,437.50","1,312.50","3,750.00"
Aengus & Lisa O'Rourke,Employment,"2,437.50","1,312.50","3,750.00"
Ken McNevin/Stephen Nolan,Capital,"4,783.95","2,575.97","7,359.92"
ES Digital Media Ltd.,Capital,"2,641.37","1,422.28","4,063.65"
Ronan Carroll,Employment,"2,437.50","1,312.50","3,750.00"
Tony & Geraldine Ennis,Employment,"2,437.50","11,312.50","13,750.00"
Mai & John Cloonan,Employment,"2,439.50","1,312.50","3,752.00"
Totals, ,"145,210.94","75,942.46","221,153.40"
Renewable Energy Research Development and Demonstration Programme 2008,,,,
Primary Client,County Name,Paid ,,
€,,,,
Meenacloghspar Ltd,Donegal,"35,153.65",,
Annagh Lodge Hydro,Sligo,"6,378.77",,
Dundalk Institute of Technology,Louth,"9,609.80",,
Hillgrove Hotel,Monaghan,"7,069.00",,
Westport Woods Hotel,Mayo,"22,728.00",,
Killalla community Wind Farm Limited,Mayo,"9,518.50",,
Ocean Energy Ltd,Galway,"98,828.52"
EcoOla,Galway,"2,346.09"
Jacksons Hotel,Donegal,"42,894.00"
Biorefinery Ireland Ltd,Mayo,"14,625.24"
AirEn Services Ltd,Louth,"3,325.00"
OpenHydro Group Ltd,N/A,"34,062.50"
Wavebob Ltd,N/A,"6,053.87"
IWEA Ltd,N/A,"15,100.00"
Wavebob Ltd,N/A,"22,827.85"
Sustainable Energy Association,Fermanagh,"2,257.81"
Total, ,"332,778.60"
CHP and Bioheat (Reheat) Programme 2008,,
Primary Client,County Name,Paid 
€,,
Bosco House Ltd,Cavan,"9,000.00"
Imperative Energy Ltd,Leitrim,"21,423.00"
Matt Lohan & Sons Ltd,Galway,"58,800.00"
C.J. Sheeran Ltd,Laois,"1,419.93"
Villa Rose Hotel,Donegal,"2,416.82"
P Mulrine & Sons,Donegal,"3,100.00"
Kiernan Farms (Ballymanus),Westmeath,"4,800.00"
Mount Errigal Hotel,Donegal,"51,600.00"
Riverside Furniture Design Ltd,Laois,"16,399.09"
M & B Quinn Ltd,Mayo,"69,925.73"
Carlow Precast Tanks Ltd,Carlow,"15,000.00"
White Oaks Fellowship Good Counsell,Donegal,"1,000.00"
Health Service Executive West,Galway,"24,000.00"
Bagenalstown Swimming Club,Carlow,"3,116.70"
Aughrim Timber & Stakes Co.,Galway,"9,360.00"
Mayo County Council,Mayo,"22,500.00"
Mayo County Council,Mayo,"5,280.00"
Teagasc,Carlow,"5,000.00"
Kill National School,Cavan,"1,656.00"
Ballon National School,Carlow,"1,920.00"
Flynns Garage Limited,Carlow,"15,000.00"
Gleeson's Townhouse and Restaurant,Roscommon,"2,881.06"
Avena Developments,Sligo,"108,750.00"
Cowood Ltd T/A AGE-TEK Doors,Offaly,"52,500.00"
Department of Education and Science,Cavan,"11,236.00"
Department of Education and Science,Donegal,"36,196.00"
Department of Education and Science,Roscommon,"28,928.25"
Department of Education and Science,Roscommon,"22,379.00"
Department of Education and Science,Offaly,"18,865.00"
Department of Education and Science,Westmeath,"26,733.00"
Truwood,Monaghan,"52,500.00"
St John's National School,Mayo,"6,512.00"
Seadna Ryan,Longford,"4,067.61"
Department of Education and Science,Offaly,"25,674.00"
O'Neill Bros,Westmeath,"13,742.34"
Laois Sawmills Ltd,Laois,"4,600.00"
Andy's Bar and Restaurant Ltd,Monaghan,"3,676.00"
Currabeg Developments Ltd,Louth,"2,445.00"
Laragan Developments,Leitrim,"40,500.00"
Mellifont Abbey Trust,Leitrim,"22,500.00"
Elphin Day Care Centre,Roscommon,"1,500.00"
CloCeardlann na gCnoc,Donegal,"3,379.50"
Health Service Executive,Leitrim,"24,196.88"
"Seaotharlann Chonamara Teo, Complete Laboratory Solutions",Galway,"13,061.00"
Mayo County Council,Mayo,"3,744.00"
Tir Na N'Og Collooney Childcare ( CherrySwan Ltd),Sligo,"3,673.88"
Tir Na N'Og Collooney Childcare ( CherrySwan Ltd),Sligo,"2,508.56"
Tractamotors Ltd,Cavan,"4,800.00"
Swan Net Gundry,Donegal,"2,582.00"
"Reilly Bros, Kitchens Ltd",Longford,"45,600.00"
"Reilly Bros, Kitchens Ltd",Longford,"36,750.00"
Teagasc,Mayo,"2,244.00"
Delphi Mountain Resort & Spa,Galway,"3,594.00"
Croghan Enterprise Company Ltd,Roscommon,"8,542.16"
Kiernan's Service Station,Cavan,"2,828.10"
MacGabhann Architects,Donegal,"6,758.25"
Charlies West End Cafe,Donegal,"2,016.00"
Laois Sawmills Ltd,Laois,"100,000.00"
Newport Mouldings,Louth,"52,500.00"
Fortbaron Ltd T/A Radisson SAS Hotel Letterkenny,Donegal,"31,500.00"
St. Thomas' GAA Club,Galway,"3,324.00"
Amcor Flexibles Sligo,Sligo,"2,311.00"
Michael O Toole & John O Toole,Carlow,"2,700.00"
Lismard Properties Ltd,Carlow,"54,000.00"
Comhlacht Forbartha an Tearmainn,Donegal,"13,104.00"
Tullow Mushroom Growers Ltd,Carlow,"50,970.00"
FJD Surveyors,Monaghan,"4,973.70"
Raheen GAA Club,Offaly,"3,150.00"
John Farrelly,Cavan,"3,198.60"
Newbrook Nursing Homes Ltd,Westmeath,"4,903.70"
Newbrook Nursing Homes Ltd,Westmeath,"5,136.00"
Patrick Shalvey,Cavan,"1,253.00"
Mullinahinch House,Monaghan,"19,800.00"
Mullaghmatt Cortolvin Community Development Ltd,Monaghan,"5,000.00"
Health Service Executive West,Galway,"36,420.05"
Health Service Executive West,Galway,"80,028.00"
F4energy Ltd,Galway,"25,184.77"
C&D Foods Limited,Longford,"1,520.00"
"National University of Ireland, Galway",Galway,"32,797.40"
Prefero Limited,Westmeath,"30,160.42"
Tullamore Leisure Ltd,Offaly,"23,669.75"
Galway Energy Agency,Galway,"4,000.00"
Total, ,"1,586,785.25",,,,,,,,,,
Playgrounds in RAPID Areas,,,,,,,,,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,,,,,,,,,
Name of the beneficiaries^,Name of Operation,Location of Operation (County/city),Public funding paid to beneficiary,,,,,,,,,
Amounts allocated * ,Year of allocation,Total Amounts Paid at end of operation,,,,,,,,,,
Galway City Council,RAPID Playgrounds,Galway,"€ 66,000",2008,€,,,,,,,
Athlone Town Council,RAPID Playgrounds,Westmeath,"€ 58,000",2008,€,,,,,,,
Roscommon County Council,RAPID Playgrounds,Roscommon,"€ 8,000",2008,€,,,,,,,
Sligo Borough Council,RAPID Playgrounds,Sligo,"€ 66,000",2008,€,,,,,,,
Cavan County Council,RAPID Playgrounds,Cavan,"€ 132,000",2008,€,,,,,,,
Galway County Council (TUAM),RAPID Playgrounds,Galway,"€ 66,000",2008,€,,,,,,,
Programme of Research in Third Level Institutions,,,,,,,,,,,,
Research Capital Payments, ,Research Recurrent Payments,,Research Total Payments,,,,,,,,
 , ,2007, ,2008, ,2007, ,2008, ,2007, ,2008
 , ,Total, ,Total, ,Total, ,Total, ,Total, ,Total
 , ,€, ,€, ,€, ,€, ,€, ,€
 NUIG , ,"7,371,543.04", ,"13,931,047.28", ,"3,571,800.00", ,0, ,"10,943,343.04", ,"13,931,047.28"
 AIT , ,"184,000.00", ,"1,813,055.43", ,0, ,0, ,"184,000.00", ,"1,813,055.43"
 DKIT , ,"77,000.00", ,"800,000.00", ,0, ,0, ,"77,000.00", ,"800,000.00"
 IT Sligo  , ,"145,582.53", ,"139,790.00", ,"150,393.00", ,0, ,"295,975.53", ,"139,790.00"
 LKIT , ,"31,000.00", ,"278,871.00", ,0, ,0, ,"31,000.00", ,"278,871.00"
 GMIT , ,"286,918.00", ,"286,715.10", ,0, ,0, ,"286,918.00", ,"286,715.10"
TOTAL, ,"8,096,043.57", ,"17,249,478.81", ,"3,722,193.00", ,0, ,"11,818,236.57", ,"17,249,478.81"
BMW 2007 Accounts,,,,,,,,,,,,
salaries,,688381,,,,,,,,,,
equipment,,43414,,,,,,,,,,
P&T,,20127,,,,,,,,,,
members allowance,,59741,,,,,,,,,,
chairman allowance,,13444,,,,,,,,,,
Travel&Sub,,32042,,,,,,,,,,
staff travel general purpose,,30560,,,,,,,,,,
2000-06travel,,34702,,,,,,,,,,
2007-13,,12715
innovative actions,,3217
Interreg,,7365
ADEP,,2674
Futurereg,,2623
Northern…,,5442
interreg..,,2119
rent,,64535
rates,,11736
Misc,,425497
ADEP,,64538
Futurereg,,15579
,,1540451
