"Sub Program","Year","Programme Code","Primary Client","Title","County Name","Code","Paid"
"Theme 2 - Renewable Energy",2007,"RERDD","The Brooklodge Hotel","Brooklodge Hotel","Wicklow","SE",24507
"Theme 2 - Renewable Energy",2007,"RERDD","Newlands Cross Hotels ","Bewleys Airport Hotel, Dublin Airport - Industry","Dublin","SE",78529
"Theme 2 - Renewable Energy",2007,"RERDD","Ethos Ltd","E-light","Limerick","SE",7729.61
"Theme 2 - Renewable Energy",2007,"RERDD","Kellys Resort Hotel","Kellys Resort Hotel","Wexford","SE",9390.68
"Theme 2 - Renewable Energy",2007,"RERDD","Gorey Courtown Forest Park Ltd","Phase I National Sustainable Energy Centre","Wexford","SE",43970
"Theme 2 - Renewable Energy",2007,"RERDD","Dunbrody Country House Hotel","Provision of Wood Fired Heating System at Dunbrody House Hotel","Wexford","SE",15859.91
"Theme 2 - Renewable Energy",2007,"RERDD","Conodate","UCD Deep Geothermal - Market Research & Feasibility","Dublin 4","SE",20109.53
"Theme 2 - Renewable Energy",2007,"RERDD","Nethercross Ltd","Roganstown Golf & Country Club","Dublin","SE",47089
"Theme 2 - Renewable Energy",2007,"RERDD","Nutricia Infant Nutrition Ltd","Nutricia Infant Nutrition Ltd - Renewable Energy Project","Cork","SE",11649
"Theme 2 - Renewable Energy",2007,"RERDD","Dublin City Council","Vartry Small Hydro Project","Wicklow","SE",39425.36
"Theme 2 - Renewable Energy",2007,"RERDD","University College Dublin","Renewable fuels for advanced powertrains","Dublin","SE",13432.32
"Theme 2 - Renewable Energy",2007,"RERDD","South East Regional Authority","Regional Bio-Energy Implementation Plan for the South-East","Waterford","SE",21109.17
"Theme 2 - Renewable Energy",2007,"RERDD","Technology from Ideas Ltd","Point Absorbing WEC Enchancement Structure Development and Demonstration","Dublin 12","SE",21539.15
"Theme 2 - Renewable Energy",2007,"RERDD","AP EnvEcon Ltd","Incubation Pilot  - AP EnvEcon Limited","Dublin 4","SE",2460
"Theme 2 - Renewable Energy",2007,"RERDD","Wavebob Ltd","Wavebob Prototype – Fabrication, Systems Testing & Commissioning.","N/A","50% of All Ireland Study",5223.5
"Theme 2 - Renewable Energy",2007,"RERDD","Wavebob Ltd","Wavebob Prototype – Prototype Sea Trials","N/A","50% of All Ireland Study",33872.63
"Theme 2 - Renewable Energy",2008,"RERDD","Coillte","Coillte New Headquarters, Newtown Mount Kennedy, Co. Wicklow","Wicklow","SE",12873.61
"Theme 2 - Renewable Energy",2008,"RERDD","Biogreen Energy Products Ltd","Vegetable oil production, extraction and use in modified vehicle engines in Co. Wexford","Wexford","SE",31473.5
"Theme 2 - Renewable Energy",2008,"RERDD","University College Dublin","Country Representative - IEA R&D Wind Agreement 21","Dublin 4","SE",1941.19
"Theme 2 - Renewable Energy",2008,"RERDD","National University College Cork","Development of a Short Range Ensemble Prediction System for Wind Energy","Cork","SE",98335.26
"Theme 2 - Renewable Energy",2008,"RERDD","MosArt Landscape - Architecture - Research","Passive House Design, Construction and Performance in Ireland","Wicklow","SE",14000
"Theme 2 - Renewable Energy",2008,"RERDD","Dublin Institute of Technology","Towards Economically-viable Photovoltaics;  Development of a Quantum Dot Direct and Diffuse Solar Energy Concentrator","Dublin 8","SE",14950.46
"Theme 2 - Renewable Energy",2008,"RERDD","Gorey Courtown Forest Park Ltd","Phase I National Sustainable Energy Centre","Wexford","SE",28279.62
"Theme 2 - Renewable Energy",2008,"RERDD","Kerry County Council","Kerry County Council Bioheat Project","Kerry","SE",14477
"Theme 2 - Renewable Energy",2008,"RERDD","Nethercross Ltd","Roganstown Golf & Country Club","Dublin","SE",9417
"Theme 2 - Renewable Energy",2008,"RERDD","Dublin City Council","Vartry Small Hydro Project","Wicklow","SE",31580.38
"Theme 2 - Renewable Energy",2008,"RERDD","South East Regional Authority","Regional Bio-Energy Implementation Plan for the South-East","Waterford","SE",68890.83
"Theme 2 - Renewable Energy",2008,"RERDD","Technology from Ideas Ltd","Point Absorbing WEC Enchancement Structure Development and Demonstration","Dublin 12","SE",72908.85
"Theme 2 - Renewable Energy",2008,"RERDD","SAR CAMMAN TEO","Quality Log Fuel Production Feasibility Study ","Tipperary","SE",28784.56
"Theme 2 - Renewable Energy",2008,"RERDD","AP EnvEcon Ltd","Incubation Pilot  - AP EnvEcon Limited","Dublin 4","SE",2460
"Theme 2 - Renewable Energy",2008,"RERDD","Renewable Power Generation Ltd","Incubator Pilot  - Wind Electricity Auto-production on Industrial Sites","Dublin 24","SE",7451.25
"Theme 2 - Renewable Energy",2008,"RERDD","Biogreen Energy Products Ltd","Vehicle Modification for (PPO) pure plant oil use","Wexford","SE",22603.45
"Theme 2 - Renewable Energy",2008,"RERDD","Department of Agriculture, Fisheries and Food","Spatial data capture of lands privately afforested from 1980-1990     ","Wexford","SE",20691.26
"Theme 2 - Renewable Energy",2008,"RERDD","OpenHydro Group Ltd","5 M Open Centre Turbine","N/A","All Ireland (50%)",34062.5
"Theme 2 - Renewable Energy",2008,"RERDD","Wavebob Ltd","Wavebob Prototype – Prototype Sea Trials","N/A","All Ireland (50%)",6053.87
"Theme 2 - Renewable Energy",2008,"RERDD","IWEA Ltd","Best Practice Guidelines for the Development of Wind Projects in Ireland","N/A","All Ireland (50%)",15100
"Theme 2 - Renewable Energy",2008,"RERDD","Wavebob Ltd","Wavebob – Large scale tank testing","N/A","All Ireland (50%)",22827.85
"Theme 2 - Renewable Energy",2008,"RERDD","Sustainable Energy Association","Launch of Sustainable Energy Association","Fermanagh","All Ireland (50%)",2257.81
